T46n1928_001:0704c12	指要鈔序	指 要 鈔 序 
T46n1928_001:0710c07	錯字不少，豈非初將一本寫之，一本或錯十	錯 字 不 少 豈 非 初 將 一 本 寫 之 一 本 或 錯 十 
T46n1928_001:0710c08	處皆訛。又云，日本傳來別行十門，題云國清	處 皆 訛 又 云 日 本 傳 來 別 行 十 門 題 云 國 清 
T46n1928_001:0710c09	止觀和尚錄出，亦云體同等者。未審止觀和	止 觀 和 尚 錄 出 亦 云 體 同 等 者 未 審 止 觀 和 
T46n1928_001:0710c10	尚又是誰邪？此人深諳一家教不？始錄之本	尚 又 是 誰 邪 此 人 深 諳 一 家 教 不 始 錄 之 本 
T46n1928_001:0710c11	全不錯不？豈以先死之人遵之為古，所立之	全 不 錯 不 豈 以 先 死 之 人 遵 之 為 古 所 立 之 
T46n1928_001:0710c12	事皆可依邪？如乾淑所錄邃和尚止觀中異	事 皆 可 依 邪 如 乾 淑 所 錄 邃 和 尚 止 觀 中 異 
T46n1928_001:0710c13	義，乃以三界為無漏總中之三，可盡遵不？況	義 乃 以 三 界 為 無 漏 總 中 之 三 可 盡 遵 不 況 
T46n1928_001:0710c14	諸異義特違《輔行》，自立己見，故皆云《記》文易	諸 異 義 特 違 輔 行 自 立 己 見 故 皆 云 記 文 易 
T46n1928_001:0710c15	見。和尚云云，此師又稱第七祖，故知止觀和	見 和 尚 云 云 此 師 又 稱 第 七 祖 故 知 止 觀 和 
T46n1928_001:0710c16	尚多是此師，若其是者則全不可依，既暗荊	尚 多 是 此 師 若 其 是 者 則 全 不 可 依 既 暗 荊 
T46n1928_001:0710c17	谿深旨必有改易也。又日本教乘脫誤亦多，	谿 深 旨 必 有 改 易 也 又 日 本 教 乘 脫 誤 亦 多 
T46n1928_001:0710c18	唯有別行十不二門，則全同他所定之本，他	唯 有 別 行 十 不 二 門 則 全 同 他 所 定 之 本 他 
T46n1928_001:0710c19	既曾附《示珠指》，往於彼國必是依之勘寫爾。	既 曾 附 示 珠 指 往 於 彼 國 必 是 依 之 勘 寫 爾 
T46n1928_001:0710c20	設是舊本，須將義勘莫可專文。」問：「文縱難定，	設 是 舊 本 須 將 義 勘 莫 可 專 文 問 文 縱 難 定 
T46n1928_001:0710c21	義復相違。何者？此文攝別入總，合云變造體	義 復 相 違 何 者 此 文 攝 別 入 總 合 云 變 造 體 
T46n1928_001:0710c22	同。若云從體起用，還是開總出別。既失不二	同 若 云 從 體 起 用 還 是 開 總 出 別 既 失 不 二 
T46n1928_001:0710c23	之義，便無開會之功也。」答：「若得前之總別意	之 義 便 無 開 會 之 功 也 答 若 得 前 之 總 別 意 
T46n1928_001:0710c24	者，則自不執舊訛文也。豈理體唯總，事用唯	者 則 自 不 執 舊 訛 文 也 豈 理 體 唯 總 事 用 唯 
T46n1928_001:0710c25	別？如常坐中修實相觀，既云唯觀理具，文中	別 如 常 坐 中 修 實 相 觀 既 云 唯 觀 理 具 文 中 
T46n1928_001:0710c26	廣辨三千，還有總別不？若無者，那云一心	廣 辨 三 千 還 有 總 別 不 若 無 者 那 云 一 心 
T46n1928_001:0710c27	具三千邪？隨自意中修唯識觀，觀於起心即	具 三 千 邪 隨 自 意 中 修 唯 識 觀 觀 於 起 心 即 
T46n1928_001:0710c28	約變造事用而說，還有總別不？若無，那云一	約 變 造 事 用 而 說 還 有 總 別 不 若 無 那 云 一 
T46n1928_001:0710c29	切法趣檀等？那云觀一念善惡心起十界邪？	切 法 趣 檀 等 那 云 觀 一 念 善 惡 心 起 十 界 邪 
T46n1928_001:0711a01	豈隨自意三昧非不二開會觀邪？應知立茲	豈 隨 自 意 三 昧 非 不 二 開 會 觀 邪 應 知 立 茲 
T46n1928_001:0711a02	體用，欲於理體及以事用皆明三諦事用。苦	體 用 欲 於 理 體 及 以 事 用 皆 明 三 諦 事 用 苦 
T46n1928_001:0711a03	即空假中，還成不二圓妙不？既於理事兩重	即 空 假 中 還 成 不 二 圓 妙 不 既 於 理 事 兩 重 
T46n1928_001:0711a04	總別皆顯絕妙，那將攝別入總而為難邪？又	總 別 皆 顯 絕 妙 那 將 攝 別 入 總 而 為 難 邪 又 
T46n1928_001:0711a05	夫開顯乃示法法皆妙，若知即具而變用，豈	夫 開 顯 乃 示 法 法 皆 妙 若 知 即 具 而 變 用 豈 
T46n1928_001:0711a06	不妙邪？」問：「他云，之猶往也，即全真心往趣色	不 妙 邪 問 他 云 之 猶 往 也 即 全 真 心 往 趣 色 
T46n1928_001:0711a07	心則全理作事。此義如何？」答：「非唯銷文不婉，	心 則 全 理 作 事 此 義 如 何 答 非 唯 銷 文 不 婉 
T46n1928_001:0711a08	抑亦立理全乖。何者？心不往時遂不具色心	抑 亦 立 理 全 乖 何 者 心 不 往 時 遂 不 具 色 心 
T46n1928_001:0711a09	邪？又與心變義同，正招從心生法之過。況直	邪 又 與 心 變 義 同 正 招 從 心 生 法 之 過 況 直 
T46n1928_001:0711a10	云心是真理者，朗乖《金錍》釋心，既云不變隨	云 心 是 真 理 者 朗 乖 金 錍 釋 心 既 云 不 變 隨 
T46n1928_001:0711a11	緣名心，何得直云真理？又造謂體用，方順文	緣 名 心 何 得 直 云 真 理 又 造 謂 體 用 方 順 文 
T46n1928_001:0711a12	勢。如何以同釋造？」問：「若真心往作色心，有從	勢 如 何 以 同 釋 造 問 若 真 心 往 作 色 心 有 從 
T46n1928_001:0711a13	心生法之過者，文云即心名變，亦有此過邪？」	心 生 法 之 過 者 文 云 即 心 名 變 亦 有 此 過 邪 
T46n1928_001:0711a14	答：「不明剎那具德，唯執真心變作，灼然須招	答 不 明 剎 那 具 德 唯 執 真 心 變 作 灼 然 須 招 
T46n1928_001:0711a15	斯過。今先明心具色心，方論隨緣變造，乃是	斯 過 今 先 明 心 具 色 心 方 論 隨 緣 變 造 乃 是 
T46n1928_001:0711a16	全性起修，作而無作何過之有？」問：「即心名變，	全 性 起 修 作 而 無 作 何 過 之 有 問 即 心 名 變 
T46n1928_001:0711a17	此心為理事邪？若理者，上約隨緣名心；若事	此 心 為 理 事 邪 若 理 者 上 約 隨 緣 名 心 若 事 
T46n1928_001:0711a18	者，乃成事作於事。那言全理起事？」答：「《止觀》指	者 乃 成 事 作 於 事 那 言 全 理 起 事 答 止 觀 指 
T46n1928_001:0711a19	陰入心能造一切，而云全理成事者，蓋由此	陰 入 心 能 造 一 切 而 云 全 理 成 事 者 蓋 由 此 
T46n1928_001:0711a20	心本具三千方能變造。既云心之色心，已顯	心 本 具 三 千 方 能 變 造 既 云 心 之 色 心 已 顯 
T46n1928_001:0711a21	此心本具三千，今即此心變造，乃是約具名	此 心 本 具 三 千 今 即 此 心 變 造 乃 是 約 具 名 
T46n1928_001:0711a22	變。既非但理變造，自異別教也。」二、是則下，結	變 既 非 但 理 變 造 自 異 別 教 也 二 是 則 下 結 
T46n1928_001:0711a23	成三諦者，上之事理三千，皆以剎那心法為	成 三 諦 者 上 之 事 理 三 千 皆 以 剎 那 心 法 為 
T46n1928_001:0711a24	總，心空故理事諸法皆空，即非色非心也；心	總 心 空 故 理 事 諸法皆空 即 非 色 非 心 也 心 
T46n1928_001:0711a25	假故理事諸法皆假，即而色而心也；心中故	假 故 理 事 諸 法 皆 假 即 而 色 而 心 也 心 中 故 
T46n1928_001:0711a26	理事諸法皆中，即唯色唯心也。故《輔行》云：「並	理 事 諸 法 皆 中 即 唯 色 唯 心 也 故 輔 行 云 並 
T46n1928_001:0711a27	由理具方有事用，今欲修觀但觀理具，俱破	由 理 具 方 有 事 用 今 欲 修 觀 但 觀 理 具 俱 破 
T46n1928_001:0711a28	俱立俱是法界，任運攝得權實所現。」言良	俱 立 俱 是 法 界 任 運 攝 得 權 實 所 現 言 良 
T46n1928_001:0711a29	由於此者，即由心之色心故(理也)、即心名變故(事也)、	由 於 此 者 即 由 心 之 色 心 故 理 也 即 心 名 變 故 事 也 
T46n1928_001:0711b01	全體起用故(理事合也)，方能一空一切空，一假一	全 體 起 用 故 理 事 合 也 方 能 一 空 一 切 空 一 假 一 
T46n1928_001:0711b02	切假，一中一切中也。他解此文，分擘對當大	切 假 一 中 一 切 中 也 他 解 此 文 分 擘 對 當 大 
T46n1928_001:0711b03	義全失，仍不許對三諦，而云此中未論修觀	義 全 失 仍 不 許 對 三 諦 而 云 此 中 未 論 修 觀 
T46n1928_001:0711b04	故。設未修觀，立諦何妨？況此色心本是諦境。	故 設 未 修 觀 立 諦 何 妨 況 此 色 心 本 是 諦 境 
T46n1928_001:0711b05	更有人互對三諦云得圓意，蓋不足言也。二、	更 有 人 互 對 三 諦 云 得 圓 意 蓋 不 足 言 也 二 
T46n1928_001:0711b06	故知下，會生佛居一念。己生佛者，心法三千，	故 知 下 會 生 佛 居 一 念 己 生 佛 者 心 法 三 千 
T46n1928_001:0711b07	他生佛者，佛法、眾生法並名為他，各具三千，	他 生 佛 者 佛 法 眾 生 法 並 名 為 他 各 具 三 千 
T46n1928_001:0711b08	三千不出生佛也。以理攝事同趣我心，蓋心	三 千 不 出 生 佛 也 以 理 攝 事 同 趣 我 心 蓋 心 
T46n1928_001:0711b09	之具故、即心變故、全體用故，故識一念即能	之 具 故 即 心 變 故 全 體 用 故 故 識 一 念 即 能 
T46n1928_001:0711b10	遍見也。三、故彼下，結不二。可見。他云，此本多	遍 見 也 三 故 彼 下 結 不 二 可 見 他 云 此 本 多 
T46n1928_001:0711b11	一差字。存略無妨，不須苦諍。二、內外不二門，	一 差 字 存 略 無 妨 不 須 苦 諍 二 內 外 不 二 門 
T46n1928_001:0711b12	又三：初、標。正約三法立內外境也。眾生諸佛	又 三 初 標 正 約 三 法 立 內 外 境 也 眾 生 諸 佛 
T46n1928_001:0711b13	及以依報名為外境，自己心法名為內境，故	及 以 依 報 名 為 外 境 自 己 心 法 名 為 內 境 故 
T46n1928_001:0711b14	《觀音玄義》立所觀境有二，所謂自他。他者謂	 觀 音 玄 義 立 所 觀 境 有 二 所 謂 自 他 他 者 謂 
T46n1928_001:0711b15	眾生佛，自者即心而具，乃引《華嚴》心如工畫	眾 生 佛 自 者 即 心 而 具 乃 引 華 嚴 心 如 工 畫 
T46n1928_001:0711b16	師等為證。有人立佛界為內、九界為外，乃引	師 等 為 證 有 人 立 佛 界 為 內 九 界 為 外 乃 引 
T46n1928_001:0711b17	此經，或說己事、或說他事證之，而不知彼明	此 經 或 說 己 事 或 說 他 事 證 之 而 不 知 彼 明 
T46n1928_001:0711b18	果後垂迹，乃以佛界為己、九界為他。今論初	果 後 垂 迹 乃 以 佛 界 為 己 九 界 為 他 今 論 初 
T46n1928_001:0711b19	心觀所依境，既未成佛，安用佛為己邪？據觀	心 觀 所 依 境 既 未 成 佛 安 用 佛 為 己 邪 據 觀 
T46n1928_001:0711b20	音玄方為允愜。問：「前引大部，揀於佛法太高、	音 玄 方 為 允 愜 問 前 引 大 部 揀 於 佛 法 太 高 
T46n1928_001:0711b21	眾生太廣，今何取之？」答：「辨其難易故且揀之，	眾 生 太 廣 今 何 取 之 答 辨 其 難 易 故 且 揀 之 
T46n1928_001:0711b22	若論機入不同故須雙列，復為顯其妙義必須	若 論 機 入 不 同 故 須 雙 列 復 為 顯 其 妙 義 必 須 
T46n1928_001:0711b23	內外互融，隨觀一境皆能遍攝故名不二，此	內 外 互 融 隨 觀 一 境 皆 能 遍 攝 故 名 不 二 此 
T46n1928_001:0711b24	之不二悉得稱門。泛論雖爾，一家觀法多用	之 不 二 悉 得 稱 門 泛 論 雖 爾 一 家 觀 法 多 用 
T46n1928_001:0711b25	內心妙義為門也。」二、凡所下，依門釋二：初、明	內 心 妙 義 為 門 也 二 凡 所 下 依 門 釋 二 初 明 
T46n1928_001:0711b26	內外境觀二：初、標示者，大小乘中所明觀法，	內 外 境 觀 二 初 標 示 者 大 小 乘 中 所 明 觀 法 
T46n1928_001:0711b27	二境收盡故云不出，今非偏小也。二、外謂下，	二 境 收 盡 故 云 不 出 今 非 偏 小 也 二 外 謂 下 
T46n1928_001:0711b28	釋相二：初、明外境觀相。言託者依也。彼者，既	釋 相 二 初 明 外 境 觀 相 言 託 者 依 也 彼 者 既 
T46n1928_001:0711b29	以內心為自，乃指依報及生佛色心為彼，此	以 內 心 為 自 乃 指 依 報 及 生 佛 色 心 為 彼 此 
T46n1928_001:0711c01	乃正立外境。即空假中去，即是妙觀及觀成	乃 正 立 外 境 即 空 假 中 去 即 是 妙 觀 及 觀 成 
T46n1928_001:0711c02	相，於依等四隨託一境，皆以圓融三觀觀之，	相 於 依 等 四 隨 託 一 境 皆 以 圓 融 三 觀 觀 之 
T46n1928_001:0711c03	此觀既妙故令陰入染體泯淨。即前依正等，	此 觀 既 妙 故 令 陰 入 染 體 泯 淨 即 前 依 正 等 
T46n1928_001:0711c04	全為妙體一實圓理，故云體絕及一實等，所	全 為 妙 體 一 實 圓 理 故 云 體 絕 及 一 實 等 所 
T46n1928_001:0711c05	觀陰境既絕，能觀妙觀亦寂，則病去藥亡、能	觀 陰 境 既 絕 能 觀 妙 觀 亦 寂 則 病 去 藥 亡 能 
T46n1928_001:0711c06	所雙絕，故云無空假中。於雙絕之處融妙	所 雙 絕 故 云 無 空 假 中 於 雙 絕 之 處 融 妙 
T46n1928_001:0711c07	三千一時顯現，豁然同皆真淨，法法皆實故	三 千 一 時 顯 現 豁 然 同 皆 真 淨 法 法 皆 實 故 
T46n1928_001:0711c08	真，皆非染礙故淨，故云宛然等。如是則一切	真 皆 非 染 礙 故 淨 故 云 宛 然 等 如 是 則 一 切 
T46n1928_001:0711c09	眾生皆毘盧體，一切國土悉常寂光，有何定	眾 生 皆 毘 盧 體 一 切 國 土 悉 常 寂 光 有 何 定 
T46n1928_001:0711c10	法名三五七九及淨穢邪？故云無復至差品	法 名 三 五 七 九 及 淨 穢 邪 故 云 無 復 至 差 品 
T46n1928_001:0711c11	也。而彼彼三千圓融互入，猶因陀羅網終自	也 而 彼 彼 三 千 圓 融 互 入 猶 因 陀 羅 網 終 自 
T46n1928_001:0711c12	炳然，即是外觀功成之相。觀行已上至于妙	炳 然 即 是 外 觀 功 成 之 相 觀 行 已 上 至 于 妙 
T46n1928_001:0711c13	覺，節節無非如此顯發。不爾，安云發心畢竟	覺 節 節 無 非 如 此 顯 發 不 爾 安 云 發 心 畢 竟 
T46n1928_001:0711c14	二不別邪？問：「他云，舊本無兩假字，唯云即空	二 不 別 邪 問 他 云 舊 本 無 兩 假 字 唯 云 即 空 
T46n1928_001:0711c15	即中，空中妙故，而云以空中亡彼依正之假，	即 中 空 中 妙 故 而 云 以 空 中 亡 彼 依 正 之 假 
T46n1928_001:0711c16	此本何得妄加邪？」答：「雖欲依於舊本，其如義	此 本 何 得 妄 加 邪 答 雖 欲 依 於 舊 本 其 如 義 
T46n1928_001:0711c17	理殘缺，必是往時讀者不諳境觀，故妄有改	理 殘 缺 必 是 往 時 讀 者 不 諳 境 觀 故 妄 有 改 
T46n1928_001:0711c18	削矣。且文標所觀境有內外，豈以依正色心	削 矣 且 文 標 所 觀 境 有 內 外 豈 以 依 正 色 心 
T46n1928_001:0711c19	陰入之境而為假觀邪？遍尋荊谿之意，必不	陰 入 之 境 而 為 假 觀 邪 遍 尋 荊 谿 之 意 必 不 
T46n1928_001:0711c20	闕此一觀。何者？如《止觀》破思假文中云『因緣	闕 此 一 觀 何 者 如 止 觀 破 思 假 文 中 云 因 緣 
T46n1928_001:0711c21	生法即空即中』，《輔行》云，且以法性空中對幻	生 法 即 空 即 中 輔 行 云 且 以 法 性 空 中 對 幻 
T46n1928_001:0711c22	假說其實，幻假即不思議假。既云且以，知非	假 說 其 實 幻 假 即 不 思 議 假 既 云 且 以 知 非 
T46n1928_001:0711c23	盡理；須即妙假，故云其實。文中不云即假，尚	盡 理 須 即 妙 假 故 云 其 實 文 中 不 云 即 假 尚 
T46n1928_001:0711c24	欲據義加之，豈自著述而特略之？況彼云，因	欲 據 義 加 之 豈 自 著 述 而 特 略 之 況 彼 云 因 
T46n1928_001:0711c25	緣生法方有幻假之義，今直云依正等，且未	緣 生 法 方 有 幻 假 之 義 今 直 云 依 正 等 且 未 
T46n1928_001:0711c26	成幻假，況妙假乎！又第一記中釋十二入各	成 幻 假 況 妙 假 乎 又 第 一 記 中 釋 十 二 入 各 
T46n1928_001:0711c27	具千如中云，境據假邊，且存其數。空中尚無，	具 千 如 中 云 境 據 假 邊 且 存 其 數 空 中 尚 無 
T46n1928_001:0711c28	其數安在？然必約假以立空中，此雖將境為	其 數 安 在 然 必 約 假 以 立 空 中 此 雖 將 境 為 
T46n1928_001:0711c29	假，然與今文不同。何者？彼約十二入各具千	假 然 與 今 文 不 同 何 者 彼 約 十 二 入 各 具 千 
T46n1928_001:0712a01	如為境，即已成不思議假，故非此例。恐未解	如 為 境 即 已 成 不 思 議 假 故 非 此 例 恐 未 解 
T46n1928_001:0712a02	者以此為據，故粗引之，仍出其意。又上若不	者 以 此 為 據 故 粗 引 之 仍 出 其 意 又 上 若 不 
T46n1928_001:0712a03	立假觀，下何亡之而云無空假中邪？又若更	立 假 觀 下 何 亡 之 而 云 無 空 假 中 邪 又 若 更 
