T54n2130_001:0981a05	翻梵語	翻 梵 語 
T54n2130_002:0995b02	維摩羅(應云毘摩羅　譯曰毘者無也摩羅者垢)	維 摩 羅 應 云 毘 摩 羅 譯 曰 毘 者 無 也 摩 羅 者 垢 
T54n2130_002:0995b03	邠耨(應云邠君（而嫁反）　譯曰福德)	邠 耨 應 云 邠 君 而 嫁 反 譯 曰 福 德 
T54n2130_002:0995b04	邠耨加菟褭(應云分他伽那　譯曰邠耨者福德伽那者厚也)	邠 耨 加 菟 褭 應 云 分 他 伽 那 譯 曰 邠 耨 者 福 德 伽 那 者 厚 也 
T54n2130_002:0995b05	彌醯若(應云摩醯陀羅　譯曰大天主也)　第十卷	彌 醯 若 應 云 摩 醯 陀 羅 譯 曰 大 天 主 也 第 十 卷 
T54n2130_002:0995b06	質多羅(譯曰種種)　第二十卷	質 多 羅 譯 曰 種 種 第 二 十 卷 
T54n2130_002:0995b07	烏陀夷(應云優陀夷　譯曰出也)　第二十九卷	烏 陀 夷 應 云 優 陀 夷 譯 曰 出 也 第 二 十 九 卷 
T54n2130_002:0995b08	弗加羅娑利(譯曰不加羅者蓮華婆梨者實也)	弗 加 羅 娑 利 譯 曰 不 加 羅 者 蓮 華 婆 梨 者 實 也 
T54n2130_002:0995b09	三彌提(應云三彌底　譯曰一切婦也)　第四十三卷	三 彌 提 應 云 三 彌 底 譯 曰 一 切 婦 也 第 四 十 三 卷 
T54n2130_002:0995b10	盧夷強耆(應云盧熙多彌伽　譯曰盧熙多者赤強伽者河名也)	盧 夷 強 耆 應 云 盧 熙 多 彌 伽 譯 曰 盧 熙 多 者 赤 強 伽 者 河 名 也 
T54n2130_002:0995b11	蹇荼(譯曰斤也)　長阿含第一卷	蹇 荼 譯 曰 斤 也 長 阿 含 第 一 卷 
T54n2130_002:0995b12	阿毘浮(浮漏反　譯曰無勝)	阿 毘 浮 浮 漏 反 譯 曰 無 勝 
T54n2130_002:0995b13	三婆婆(應云三頗婆　譯曰相應亦云生也)	三 婆 婆 應 云 三 頗 婆 譯 曰 相 應 亦 云 生 也 
T54n2130_002:0995b14	扶遊(應云婆遊　譯曰風也)	扶 遊 應 云 婆 遊 譯 曰 風 也 
T54n2130_002:0995b15	欝多摩(譯曰最上)	欝 多 摩 譯 曰 最 上 
T54n2130_002:0995b16	毘盧(應云毘樓婆　譯曰可惡)	毘 盧 應 云 毘 樓 婆 譯 曰 可 惡 
T54n2130_002:0995b17	舒槃那(應云輸槃那　譯曰可愛)	舒 槃 那 應 云 輸 槃 那 譯 曰 可 愛 
T54n2130_002:0995b18	闡弩(譯曰覆也)　第四卷	闡 弩 譯 曰 覆 也 第 四 卷 
T54n2130_002:0995b19	三密離提(應云三美里底（多履反）　譯曰常憶)　雜阿含第一卷	三 密 離 提 應 云 三 美 里 底 多 履 反 譯 曰 常 憶 雜 阿 含 第 一 卷 
T54n2130_002:0995b20	陀娑(譯曰苦亦去十)　第五卷	陀 娑 譯 曰 苦 亦 去 十 第 五 卷 
T54n2130_002:0995b21	差摩(應云楚摩亦云仙摩　譯曰安穩)	差 摩 應 云 楚 摩 亦 云 仙 摩 譯 曰 安 穩 
T54n2130_002:0995b22	優波斯那(亦云優波斯　譯曰欲作)　第九卷	優 波 斯 那 亦 云 優 波 斯 譯 曰 欲 作 第 九 卷 
T54n2130_002:0995b23	闡陀(譯曰欲作亦云霞也)　第十卷	闡 陀 譯 曰 欲 作 亦 云 霞 也 第 十 卷 
T54n2130_002:0995b24	勒叉那(譯曰護也)　第十七卷	勒 叉 那 譯 曰 護 也 第 十 七 卷 
T54n2130_002:0995c01	摩摩帝(譯曰寺主)	摩 摩 帝 譯 曰 寺 主 
T54n2130_002:0995c02	迦摩(譯曰愛欲)　第二十一卷	迦 摩 譯 曰 愛 欲 第 二 十 一 卷 
T54n2130_002:0995c03	那伽達多(譯曰伽那者龍亦云山亦象達多者與)	那 伽 達 多 譯 曰 伽 那 者 龍 亦 云 山 亦 象 達 多 者 與 
T54n2130_002:0995c04	梨犀達多(應云梨師達多亦云利師達　譯曰仙與)	梨 犀 達 多 應 云 梨 師 達 多 亦 云 利 師 達 譯 曰 仙 與 
T54n2130_002:0995c05	摩訶迦(應云摩河迦　譯曰大身)	摩 訶 迦 應 云 摩 河 迦 譯 曰 大 身 
T54n2130_002:0995c06	優波迦(譯曰近身)　第二十二卷	優 波 迦 譯 曰 近 身 第 二 十 二 卷 
T54n2130_002:0995c07	波羅楗茶(譯曰守病)	波 羅 楗 茶 譯 曰 守 病 
T54n2130_002:0995c08	弗迦羅娑梨(譯曰弗迦羅者蓮華婆梨者實也)	弗 迦 羅 娑 梨 譯 曰 弗 迦 羅 者 蓮 華 婆 梨 者 實 也 
T54n2130_002:0995c09	跋提揵陀(譯曰賢吉)	跋 提 揵 陀 譯 曰 賢 吉 
T54n2130_002:0995c10	波休難提(譯曰多喜)	波 休 難 提 譯 曰 多 喜 
T54n2130_002:0995c11	波毘瘐菟(應云波羅頗毘瘐　譯曰大自在也)	波 毘 瘐 菟 應 云 波 羅 頗 毘 瘐 譯 曰 大 自 在 也 
T54n2130_002:0995c12	安伽陀(譯曰辟纓)　第二十五卷	安 伽 陀 譯 曰 辟 纓 第 二 十 五 卷 
T54n2130_002:0995c13	優波摩(譯曰譬喻)　第二十八卷	優 波 摩 譯 曰 譬 喻 第 二 十 八 卷 
T54n2130_002:0995c14	阿提目多(應云阿提目多伽　譯曰解脫亦云愛樂)	阿提目多 應 云 阿提目多 伽 譯 曰 解 脫 亦 云 愛 樂 
T54n2130_002:0995c15	富隣尼比丘(譯曰滿安)　第三十四卷	富 隣 尼 比 丘 譯 曰 滿 安 第 三 十 四 卷 
T54n2130_002:0995c16	耶舍舍羅迦毘訶利(譯曰名聞籌寺)　第三十六卷	耶 舍 舍 羅 迦 毘 訶 利 譯 曰 名 聞 籌 寺 第 三 十 六 卷 
T54n2130_002:0995c17	波耆舍(亦云多耆奢　譯曰自在語也)	波 耆 舍 亦 云 多 耆 奢 譯 曰 自 在 語 也 
T54n2130_002:0995c18	瞿低迦(譯曰守牛)　第四十七卷	瞿 低 迦 譯 曰 守 牛 第 四 十 七 卷 
T54n2130_002:0995c19	那提迦(譯曰孔說)	那 提 迦 譯 曰 孔 說 
T54n2130_002:0995c20	跋迦梨(譯曰樹皮)	跋 迦 梨 譯 曰 樹 皮 
T54n2130_002:0995c21	那伽達多(譯曰龍與)　第五十卷	那 伽 達 多 譯 曰 龍 與 第 五 十 卷 
T54n2130_002:0995c22	迦羅(譯曰黑亦云時)　十誦律序第一卷	迦 羅 譯 曰 黑 亦 云 時 十 誦 律 序 第 一 卷 
T54n2130_002:0995c23	摩訶盧(亦云摩訶羅　譯曰老也亦云無智)	摩 訶 盧 亦 云 摩 訶 羅 譯 曰 老 也 亦 云 無 智 
T54n2130_002:0995c24	摩訶迦羅(譯曰大黑)	摩 訶 迦 羅 譯 曰 大 黑 
T54n2130_002:0996a01	須提那(譯曰好與亦云善與)	須 提 那 譯 曰 好 與 亦 云 善 與 
T54n2130_002:0996a02	迦蘭陀子(譯曰迦蘭者美陀者與也)	迦 蘭 陀 子 譯 曰 迦 蘭 者 美 陀 者 與 也 
T54n2130_002:0996a03	迦樓陀夷(亦云迦留陀夷　譯曰迦樓者時陀夷者起)	迦 樓 陀 夷 亦 云 迦 留 陀 夷 譯 曰 迦 樓 者 時 陀 夷 者 起 
T54n2130_002:0996a04	耶舍陀迦羅提(譯曰耶舍陀者名聞典也迦蘭提者如上說)	耶 舍 陀 迦 羅 提 譯 曰 耶 舍 陀 者 名 聞 典 也 迦 蘭 提 者 如 上 說 
T54n2130_002:0996a05	三菩伽(譯曰共供)	三 菩 伽 譯 曰 共 供 
T54n2130_002:0996a06	僧伽陀(譯曰遍[示*旦])	僧 伽 陀 譯 曰 遍 [示旦] 
T54n2130_002:0996a07	娑伽陀(亦云娑竭陀亦云沙伽多　譯曰娑伽陀者善來)	娑 伽 陀 亦 云 娑 竭 陀 亦 云 沙 伽 多 譯 曰 娑 伽 陀 者 善 來 
T54n2130_002:0996a08	跋難陀(亦云婆難陀　譯曰賢喜)	跋 難 陀 亦 云 婆 難 陀 譯 曰 賢 喜 
T54n2130_002:0996a09	沙羅(譯曰屋宇)	沙 羅 譯 曰 屋 宇 
T54n2130_002:0996a10	級闍蘇彌羅(譯曰汲闍者曲頸蘇彌羅者月明)	級 闍 蘇 彌 羅 譯 曰 汲 闍 者 曲 頸 蘇 彌 羅 者 月 明 
T54n2130_002:0996a11	脩磨那(譯曰脩者好也磨那者槾)	脩 磨 那 譯 曰 脩 者 好 也 磨 那 者 槾 
T54n2130_002:0996a12	薩波伽羅(譯曰薩波者蛇伽羅者頸)	薩 波 伽 羅 譯 曰 薩 波 者 蛇 伽 羅 者 頸 
T54n2130_002:0996a13	沙羅耶輸陀(譯曰沙羅者屋耶輸陀者名聞與也)	沙 羅 耶 輸 陀 譯 曰 沙 羅 者 屋 耶 輸 陀 者 名 聞 與 也 
T54n2130_002:0996a14	波利(譯曰護也)　第三卷	波 利 譯 曰 護 也 第 三 卷 
T54n2130_002:0996a15	達尼吒(亦云檀尼吒　譯者曰星名也)　初誦第一卷	達 尼 吒 亦 云 檀 尼 吒 譯 者 曰 星 名 也 初 誦 第 一 卷 
T54n2130_002:0996a16	輸毘陀(譯曰可愛)　第二卷	輸 毘 陀 譯 曰 可 愛 第 二 卷 
T54n2130_002:0996a17	陀驃力士子(譯曰陀驃者茅草也)　第四卷	陀 驃 力 士 子 譯 曰 陀 驃 者 茅 草 也 第 四 卷 
T54n2130_002:0996a18	阿蘭兒(應云阿蘭若　譯曰寂靜處也)	阿 蘭 兒 應 云 阿 蘭 若 譯 曰 寂 靜 處 也 
T54n2130_002:0996a19	彌多羅(譯曰知識)	彌 多 羅 譯 曰 知 識 
T54n2130_002:0996a20	浮磨(譯曰地也)	浮 磨 譯 曰 地 也 
T54n2130_002:0996a21	尸利(譯曰吉也)	尸 利 譯 曰 吉 也 
T54n2130_002:0996a22	達摩(譯曰法也)　第二誦第二卷	達 摩 譯 曰 法 也 第 二 誦 第 二 卷 
T54n2130_002:0996a23	毘訶比丘	毘 訶 比 丘 
T54n2130_002:0996a24	達摩提那(亦云曇摩提那　譯曰達摩者法提那者與)	達 摩 提 那 亦 云 曇 摩 提 那 譯 曰 達 摩 者 法 提 那 者 與 
T54n2130_002:0996b01	般特(應云般特他迦　譯曰路)　第五卷	般 特 應 云 般 特 他 迦 譯 曰 路 第 五 卷 
T54n2130_002:0996b02	阿耆達(應云阿耆達多　譯曰火也)　第二誦第一卷	阿 耆 達 應 云 阿 耆 達 多 譯 曰 火 也 第 二 誦 第 一 卷 
T54n2130_002:0996b03	偷蘭難陀(應云悉偷蘭難陀　譯曰大善)　第四卷	偷 蘭 難 陀 應 云 悉 偷 蘭 難 陀 譯 曰 大 善 第 四 卷 
T54n2130_002:0996b04	摩(摩可反)伽(譯者曰星名也)　七法第一卷	摩 摩 可 反 伽 譯 者 曰 星 名 也 七 法 第 一 卷 
T54n2130_002:0996b05	比喜陀(譯曰覆)　第七卷	比 喜 陀 譯 曰 覆 第 七 卷 
T54n2130_002:0996b06	意師多(應云伊師多亦云一吒　譯曰愛樂)　第八卷	意 師 多 應 云 伊 師 多 亦 云 一 吒 譯 曰 愛 樂 第 八 卷 
T54n2130_002:0996b07	分坻梨師達多(譯曰加坻者淨梨師達多者仙與)　入法第二卷	分 坻 梨 師 達 多 譯 曰 加 坻 者 淨 梨 師 達 多 者 仙 與 入 法 第 二 卷 
T54n2130_002:0996b08	般荼盧伽(應云般壽盧伽　譯者曰失色病)　第三卷	般 荼 盧 伽 應 云 般 壽 盧 伽 譯 者 曰 失 色 病 第 三 卷 
T54n2130_002:0996b09	迦扶陀比丘(應云迦補陀　譯曰鳥鳩)　雜誦第一卷	迦 扶 陀 比 丘 應 云 迦 補 陀 譯 曰 鳥 鳩 雜 誦 第 一 卷 
T54n2130_002:0996b10	摩伽梨俱(應云末伽梨俱　譯曰末伽者道梨具者覓)　第二卷	摩 伽 梨 俱 應 云 末 伽 梨 俱 譯 曰 末 伽 者 道 梨 具 者 覓 第 二 卷 
T54n2130_002:0996b11	珊闍耶毘羅荼(應云珊闍耶毘蘭茶　譯曰珊闍耶者勝也毘蘭荼者不作)	珊 闍 耶 毘 羅 荼 應 云 珊 闍 耶 毘 蘭 茶 譯 曰 珊 闍 耶 者 勝 也 毘 蘭 荼 者 不 作 
T54n2130_002:0996b12	尼楗陀若提子(譯曰尼揵陀者無繫若提者姓也)	尼 楗 陀 若 提 子 譯 曰 尼 揵 陀 者 無 繫 若 提 者 姓 也 
T54n2130_002:0996b13	迦求陀迦旃延(譯曰迦求陀者領迦旃延者姓)	迦 求 陀 迦 旃 延 譯 曰 迦 求 陀 者 領 迦 旃 延 者 姓 
T54n2130_002:0996b14	阿耆陀翅舍欽披羅(譯曰阿耆陀者無勝翅舍欽披羅者榮髮)	阿 耆 陀 翅 舍 欽 披 羅 譯 曰 阿 耆 陀 者 無 勝 翅 舍 欽 披 羅 者 榮 髮 
T54n2130_002:0996b15	旃陀(譯曰月亦云勇)	旃 陀 譯 曰 月 亦 云 勇 
T54n2130_002:0996b16	蘇陀(應云蘇盧陀　譯曰聞也)	蘇 陀 應 云 蘇 盧 陀 譯 曰 聞 也 
T54n2130_002:0996b17	周那難提(應云周羅難提　譯曰小善)	周 那 難 提 應 云 周 羅 難 提 譯 曰 小 善 
T54n2130_002:0996b18	那羅比丘(譯曰萩也)	那 羅 比 丘 譯 曰 萩 也 
T54n2130_002:0996b19	陀薩(譯曰應與)	陀 薩 譯 曰 應 與 
T54n2130_002:0996b20	波羅(譯曰護也)	波 羅 譯 曰 護 也 
T54n2130_002:0996b21	彌多羅(譯曰慈也)　律第一卷	彌 多 羅 譯 曰 慈 也 律 第 一 卷 
T54n2130_002:0996b22	提舍利(譯曰悔過)	提 舍 利 譯 曰 悔 過 
T54n2130_002:0996b23	優波提舍尼(譯曰大悔)	優波提舍 尼 譯 曰 大 悔 
T54n2130_002:0996b24	提舍波那尼(應云提舍波羅波陀　譯曰提舍者悔過波羅波尼者今至)	提 舍 波 那 尼 應 云 提 舍 波 羅 波 陀 譯 曰 提 舍 者 悔 過 波 羅 波 尼 者 今 至 
T54n2130_002:0996c01	提舍勒叉多尼(譯曰提舍如上說勒叉多者護)	提 舍 勒 叉 多 尼 譯 曰 提 舍 如 上 說 勒 叉 多 者 護 
T54n2130_002:0996c02	跋陀(譯曰大亦云賢)	跋 陀 譯 曰 大 亦 云 賢 
T54n2130_002:0996c03	羅私吒(譯曰國也)	羅 私 吒 譯 曰 國 也 
T54n2130_002:0996c04	波羅吒(應云波羅剌私吒　譯曰他國)　第二卷	波 羅 吒 應 云 波 羅 剌 私 吒 譯 曰 他 國 第 二 卷 
T54n2130_002:0996c05	修闍多(譯曰好生)	修 闍 多 譯 曰 好 生 
T54n2130_002:0996c06	迦陀(譯曰已作)	迦 陀 譯 曰 已 作 
T54n2130_002:0996c07	藍波那比丘(譯曰垂也)　憂波離第一卷	藍 波 那 比 丘 譯 曰 垂 也 憂 波 離 第 一 卷 
T54n2130_002:0996c08	蘇陀(譯曰白也)　善誦第一卷	蘇 陀 譯 曰 白 也 善 誦 第 一 卷 
T54n2130_002:0996c09	跋陀迦毘羅(應云跋陀羅迦毘羅　譯曰跋陀羅者賢迦毘羅者蒼)　第二卷	跋 陀 迦 毘 羅 應 云 跋 陀 羅 迦 毘 羅 譯 曰 跋 陀 羅 者 賢 迦 毘 羅 者 蒼 第 二 卷 
T54n2130_002:0996c10	蘇陀夷(譯曰共出)	蘇 陀 夷 譯 曰 共 出 
T54n2130_002:0996c11	須尸摩(譯曰好堺)	須 尸 摩 譯 曰 好 堺 
T54n2130_002:0996c12	和脩達(亦云婆修達多　譯曰寶與)	和 脩 達 亦 云 婆 修 達 多 譯 曰 寶 與 
T54n2130_002:0996c13	舍摩達多(亦云奢摩達多　譯曰靜與)	舍 摩 達 多 亦 云 奢 摩 達 多 譯 曰 靜 與 
T54n2130_002:0996c14	輸毘陀(譯曰好智)　第四卷	輸 毘 陀 譯 曰 好 智 第 四 卷 
T54n2130_002:0996c15	尸利耶婆(譯曰吉行)　僧祇律第四卷	尸 利 耶 婆 譯 曰 吉 行 僧 祇 律 第 四 卷 
T54n2130_002:0996c16	跋處(應云跋蹉　譯曰犢也)	跋 處 應 云 跋 蹉 譯 曰 犢 也 
T54n2130_002:0996c17	陀驃摩羅子(應云陀﨟毘耶摩羅　譯曰陀﨟毘耶者物摩羅者姓亦云力也)	陀 驃 摩 羅 子 應 云 陀 﨟 毘 耶 摩 羅 譯 曰 陀 﨟 毘 耶 者 物 摩 羅 者 姓 亦 云 力 也 
T54n2130_002:0996c18	摩醯沙達多(應云摩醯鎖羅達多　譯曰與大自在)	摩 醯 沙 達 多 應 云 摩 醯 鎖 羅 達 多 譯 曰 與 大 自 在 
T54n2130_002:0996c19	闥賴吒比丘(應云陀﨟毘耶迦盧　譯曰見也)　第十二卷	闥 賴 吒 比 丘 應 云 陀 﨟 毘 耶 迦 盧 譯 曰 見 也 第 十 二 卷 
T54n2130_002:0996c20	陀驃迦盧(譯曰陀﨟毘耶者物迦盧者黑)　第十三卷	陀 驃 迦 盧 譯 曰 陀 﨟 毘 耶 者 物 迦 盧 者 黑 第 十 三 卷 
T54n2130_002:0996c21	舍那(譯曰樹皮)　第十四卷	舍 那 譯 曰 樹 皮 第 十 四 卷 
T54n2130_002:0996c22	滿荼(譯曰遲也)　第十六卷	滿 荼 譯 曰 遲 也 第 十 六 卷 
T54n2130_002:0996c23	阿闍覩(譯曰未生)	阿 闍 覩 譯 曰 未 生 
T54n2130_002:0996c24	跋陀利(譯曰賢也)　第十七卷	跋 陀 利 譯 曰 賢 也 第 十 七 卷 
T54n2130_002:0997a01	阿浮娑(譯曰長老)　第十九卷	阿 浮 娑 譯 曰 長 老 第 十 九 卷 
T54n2130_002:0997a02	那夷翅(譯曰軍主)　第二十卷	那 夷 翅 譯 曰 軍 主 第 二 十 卷 
T54n2130_002:0997a03	瞻波比丘(譯曰黃華)　第二十六卷	瞻 波 比 丘 譯 曰 黃 華 第 二 十 六 卷 
T54n2130_002:0997a04	樹提陀娑(譯曰樹提者火陀娑者者)	樹 提 陀 娑 譯 曰 樹 提 者 火 陀 娑 者 者 
T54n2130_002:0997a05	槃頭盧(譯曰赤華)　第三十三卷	槃 頭 盧 譯 曰 赤 華 第 三 十 三 卷 
T54n2130_002:0997a06	頗頭洗那(應云頗求洗那　譯曰頗求者無實洗那者軍也)	頗 頭 洗 那 應 云 頗 求 洗 那 譯 曰 頗 求 者 無 實 洗 那 者 軍 也 
T54n2130_002:0997a07	土羅(譯曰土羅者火)	土 羅 譯 曰 土 羅 者 火 
T54n2130_002:0997a08	修密哆(譯曰善智識也)	修 密 哆 譯 曰 善 智 識 也 
T54n2130_002:0997a09	弗沙婆陀羅(譯曰星賢)	弗 沙 婆 陀 羅 譯 曰 星 賢 
T54n2130_002:0997a10	提那伽(譯曰提者方也那迦者象)	提 那 伽 譯 曰 提 者 方 也 那 迦 者 象 
T54n2130_002:0997a11	耆波伽(譯曰命行)	耆 波 伽 譯 曰 命 行 
T54n2130_002:0997a12	巨舍羅(應云瞿賖羅　譯曰牛屋)	巨 舍 羅 應 云 瞿 賖 羅 譯 曰 牛 屋 
T54n2130_002:0997a13	摩訶那(應云摩訶那陁　譯曰大聲)	摩 訶 那 應 云 摩 訶 那 陁 譯 曰 大 聲 
T54n2130_002:0997a14	目哆(譯曰脫也)	目 哆 譯 曰 脫 也 
T54n2130_002:0997a15	巨醯(譯曰屋宇)	巨 醯 譯 曰 屋 宇 
T54n2130_002:0997a16	耆多(譯曰歌戱)	耆 多 譯 曰 歌 戱 
T54n2130_002:0997a17	陀娑婆羅(應云陀娑婆羅　譯曰十力)	陀 娑 婆 羅 應 云 陀 娑 婆 羅 譯 曰 十 力 
T54n2130_002:0997a18	賴吒波羅(譯曰國護)	賴 吒 波 羅 譯 曰 國 護 
T54n2130_002:0997a19	迦利比丘(譯曰黑亦云時)	迦 利 比 丘 譯 曰 黑 亦 云 時 
T54n2130_002:0997a20	跋闍比丘(應云跋闍羅　譯曰跋闍羅者金剛)　四分律第一卷	跋 闍 比 丘 應 云 跋 闍 羅 譯 曰 跋 闍 羅 者 金 剛 四 分 律 第 一 卷 
T54n2130_002:0997a21	迦樓比丘(譯曰作亦云姓)	迦 樓 比 丘 譯 曰 作 亦 云 姓 
T54n2130_002:0997a22	勿力伽難提比丘(譯曰蔗喜)	勿 力 伽 難 提 比 丘 譯 曰 蔗 喜 
T54n2130_002:0997a23	水婆摩羅(應云達婆摩羅　譯曰達婆者茅摩羅者華)	水 婆 摩 羅 應 云 達 婆 摩 羅 譯 曰 達 婆 者 茅 摩 羅 者 華 
T54n2130_002:0997a24	三聞達多(應云三勿陀羅達多　譯曰海與)	三 聞 達 多 應 云 三 勿 陀 羅 達 多 譯 曰 海 與 
T54n2130_002:0997b01	騫荼達婆(譯曰騫荼陰亦云斤也達婆者茅)	騫 荼 達 婆 譯 曰 騫 荼 陰 亦 云 斤 也 達 婆 者 茅 
T54n2130_002:0997b02	迦留羅提舍(亦云迦留羅鞞舍　譯曰伽留羅者金翅鳥也鞞舍者說)	迦 留 羅 提 舍 亦 云 迦 留 羅 鞞 舍 譯 曰 伽 留 羅 者 金 翅 鳥 也 鞞 舍 者 說 
T54n2130_002:0997b03	陀濕婆(應云尸婆　譯曰不安穩也)	陀 濕 婆 應 云 尸 婆 譯 曰 不 安 穩 也 
T54n2130_002:0997b04	富樓婆娑(譯曰滿住)	富 樓 婆 娑 譯 曰 滿 住 
T54n2130_002:0997b05	婆利婆娑摩那埵(應云波利婆娑摩那埵　譯曰波利婆娑者別住摩那埵者六日法	婆 利 婆 娑 摩 那 埵 應 云 波 利 婆 娑 摩 那 埵 譯 曰 波 利 婆 娑 者 別 住 摩 那 埵 者 六 日 法 
T54n2130_002:0997b06	也)	也 
T54n2130_002:0997b07	般陀比丘(應云般他　譯曰路也)	般 陀 比 丘 應 云 般 他 譯 曰 路 也 
T54n2130_002:0997b08	那迦婆羅比丘(譯曰那迦者龍波羅者護)	那 迦 婆 羅 比 丘 譯 曰 那 迦 者 龍 波 羅 者 護 
T54n2130_002:0997b09	阿濕卑摩訶摩南(應云阿濕卑摩訶那摩　譯曰阿濕卑者不巧摩訶那摩者大名聞)	阿 濕 卑 摩 訶 摩 南 應 云 阿 濕 卑 摩 訶 那 摩 譯 曰 阿 濕 卑 者 不 巧 摩 訶 那 摩 者 大 名 聞 
T54n2130_002:0997b10	　第二分第一卷	 第 二 分 第 一 卷 
T54n2130_002:0997b11	刪若(譯曰想也)　第十二卷	刪 若 譯 曰 想 也 第 十 二 卷 
T54n2130_002:0997b12	跋陀羅(譯曰賢也)	跋 陀 羅 譯 曰 賢 也 
T54n2130_002:0997b13	迦羅富羅(譯曰迦那者金富羅者滿)　第三卷	迦 羅 富 羅 譯 曰 迦 那 者 金 富 羅 者 滿 第 三 卷 
T54n2130_002:0997b14	奄婆羅婆提(譯曰奄婆羅者樹名婆提者薗)	奄 婆 羅 婆 提 譯 曰 奄 婆 羅 者 樹 名 婆 提 者 薗 
T54n2130_002:0997b15	摩夷(應云摩耶　譯曰摩耶者化)　第八卷	摩 夷 應 云 摩 耶 譯 曰 摩 耶 者 化 第 八 卷 
T54n2130_002:0997b16	摩醯那(應云摩醯陀羅　譯曰大天主也)　第十卷	摩 醯 那 應 云 摩 醯 陀 羅 譯 曰 大 天 主 也 第 十 卷 
T54n2130_002:0997b17	不那婆(譯曰更雜)　第四分第一卷	不 那 婆 譯 曰 更 雜 第 四 分 第 一 卷 
T54n2130_002:0997b18	陀醯羅婆婆那(應云陁訶羅憂波婆那　譯曰陁訶羅者小年憂波婆那者後堂)	陀 醯 羅 婆 婆 那 應 云 陁 訶 羅 憂 波 婆 那 譯 曰 陁 訶 羅 者 小 年 憂 波 婆 那 者 後 堂 
T54n2130_002:0997b19	　第五卷	 第 五 卷 
T54n2130_002:0997b20	伽那子比丘(譯曰厚也)	伽 那 子 比 丘 譯 曰 厚 也 
T54n2130_002:0997b21	富蘭那(譯曰滿也)　彌沙塞律第七卷	富 蘭 那 譯 曰 滿 也 彌 沙 塞 律 第 七 卷 
T54n2130_002:0997b22	地婆比丘(譯曰駃行)　第八卷	地 婆 比 丘 譯 曰 駃 行 第 八 卷 
T54n2130_002:0997b23	毘羅荼比丘(譯曰勇持)　第十三卷	毘 羅 荼 比 丘 譯 曰 勇 持 第 十 三 卷 
T54n2130_002:0997b24	伽伽比丘(應云褐伽　譯曰姓也)　第十四卷	伽 伽 比 丘 應 云 褐 伽 譯 曰 姓 也 第 十 四 卷 
T54n2130_002:0997c01	不蘭迦葉(譯曰滿姓)　第十九卷	不 蘭 迦 葉 譯 曰 滿 姓 第 十 九 卷 
T54n2130_002:0997c02	般那比丘(譯曰林也)　第二十八卷	般 那 比 丘 譯 曰 林 也 第 二 十 八 卷 
T54n2130_002:0997c03	盧醯比丘(應云盧醯哆　譯者曰國名也)	盧 醯 比 丘 應 云 盧 醯 哆 譯 者 曰 國 名 也 
T54n2130_002:0997c04	阿酬比丘(應云利酬　譯曰質直)　第三十二卷	阿 酬 比 丘 應 云 利 酬 譯 曰 質 直 第 三 十 二 卷 
T54n2130_002:0997c05	栴荼修摩那(應云栴陀羅修摩那　譯曰栴陀羅者月修摩羅者好意)	栴 荼 修 摩 那 應 云 栴 陀 羅 修 摩 那 譯 曰 栴 陀 羅 者 月 修 摩 羅 者 好 意 
T54n2130_002:0997c06	拘舍彌比丘(譯者曰國名也)	拘 舍 彌 比 丘 譯 者 曰 國 名 也 
T54n2130_002:0997c07	跋陀迦葉比丘(譯曰賢姓)　第三十四卷	跋 陀 迦 葉 比 丘 譯 曰 賢 姓 第 三 十 四 卷 
T54n2130_002:0997c08	陀婆迦葉比丘(譯曰陀婆者十亦云苦迦葉者姓也)	陀 婆 迦 葉 比 丘 譯 曰 陀 婆 者 十 亦 云 苦 迦 葉 者 姓 也 
T54n2130_002:0997c09	三浮陀(亦云傘復多　譯曰已生)	三 浮 陀 亦 云 傘 復 多 譯 曰 已 生 
