T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0149a17	真他為同。臥具亦同品。即同定有性。何得為	真 他 為 同 臥 具 亦 同 品 即 同 定 有 性 何 得 為 
T44n1841_001:0149a18	此句。若云以臥具是真他用。是異品收。豈非	此 句 若 云 以 臥 具 是 真 他 用 是 異 品 收 豈 非 
T44n1841_001:0149a19	假他亦受用耶。	假 他 亦 受 用 耶 
T44n1841_001:0149a20	有人云。有非遍是宗法性。是同品定有。是異	有 人 云 有 非 遍是宗法性 是 同 品 定 有 是 異 
T44n1841_001:0149a21	品遍無。即聲論相違決定亦是。此亦不然。豈	品 遍 無 即 聲 論 相違決定 亦 是 此 亦 不 然 豈 
T44n1841_001:0149a22	聲論所聞因。於聲遍非有。而說闕初相。又云。	聲 論 所 聞 因 於 聲 遍 非 有 而 說 闕 初 相 又 云 
T44n1841_001:0149a23	俱非句者。即法自相相違因是。此亦不爾。聲	俱 非 句 者 即 法自相相違因 是 此 亦 不 爾 聲 
T44n1841_001:0149a24	生論許常聲是所作。如何闕初相。又云。或第	生 論 許 常 聲 是 所 作 如 何 闕 初 相 又 云 或 第 
T44n1841_001:0149a25	五不定。亦是此句。亦為不可。若此論中。第五	五 不 定 亦 是 此 句 亦 為 不 可 若 此 論 中 第 五 
T44n1841_001:0149a26	不定。聲常無礙。因許於樂有。明聲亦成。若理	不 定 聲 常 無 礙 因 許 於 樂 有 明 聲 亦 成 若 理 
T44n1841_001:0149a27	門第五。不定所聞性因於異遍無。於聲上有。	門 第 五 不 定 所 聞 性 因 於 異 遍 無 於 聲 上 有 
T44n1841_001:0149a28	何得闕三。理門論云。一向離故。不云闕二。若	何 得 闕 三 理 門 論 云 一 向 離 故 不 云 闕 二 若 
T44n1841_001:0149a29	云不能成宗故。不得云遍是宗法性者。即諸	云 不 能 成 宗 故 不 得 云 遍是宗法性 者 即 諸 
T44n1841_001:0149b01	不定因。皆是此句。何但第五辨相是非句數。	不 定 因 皆 是 此 句 何 但 第 五 辨 相 是 非 句 數 
T44n1841_001:0149b02	得失如前已述故不重明。	得 失 如 前 已 述 故 不 重 明 
T44n1841_001:0149b03	有人云。假立無為常。以非作故。此無同喻。異	有 人 云 假 立 無 為 常 以 非 作 故 此 無 同 喻 異 
T44n1841_001:0149b04	喻如瓶。此是何過。乃至云。或可龜毛望宗所	喻 如 瓶 此 是 何 過 乃 至 云 或 可 龜 毛 望 宗 所 
T44n1841_001:0149b05	立無處。名為異品。若望其因。應是同品。此義	立 無 處 名 為 異 品 若 望 其 因 應 是 同 品 此 義 
T44n1841_001:0149b06	未詳者。今為詳云。龜毛常無。尚不得為宗同	未 詳 者 今 為 詳 云 龜 毛 常 無 尚 不 得 為 宗 同 
T44n1841_001:0149b07	品。雖非所作。亦非因同品。若無所表常體。非	品 雖 非 所 作 亦 非 因 同 品 若 無 所 表 常 體 非 
T44n1841_001:0149b08	宗同品。亦無所表非所作體。非因同品。有人	宗 同 品 亦 無 所 表 非 所 作 體 非 因 同 品 有 人 
T44n1841_001:0149b09	約六不定別。別作八句中。且第一句。有唯犯	約 六 不 定 別 別 作 八 句 中 且 第 一 句 有 唯 犯 
T44n1841_001:0149b10	自共非他俱云。如大乘師。對小乘云。極成	自 共 非 他 俱 云 如 大 乘 師 對 小 乘 云 極 成 
T44n1841_001:0149b11	之聲定是識變之聲。自許所知性故。無共同	之 聲 定 是 識 變 之 聲 自 許 所 知 性 故 無 共 同 
T44n1841_001:0149b12	品者。其義云何。答此理不然。以何故。此對於	品 者 其 義 云 何 答 此 理 不 然 以 何 故 此 對 於 
T44n1841_001:0149b13	誰。若對經部。夢所聞聲。彼許識變。若對有	誰 若 對 經 部 夢 所 聞 聲 彼 許 識 變 若 對 有 
T44n1841_001:0149b14	部。極苦獄卒等所發之聲。亦許識變。俱為共	部 極 苦 獄 卒 等 所 發 之 聲 亦 許 識 變 俱 為 共 
T44n1841_001:0149b15	同。何得云無。若云獄卒許變。聲非許變者。	同 何 得 云 無 若 云 獄 卒 許 變 聲 非 許 變 者 
T44n1841_001:0149b16	不然。無異品故。設有部宗。不許獄卒是識	不 然 無 異 品 故 設 有 部 宗 不 許 獄 卒 是 識 
T44n1841_001:0149b17	變者。對經部師。終有前過。又復立云。極成之	變 者 對 經 部 師 終 有 前 過 又 復 立 云 極 成 之 
T44n1841_001:0149b18	聲。定是識變聲。於比量中。不見是理。但爭識	聲 定 是 識 變 聲 於 比 量 中 不 見 是 理 但 爭 識 
T44n1841_001:0149b19	變非識變。故設救云。極成之聲。攝獄卒等所	變 非 識 變 故 設 救 云 極 成 之 聲 攝 獄 卒 等 所 
T44n1841_001:0149b20	起之聲。理亦不爾。非遍許故。諸空見者不	起 之 聲 理 亦 不 爾 非 遍 許 故 諸 空 見 者 不 
T44n1841_001:0149b21	許有故。何得極成。據立敵同許。即名極成。終	許 有 故 何 得 極 成 據 立 敵 同 許 即 名 極 成 終 
T44n1841_001:0149b22	有前過。成唯識論。既取為喻。故共同品應云。	有 前 過 成 唯 識 論 既 取 為 喻 故 共 同 品 應 云 
T44n1841_001:0149b23	極成之聲是耳識變。許所知故。如耳識見分	極 成 之 聲 是 耳 識 變 許 所 知 故 如 耳 識 見 分 
T44n1841_001:0149b24	等。餘宗不立有三分故。夢中耳識。許不行故。	等 餘 宗 不 立 有 三 分 故 夢 中 耳 識 許 不 行 故 
T44n1841_001:0149b25	獄卒叫聲。第六變故。設許耳識變。即極成收。	獄 卒 叫 聲 第 六 變 故 設 許 耳 識 變 即 極 成 收 
T44n1841_001:0149b26	攝入有法故。非耳識變。皆為異品。所知故。因	攝 入 有 法 故 非 耳 識 變 皆 為 異 品 所 知 故 因 
T44n1841_001:0149b27	皆遍轉故。為自共不定。	皆 遍 轉 故 為 自 共 不 定 
T44n1841_001:0149b28	有人云。有唯犯他共非自俱句。云如小乘師。	有 人 云 有 唯 犯 他 共 非 自 俱 句 云 如 小 乘 師 
T44n1841_001:0149b29	對大乘云。極成之聲。非是識變聲。所知性故。	對 大 乘 云 極 成 之 聲 非 是 識 變 聲 所 知 性 故 
T44n1841_001:0149c01	以色等為共同品。無共異品以菩薩不善色	以 色 等 為 共 同 品 無 共 異 品 以 菩 薩 不 善 色 
T44n1841_001:0149c02	聲。為自同品。無自異品者。其義云何。答此亦	聲 為 自 同 品 無 自 異 品 者 其 義 云 何 答 此 亦 
T44n1841_001:0149c03	不然。經部許夢聞聲。有部獄卒叫。俱共異品。	不 然 經 部 許 夢 聞 聲 有 部 獄 卒 叫 俱 共 異 品 
T44n1841_001:0149c04	何得云無。若云此等聲。是極成攝。立非識變。	何 得 云 無 若 云 此 等 聲 是 極 成 攝 立 非 識 變 
T44n1841_001:0149c05	有部可爾。若經部師。即違自宗。以薩婆多。云	有 部 可 爾 若 經 部 師 即 違 自 宗 以 薩 婆 多 云 
T44n1841_001:0149c06	獄卒等雖非有情。由惡業感。四大所造。為有	獄 卒 等 雖 非 有 情 由 惡 業 感 四 大 所 造 為 有 
T44n1841_001:0149c07	情相。能為逼害。非識變故。若云但對經部。	情 相 能 為 逼 害 非 識 變 故 若 云 但 對 經 部 
T44n1841_001:0149c08	且辨因過。非無宗過者。又亦不得。若如	且 辨 因 過 非 無 宗 過 者 又 亦 不 得 若 如 
T44n1841_001:0149c09	所立無正量過。皆犯相違決定過故。又復。宗	所 立 無 正 量 過 皆 犯 相違決定 過 故 又 復 宗 
T44n1841_001:0149c10	因辨過之中。無將有法為法出過者。又理如	因 辨 過 之 中 無 將 有 法 為 法 出 過 者 又 理 如 
T44n1841_001:0149c11	前。若云如薩婆多。對大乘等云。心心所法。定	前 若 云 如 薩 婆 多 對 大 乘 等 云 心心所法 定 
T44n1841_001:0149c12	有自種。許所知故。如餘有為法。此無自共	有 自 種 許 所 知 故 如 餘 有 為 法 此 無 自 共 
T44n1841_001:0149c13	同品。唯有他同品。以真無為為異品。因遍轉	同 品 唯 有 他 同 品 以 真 無 為 為 異 品 因 遍 轉 
T44n1841_001:0149c14	故。為他共不定。	故 為 他 共 不 定 
T44n1841_001:0149c15	有人云。共比量唯他不定。非不定者。其義云	有 人 云 共 比 量 唯 他 不 定 非 不 定 者 其 義 云 
T44n1841_001:0149c16	何。答此義應思。所以者何。共量為生他解。因	何 答 此 義 應 思 所以者何 共 量 為 生 他 解 因 
T44n1841_001:0149c17	唯自許。尚得成因。以正翻邪唯他不定。何故	唯 自 許 尚 得 成 因 以 正 翻 邪 唯 他 不 定 何 故 
T44n1841_001:0149c18	非過。又如唯立自量。於他不定非過。以自定	非 過 又 如 唯 立 自 量 於 他 不 定 非 過 以 自 定 
T44n1841_001:0149c19	故。今者共量。雖復共定。於他宗中。因有不	故 今 者 共 量 雖 復 共 定 於 他 宗 中 因 有 不 
T44n1841_001:0149c20	定。何得非過。或可。他喻非自所許。是故非	定 何 得 非 過 或 可 他 喻 非 自 所 許 是 故 非 
T44n1841_001:0149c21	過。或可。立量欲令他解。喻自雖不許。是他	過 或 可 立 量 欲 令 他 解 喻 自 雖 不 許 是 他 
T44n1841_001:0149c22	宗所許故。他情疑亦說為過。准此。他共二量	宗 所 許 故 他 情 疑 亦 說 為 過 准 此 他 共 二 量 
T44n1841_001:0149c23	之中。三種不定。俱說為過。唯自比量。於他不	之 中 三 種 不 定 俱 說 為 過 唯 自 比 量 於 他 不 
T44n1841_001:0149c24	定。不說為過。非對於他令他解故。或自共量。	定 不 說 為 過 非 對 於 他 令 他 解 故 或 自 共 量 
T44n1841_001:0149c25	唯他不定。非不定過。為違於他。立自共故。	唯 他 不 定 非 不 定 過 為 違 於 他 立 自 共 故 
T44n1841_001:0149c26	有人云。有犯自他共不定。非俱共不定者。如	有 人 云 有 犯 自 他 共 不 定 非 俱 共 不 定 者 如 
T44n1841_001:0149c27	大乘對小乘云。極成之聲是識所變。所知性	大 乘 對 小 乘 云 極 成 之 聲 是 識 所 變 所 知 性 
T44n1841_001:0149c28	故。如相分。無共異品。其義云何。答此亦不	故 如 相 分 無 共 異 品 其 義 云 何 答 此 亦 不 
T44n1841_001:0149c29	然。以諸無為。為共異品。俱許無為有非所變。	然 以 諸 無 為 為 共 異 品 俱 許 無 為 有 非 所 變 
T44n1841_001:0150a01	故獄卒夢聲為共同品。設聲入有法。猶有色	故 獄 卒 夢 聲 為 共 同 品 設 聲 入 有 法 猶 有 色 
T44n1841_001:0150a02	等。為共同品。俱識變故。何得云自他不是俱	等 為 共 同 品 俱 識 變 故 何 得 云 自 他 不 是 俱 
T44n1841_001:0150a03	共過。又以菩薩不善心相分。為他同品者。亦	共 過 又 以 菩 薩 不 善 心 相 分 為 他 同 品 者 亦 
T44n1841_001:0150a04	復不然。豈諸小乘。許心別變作相分耶。若許	復 不 然 豈 諸 小 乘 許 心 別 變 作 相 分 耶 若 許 
T44n1841_001:0150a05	心變相分。為能所緣。若云所緣。小乘不許。若	心 變 相 分 為 能 所 緣 若 云 所 緣 小 乘 不 許 若 
T44n1841_001:0150a06	非所緣。如何變相。准小乘釋。心上行相。是能	非 所 緣 如 何 變 相 准 小 乘 釋 心 上 行 相 是 能 
T44n1841_001:0150a07	緣心行解相狀。非是變起心上相分。成唯識	緣 心 行 解 相 狀 非 是 變 起 心 上 相 分 成 唯 識 
T44n1841_001:0150a08	論第二卷云。執有識外所緣境者。外境是所	論 第 二 卷 云 執 有 識 外 所 緣 境 者 外 境 是 所 
T44n1841_001:0150a09	緣。行相是能緣見分名事故。此廣推徵。如俱	緣 行 相 是 能 緣 見 分 名 事 故 此 廣 推 徵 如 俱 
T44n1841_001:0150a10	舍法師俱舍疏述。此句應云。如薩婆多對大	舍 法 師 俱 舍 疏 述 此 句 應 云 如 薩 婆 多 對 大 
T44n1841_001:0150a11	乘師。立第六識能為諸法因緣。以所知性故。	乘 師 立 第 六 識 能 為 諸 法 因 緣 以 所 知 性 故 
T44n1841_001:0150a12	或法所攝故。亦得無共同品。有共異品。大乘	或 法 所 攝 故 亦 得 無 共 同 品 有 共 異 品 大 乘 
T44n1841_001:0150a13	以第六識。能熏諸法種故為因緣。以第八等。	以 第 六 識 能 熏 諸 法 種 故 為 因 緣 以 第 八 等 
T44n1841_001:0150a14	為自同品。薩婆多師。以俱有因等皆因緣性。	為 自 同 品 薩 婆 多 師 以 俱 有 因 等 皆 因 緣 性 
T44n1841_001:0150a15	即第六相應諸心所等。皆為彼自同品。因俱	即 第 六 相 應 諸 心 所 等 皆 為 彼 自 同 品 因 俱 
T44n1841_001:0150a16	遍轉無為共同。故自他共非共共也。二宗因	遍 轉 無 為 共 同 故 自 他 共 非 共 共 也 二 宗 因 
T44n1841_001:0150a17	緣。互非所許。故或可。無此若有自他同品。即	緣 互 非 所 許 故 或 可 無 此 若 有 自 他 同 品 即 
T44n1841_001:0150a18	共許故。	共 許 故 
T44n1841_001:0150a19	有人解不共不定中。與他相違決定量。出不	有 人 解 不共不定 中 與 他 相違決定 量 出 不 
T44n1841_001:0150a20	定過云。謂如共等四不定因。後二相中。闕一	定 過 云 謂 如 共 等 四 不 定 因 後 二 相 中 闕 一 
T44n1841_001:0150a21	相故是不定。為如緣生故因。後二相中。闕一	相 故 是 不 定 為 如 緣 生 故 因 後 二 相 中 闕 一 
T44n1841_001:0150a22	相故。非不定攝。以有此過故。不成相違決定	相 故 非 不 定 攝 以 有 此 過 故 不 成 相違決定 
T44n1841_001:0150a23	者。其義云何。答此亦不然。此緣生因。闕於	者 其 義 云 何 答 此 亦 不 然 此 緣 生 因 闕 於 
T44n1841_001:0150a24	何相。若有異品。因或濫行。異品既無。因無濫	何 相 若 有 異 品 因 或 濫 行 異 品 既 無 因 無 濫 
T44n1841_001:0150a25	失。即是其因。唯同品有。異品遍無。豈無異	失 即 是 其 因 唯 同 品 有 異 品 遍 無 豈 無 異 
T44n1841_001:0150a26	體。此緣生因。於異品轉。云闕一相。此量是	體 此 緣 生 因 於 異 品 轉 云 闕 一 相 此 量 是 
T44n1841_001:0150a27	非。及相闕具。亦廣如前。更不重述。	非 及 相 闕 具 亦 廣 如 前 更 不 重 述 
T44n1841_001:0150a28	有人解不共不定中云。有人云。自不共者。如	有 人 解 不共不定 中 云 有 人 云 自 不 共 者 如 
T44n1841_001:0150a29	佛弟子對聲論。云聲是無常。所聞性故。不	佛 弟 子 對 聲 論 云 聲 是 無 常 所 聞 性 故 不 
T44n1841_001:0150b01	然。何以故。以虛空為共異品。瓶等為共同品。	然 何 以 故 以 虛 空 為 共 異 品 瓶 等 為 共 同 品 
T44n1841_001:0150b02	因皆非有。何故非俱耶。判云。理唯是俱不	因 皆 非 有 何 故 非 俱 耶 判 云 理 唯 是 俱 不 
T44n1841_001:0150b03	共過者。其義云何。答亦不然。亦是自不共過。	共 過 者 其 義 云 何 答 亦 不 然 亦 是 自 不 共 過 
T44n1841_001:0150b04	除佛餘大乘人。以他方佛色。為自同品。真如	除 佛 餘 大 乘 人 以 他 方 佛 色 為 自 同 品 真 如 
T44n1841_001:0150b05	無為。為自異品。因俱不轉。何得唯俱。若云并	無 為 為 自 異 品 因 俱 不 轉 何 得 唯 俱 若 云 并 
T44n1841_001:0150b06	佛色。亦所聞故唯俱者。亦不然。以空非所聞。	佛 色 亦 所 聞 故 唯 俱 者 亦 不 然 以 空 非 所 聞 
T44n1841_001:0150b07	唯他獨許。大乘准佛無非所聞。若云據小乘	唯 他 獨 許 大 乘 准 佛 無 非 所 聞 若 云 據 小 乘 
T44n1841_001:0150b08	人說。為唯俱不共者。理亦不然。小乘擇滅。	人 說 為 唯 俱 不 共 者 理 亦 不 然 小 乘 擇 滅 
T44n1841_001:0150b09	為自異品。實無表色等。為自同品。因亦非有	為 自 異 品 實 無 表 色 等 為 自 同 品 因 亦 非 有 
T44n1841_001:0150b10	故。	故 
T44n1841_001:0150b11	有人云。若小乘師。對聲論師。立此比量。以耳	有 人 云 若 小 乘 師 對 聲 論 師 立 此 比 量 以 耳 
T44n1841_001:0150b12	識相分。為自同品。為自比量。即無過也者。其	識 相 分 為 自 同 品 為 自 比 量 即 無 過 也 者 其 
T44n1841_001:0150b13	義云何。答此亦不然。誰部小乘。許識變聲相	義 云 何 答 此 亦 不 然 誰 部 小 乘 許 識 變 聲 相 
T44n1841_001:0150b14	為所緣者。彼之行相談當大乘所變相分。非	為 所 緣 者 彼 之 行 相 談 當 大 乘 所 變 相 分 非 
T44n1841_001:0150b15	彼自許心起相分。是所緣故。廣如前引。	彼 自 許 心 起 相 分 是 所 緣 故 廣 如 前 引 
T44n1841_001:0150b16	有人云。有唯犯他不共。非自共不共。云如小	有 人 云 有 唯 犯 他 不 共 非 自 共 不 共 云 如 小 
T44n1841_001:0150b17	乘對大乘。云極成之聲。非是唯識所變之聲。	乘 對 大 乘 云 極 成 之 聲 非 是 唯 識 所 變 之 聲 
T44n1841_001:0150b18	宗。是有漏性故。因。以色等為共同品。因於遍	宗 是 有 漏 性 故 因 以 色 等 為 共 同 品 因 於 遍 
