T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_002:0544c12	光音天、淨天、少淨天、無量淨天、遍淨天、無陰行	光 音 天 淨 天 少 淨 天 無量淨天 遍 淨 天 無 陰 行 
T08n0227_002:0544c13	天、福生天、廣果天、無廣天、無熱天、妙見天、善	天 福 生 天 廣 果 天 無 廣 天 無 熱 天 妙 見 天 善 
T08n0227_002:0544c14	見天、無小天上諸天，發阿耨多羅三藐三菩	見 天 無 小 天 上 諸 天 發 阿 耨 多 羅 三 藐 三 菩 
T08n0227_002:0544c15	提心者，皆來至般若波羅蜜所，受持讀誦，供	提 心 者 皆 來 至 般 若 波 羅 蜜 所 受持讀誦 供 
T08n0227_002:0544c16	養作禮而去。憍尸迦。汝勿謂但有無小天為	養 作 禮 而 去 憍 尸 迦 汝 勿 謂 但 有 無 小 天 為 
T08n0227_002:0544c17	供養般若波羅蜜故來。三千大千世界中欲、	供 養 般 若 波 羅 蜜 故 來 三千大千世界 中 欲 
T08n0227_002:0544c18	色界諸天，發阿耨多羅三藐三菩提心者，皆	色界諸天 發 阿耨多羅三藐三菩提 心 者 皆 
T08n0227_002:0544c19	來至般若波羅蜜所，受持讀誦，供養作禮而	來 至 般 若 波 羅 蜜 所 受持讀誦 供 養 作 禮 而 
T08n0227_002:0544c20	去。善男子、善女人，應作是念：『十方無量阿僧	去 善 男 子 善 女 人 應 作 是 念 十 方 無 量 阿 僧 
T08n0227_002:0544c21	祇國土中，所有諸天、龍、夜叉、乾闥婆、阿修羅、	祇 國 土 中 所 有 諸 天 龍 夜 叉 乾 闥 婆 阿 修 羅 
T08n0227_002:0544c22	迦樓羅、緊那羅、摩睺羅伽、人、非人，是等來至	迦 樓 羅 緊 那 羅 摩睺羅伽 人 非 人 是 等 來 至 
T08n0227_002:0544c23	般若波羅蜜所，受持、讀誦、供養、作禮時，我當	般 若 波 羅 蜜 所 受 持 讀 誦 供 養 作 禮 時 我 當 
T08n0227_002:0544c24	以般若波羅蜜法施。』善男子、善女人，般若波	以 般 若 波 羅 蜜 法 施 善 男 子 善 女 人 般 若 波 
T08n0227_002:0544c25	羅蜜經卷所住處，若殿堂、若房舍，無能毀壞，	羅 蜜 經 卷 所 住 處 若 殿 堂 若 房 舍 無 能 毀 壞 
T08n0227_002:0544c26	除先行業必應受者。憍尸迦！亦是善男子、善	除 先 行 業 必 應 受 者 憍 尸 迦 亦 是 善 男 子 善 
T08n0227_002:0544c27	女人現世功德。」釋提桓因白佛言：「世尊！是善	女 人 現 世 功 德 釋提桓因 白 佛 言 世 尊 是 善 
T08n0227_002:0544c28	男子、善女人，云何知諸天來受持、讀誦、供養、禮	男 子 善 女 人 云 何 知 諸 天 來 受 持 讀 誦 供 養 禮 
T08n0227_002:0544c29	敬般若波羅蜜時？」佛言：「憍尸迦！若善男子、善	敬 般 若 波 羅 蜜 時 佛 言 憍 尸 迦 若 善 男 子 善 
T08n0227_002:0545a01	女人，見大光明，必知天、龍、夜叉、乾闥婆等，來	女 人 見 大 光 明 必 知 天 龍 夜 叉 乾 闥 婆 等 來 
T08n0227_002:0545a02	至其所。「復次，憍尸迦！善男子、善女人，若聞殊	至 其 所 復 次 憍 尸 迦 善 男 子 善 女 人 若 聞 殊 
T08n0227_002:0545a03	異之香，必知諸天來至其所。「復次，憍尸迦！善	異 之 香 必 知 諸 天 來 至 其 所 復 次 憍 尸 迦 善 
T08n0227_002:0545a04	男子、善女人，所住之處，應令淨潔；以淨潔故，	男 子 善 女 人 所 住 之 處 應 令 淨 潔 以 淨 潔 故 
T08n0227_002:0545a05	非人皆大歡喜，來到其所。是中先住小鬼，不	非 人 皆大歡喜 來 到 其 所 是 中 先 住 小 鬼 不 
T08n0227_002:0545a06	堪大力諸天威德故，皆悉避去；隨大力諸天	堪 大 力 諸 天 威 德 故 皆 悉 避 去 隨 大 力 諸 天 
T08n0227_002:0545a07	數數來故，其心轉樂大法。是故所住處，四	數 數 來 故 其 心 轉 樂 大 法 是 故 所 住 處 四 
T08n0227_002:0545a08	邊不應令有臭穢不淨。「復次，憍尸迦！善男	邊 不 應 令 有 臭 穢 不 淨 復 次 憍 尸 迦 善 男 
T08n0227_002:0545a09	子、善女人，身不疲極，臥起安隱，不見惡夢。若	子 善 女 人 身 不 疲 極 臥 起 安 隱 不 見 惡 夢 若 
T08n0227_002:0545a10	其夢時，但見諸佛、諸佛塔廟，阿羅漢眾、諸菩	其 夢 時 但 見 諸 佛 諸 佛 塔 廟 阿 羅 漢 眾 諸 菩 
T08n0227_002:0545a11	薩眾，修習六波羅蜜，學薩婆若，淨佛世界。又	薩 眾 修 習 六波羅蜜 學 薩 婆 若 淨 佛 世 界 又 
T08n0227_002:0545a12	聞佛名，某甲佛於某方某國，與若干百千萬億	聞 佛 名 某 甲 佛 於 某 方 某 國 與 若 干 百 千 萬 億 
T08n0227_002:0545a13	眾，恭敬圍遶而為說法。憍尸迦！善男子、善女	眾 恭 敬 圍 遶 而 為 說 法 憍 尸 迦 善 男 子 善 女 
T08n0227_002:0545a14	人，夢中所見如是，覺已安樂，氣力充足，身體	人 夢 中 所 見 如 是 覺 已 安 樂 氣 力 充 足 身 體 
T08n0227_002:0545a15	輕便。是善男子、善女人，不貪飲食。譬如坐禪	輕 便 是 善 男 子 善 女 人 不 貪 飲 食 譬 如 坐 禪 
T08n0227_002:0545a16	比丘，從三昧起，以學禪故，不貪飲食。何以故？	比 丘 從 三 昧 起 以 學 禪 故 不 貪 飲 食 何 以 故 
T08n0227_002:0545a17	憍尸迦！非人益其氣力故。善男子、善女人，欲	憍 尸 迦 非 人 益 其 氣 力 故 善 男 子 善 女 人 欲 
T08n0227_002:0545a18	得如是等現世功德，當受持讀誦般若波羅	得 如 是 等 現 世 功 德 當 受持讀誦 般 若 波 羅 
T08n0227_002:0545a19	蜜，如所說行。憍尸迦！善男子、善女人若不能	蜜 如 所 說 行 憍 尸 迦 善 男 子 善 女 人 若 不 能 
T08n0227_002:0545a20	受持讀誦般若波羅蜜，如所說行，當書寫經	受持讀誦 般 若 波 羅 蜜 如 所 說 行 當 書 寫 經 
T08n0227_002:0545a21	卷，供養恭敬，尊重讚歎，以好華香、塗香、末香、燒	卷 供養恭敬 尊 重 讚 歎 以 好 華 香 塗 香 末 香 燒 
T08n0227_002:0545a22	香、雜香，衣服、幢幡、伎樂供養。」	香 雜 香 衣 服 幢 幡 伎 樂 供 養 
T08n0227_002:0545a23	摩訶般若波羅蜜舍利品第五	摩訶般若波羅蜜 舍 利 品 第 五 
T08n0227_002:0545a24	爾時佛告釋提桓因言：「憍尸迦！滿閻浮提舍	爾 時 佛 告 釋提桓因 言 憍 尸 迦 滿 閻 浮 提 舍 
T08n0227_002:0545a25	利以為一分，般若波羅蜜經卷以為一分。二	利 以 為 一 分 般若波羅蜜經 卷 以 為 一 分 二 
T08n0227_002:0545a26	分之中，為取何分？」釋提桓因白佛言：「世尊！我	分 之 中 為 取 何 分 釋提桓因 白 佛 言 世 尊 我 
T08n0227_002:0545a27	取般若波羅蜜。何以故？世尊！我於舍利非不	取 般 若 波 羅 蜜 何 以 故 世 尊 我 於 舍 利 非 不 
T08n0227_002:0545a28	恭敬，以舍利從般若波羅蜜生故，般若波羅	恭 敬 以 舍 利 從 般 若 波 羅 蜜 生 故 般 若 波 羅 
T08n0227_002:0545a29	蜜所熏，故得供養。世尊！我於忉利天上善法	蜜 所 熏 故 得 供 養 世 尊 我 於 忉 利 天 上 善 法 
T08n0227_002:0545b01	堂中，我有坐處，忉利諸天子來供養我故。若	堂 中 我 有 坐 處 忉 利 諸 天 子 來 供 養 我 故 若 
T08n0227_002:0545b02	我不在座上，諸天子為我坐處，作禮恭敬，遶	我 不 在 座 上 諸 天 子 為 我 坐 處 作 禮 恭 敬 遶 
T08n0227_002:0545b03	已而去，作是念：『釋提桓因於此處坐，為忉利	已 而 去 作 是 念 釋提桓因 於 此 處 坐 為 忉 利 
T08n0227_002:0545b04	諸天說法。』諸佛舍利亦如是，從般若波羅蜜	諸 天 說 法 諸 佛 舍 利 亦 如 是 從 般 若 波 羅 蜜 
T08n0227_002:0545b05	生，薩婆若所依止，故得供養。是故，世尊！我於	生 薩 婆 若 所 依 止 故 得 供 養 是 故 世 尊 我 於 
T08n0227_002:0545b06	二分之中，取般若波羅蜜。世尊！置滿閻浮提	二 分 之 中 取 般 若 波 羅 蜜 世 尊 置 滿 閻 浮 提 
T08n0227_002:0545b07	舍利，若滿三千大千世界舍利以為一分，般	舍 利 若 滿 三千大千世界 舍 利 以 為 一 分 般 
T08n0227_002:0545b08	若波羅蜜經卷以為一分。二分之中，我取般	若 波 羅 蜜 經 卷 以 為 一 分 二 分 之 中 我 取 般 
T08n0227_002:0545b09	若波羅蜜。何以故？諸佛舍利，因般若波羅蜜	若 波 羅 蜜 何 以 故 諸 佛 舍 利 因 般 若 波 羅 蜜 
T08n0227_002:0545b10	生，故得供養。「世尊！譬如負債人，常畏債主，以	生 故 得 供 養 世 尊 譬 如 負 債 人 常 畏 債 主 以 
T08n0227_002:0545b11	得親近奉事王故，債主反更恭敬怖畏。何以	得 親 近 奉 事 王 故 債 主 反 更 恭 敬 怖 畏 何 以 
T08n0227_002:0545b12	故？依恃國王，其力大故。世尊！舍利亦如是，依	故 依 恃 國 王 其 力 大 故 世 尊 舍 利 亦 如 是 依 
T08n0227_002:0545b13	止般若波羅蜜，故得供養。世尊！般若波羅蜜	止 般 若 波 羅 蜜 故 得 供 養 世 尊 般 若 波 羅 蜜 
T08n0227_002:0545b14	如王，舍利如親近王人。如來舍利，依止一切	如 王 舍 利 如 親 近 王 人 如 來 舍 利 依 止 一 切 
T08n0227_002:0545b15	智慧，故得供養。世尊！諸佛一切智慧亦從般	智 慧 故 得 供 養 世 尊 諸 佛 一 切 智 慧 亦 從 般 
T08n0227_002:0545b16	若波羅蜜生，是故我於二分之中，取般若波羅	若 波 羅 蜜 生 是 故 我 於 二 分 之 中 取 般 若 波 羅 
T08n0227_002:0545b17	蜜。「世尊！譬如無價寶珠，有如是功德。其所住	蜜 世 尊 譬 如 無 價 寶 珠 有 如 是 功 德 其 所 住 
T08n0227_002:0545b18	處，非人不能得其便。若男若女，若大若小，為	處 非 人 不 能 得 其 便 若 男 若 女 若 大 若 小 為 
T08n0227_002:0545b19	非人所持，寶珠至其處，非人則去。若有熱病，	非 人 所 持 寶 珠 至 其 處 非 人 則 去 若 有 熱 病 
T08n0227_002:0545b20	珠能除滅。若有風病，以珠著身上，風患即除。	珠 能 除 滅 若 有 風 病 以 珠 著 身 上 風 患 即 除 
T08n0227_002:0545b21	若有冷病，以珠著身上，冷患亦除。是珠住處，夜	若 有 冷 病 以 珠 著 身 上 冷 患 亦 除 是 珠 住 處 夜 
T08n0227_002:0545b22	時能為明，熱時能為涼，寒時能為溫。珠所住	時 能 為 明 熱 時 能 為 涼 寒 時 能 為 溫 珠 所 住 
T08n0227_002:0545b23	處，蛇毒不入。若男若女，若大若小，為毒虫所	處 蛇 毒 不 入 若 男 若 女 若 大 若 小 為 毒 虫 所 
T08n0227_002:0545b24	螫，以珠示之，毒即除滅。若諸目患，以珠著目	螫 以 珠 示 之 毒 即 除 滅 若 諸 目 患 以 珠 著 目 
T08n0227_002:0545b25	上，目患即除。世尊！又是寶珠，若著水中，與水	上 目 患 即 除 世 尊 又 是 寶 珠 若 著 水 中 與 水 
T08n0227_002:0545b26	同色；若以白繒裹著水中，水色即白；若以青、黃、	同 色 若 以 白 繒 裹 著 水 中 水 色 即 白 若 以 青 黃 
T08n0227_002:0545b27	紫、赤種種色繒裹著水中，水即各隨其色，水	紫 赤 種 種 色 繒 裹 著 水 中 水 即 各 隨 其 色 水 
T08n0227_002:0545b28	濁即為清。是珠成就如是功德。」爾時阿難問	濁 即 為 清 是 珠 成 就 如 是 功 德 爾 時 阿 難 問 
T08n0227_002:0545b29	釋提桓因：「此是閻浮提寶？為是天上寶？」釋提	釋提桓因 此 是 閻 浮 提 寶 為 是 天 上 寶 釋 提 
T08n0227_002:0545c01	桓因言：「此是天上寶。閻浮提人，亦有是寶，但	桓 因 言 此 是 天 上 寶 閻 浮 提 人 亦 有 是 寶 但 
T08n0227_002:0545c02	功德少而重。天上寶珠，功德多而輕。人寶比	功 德 少 而 重 天 上 寶 珠 功 德 多 而 輕 人 寶 比 
T08n0227_002:0545c03	天寶，算數譬喻所不能及。「世尊！若是珠在篋	天 寶 算 數 譬 喻 所 不 能 及 世 尊 若 是 珠 在 篋 
T08n0227_002:0545c04	中，雖舉珠去，以珠功德故，其篋則貴。世尊！以	中 雖 舉 珠 去 以 珠 功 德 故 其 篋 則 貴 世 尊 以 
T08n0227_002:0545c05	般若波羅蜜薩婆若智功德故，如來滅後，舍	般 若 波 羅 蜜 薩 婆 若 智 功 德 故 如來滅後 舍 
T08n0227_002:0545c06	利得供養。以如來舍利，是薩婆若智所住處	利 得 供 養 以 如 來 舍 利 是 薩 婆 若 智 所 住 處 
T08n0227_002:0545c07	故。我於二分之中，取般若波羅蜜。世尊！置是	故 我 於 二 分 之 中 取 般 若 波 羅 蜜 世 尊 置 是 
T08n0227_002:0545c08	滿三千大千世界舍利，若滿如恒河沙等世	滿 三千大千世界 舍 利 若 滿 如 恒 河 沙 等 世 
T08n0227_002:0545c09	界中舍利以為一分，般若波羅蜜經卷以為	界 中 舍 利 以 為 一 分 般若波羅蜜經 卷 以 為 
T08n0227_002:0545c10	一分。二分之中，我取般若波羅蜜。何以故？諸	一 分 二 分 之 中 我 取 般 若 波 羅 蜜 何 以 故 諸 
T08n0227_002:0545c11	佛如來薩婆若智，皆從般若波羅蜜生，薩婆	佛 如 來 薩 婆 若 智 皆 從 般 若 波 羅 蜜 生 薩 婆 
T08n0227_002:0545c12	若所熏，故舍利得供養。「復次，世尊！若善男子、	若 所 熏 故 舍 利 得 供 養 復 次 世 尊 若 善 男 子 
T08n0227_002:0545c13	善女人，欲如實見十方無量阿僧祇諸佛者，	善 女 人 欲 如 實 見 十 方 無量阿僧祇 諸 佛 者 
T08n0227_002:0545c14	當行般若波羅蜜，當修般若波羅蜜。」佛言：「如	當 行 般 若 波 羅 蜜 當 修 般 若 波 羅 蜜 佛 言 如 
T08n0227_002:0545c15	是，如是！憍尸迦！過去諸佛，皆因般若波羅蜜，	是 如 是 憍 尸 迦 過去諸佛 皆 因 般 若 波 羅 蜜 
T08n0227_002:0545c16	得阿耨多羅三藐三菩提；未來諸佛，亦因般	得阿耨多羅三藐三菩提 未來諸佛 亦 因 般 
T08n0227_002:0545c17	若波羅蜜，得阿耨多羅三藐三菩提；現在十	若 波 羅 蜜 得阿耨多羅三藐三菩提 現 在 十 
T08n0227_002:0545c18	方無量阿僧祇世界諸佛，亦因般若波羅蜜，得	方 無量阿僧祇 世 界 諸 佛 亦 因 般 若 波 羅 蜜 得 
T08n0227_002:0545c19	阿耨多羅三藐三菩提。」釋提桓因白佛言：「世	阿耨多羅三藐三菩提 釋提桓因 白 佛 言 世 
T08n0227_002:0545c20	尊！摩訶波羅蜜是般若波羅蜜，佛因是般若	尊 摩訶波羅蜜 是 般 若 波 羅 蜜 佛 因 是 般 若 
T08n0227_002:0545c21	波羅蜜，皆知一切眾生心、心所行。」佛言：「憍尸	波 羅 蜜 皆 知 一 切 眾 生 心 心 所 行 佛 言 憍 尸 
T08n0227_002:0545c22	迦！菩薩摩訶薩長夜行般若波羅蜜故。」釋提	迦 菩薩摩訶薩 長 夜 行 般 若 波 羅 蜜 故 釋 提 
T08n0227_002:0545c23	桓因白佛言：「世尊！菩薩但行般若波羅蜜，不	桓 因 白 佛 言 世 尊 菩 薩 但 行 般 若 波 羅 蜜 不 
T08n0227_002:0545c24	行餘波羅蜜耶？」佛言：「憍尸迦！菩薩皆行六波	行 餘 波 羅 蜜 耶 佛 言 憍 尸 迦 菩 薩 皆 行 六 波 
T08n0227_002:0545c25	羅蜜。若布施時，般若波羅蜜為上首；若持戒、	羅 蜜 若 布 施 時 般 若 波 羅 蜜 為 上 首 若 持 戒 
T08n0227_002:0545c26	若忍辱、若精進、若禪定、若觀諸法時，般若波羅	若 忍 辱 若 精 進 若 禪 定 若 觀 諸 法 時 般 若 波 羅 
T08n0227_002:0545c27	蜜為上首。譬如閻浮提種種樹、種種形、種種	蜜 為 上 首 譬 如 閻 浮 提 種 種 樹 種 種 形 種 種 
T08n0227_002:0545c28	色、種種葉、種種華、種種果，其陰皆一，無有差	色 種 種 葉 種 種 華 種 種 果 其 陰 皆 一 無 有 差 
T08n0227_002:0545c29	別。五波羅蜜亦如是，入般若波羅蜜中無有	別 五波羅蜜 亦 如 是 入 般 若 波 羅 蜜 中 無 有 
T08n0227_002:0546a01	差別。」「世尊！是般若波羅蜜，有大功德，有無量	差 別 世 尊 是 般 若 波 羅 蜜 有 大 功 德 有 無 量 
T08n0227_002:0546a02	無邊功德，有無等等功德。世尊！若有人寫	無 邊 功 德 有 無 等 等 功 德 世 尊 若 有 人 寫 
T08n0227_002:0546a03	般若波羅蜜經卷，供養恭敬，尊重讚歎，以好	般若波羅蜜經 卷 供養恭敬 尊 重 讚 歎 以 好 
T08n0227_002:0546a04	華香乃至幢幡；若復有人寫般若波羅蜜經	華 香 乃 至 幢 幡 若 復 有 人 寫 般若波羅蜜經 
T08n0227_002:0546a05	卷與他人。是二功德，何所為多？」佛言：「憍尸	卷 與 他 人 是 二 功 德 何 所 為 多 佛 言 憍 尸 
T08n0227_002:0546a06	迦！我還問汝，隨意答我。於意云何？若有人得	迦 我 還 問 汝 隨 意 答 我 於意云何 若 有 人 得 
T08n0227_002:0546a07	佛舍利，但自供養；若復有人得佛舍利自供	佛 舍 利 但 自 供 養 若 復 有 人 得 佛 舍 利 自 供 
T08n0227_002:0546a08	養，亦與他人令供養。是二功德，何所為多？」釋	養 亦 與 他 人 令 供 養 是 二 功 德 何 所 為 多 釋 
T08n0227_002:0546a09	提桓因言：「世尊！若人得佛舍利自供養，亦與	提 桓 因 言 世 尊 若 人 得 佛 舍 利 自 供 養 亦 與 
T08n0227_002:0546a10	他人令供養，其福甚多。」佛言：「如是，如是！憍尸	他 人 令 供 養 其 福 甚 多 佛 言 如 是 如 是 憍 尸 
T08n0227_002:0546a11	迦！若善男子、善女人，寫般若波羅蜜經卷，供	迦 若 善 男 子 善 女 人 寫 般若波羅蜜經 卷 供 
T08n0227_002:0546a12	養恭敬，尊重讚歎，以好花香乃至幢幡；不如	養 恭 敬 尊 重 讚 歎 以 好 花 香 乃 至 幢 幡 不 如 
T08n0227_002:0546a13	善男子、善女人，寫般若波羅蜜經卷，自供養，	善 男 子 善 女 人 寫 般若波羅蜜經 卷 自 供 養 
T08n0227_002:0546a14	亦與他人令供養，其福甚多。」佛言：「憍尸迦！若	亦 與 他 人 令 供 養 其 福 甚 多 佛 言 憍 尸 迦 若 
T08n0227_002:0546a15	善男子、善女人，在在處處為人解說般若波	善 男 子 善 女 人 在在處處 為 人 解 說 般 若 波 
T08n0227_002:0546a16	羅蜜，其福甚多。」	羅 蜜 其 福 甚 多 
T08n0227_002:0546a17	小品般若經卷第二	小 品 般 若 經 卷 第 二 
T08n0227_003:0546a20	小品般若波羅蜜經卷第三	小 品 般若波羅蜜經 卷 第 三 
T08n0227_003:0546a22	後秦龜茲國三藏鳩摩羅什譯	後 秦 龜 茲 國 三 藏 鳩 摩 羅 什 譯 
T08n0227_003:0546a23	佐助品第六	佐 助 品 第 六 
T08n0227_003:0546a24	佛告釋提桓因言：「憍尸迦！若有善男子、善女	佛 告 釋提桓因 言 憍 尸 迦 若 有 善 男 子 善 女 
