X24n0470_001:0846c06	 小引	 小 引 
X24n0470_001:0853a13	施。是人所得福德。寧為多不。須菩提會意乃是人	施 是 人 所 得 福 德 寧 為 多 不 須 菩 提 會 意 乃 是 人 
X24n0470_001:0853a14	天福報有漏之因。故言甚多。何以故。是福德。即非	天 福 報 有 漏 之 因 故 言 甚 多 何 以 故 是 福 德 即 非 
X24n0470_001:0853a15	福德。清淨性。是故如來說。福德多。於一無利益。依	福 德 清 淨 性 是 故 如 來 說 福 德 多 於 一 無 利 益 依 
X24n0470_001:0853a16	金剛般若波羅蜜經。修行是自本性。不生惡道。是	金 剛 般若波羅蜜經 修 行 是 自 本 性 不 生 惡 道 是 
X24n0470_001:0853a17	名福德性。如來說。若復有人。將此經受持。乃至四	名 福 德 性 如 來 說 若 復 有 人 將 此 經 受 持 乃 至 四 
X24n0470_001:0853a18	句偈等。為他人說。其福勝彼。乃是三千大千世界。	句 偈 等 為 他 人 說 其 福 勝 彼 乃 是 三千大千世界 
X24n0470_001:0853a19	七寶布施。有福有盡。何以故。須菩提。一切諸佛。及	七 寶 布 施 有 福 有 盡 何 以 故 須 菩 提 一切諸佛 及 
X24n0470_001:0853a20	諸佛阿耨多羅三藐三菩提法。皆從此一卷金剛	諸 佛 阿耨多羅三藐三菩提 法 皆 從 此 一 卷 金 剛 
X24n0470_001:0853a21	經出。此經者。非是紙上的金剛經。要自本性金剛。	經 出 此 經 者 非 是 紙 上 的 金 剛 經 要 自 本 性 金 剛 
X24n0470_001:0853a22	從體起用。嘗要覺照。覺照心是諸佛動。即怕覺照	從 體 起 用 嘗 要 覺 照 覺 照 心 是 諸 佛 動 即 怕 覺 照 
X24n0470_001:0853a23	遲及諸佛阿耨多羅三藐三菩提法。皆從覺照生。	遲 及 諸 佛 阿耨多羅三藐三菩提 法 皆 從 覺 照 生 
X24n0470_001:0853a24	是故依法出生。佛呌須菩提。所謂佛法者。有執著	是 故 依 法 出 生 佛 呌 須 菩 提 所 謂 佛 法 者 有 執 著 
X24n0470_001:0853b01	心在。即非佛法。所謂一切文字章句。如標如指。依	心 在 即 非 佛 法 所 謂 一 切 文 字 章 句 如 標 如 指 依 
X24n0470_001:0853b02	標取物。依指觀月。月不是指標。不是物。但依經取	標 取 物 依 指 觀 月 月 不 是 指 標 不 是 物 但 依 經 取 
X24n0470_001:0853b03	法經不是法。經文則肉眼可見。法。則慧眼能見。若	法 經 不 是 法 經 文 則 肉 眼 可 見 法 則 慧 眼 能 見 若 
X24n0470_001:0853b04	無慧眼。但見其文。不見其法。若不見法。即不解佛	無 慧 眼 但 見 其 文 不 見 其 法 若 不 見 法 即 不 解 佛 
X24n0470_001:0853b05	意。不解佛意則誦此經萬卷。不得解脫。故云。無相	意 不 解 佛 意 則 誦 此 經 萬 卷 不得解脫 故 云 無 相 
X24n0470_001:0853b06	無形。今時一切修行之人。不識自己有一卷真金	無 形 今 時 一 切 修 行 之 人 不 識 自 己 有 一 卷 真 金 
X24n0470_001:0853b07	剛經。埋沒四生六道。是故。四生六道。盡是迷人。	剛 經 埋 沒 四 生 六 道 是 故 四 生 六 道 盡 是 迷 人 
X24n0470_001:0853b08	　依法出生好用功　　泥牛汲水上崑崙	 依 法 出 生 好 用 功 泥 牛 汲 水 上 崑 崙 
X24n0470_001:0853b09	　朽木頑石休死坐　　山河全露法王身	 朽 木 頑 石 休 死 坐 山 河 全 露 法 王 身 
X24n0470_001:0853b10	心經云。三世諸佛。依般若波羅蜜多。故得阿耨多	心 經 云 三世諸佛 依 般 若 波羅蜜多 故 得 阿 耨 多 
X24n0470_001:0853b11	羅。三藐三菩提。從上諸佛。皆從此經出。若要超三	羅 三藐三菩提 從 上 諸 佛 皆 從 此 經 出 若 要 超 三 
X24n0470_001:0853b12	界。須下死功夫。是故。依法出生好用功。泥牛者。泥	界 須 下 死 功 夫 是 故 依 法 出 生 好 用 功 泥 牛 者 泥 
X24n0470_001:0853b13	牛汲水。那見身相。既無身相。現出當人。崑崙者。須	牛 汲 水 那 見 身 相 既 無 身 相 現 出 當 人 崑 崙 者 須 
X24n0470_001:0853b14	彌山王也。喻如最上一乘之人。獨露堂堂。包含三	彌 山 王 也 喻 如 最 上 一 乘 之 人 獨 露 堂 堂 包 含 三 
X24n0470_001:0853b15	界。故云。泥牛汲水上崑崙。今時有一等修行之人。	界 故 云 泥 牛 汲 水 上 崑 崙 今 時 有 一 等 修 行 之 人 
X24n0470_001:0853b16	打坐入定。喻如朽木頑石。無作用處。是故朽木頑	打 坐 入 定 喻 如 朽 木 頑 石 無 作 用 處 是 故 朽 木 頑 
X24n0470_001:0853b17	石休死坐。你看運行星斗的。運行日月的。行風行	石 休 死 坐 你 看 運 行 星 斗 的 運 行 日 月 的 行 風 行 
X24n0470_001:0853b18	雨的。落霜落雪的。春生夏長的。秋收冬藏的。花開	雨 的 落 霜 落 雪 的 春 生 夏 長 的 秋 收 冬 藏 的 花 開 
X24n0470_001:0853b19	花謝的。水流風動的。雲騰鳥飛的。呵呵。原來山河	花 謝 的 水 流 風 動 的 雲 騰 鳥 飛 的 呵 呵 原 來 山 河 
X24n0470_001:0853b20	全露法王身也。	全 露 法 王 身 也 
X24n0470_001:0853b21	依法出生。努力參禪好下功。奉著空王令。打開胡思	依 法 出 生 努 力 參 禪 好 下 功 奉 著 空 王 令 打 開 胡 思 
X24n0470_001:0853b22	洞。佛。先住涅槃城。下了團營。寶寨安排定。拿住魔王	洞 佛 先 住 涅 槃 城 下 了 團 營 寶 寨 安 排 定 拿 住 魔 王 
X24n0470_001:0853b23	定太平。拿住魔王定太平。	定 太 平 拿 住 魔 王 定 太 平 
X24n0470_001:0853b24	依般若波羅密法。修行之人。實是要努力參禪。禪	依 般 若 波 羅 密 法 修 行 之 人 實 是 要 努 力 參 禪 禪 
X24n0470_001:0853c01	者。清淨也。若得努力參禪。清淨纔得見性。故云。努	者 清 淨 也 若 得 努 力 參 禪 清 淨 纔 得 見 性 故 云 努 
X24n0470_001:0853c02	力參禪好下功。空王者。乃是真空妙體也。既然奉	力 參 禪 好 下 功 空 王 者 乃 是 真 空 妙 體 也 既 然 奉 
X24n0470_001:0853c03	著空王之令。不要識得便當了了。若說我。識得真	著 空 王 之 令 不 要 識 得 便 當 了 了 若 說 我 識 得 真 
X24n0470_001:0853c04	空菩提之體。不除心垢。無有是處。若得實會生死	空 菩 提 之 體 不 除 心 垢 無 有 是 處 若 得 實 會 生 死 
X24n0470_001:0853c05	之人。要打殺了這些千思萬想。計較算人。故云。打	之 人 要 打 殺 了 這 些 千 思 萬 想 計 較 算 人 故 云 打 
X24n0470_001:0853c06	開胡思洞。我的佛。涅槃者。非死也。乃是不生不滅。	開 胡 思 洞 我 的 佛 涅 槃 者 非 死 也 乃 是 不生不滅 
X24n0470_001:0853c07	不生者。人我不生。不滅者。覺照不滅。是故。先住涅	不 生 者 人 我 不 生 不 滅 者 覺 照 不 滅 是 故 先 住 涅 
X24n0470_001:0853c08	槃城團營者。乃是十二團營管著天下軍民。奉著	槃 城 團 營 者 乃 是 十 二 團 營 管 著 天 下 軍 民 奉 著 
X24n0470_001:0853c09	空王之令。差本主下了十二團營。坐了寶寨。安排	空 王 之 令 差 本 主 下 了 十 二 團 營 坐 了 寶 寨 安 排 
X24n0470_001:0853c10	定了。將官拿住了魔王。纔得天下太平。咄。乃是十	定 了 將 官 拿 住 了 魔 王 纔 得 天 下 太 平 咄 乃 是 十 
X24n0470_001:0853c11	二團營。噫。不在北京。就在此處。即令兩隻眼。兩箇	二 團 營 噫 不 在 北 京 就 在 此 處 即 令 兩 隻 眼 兩 箇 
X24n0470_001:0853c12	耳。一箇鼻。一張口。一箇身。一箇意。兩隻手。一雙脚。	耳 一 箇 鼻 一 張 口 一 箇 身 一 箇 意 兩 隻 手 一 雙 脚 
X24n0470_001:0853c13	名為十二團營。故云。拿住魔王定太平。	名 為 十 二 團 營 故 云 拿 住 魔 王 定 太 平 
X24n0470_001:0853c14	一相無相。迷人只強。兩箇五百。却作一貫。	一相無相 迷 人 只 強 兩 箇 五 百 却 作 一 貫 
X24n0470_001:0853c15	只這一相。本來無形清虗妙道。無有踪。跡佛。呌須菩	只 這 一 相 本 來 無 形 清 虗 妙 道 無 有 踪 跡 佛 呌 須 菩 
X24n0470_001:0853c16	提。於意云何。須陀洹。能作如是般若之念。我得須	提 於意云何 須 陀 洹 能 作 如 是 般 若 之 念 我 得 須 
X24n0470_001:0853c17	陀洹果不。須菩提。會意梵語須陀洹。唐言逆流果。	陀 洹 果 不 須 菩 提 會 意 梵 語 須 陀 洹 唐 言 逆 流 果 
X24n0470_001:0853c18	逆生死流。不染六塵。一向修無漏業。名須陀洹果。	逆 生 死 流 不 染 六 塵 一 向 修 無 漏 業 名 須陀洹果 
X24n0470_001:0853c19	若了無相法。即無得果之心。須菩提。答言。不也世	若 了 無 相 法 即 無 得 果 之 心 須 菩 提 答 言 不 也 世 
X24n0470_001:0853c20	尊。何以故。須陀洹。名為入流果。而無所入。不入色	尊 何 以 故 須 陀 洹 名 為 入 流 果 而 無 所 入 不 入 色 
X24n0470_001:0853c21	聲香味觸法。是名呌做須陀洹。佛又呌須菩提。於	聲香味觸 法 是 名 呌 做 須 陀 洹 佛 又 呌 須 菩 提 於 
X24n0470_001:0853c22	意云何。斯陀洹。能作如是。般若之念。我得斯陀含	意 云 何 斯 陀 洹 能 作 如 是 般 若 之 念 我 得 斯 陀 含 
X24n0470_001:0853c23	果不。須菩提會意。梵語斯陀洹。唐言一來果。捨三	果 不 須 菩 提 會 意 梵 語 斯 陀 洹 唐 言 一 來 果 捨 三 
X24n0470_001:0853c24	界結縛。名一往來。往從天上。却到人間。生從人間。	界 結 縛 名 一 往 來 往 從 天 上 却 到 人 間 生 從 人 間 
X24n0470_001:0854a01	死從天上。名斯陀含果。若了無相法。那有得果之	死 從 天 上 名 斯陀含果 若 了 無 相 法 那 有 得 果 之 
X24n0470_001:0854a02	心。須菩提答言。不也世尊。何以故。斯陀含。名一往	心 須 菩 提 答 言 不 也 世 尊 何 以 故 斯 陀 含 名 一 往 
X24n0470_001:0854a03	來。而實無往來。是名呌做其陀含。佛又呌須菩提	來 而 實 無 往 來 是 名 呌 做 其 陀 含 佛 又 呌 須 菩 提 
X24n0470_001:0854a04	於意云何。阿那含。能作如是般若之念。我得阿那	於意云何 阿 那 含 能 作 如 是 般 若 之 念 我 得 阿 那 
X24n0470_001:0854a05	含果不。須菩提。會意。梵語阿那含。唐言不還果。亦	含 果 不 須 菩 提 會 意 梵 語 阿 那 含 唐 言 不 還 果 亦 
X24n0470_001:0854a06	名出欲。出欲者。外不見欲境。可染。內無欲心。可行。	名 出 欲 出 欲 者 外 不 見 欲 境 可 染 內 無 欲 心 可 行 
X24n0470_001:0854a07	定不向欲界受生。故名不還果。若了無相法。何有	定 不 向 欲 界 受 生 故 名 不 還 果 若 了 無 相 法 何 有 
X24n0470_001:0854a08	得果之心。須菩提答言。不也世尊。何以故阿那含。	得 果 之 心 須 菩 提 答 言 不 也 世 尊 何 以 故 阿 那 含 
X24n0470_001:0854a09	名為不來。本性而實無不來。是故。名呌做阿那含。	名 為 不 來 本 性 而 實 無 不 來 是 故 名 呌 做 阿 那 含 
X24n0470_001:0854a10	佛又呌須菩提。於意云何。阿羅漢能作如是般若	佛 又 呌 須 菩 提 於意云何 阿 羅 漢 能 作 如 是 般 若 
X24n0470_001:0854a11	之念。我得阿羅漢道不。須菩提會意梵語阿羅漢	之 念 我 得阿羅漢 道 不 須 菩 提 會 意 梵 語 阿 羅 漢 
X24n0470_001:0854a12	唐言無諍行。又云。無學。煩惱永盡。與物無諍。貪嗔	唐 言 無 諍 行 又 云 無 學 煩 惱 永 盡 與 物 無 諍 貪 嗔 
X24n0470_001:0854a13	癡絕。心境俱空。內外常寂。名阿羅漢。若作得果之	癡 絕 心 境 俱 空 內 外 常 寂 名 阿 羅 漢 若 作 得 果 之 
X24n0470_001:0854a14	心。即是有諍阿羅漢。雖是無學。執著無事界。須菩	心 即 是 有 諍 阿 羅 漢 雖 是 無 學 執 著 無 事 界 須 菩 
X24n0470_001:0854a15	提答言。不也世尊。何以故實無有一法。名阿羅漢。	提 答 言 不 也 世 尊 何 以 故 實 無 有 一 法 名 阿 羅 漢 
X24n0470_001:0854a16	世尊若阿羅漢作如是般若之念。我得阿羅漢道。	世 尊 若 阿 羅 漢 作 如 是 般 若 之 念 我 得阿羅漢 道 
X24n0470_001:0854a17	即為著我人眾生壽者。世尊。須菩提言佛說我得	即 為 著 我 人 眾 生 壽 者 世 尊 須 菩 提 言 佛 說 我 得 
X24n0470_001:0854a18	無諍三昧。人中最為第一。是第一離欲阿羅漢世	無諍三昧 人 中 最 為 第 一 是 第 一 離 欲 阿 羅 漢 世 
X24n0470_001:0854a19	尊。我不作如是般若之念。我是離欲阿羅漢。何名	尊 我 不 作 如 是 般 若 之 念 我 是 離 欲 阿 羅 漢 何 名 
X24n0470_001:0854a20	無諍三昧。謂阿羅漢。心無生滅來去。唯有本覺嘗	無諍三昧 謂 阿 羅 漢 心 無 生 滅 來 去 唯 有 本 覺 嘗 
X24n0470_001:0854a21	照。嘗照五蘊空寂。是名無諍三昧。修此三昧。超過	照 嘗 照 五 蘊 空 寂 是 名 無諍三昧 修 此 三 昧 超 過 
X24n0470_001:0854a22	無學。人中最為第一。若有一念得果之心。我果離	無 學 人 中 最 為 第 一 若 有 一 念 得 果 之 心 我 果 離 
X24n0470_001:0854a23	欲阿羅漢。即不名無諍三昧。須菩提呌世尊。我若	欲 阿 羅 漢 即 不 名 無諍三昧 須 菩 提 呌 世 尊 我 若 
X24n0470_001:0854a24	作如是般若之念。我得阿羅漢道。世尊則不言說。	作 如 是 般 若 之 念 我 得阿羅漢 道 世 尊 則 不 言 說 
X24n0470_001:0854b01	再不開口。須菩提。是樂阿蘭那行者。阿蘭那乃是	再 不 開 口 須 菩 提 是 樂 阿 蘭 那 行 者 阿 蘭 那 乃 是 
X24n0470_001:0854b02	無諍行。即是清淨行也。以須菩提。實無所希求之	無 諍 行 即 是 清 淨 行 也 以 須 菩 提 實 無所希求 之 
X24n0470_001:0854b03	行。而名呌須菩提。即是樂阿蘭那行。一切迷人不	行 而 名 呌 須 菩 提 即 是 樂 阿 蘭 那 行 一 切 迷 人 不 
X24n0470_001:0854b04	識此理。只說有果向禪天。即修禪定。是故迷人只	識 此 理 只 說 有 果 向 禪 天 即 修 禪 定 是 故 迷 人 只 
X24n0470_001:0854b05	強。若識得無諍三昧。即是一相。一相即是無相。方	強 若 識 得 無諍三昧 即 是 一 相 一 相 即 是 無 相 方 
X24n0470_001:0854b06	知裏頭空。外頭空。裏外相連。打成一片。故云。兩箇	知 裏 頭 空 外 頭 空 裏 外 相 連 打 成 一 片 故 云 兩 箇 
X24n0470_001:0854b07	五百。即作一貫。	五 百 即 作 一 貫 
X24n0470_001:0854b08	　一相無相太分明　　只在當人一念心	 一相無相 太 分 明 只 在 當 人 一 念 心 
X24n0470_001:0854b09	　十二時中勤般用　　超出生死涅槃門	 十 二 時 中 勤 般 用 超 出 生死涅槃 門 
X24n0470_001:0854b10	即這一相。本是無相。太然分明。非從外得。只在當	即 這 一 相 本 是 無 相 太 然 分 明 非 從 外 得 只 在 當 
X24n0470_001:0854b11	人一念之心。便是這箇思量計較的。故勸行人。十	人 一 念 之 心 便 是 這 箇 思 量 計 較 的 故 勸 行 人 十 
X24n0470_001:0854b12	二時中。常要般用。不要放他妄想上去了。若是妄	二 時 中 常 要 般 用 不 要 放 他 妄 想 上 去 了 若 是 妄 
X24n0470_001:0854b13	想上去了。便是輪迴之種。又不要放他無明煩惱	想 上 去 了 便 是 輪 迴 之 種 又 不 要 放 他 無 明 煩 惱 
X24n0470_001:0854b14	上著脚。若是無明煩惱上著脚。便是地獄之根。是	上 著 脚 若 是 無 明 煩 惱 上 著 脚 便 是 地 獄 之 根 是 
X24n0470_001:0854b15	故十二時中勤般用。咄。怎麼般用。即是教人。甞要	故 十 二 時 中 勤 般 用 咄 怎 麼 般 用 即 是 教 人 甞 要 
X24n0470_001:0854b16	把那箇本主。放在眼睛之外。倒坐虗空。一片清虗	把 那 箇 本 主 放 在 眼 睛 之 外 倒 坐 虗 空 一 片 清 虗 
X24n0470_001:0854b17	如是悟者。決然超出生死涅槃門也。	如 是 悟 者 決 然 超 出 生死涅槃 門 也 
X24n0470_001:0854b18	一相無相。好是虗空不可量。本體全無相。虗空難度	一相無相 好 是 虗 空 不 可 量 本 體 全 無 相 虗 空 難 度 
X24n0470_001:0854b19	量。佛。非皂亦非黃。總有丹青。妙手難描樣。無相空中	量 佛 非 皂 亦 非 黃 總 有 丹 青 妙 手 難 描 樣 無 相 空 中 
X24n0470_001:0854b20	有相光。無界空中有相光。	有 相 光 無 界 空 中 有 相 光 
X24n0470_001:0854b21	這箇一相無相。由如虗空。難度難量。自己本來。全	這 箇 一相無相 由 如 虗 空 難 度 難 量 自 己 本 來 全 
X24n0470_001:0854b22	無相貌。虗空既是難度難量本來面目包裹虗空。	無 相 貌 虗 空 既 是 難 度 難 量 本 來 面 目 包 裹 虗 空 
X24n0470_001:0854b23	一法難度難量。我的佛。虗空既無相貌。本來亦無	一 法 難 度 難 量 我 的 佛 虗 空 既 無 相 貌 本 來 亦 無 
X24n0470_001:0854b24	踪跡。是故非皂亦非黃。總有丹青。妙手難畫本來	踪 跡 是 故 非 皂 亦 非 黃 總 有 丹 青 妙 手 難 畫 本 來 
X24n0470_001:0854c01	虗空之相貌。咄。既無相貌。乃是莾蕩須空。川老云。	虗 空 之 相 貌 咄 既 無 相 貌 乃 是 莾 蕩 須 空 川 老 云 
X24n0470_001:0854c02	時時清風明月鎮相隨。桃紅李白薔薇紫。問著東	時 時 清 風 明 月 鎮 相 隨 桃 紅 李 白 薔 薇 紫 問 著 東 
X24n0470_001:0854c03	君總不知。且道東在君何處安身。見麼。打不離。割	君 總 不 知 且 道 東 在 君 何 處 安 身 見 麼 打 不 離 割 
