T24n1464_001:0851a03	鼻奈耶序	鼻 奈 耶 序 
T24n1464_003:0862b04	慈心往救，若復當有溺沒者，若捉髮執衣不	慈 心 往 救 若 復 當 有 溺 沒 者 若 捉 髮 執 衣 不 
T24n1464_003:0862b05	得持體。火厄亦爾。」有一女人行嶮峪側，時比	得 持 體 火 厄 亦 爾 有 一 女 人 行 嶮 峪 側 時 比 
T24n1464_003:0862b06	丘捉手過。比丘便疑：「我不犯僧伽婆施沙？」	丘 捉 手 過 比 丘 便 疑 我 不 犯 僧 伽 婆 施 沙 
T24n1464_003:0862b07	往白世尊。世尊告曰：「無染著意不犯罪。若復	往 白 世 尊 世 尊 告 曰 無 染 著 意 不 犯 罪 若 復 
T24n1464_003:0862b08	當更有如此者，以衣裹手往捉臂過。」	當 更 有 如 此 者 以 衣 裹 手 往 捉 臂 過 
T24n1464_003:0862b09	佛世尊遊舍衛國祇樹給孤獨園。時尊者迦	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 尊 者 迦 
T24n1464_003:0862b10	留陀夷於祇桓止住。有諸長者婦女來至浴	留 陀 夷 於 祇 桓 止 住 有 諸 長 者 婦 女 來 至 浴 
T24n1464_003:0862b11	池房園觀看，執鑰牡開諸房戶，呼曰：「諸姊	池 房 園 觀 看 執 鑰 牡 開 諸 房 戶 呼 曰 諸 姊 
T24n1464_003:0862b12	來入浴池觀看。」婦女至浴池園觀，優陀夷共	來 入 浴 池 觀 看 婦 女 至 浴 池 園 觀 優 陀 夷 共 
T24n1464_003:0862b13	諸婦女談語經時，說婬快樂相娛樂事。其中	諸 婦 女 談 語 經 時 說 婬 快 樂 相 娛 樂 事 其 中 
T24n1464_003:0862b14	婦女或有然可、或不然可。其不然可者，出白	婦 女 或 有 然 可 或 不 然 可 其 不 然 可 者 出 白 
T24n1464_003:0862b15	諸比丘：「常聞無畏安隱處，而更恐畏。」諸比丘	諸 比 丘 常 聞 無 畏 安 隱 處 而 更 恐 畏 諸 比 丘 
T24n1464_003:0862b16	問：「有何恐畏？」諸婦女具白比丘。時優陀夷以	問 有 何 恐 畏 諸 婦 女 具 白 比 丘 時 優 陀 夷 以 
T24n1464_003:0862b17	出，語諸比丘亦爾。諸比丘諫責優陀夷：「世尊	出 語 諸 比 丘 亦 爾 諸 比 丘 諫 責 優 陀 夷 世 尊 
T24n1464_003:0862b18	不以無數方便說婬不淨，向婬念婬、婬意熾	不 以 無數方便 說 婬 不 淨 向 婬 念 婬 婬 意 熾 
T24n1464_003:0862b19	盛婬之惡露？」諸比丘苦諫已，往白世尊。世尊	盛 婬 之 惡 露 諸 比 丘 苦 諫 已 往 白 世 尊 世 尊 
T24n1464_003:0862b20	知而問尊者優陀夷：「審為此事，如諸比丘所	知 而 問 尊 者 優 陀 夷 審 為 此 事 如 諸 比 丘 所 
T24n1464_003:0862b21	白不？」優陀夷內懷慚愧外則恥眾，偏袒右肩	白 不 優 陀 夷 內 懷 慚 愧 外 則 恥 眾 偏袒右肩 
T24n1464_003:0862b22	右膝著地叉手向佛，白世尊言：「審爾。世尊！」世	右膝著地 叉 手 向 佛 白 世 尊 言 審 爾 世 尊 世 
T24n1464_003:0862b23	尊告曰：「我不以無數方便說婬之不淨，向婬	尊 告 曰 我 不 以 無數方便 說 婬 之 不 淨 向 婬 
T24n1464_003:0862b24	念婬、婬意熾盛婬之惡露？卿云何歎婬相娛	念 婬 婬 意 熾 盛 婬 之 惡 露 卿 云 何 歎 婬 相 娛 
T24n1464_003:0862b25	樂事？」世尊無數方便誨責，集和合僧，備十功	樂 事 世 尊 無數方便 誨 責 集 和 合 僧 備 十 功 
T24n1464_003:0862b26	德，為比丘結戒：「若比丘婬意熾盛，向女人歎	德 為 比 丘 結 戒 若 比 丘 婬 意 熾 盛 向 女 人 歎 
T24n1464_003:0862b27	婬相娛樂事，惡語相向惡眼相視，若大若小	婬 相 娛 樂 事 惡 語 相 向 惡 眼 相 視 若 大 若 小 
T24n1464_003:0862b28	女人，犯者僧伽婆施沙。」	女 人 犯 者 僧 伽 婆 施 沙 
T24n1464_003:0862b29	佛世尊遊舍衛國祇樹給孤獨園。時諸比丘	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 諸 比 丘 
T24n1464_003:0862c01	各行乞食至揭貳迦村(婬聚)，諸長者見，嫌其到	各 行 乞 食 至 揭 貳 迦 村 婬 聚 諸 長 者 見 嫌 其 到 
T24n1464_003:0862c02	彼：「此諸釋子吉無不利，自知稱好而入此婬	彼 此 諸 釋 子 吉 無 不 利 自 知 稱 好 而 入 此 婬 
T24n1464_003:0862c03	聚，如彼婬人，入者以婬故。亦入諸女家大	聚 如 彼 婬 人 入 者 以 婬 故 亦 入 諸 女 家 大 
T24n1464_003:0862c04	童女家，如欲娶婦者。」諸比丘以此因緣具白	童 女 家 如 欲 娶 婦 者 諸 比 丘 以 此 因 緣 具 白 
T24n1464_003:0862c05	世尊。世尊告曰：「比丘有五事不應行。云何五？	世 尊 世 尊 告 曰 比 丘 有 五 事 不 應 行 云 何 五 
T24n1464_003:0862c06	入婬種家、入大童女家、若寡婦不端者家、	入 婬 種 家 入 大 童 女 家 若 寡 婦 不 端 者 家 
T24n1464_003:0862c07	沽酒家、偷賊家。比丘此五不應行，比丘不	沽 酒 家 偷 賊 家 比 丘 此 五 不 應 行 比 丘 不 
T24n1464_003:0862c08	得入。若其入者，此比丘為犯罪、為有重過。」	得 入 若 其 入 者 此 比 丘 為 犯 罪 為 有 重 過 
T24n1464_003:0862c09	佛世尊遊舍衛國祇樹給孤獨園。彼有一婆	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 彼 有 一 婆 
T24n1464_003:0862c10	羅門生女，顏色姝好端正無雙，以其端正故	羅 門 生 女 顏 色 姝 好 端 正 無 雙 以 其 端 正 故 
T24n1464_003:0862c11	母字為善光。初生之日為相師婆羅門見記：	母 字 為 善 光 初 生 之 日 為 相 師 婆 羅 門 見 記 
T24n1464_003:0862c12	「此女人當與五百人通。」遂長十六歲，諸人聞	 此 女 人 當 與 五 百 人 通 遂 長 十 六 歲 諸 人 聞 
T24n1464_003:0862c13	記當與五百人通，無有娶者。有一入海商人，	記 當 與 五 百 人 通 無 有 娶 者 有 一 入 海 商 人 
T24n1464_003:0862c14	與共比村，遙見此女端正，便起婬想，即問：	與 共 比 村 遙 見 此 女 端 正 便 起 婬 想 即 問 
T24n1464_003:0862c15	「此誰家女？」答者言：「婆羅門女。」復問：「為嫁未？」答：	 此 誰 家 女 答 者 言 婆 羅 門 女 復 問 為 嫁 未 答 
T24n1464_003:0862c16	「未也。」「若爾者我當娶為婦。」答者言：「此女盡好，	 未 也 若 爾 者 我 當 娶 為 婦 答 者 言 此 女 盡 好 
T24n1464_003:0862c17	有一不可。」問：「是何事？」答者具語：「初生之日，相	有 一 不 可 問 是 何 事 答 者 具 語 初 生 之 日 相 
T24n1464_003:0862c18	師梵志記，當與五百人通。」商人復作是念：「我	師 梵 志 記 當 與 五 百 人 通 商 人 復 作 是 念 我 
T24n1464_003:0862c19	舍無有人入，唯有釋子。然釋子無有此意。」	舍 無 有 人 入 唯 有 釋 子 然 釋 子 無 有 此 意 
T24n1464_003:0862c20	商人便娉為婦娶之。未遠有商人入海採寶，	商 人 便 娉 為 婦 娶 之 未 遠 有 商 人 入 海 採 寶 
T24n1464_003:0862c21	彼國常法，其有商人數入海者常使導前，若	彼 國 常 法 其 有 商 人 數 入 海 者 常 使 導 前 若 
T24n1464_003:0862c22	自不肯，王逼之。時商人來語此商人：「君次應	自 不 肯 王 逼 之 時 商 人 來 語 此 商 人 君 次 應 
T24n1464_003:0862c23	在前採寶。」商人便勅守門者：「我今入海採寶。	在 前 採 寶 商 人 便 勅 守 門 者 我 今 入 海 採 寶 
T24n1464_003:0862c24	莫使異人於此止宿，除其釋子。所以爾者，釋	莫 使 異 人 於 此 止 宿 除 其 釋 子 所 以 爾 者 釋 
T24n1464_003:0862c25	子無有婬意。」即日發引入海。有沙門婆羅門	子 無 有 婬 意 即 日 發 引 入 海 有 沙 門 婆 羅 門 
T24n1464_003:0862c26	至此家乞食者，婦便共調戲說婬之歡樂：「可	至 此 家 乞 食 者 婦 便 共 調 戲 說 婬 之 歡 樂 可 
T24n1464_003:0862c27	來與我作不淨行。」諸比丘不知當何報，各懷	來 與 我 作 不 淨 行 諸 比 丘 不 知 當 何 報 各 懷 
T24n1464_003:0862c28	疑往詣世尊，具白此事。世尊告曰：「如此家者	疑 往 詣 世 尊 具 白 此 事 世 尊 告 曰 如 此 家 者 
T24n1464_003:0862c29	比丘不得入乞食。若入乞食者，不得坐、不得	比 丘 不 得 入 乞 食 若 入 乞 食 者 不 得 坐 不 得 
T24n1464_003:0863a01	與言語。何以故？如此家壞人梵行。設坐聽受	與 言 語 何 以 故 如 此 家 壞 人 梵 行 設 坐 聽 受 
T24n1464_003:0863a02	語者，僧伽婆施沙。」彼女人婬意熾盛，即日向	語 者 僧 伽 婆 施 沙 彼 女 人 婬 意 熾 盛 即 日 向 
T24n1464_003:0863a03	暮便死，莊嚴服飾輿棄塚間。時有五百群賊	暮 便 死 莊 嚴 服 飾 輿 棄 塚 間 時 有 五 百 群 賊 
T24n1464_003:0863a04	從塚間過，見此女尸便起婬意，向五百人盡	從 塚 間 過 見 此 女 尸 便 起 婬 意 向 五 百 人 盡 
T24n1464_003:0863a05	為不淨行。如前婆羅門所記，其語不虛。坐與	為 不 淨 行 如 前 婆 羅 門 所 記 其 語 不 虛 坐 與 
T24n1464_003:0863a06	沙門婆羅門調戲故，由此因緣生三惡趣，天	沙 門 婆 羅 門 調 戲 故 由此因緣 生 三 惡 趣 天 
T24n1464_003:0863a07	竺國北泉水名毘怛吐作龍妻，有五百龍常	竺 國 北 泉 水 名 毘 怛 吐 作 龍 妻 有 五 百 龍 常 
T24n1464_003:0863a08	與共通。	與 共 通 
T24n1464_003:0863a09	佛世尊遊舍衛國祇樹給孤獨園。爾時有諸	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 爾 時 有 諸 
T24n1464_003:0863a10	長者婦女來至房舍園觀觀看，時六群比丘	長 者 婦 女 來 至 房 舍 園 觀 觀 看 時 六群比丘 
T24n1464_003:0863a11	語諸長者婦女言：「我等國王子端正無雙，身	語 諸 長 者 婦 女 言 我 等 國 王 子 端 正 無 雙 身 
T24n1464_003:0863a12	體香潔精進無比。於法中最上者，汝等可與	體 香 潔 精 進 無 比 於 法 中 最 上 者 汝 等 可 與 
T24n1464_003:0863a13	我戲笑相娛樂，能以身施者於檀中最尊。」其	我 戲 笑 相 娛 樂 能 以 身 施 者 於 檀 中 最 尊 其 
T24n1464_003:0863a14	中婦女或然可者、不然可者。其不然者出語	中 婦 女 或 然 可 者 不 然 可 者 其 不 然 者 出 語 
T24n1464_003:0863a15	諸比丘：「常無恐懼安隱之處，而更有恐懼。」諸	諸 比 丘 常 無 恐 懼 安 隱 之 處 而 更 有 恐 懼 諸 
T24n1464_003:0863a16	比丘問：「有何事？」諸婦女具白比丘。比丘不知	比 丘 問 有 何 事 諸 婦 女 具 白 比 丘 比 丘 不 知 
T24n1464_003:0863a17	當何報，往白世尊。世尊知而問六群諸比丘：	當 何 報 往 白 世 尊 世 尊 知 而 問 六 群 諸 比 丘 
T24n1464_003:0863a18	「審為此事耶？」比丘內懷慚愧外則恥眾，偏袒	 審 為 此 事 耶 比 丘 內 懷 慚 愧 外 則 恥 眾 偏 袒 
T24n1464_003:0863a19	右臂右膝著地長跪叉手，白佛言：「審爾。世尊！」	右 臂 右膝著地 長 跪 叉 手 白 佛 言 審 爾 世 尊 
T24n1464_003:0863a20	世尊告曰：「云何癡人！我不說婬如蛇毒蜇	世 尊 告 曰 云 何 癡 人 我 不 說 婬 如 蛇 毒 蜇 
T24n1464_003:0863a21	人(修妬路)，寧為蛇毒虺毒黑蟒毒所蜇，不與	人 修 妬 路 寧 為 蛇 毒 虺 毒 黑 蟒 毒 所 蜇 不 與 
T24n1464_003:0863a22	剎利種婆羅門種長者種婦女交會。雖復端	剎 利 種 婆 羅 門 種 長 者 種 婦 女 交 會 雖 復 端 
T24n1464_003:0863a23	正無雙服飾殊好，寧投身入火不與交會。我	正 無 雙 服 飾 殊 好 寧 投 身 入 火 不 與 交 會 我 
T24n1464_003:0863a24	不說婬如大聚薪(修妬路)放火然，大聚薪火炎熾	不 說 婬 如 大 聚 薪 修 妬 路 放 火 然 大 聚 薪 火 炎 熾 
T24n1464_003:0863a25	盛，寧身投入中，不與剎利種婆羅門長者婦女	盛 寧 身 投 入 中 不 與 剎 利 種 婆 羅 門 長 者 婦 女 
T24n1464_003:0863a26	交接娛樂。我不說婬如深火坑(修妬路)，大深坑盛	交 接 娛 樂 我 不 說 婬 如 深 火 坑 修 妬 路 大 深 坑 盛 
T24n1464_003:0863a27	滿火，但有赤炭無有烟氣，寧投身入，不與剎	滿 火 但 有 赤 炭 無 有 烟 氣 寧 投 身 入 不 與 剎 
T24n1464_003:0863a28	利婆羅門長者種婦女交接娛樂。婬如狗齩	利 婆 羅 門 長 者 種 婦 女 交 接 娛 樂 婬 如 狗 齩 
T24n1464_003:0863a29	(五巧反)骨、如鳥銜肉，肉既少少受苦多也。如蜜	 五 巧 反 骨 如 鳥 銜 肉 肉 既 少 少 受 苦 多 也 如 蜜 
T24n1464_003:0863b01	塗刀，婬亦復爾。如王有教取彼罪人，日三時	塗 刀 婬 亦 復 爾 如 王 有 教 取 彼 罪 人 日 三 時 
T24n1464_003:0863b02	拷拷則矛刺百瘡，婬亦復然。亦如畫瓶中	拷 拷 則 矛 刺 百 瘡 婬 亦 復 然 亦 如 畫 瓶 中 
T24n1464_003:0863b03	盛臭處、如毒花香向鼻則死，寧飲毒漿而不	盛 臭 處 如 毒 花 香 向 鼻 則 死 寧 飲 毒 漿 而 不 
T24n1464_003:0863b04	向婬。如人彈琴，但有空聲，亦如劍樹上下	向 婬 如 人 彈 琴 但 有 空 聲 亦 如 劍 樹 上 下 
T24n1464_003:0863b05	刺人，如怨家盜賊常無善意，如沸屎灰河地	刺 人 如 怨 家 盜 賊 常 無 善 意 如 沸 屎 灰 河 地 
T24n1464_003:0863b06	獄，婬亦復然。我不說婬義因緣、婬本末鬪諍、	獄 婬 亦 復 然 我 不 說 婬 義 因 緣 婬 本 末 鬪 諍 
T24n1464_003:0863b07	縣官佞讒眩惑欺誑，作種種無數惡法，皆由	縣 官 佞 讒 眩 惑 欺 誑 作 種 種 無 數 惡 法 皆 由 
T24n1464_003:0863b08	婬起。我無數方便說婬不淨，向婬念婬、婬意	婬 起 我 無數方便 說 婬 不 淨 向 婬 念 婬 婬 意 
T24n1464_003:0863b09	熾盛婬之惡露。卿等云何於中造惡？」時世尊	熾 盛 婬 之 惡 露 卿 等 云 何 於 中 造 惡 時 世 尊 
T24n1464_003:0863b10	無數方便誨責，因此事集和合僧，備十功德，	無數方便 誨 責 因 此 事 集 和 合 僧 備 十 功 德 
T24n1464_003:0863b11	佛為比丘結戒：「若比丘婬意熾盛，於女人前	佛 為 比 丘 結 戒 若 比 丘 婬 意 熾 盛 於 女 人 前 
T24n1464_003:0863b12	自歎身端正，又言精進比丘，於法中最上淨	自 歎 身 端 正 又 言 精 進 比 丘 於 法 中 最 上 淨 
T24n1464_003:0863b13	行。作如是法行者，僧伽婆施沙。」(一跋難陀，二難陀，生	行 作 如 是 法 行 者 僧 伽 婆 施 沙 一 跋 難 陀 二 難 陀 生 
T24n1464_003:0863b14	天迦留陀夷，闡怒闡怒車匿也。佛去世已，於阿難許得道，二人般涅槃，馬師、弗那跋，生龍中。六人也。	天 迦 留 陀 夷 闡 怒 闡 怒 車 匿 也 佛 去 世 已 於 阿 難 許 得 道 二 人 般 涅 槃 馬 師 弗 那 跋 生 龍 中 六 人 也 
T24n1464_003:0863b15	皆從弟。闡觸綿反。怒奴故反)	皆 從 弟 闡 觸 綿 反 怒 奴 故 反 
T24n1464_003:0863b16	佛世尊遊舍衛國祇樹給孤獨園。爾時尊者	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 爾 時 尊 者 
T24n1464_003:0863b17	阿難，平旦著衣持鉢入舍衛城分衛，分衛已	阿 難 平 旦 著衣持鉢 入 舍 衛 城 分 衛 分 衛 已 
T24n1464_003:0863b18	還出城。爾時甚熱夏後月暑盛，時尊者阿難	還 出 城 爾 時 甚 熱 夏 後 月 暑 盛 時 尊 者 阿 難 
T24n1464_003:0863b19	行路中道焦渴。彼中道有旃荼羅女名鉢吉	行 路 中 道 焦 渴 彼 中 道 有 旃 荼 羅 女 名 鉢 吉 
T24n1464_003:0863b20	蹄，於井汲水。時阿難詣井乞水，語：「大妹！我	蹄 於 井 汲 水 時 阿 難 詣 井 乞 水 語 大 妹 我 
T24n1464_003:0863b21	今須水，施我少水。」時女報阿難：「我是摩鄧伽	今 須 水 施 我 少 水 時 女 報 阿 難 我 是 摩 鄧 伽 
T24n1464_003:0863b22	種。」阿難語：「我不問是義旃荼羅非旃荼羅也。	種 阿 難 語 我 不 問 是 義 旃 荼 羅 非 旃 荼 羅 也 
T24n1464_003:0863b23	我今須水，但施我水。」女報：「君母種成就，沙門	我 今 須 水 但 施 我 水 女 報 君 母 種 成 就 沙 門 
T24n1464_003:0863b24	瞿曇第一弟子，王波斯匿所敬末利夫人阿	瞿 曇 第 一 弟 子 王 波 斯 匿 所 敬 末 利 夫 人 阿 
T24n1464_003:0863b25	闍梨。我是旃荼羅種，不敢持水相與。」阿難語	闍 梨 我 是 旃 荼 羅 種 不 敢 持 水 相 與 阿 難 語 
T24n1464_003:0863b26	女：「我不問汝旃荼羅非旃荼羅。我今須水，速	女 我 不 問 汝 旃 荼 羅 非 旃 荼 羅 我 今 須 水 速 
T24n1464_003:0863b27	以水見與。」女答：「若須水者便取。」時女先掬水	以 水 見 與 女 答 若 須 水 者 便 取 時 女 先 掬 水 
T24n1464_003:0863b28	澆阿難足，復掬水澆阿難手。澆手足已，復生	澆 阿 難 足 復 掬 水 澆 阿 難 手 澆 手 足 已 復 生 
T24n1464_003:0863b29	婬意。時尊者阿難飲水已，便前進路。時鉢吉	婬 意 時 尊 者 阿 難 飲 水 已 便 前 進 路 時 鉢 吉 
T24n1464_003:0863c01	蹄女見阿難前行不遠，捉水瓶還家，啟白父	蹄 女 見 阿 難 前 行 不 遠 捉 水 瓶 還 家 啟 白 父 
T24n1464_003:0863c02	母：「阿母！願以沙門阿難為夫婿。」母答：「此阿難	母 阿 母 願 以 沙 門 阿 難 為 夫 婿 母 答 此 阿 難 
T24n1464_003:0863c03	者轉輪王家子，剎利釋種，姓瞿曇。國王大臣	者 轉 輪 王 家 子 剎 利 釋 種 姓 瞿 曇 國 王 大 臣 
T24n1464_003:0863c04	盡識知，沙門瞿曇弟子。是波斯匿所敬、末利	盡 識 知 沙 門 瞿 曇 弟 子 是 波 斯 匿 所 敬 末 利 
T24n1464_003:0863c05	夫人師。我等小家旃荼羅種，當云何得阿難	夫 人 師 我 等 小 家 旃 荼 羅 種 當 云 何 得 阿 難 
T24n1464_003:0863c06	以為夫婿？」女報母：「若不得阿難為夫婿者，我	以 為 夫 婿 女 報 母 若 不 得 阿 難 為 夫 婿 者 我 
T24n1464_003:0863c07	若當飲毒、以刀自刺、若自絞死。」母報女曰：	若 當 飲 毒 以 刀 自 刺 若 自 絞 死 母 報 女 曰 
T24n1464_003:0863c08	「此間亦有摩鄧伽神語符呪，能移日月以墮	 此 間 亦 有 摩 鄧 伽 神 語 符 呪 能 移 日 月 以 墮 
T24n1464_003:0863c09	著地，復能移著。彼亦能呪因帝梵天使下，況	著 地 復 能 移 著 彼 亦 能 呪 因 帝 梵 天 使 下 況 
T24n1464_003:0863c10	不能得沙門。阿難使來，或能以一事不可得，	不 能 得 沙 門 阿 難 使 來 或 能 以 一 事 不 可 得 
T24n1464_003:0863c11	若死若生不能婬。設復為沙門瞿曇所護者，	若 死 若 生 不 能 婬 設 復 為 沙 門 瞿 曇 所 護 者 
T24n1464_003:0863c12	我不能得，除此可得。」女聞此語歡喜踊躍，便	我 不 能 得 除 此 可 得 女 聞 此 語 歡喜踊躍 便 
T24n1464_003:0863c13	起澡浴莊嚴身體，著白服飾敷臥具思想而	起 澡 浴 莊 嚴 身 體 著 白 服 飾 敷 臥 具 思 想 而 
T24n1464_003:0863c14	望來。時母亦藻浴著白服飾，以牛屎塗地，	望 來 時 母 亦 藻 浴 著 白 服 飾 以 牛 屎 塗 地 
T24n1464_003:0863c15	以五色綖結縷，盛滿四瓶水、盛滿四椀血、盛	以 五 色 綖 結 縷 盛 滿 四 瓶 水 盛 滿 四 椀 血 盛 
