X88n1649_001:0322a06	 法喜志序	 法 喜 志 序 
X88n1649_002:0331a01	觀文義弘博。覽者廢日。乃刪定為六卷行於世。有天	觀 文 義 弘 博 覽 者 廢 日 乃 刪 定 為 六 卷 行 於 世 有 天 
X88n1649_002:0331a02	台禪林寺碑。天台止觀統例。智者禪師傳論。	台 禪 林 寺 碑 天 台 止 觀 統 例 智 者 禪 師 傳 論 
X88n1649_002:0331a03	魏伯起	魏 伯 起 
X88n1649_002:0331a04	魏收。字伯起。少機警。能屬文。北齊受禪。詔冊諸文及	魏 收 字 伯 起 少 機 警 能 屬 文 北 齊 受 禪 詔 冊 諸 文 及 
X88n1649_002:0331a05	魏史。皆収所撰。官至尚書左僕射。諡文貞。其譔魏書	魏 史 皆 収 所 撰 官 至 尚 書 左 僕 射 諡 文 貞 其 譔 魏 書 
X88n1649_002:0331a06	佛老志曰。生生之類。三世神識甞不滅也。凡為善惡	佛 老 志 曰 生 生 之 類 三 世 神 識 甞 不 滅 也 凡 為 善 惡 
X88n1649_002:0331a07	必有報應。漸積勝業。陶冶麤鄙。經典數形。澡鍊神明。	必 有 報 應 漸 積 勝 業 陶 冶 麤 鄙 經 典 數 形 澡 鍊 神 明 
X88n1649_002:0331a08	乃至無生而得佛道。其言三歸五戒。六道受生。六度	乃 至 無 生 而 得 佛 道 其 言 三 歸 五 戒 六 道 受 生 六 度 
X88n1649_002:0331a09	進行。及佛真應。不生不滅。舍利塔廟。教化流廣之義。	進 行 及 佛 真 應 不生不滅 舍 利 塔 廟 教 化 流 廣 之 義 
X88n1649_002:0331a10	最為深密。	最 為 深 密 
X88n1649_002:0331a11	劉溉	劉 溉 
X88n1649_002:0331a12	劉溉。彥之曾孫。為建安太守。故人任昉以詩寄溉求	劉 溉 彥 之 曾 孫 為 建 安 太 守 故 人 任 昉 以 詩 寄 溉 求 
X88n1649_002:0331a13	一衫。溉撿槖中無可贈者。答曰。予衣本百結。閩鄉徒	一 衫 溉 撿 槖 中 無 可 贈 者 答 曰 予 衣 本 百 結 閩 鄉 徒 
X88n1649_002:0331a14	八蠶。官至吏部尚書。家居蔬食。虗室草牀。傍無姬侍。	八 蠶 官 至 吏 部 尚 書 家 居 蔬 食 虗 室 草 牀 傍 無 姬 侍 
X88n1649_002:0331a15	朝夕從僧禮誦。武帝為月致三齋。所得俸祿皆充蔣	朝 夕 從 僧 禮 誦 武 帝 為 月 致 三 齋 所 得 俸 祿 皆 充 蔣 
X88n1649_002:0331a16	山二寺。及卒。顏色如生。屈二指而逝。	山 二 寺 及 卒 顏 色 如 生 屈 二 指 而 逝 
X88n1649_002:0331a17	沈休文	沈 休 文 
X88n1649_002:0331a18	沈約。字休文。婺州東陽人。少為書生。名聞一時。以風	沈 約 字 休 文 婺 州 東 陽 人 少 為 書 生 名 聞 一 時 以 風 
X88n1649_002:0331a19	流見稱。而肌體清癯。時謂沈郎腰瘦。甞出新意撰聲	流 見 稱 而 肌 體 清 癯 時 謂 沈 郎 腰 瘦 甞 出 新 意 撰 聲 
X88n1649_002:0331a20	律以革古詩。後世取則。號曰四聲。立宅郊阜。作郊居	律 以 革 古 詩 後 世 取 則 號 曰 四 聲 立 宅 郊 阜 作 郊 居 
X88n1649_002:0331a21	賦以自敘。仕至尚書僕射。休文於佛理甚精。著中食	賦 以 自 敘 仕 至 尚 書 僕 射 休 文 於 佛 理 甚 精 著 中 食 
X88n1649_002:0331a22	論一卷。謂一則勢利榮名。二則妖妍靡曼。三則甘旨	論 一 卷 謂 一 則 勢 利 榮 名 二 則 妖 妍 靡 曼 三 則 甘 旨 
X88n1649_002:0331a23	肥醲。皆使心神昏亂。而甘芳沉溺。為累甚切。以往古	肥 醲 皆 使 心 神 昏 亂 而 甘 芳 沉 溺 為 累 甚 切 以 往 古 
X88n1649_002:0331a24	諸佛過中不餐。推此晚食併置中前。自中之後。清虗	諸 佛 過 中 不 餐 推 此 晚 食 併 置 中 前 自 中 之 後 清 虗 
X88n1649_002:0331b01	無事。念慮自簡。在始未專。在久自習。此誠遣累之筌	無 事 念 慮 自 簡 在 始 未 專 在 久 自 習 此 誠 遣 累 之 筌 
X88n1649_002:0331b02	[(ㄇ@(企止))/弟]。適道之捷徑也。	[ㄇ企止弟] 適 道 之 捷 徑 也 
X88n1649_002:0331b03	劉彥和	劉 彥 和 
X88n1649_002:0331b04	劉勰。字彥和。東筦人。雅為太子照明所重。撰文心雕	劉 勰 字 彥 和 東 筦 人 雅 為 太 子 照 明 所 重 撰 文 心 雕 
X88n1649_002:0331b05	龍五十篇。家貧不婚娶。依沙門僧裕。遂博通經論。區	龍 五 十 篇 家 貧 不 婚 娶 依 沙 門 僧 裕 遂 博 通 經 論 區 
X88n1649_002:0331b06	別部類而為之敘。定林寺藏經。即其銓次也。中書令	別 部 類 而 為 之 敘 定 林 寺 藏 經 即 其 銓 次 也 中 書 令 
X88n1649_002:0331b07	沈約絕重其文。常置几案間。凡都下寺塔。及名僧碑	沈 約 絕 重 其 文 常 置 几 案 間 凡 都 下 寺 塔 及 名 僧 碑 
X88n1649_002:0331b08	碣皆出其手。累官通事舍人。表求出家。先燔鬚自誓。	碣 皆 出 其 手 累 官 通 事 舍 人 表 求 出 家 先 燔 鬚 自 誓 
X88n1649_002:0331b09	帝嘉之。賜法名慧地。	帝 嘉 之 賜 法 名 慧 地 
X88n1649_002:0331b10	崔子約	崔 子 約 
X88n1649_002:0331b11	崔子約。五歲喪父。不肯食肉。後喪居喪。哀毀骨立。兄	崔 子 約 五 歲 喪 父 不 肯 食 肉 後 喪 居 喪 哀 毀 骨 立 兄 
X88n1649_002:0331b12	子度死。百日不入房。長八尺餘。姿神俊異。為平原公	子 度 死 百 日 不 入 房 長 八 尺 餘 姿 神 俊 異 為 平 原 公 
X88n1649_002:0331b13	開府祭酒。與兄子瞻俱詣晉陽。寄居佛寺。瞻長於子	開 府 祭 酒 與 兄 子 瞻 俱 詣 晉 陽 寄 居 佛 寺 瞻 長 於 子 
X88n1649_002:0331b14	約二歲。每退朝久立。子約憑几對之。二人風華鬱然。	約 二 歲 每 退 朝 久 立 子 約 憑 几 對 之 二 人 風 華 鬱 然 
X88n1649_002:0331b15	諸沙門竊窺之。以為二天人也。	諸 沙 門 竊 窺 之 以 為 二 天 人 也 
X88n1649_002:0331b16	劉士湮	劉 士 湮 
X88n1649_002:0331b17	劉霽。字士湮。性至孝。十四居父憂。每哭輙嘔血。家貧	劉 霽 字 士 湮 性 至 孝 十 四 居 父 憂 每 哭 輙 嘔 血 家 貧 
X88n1649_002:0331b18	與弟歊立志勤學。博涉多通。梁天監中。歷位西昌海	與 弟 歊 立 志 勤 學 博 涉 多 通 梁 天 監 中 歷 位 西 昌 海 
X88n1649_002:0331b19	鹽令。母明氏寢疾。泣誦觀音數萬徧。母病得瘥。及卒。	鹽 令 母 明 氏 寢 疾 泣 誦 觀 音 數 萬 徧 母 病 得 瘥 及 卒 
X88n1649_002:0331b20	廬墓哀號。白鶴雙翔其側。所著有釋俗語八卷。	廬 墓 哀 號 白 鶴 雙 翔 其 側 所 著 有 釋 俗 語 八 卷 
X88n1649_002:0331b21	元士宗	元 士 宗 
X88n1649_002:0331b22	阮孝緒。字士宗。陳留人。父彥之。宋太尉從事中郎。孝	阮 孝 緒 字 士 宗 陳 留 人 父 彥 之 宋 太 尉 從 事 中 郎 孝 
X88n1649_002:0331b23	緒年十三。通五經大旨。十六丁家難。入鐘山聽講。母	緒 年 十 三 通 五 經 大 旨 十 六 丁 家 難 入 鐘 山 聽 講 母 
X88n1649_002:0331b24	有疾。緒在席心驚而歸。合藥須生人參。入山採求未	有 疾 緒 在 席 心 驚 而 歸 合 藥 須 生 人 參 入 山 採 求 未 
X88n1649_002:0331c01	獲。忽一鹿在前。心異之。至鹿息處果得人參。藥成。母	獲 忽 一 鹿 在 前 心 異 之 至 鹿 息 處 果 得 人 參 藥 成 母 
X88n1649_002:0331c02	疾隨愈。尚書令王晏來候之。緒惡其人。穿籬而遁。及	疾 隨 愈 尚 書 令 王 晏 來 候 之 緒 惡 其 人 穿 籬 而 遁 及 
X88n1649_002:0331c03	晏被誅。以非黨獲免。甞以鹿林為精舍。環以林池。杜	晏 被 誅 以 非 黨 獲 免 甞 以 鹿 林 為 精 舍 環 以 林 池 杜 
X88n1649_002:0331c04	絕交游。世罕得而見之。御史中丞任昉欲見。輙望廬	絕 交 游 世 罕 得 而 見 之 御 史 中 丞 任 昉 欲 見 輙 望 廬 
X88n1649_002:0331c05	而返。乃指鹿林謂其兄曰。其室則邇。其人甚遠。繇是	而 返 乃 指 鹿 林 謂 其 兄 曰 其 室 則 邇 其 人 甚 遠 繇 是 
X88n1649_002:0331c06	朝貴絕於造請。唯與斐子野交好。天監末累召不赴。	朝 貴 絕 於 造 請 唯 與 斐 子 野 交 好 天 監 末 累 召 不 赴 
X88n1649_002:0331c07	曰若麇麚盡可參馭。何以異乎騄驥哉。甞著七錄載	曰 若 麇 麚 盡 可 參 馭 何 以 異 乎 騄 驥 哉 甞 著 七 錄 載 
X88n1649_002:0331c08	內外圖書。其六曰佛法錄。既卒。門人諡曰文貞處士。	內 外 圖 書 其 六 曰 佛 法 錄 既 卒 門 人 諡 曰 文 貞 處 士 
X88n1649_002:0331c09	庾彥實	庾 彥 實 
X88n1649_002:0331c10	庾詵。字彥實。新野人。幼聰警。經史百氏無不該綜。性	庾 詵 字 彥 實 新 野 人 幼 聰 警 經 史 百 氏 無 不 該 綜 性 
X88n1649_002:0331c11	嗜林泉。蔬食布衣。不事生業。普通間召為黃門侍郎	嗜 林 泉 蔬 食 布 衣 不 事 生 業 普 通 間 召 為 黃 門 侍 郎 
X88n1649_002:0331c12	不就。晚年遵釋教。宅內建道場。六時禮誦。卒諡貞節	不 就 晚 年 遵 釋 教 宅 內 建 道 場 六 時 禮 誦 卒 諡 貞 節 
X88n1649_002:0331c13	先生。	先 生 
X88n1649_002:0331c14	杜輔言	杜 輔 言 
X88n1649_002:0331c15	杜弼。字輔言。中山人。幼聰敏。家貧無書。寄郡學受業。	杜 弼 字 輔 言 中 山 人 幼 聰 敏 家 貧 無 書 寄 郡 學 受 業 
X88n1649_002:0331c16	為時輩所推。魏孝明初。除太學愽士。入北齊。為神武	為 時 輩 所 推 魏 孝 明 初 除 太 學 愽 士 入 北 齊 為 神 武 
X88n1649_002:0331c17	高歡奉使西魏。魏帝見之九龍殿。曰卿精於學佛。聊	高 歡 奉 使 西 魏 魏 帝 見 之 九 龍 殿 曰 卿 精 於 學 佛 聊 
X88n1649_002:0331c18	問經中佛性法性。為同為異。弼曰止是一理。又問曰	問 經 中 佛 性 法 性 為 同 為 異 弼 曰 止 是 一 理 又 問 曰 
X88n1649_002:0331c19	說者皆妄言法性寬。佛性狹。如何。弼曰。在寬成寬。在	說 者 皆 妄 言 法 性 寬 佛 性 狹 如 何 弼 曰 在 寬 成 寬 在 
X88n1649_002:0331c20	狹成狹。若論性體。非狹非寬。帝曰。既言成寬成狹。何	狹 成 狹 若 論 性 體 非 狹 非 寬 帝 曰 既 言 成 寬 成 狹 何 
X88n1649_002:0331c21	得非狹非寬。弼曰。若言是寬。則不能成狹。若言是狹。	得 非 狹 非 寬 弼 曰 若 言 是 寬 則 不 能 成 狹 若 言 是 狹 
X88n1649_002:0331c22	亦不能為寬。以非寬非狹。故能寬能狹。所成雖異。能	亦 不 能 為 寬 以 非 寬 非 狹 故 能 寬 能 狹 所 成 雖 異 能 
X88n1649_002:0331c23	成則一。帝稱善。	成 則 一 帝 稱 善 
X88n1649_002:0331c24	徐孝穆	徐 孝 穆 
X88n1649_002:0332a01	徐陵。字孝穆。剡人。仕梁為散騎常侍。及候景宼梁。父	徐 陵 字 孝 穆 剡 人 仕 梁 為 散 騎 常 侍 及 候 景 宼 梁 父 
X88n1649_002:0332a02	士秀被圍。陵蔬食布衣。皇皇然若居哀恤。使齊還。除	士 秀 被 圍 陵 蔬 食 布 衣 皇 皇 然 若 居 哀 恤 使 齊 還 除 
X88n1649_002:0332a03	御史中丞。時安成王頊為司空。權傾朝野。大臣莫敢	御 史 中 丞 時 安 成 王 頊 為 司 空 權 傾 朝 野 大 臣 莫 敢 
X88n1649_002:0332a04	言。陵劾奏之。朝野肅然。累官太子少傅。陵八歲能屬	言 陵 劾 奏 之 朝 野 肅 然 累 官 太 子 少 傅 陵 八 歲 能 屬 
X88n1649_002:0332a05	文。沙門寶誌摩其頂曰。此天上石麒麟也。嘗聽智者	文 沙 門 寶 誌 摩 其 頂 曰 此 天 上 石 麒 麟 也 嘗 聽 智 者 
X88n1649_002:0332a06	講經。因立五願。一臨終正念。二不墜三塗。三人中托	講 經 因 立 五 願 一 臨 終 正 念 二 不 墜 三 塗 三 人 中 托 
X88n1649_002:0332a07	生。四童真出家。五不墮流俗之僧。後至唐貞觀間。生	生 四 童 真 出 家 五 不 墮 流 俗 之 僧 後 至 唐 貞 觀 間 生 
X88n1649_002:0332a08	縉雲朱家。年十八將納婦。路逢梵僧謂曰。少年何意	縉 雲 朱 家 年 十 八 將 納 婦 路 逢 梵 僧 謂 曰 少 年 何 意 
X88n1649_002:0332a09	欲違昔誓。因示其五願。遂感悟不復還家。即往天台	欲 違 昔 誓 因 示 其 五 願 遂 感 悟 不 復 還 家 即 往 天 台 
X88n1649_002:0332a10	國清寺。投章安法師咨受心要。證法華三昧。號智威。	國 清 寺 投 章 安 法 師 咨 受 心 要 證 法華三昧 號 智 威 
X88n1649_002:0332a11	徐孝克	徐 孝 克 
X88n1649_002:0332a12	徐孝克。陵之弟。性孝。通五經善屬文。梁太清中起家	徐 孝 克 陵 之 弟 性 孝 通 五 經 善 屬 文 梁 太 清 中 起 家 
X88n1649_002:0332a13	博士。候景亂。歲饑。孝克養母。饘粥不能給。乃剃髮為	博 士 候 景 亂 歲 饑 孝 克 養 母 饘 粥 不 能 給 乃 剃 髮 為 
X88n1649_002:0332a14	沙門。乞食以給。後旌於朝。高宗召為祭酒。每侍宴取	沙 門 乞 食 以 給 後 旌 於 朝 高 宗 召 為 祭 酒 每 侍 宴 取 
X88n1649_002:0332a15	珍果。還以遺母。高宗嗟歎。勑所司餉其母。方克托鉢	珍 果 還 以 遺 母 高 宗 嗟 歎 勑 所 司 餉 其 母 方 克 托 鉢 
X88n1649_002:0332a16	時。有神僧印度。號法整。	時 有 神 僧 印 度 號 法 整 
X88n1649_002:0332a17	李子約	李 子 約 
X88n1649_002:0332a18	李士謙。字子約。平棘人。幼孤事母孝。其伯父瑒稱曰。	李 士 謙 字 子 約 平 棘 人 幼 孤 事 母 孝 其 伯 父 瑒 稱 曰 
X88n1649_002:0332a19	此吾家曾子也。宗黨豪盛。士謙獨捨宅為寺。兢兢儉	此 吾 家 曾 子 也 宗 黨 豪 盛 士 謙 獨 捨 宅 為 寺 兢 兢 儉 
X88n1649_002:0332a20	素。不御酒肉。隋有天下。畢志不仕。嘗有粟千石以貸	素 不 御 酒 肉 隋 有 天 下 畢 志 不 仕 嘗 有 粟 千 石 以 貸 
X88n1649_002:0332a21	鄉人。值歲祲。對眾焚券。不責其償。明年又大饑。士謙	鄉 人 值 歲 祲 對 眾 焚 券 不 責 其 償 明 年 又 大 饑 士 謙 
X88n1649_002:0332a22	罄竭家資。糜粥施藥。鄉人全活者萬計。或謂之曰。子	罄 竭 家 資 糜 粥 施 藥 鄉 人 全 活 者 萬 計 或 謂 之 曰 子 
X88n1649_002:0332a23	多陰德。後必昌大。士謙曰。陰德猶耳鳴。已自知之。人	多 陰 德 後 必 昌 大 士 謙 曰 陰 德 猶 耳 鳴 已 自 知 之 人 
X88n1649_002:0332a24	無知者。子今已知。何足為德。士謙善談玄理。嘗有客	無 知 者 子 今 已 知 何 足 為 德 士 謙 善 談 玄 理 嘗 有 客 
X88n1649_002:0332b01	在座。不信佛家報應之說。士謙諭之曰。積善餘慶。積	在 座 不 信 佛 家 報 應 之 說 士 謙 諭 之 曰 積 善 餘 慶 積 
X88n1649_002:0332b02	惡餘殃。非休咎之應耶。至若鯀為黃態。杜宇為鶗鴂。	惡 餘 殃 非 休 咎 之 應 耶 至 若 鯀 為 黃 態 杜 宇 為 鶗 鴂 
X88n1649_002:0332b03	褒君為龍。牛哀為虎。彭生為豕。如意為犬。鄧艾為牛。	褒 君 為 龍 牛 哀 為 虎 彭 生 為 豕 如 意 為 犬 鄧 艾 為 牛 
X88n1649_002:0332b04	徐伯為魚。羊祜前身李子之子。此非佛家變受異形	徐 伯 為 魚 羊 祜 前 身 李 子 之 子 此 非 佛 家 變 受 異 形 
X88n1649_002:0332b05	之謂耶。客曰。邢子才云。豈有松柏後身化為樗櫟。僕	之 謂 耶 客 曰 邢 子 才 云 豈 有 松 柏 後 身 化 為 樗 櫟 僕 
X88n1649_002:0332b06	以為然。士謙曰。此不類之談也。變化皆由心造。木豈	以 為 然 士 謙 曰 此 不 類 之 談 也 變 化 皆 由 心 造 木 豈 
X88n1649_002:0332b07	有心乎。客不能難。	有 心 乎 客 不 能 難 
X88n1649_002:0332b08	楊越公	楊 越 公 
X88n1649_002:0332b09	楊素。字處道。華陰人。奇策高文。為一時之傑。累官上	楊 素 字 處 道 華 陰 人 奇 策 高 文 為 一 時 之 傑 累 官 上 
X88n1649_002:0332b10	柱國。封越國公。雅重佛法。造光明寺。又於華嶽造思	柱 國 封 越 國 公 雅 重 佛 法 造 光 明 寺 又 於 華 嶽 造 思 
X88n1649_002:0332b11	覺寺。嘗行道院。觀壁間畵像。道士曰。此老子化胡成	覺 寺 嘗 行 道 院 觀 壁 間 畵 像 道 士 曰 此 老 子 化 胡 成 
X88n1649_002:0332b12	佛圖。素曰承聞老子化胡。胡人不受。老子變身作佛。	佛 圖 素 曰 承 聞 老 子 化 胡 胡 人 不 受 老 子 變 身 作 佛 
X88n1649_002:0332b13	胡人方受。是則佛能化胡。道不能化。何言老子化胡	胡 人 方 受 是 則 佛 能 化 胡 道 不 能 化 何 言 老 子 化 胡 
X88n1649_002:0332b14	乎。且老子安用化胡為佛。何不化胡為道。道流不能	乎 且 老 子 安 用 化 胡 為 佛 何 不 化 胡 為 道 道 流 不 能 
X88n1649_002:0332b15	對。	對 
X88n1649_002:0332b16	張士衡	張 士 衡 
X88n1649_002:0332b17	張士衡。樂壽人。九歲喪母。哀毀渝制。隋末兵起。諸儒	張 士 衡 樂 壽 人 九 歲 喪 母 哀 毀 渝 制 隋 末 兵 起 諸 儒 
X88n1649_002:0332b18	廢學。士衡復講教鄉里。太子承乾迎致。謁太宗。推崇	廢 學 士 衡 復 講 教 鄉 里 太 子 承 乾 迎 致 謁 太 宗 推 崇 
X88n1649_002:0332b19	賢館學士。太子問事佛營福。其應如何。對曰。事佛在	賢 館 學 士 太 子 問 事 佛 營 福 其 應 如 何 對 曰 事 佛 在 
X88n1649_002:0332b20	清淨仁恕。如貪惏驕虗。雖傾財事之。無損於禍。且善	清 淨 仁 恕 如 貪 惏 驕 虗 雖 傾 財 事 之 無 損 於 禍 且 善 
X88n1649_002:0332b21	惡必報。若影赴形。為君明。為臣忠。為子孝。則福祚永。	惡 必 報 若 影 赴 形 為 君 明 為 臣 忠 為 子 孝 則 福 祚 永 
X88n1649_002:0332b22	反是則禍至矣。時太子有逆志。故因對以箴之。	反 是 則 禍 至 矣 時 太 子 有 逆 志 故 因 對 以 箴 之 
X88n1649_002:0332b23	孫思邈	孫 思 邈 
X88n1649_002:0332b24	孫思邈。華原人。幼聰慧。日記萬言。獨孤信異之曰。聖	孫 思 邈 華 原 人 幼 聰 慧 日 記 萬 言 獨 孤 信 異 之 曰 聖 
X88n1649_002:0332c01	童也。善老莊。兼通陰陽。推步醫藥。於釋典無所不究。	童 也 善 老 莊 兼 通 陰 陽 推 步 醫 藥 於 釋 典 無 所 不 究 
X88n1649_002:0332c02	居太白山。隋文帝以國子博士召不拜。太宗召至京	居 太 白 山 隋 文 帝 以 國 子 博 士 召 不 拜 太 宗 召 至 京 
X88n1649_002:0332c03	師。時已老。欲官之不受。竟稱疾還山。嘗手寫華嚴經。	師 時 已 老 欲 官 之 不 受 竟 稱 疾 還 山 嘗 手 寫 華 嚴 經 
X88n1649_002:0332c04	太宗問邈曰。何經為大。對曰。華嚴經佛所尊大。帝曰。	太 宗 問 邈 曰 何 經 為 大 對 曰 華 嚴 經 佛 所 尊 大 帝 曰 
X88n1649_002:0332c05	近玄奘三藏譯大般若經六百卷。何不為大。而八十	近 玄 奘 三 藏 譯 大 般 若 經 六 百 卷 何 不 為 大 而 八 十 
X88n1649_002:0332c06	卷反為大乎。對曰。華嚴法界具一切門。於一切門中	卷 反 為 大 乎 對 曰 華 嚴 法 界 具 一 切 門 於 一 切 門 中 
X88n1649_002:0332c07	可演出大千經卷。般若經乃華嚴之一門耳。帝悟。從	可 演 出 大 千 經 卷 般 若 經 乃 華 嚴 之 一 門 耳 帝 悟 從 
X88n1649_002:0332c08	是受持。盧照鄰嘗稱之云。高談正一。則古之蒙莊子。	是 受 持 盧 照 鄰 嘗 稱 之 云 高 談 正 一 則 古 之 蒙 莊 子 
X88n1649_002:0332c09	深入不二。則今之維摩詰。	深 入 不 二 則 今 之 維 摩 詰 
