T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_002:0130b22	尊卑、老少，晝、夜常不懈慢，名為敬成就。不議	尊 卑 老 少 晝 夜 常 不 懈 慢 名 為 敬 成 就 不 議 
T47n1966_002:0130b23	他人長、短，說食數寶；唯口念佛，聲聲不絕，名	他 人 長 短 說 食 數 寶 唯 口 念 佛 聲 聲 不 絕 名 
T47n1966_002:0130b24	為念成就。不墮貪、瞋等煩惱及鬪亂、打罵，怨	為 念 成 就 不 墮 貪 瞋 等 煩 惱 及 鬪 亂 打 罵 怨 
T47n1966_002:0130b25	恨、嫉妬，殺、盜、婬妄，是墮三塗因，與念佛法不	恨 嫉 妬 殺 盜 婬 妄 是 墮 三 塗 因 與 念 佛 法 不 
T47n1966_002:0130b26	相應故。唯有信念佛，不揀道、俗，不問男女、貴	相 應 故 唯 有 信 念 佛 不 揀 道 俗 不 問 男 女 貴 
T47n1966_002:0130b27	賤，不問罪有輕、重，唯信為本。若成就者，萬病	賤 不 問 罪 有 輕 重 唯 信 為 本 若 成 就 者 萬 病 
T47n1966_002:0130b28	皆差，不假世間醫藥；萬善自成，不假世間教	皆 差 不 假 世 間 醫 藥 萬 善 自 成 不 假 世 間 教 
T47n1966_002:0130b29	經，頓能成就。其萬善成事，非是己能，亦非修	經 頓 能 成 就 其 萬 善 成 事 非 是 己 能 亦 非 修 
T47n1966_002:0130c01	行力。若據經文，從凡位至初地經一大阿僧	行 力 若 據 經 文 從 凡 位 至 初 地 經 一 大 阿 僧 
T47n1966_002:0130c02	祇劫，若三寶力，不假多劫。又依經文：『聞說阿	祇 劫 若 三 寶 力 不 假 多 劫 又 依 經 文 聞 說 阿 
T47n1966_002:0130c03	彌陀佛，乃至一心、一念，歡喜踊躍，志心迴向	彌 陀 佛 乃 至 一 心 一 念 歡喜踊躍 志 心 迴 向 
T47n1966_002:0130c04	即得往生，住不退地。』《法華經》云：『諸有智者，以	即 得 往 生 住 不 退 地 法 華 經 云 諸 有 智 者 以 
T47n1966_002:0130c05	譬喻得解。』世間之中唯有母力，能令其子身	譬 喻 得 解 世 間 之 中 唯 有 母 力 能 令 其 子 身 
T47n1966_002:0130c06	得安穩；出世間中唯有諸佛，能令眾生出三	得 安 穩 出 世 間 中 唯 有 諸 佛 能 令 眾 生 出 三 
T47n1966_002:0130c07	界苦，得生淨土見佛、聞法。又依經文，佛有慈、	界 苦 得 生 淨 土 見 佛 聞 法 又 依 經 文 佛 有 慈 
T47n1966_002:0130c08	悲、喜、捨。慈能與樂，悲能拔苦。不問地獄、餓鬼、	悲 喜 捨 慈 能 與 樂 悲 能 拔 苦 不 問 地 獄 餓 鬼 
T47n1966_002:0130c09	畜生及人中苦，若問即不名大慈悲。又如其	畜 生 及 人 中 苦 若 問 即 不 名 大 慈 悲 又 如 其 
T47n1966_002:0130c10	母，世間之母，於子有種種苦，終不辭勞，無疲	母 世 間 之 母 於 子 有 種 種 苦 終 不 辭 勞 無 疲 
T47n1966_002:0130c11	倦，以樂為本。豈容諸佛大聖、大悲，不問怨親、	倦 以 樂 為 本 豈 容 諸 佛 大 聖 大 悲 不 問 怨 親 
T47n1966_002:0130c12	道俗、男女，平等普皆救？救護何等苦？世間之	道 俗 男 女 平 等 普 皆 救 救 護 何 等 苦 世 間 之 
T47n1966_002:0130c13	苦與地獄苦百千萬倍，諸佛即救，況人中極	苦 與 地 獄 苦 百 千 萬 倍 諸 佛 即 救 況 人 中 極 
T47n1966_002:0130c14	輕，若不相救，即與經教相違。「人中諸苦，發心	輕 若 不 相 救 即 與 經 教 相 違 人 中 諸 苦 發 心 
T47n1966_002:0130c15	悔過，作諸戒行，作諸功德，諸苦頓除，信始成	悔 過 作 諸 戒 行 作 諸 功 德 諸 苦 頓 除 信 始 成 
T47n1966_002:0130c16	就，生死退失，委知地獄不再入。人中諸苦，苦	就 生 死 退 失 委 知 地 獄 不 再 入 人 中 諸 苦 苦 
T47n1966_002:0130c17	即不滅，病即不差，千無一信者；縱有信者，不	即 不 滅 病 即 不 差 千 無 一 信 者 縱 有 信 者 不 
T47n1966_002:0130c18	過旬月，尋即還退，不見經文，以不知未來之	過 旬 月 尋 即 還 退 不 見 經 文 以 不 知 未 來 之 
T47n1966_002:0130c19	苦，其心不定，現在之苦，復不得滅，眾生謗起。	苦 其 心 不 定 現 在 之 苦 復 不 得 滅 眾 生 謗 起 
T47n1966_002:0130c20	又依經文，現在之苦定滅，未來之苦必無。今	又 依 經 文 現 在 之 苦 定 滅 未 來 之 苦 必 無 今 
T47n1966_002:0130c21	現世人有誦得經者，及有異行與國王相應	現 世 人 有 誦 得 經 者 及 有 異 行 與 國 王 相 應 
T47n1966_002:0130c22	者，頭髮即落，袈裟著身，亦無戒行。在世間	者 頭 髮 即 落 袈 裟 著 身 亦 無 戒 行 在 世 間 
T47n1966_002:0130c23	內，上至國王，下至父母，皆反致敬，是誰之	內 上 至 國 王 下 至 父 母 皆 反 致 敬 是 誰 之 
T47n1966_002:0130c24	力？盡豈不是三寶之力？世間之內，亦有不問	力 盡 豈 不 是 三 寶 之 力 世 間 之 內 亦 有 不 問 
T47n1966_002:0130c25	貴賤、男女，皆令自在，衣、食自然，見者恭敬，不	貴 賤 男 女 皆 令 自 在 衣 食 自 然 見 者 恭 敬 不 
T47n1966_002:0130c26	辭勞倦。以是義故，當知三寶之力，唯信乃知；	辭 勞 倦 以是義故 當 知 三 寶 之 力 唯 信 乃 知 
T47n1966_002:0130c27	不信之人如盲、如聾，等無有異。故知念佛之	不 信 之 人 如 盲 如 聾 等無有異 故 知 念 佛 之 
T47n1966_002:0130c28	人，聲聲不絕，無病不差，無罪不滅，定不驚怕，	人 聲 聲 不 絕 無 病 不 差 無 罪 不 滅 定 不 驚 怕 
T47n1966_002:0130c29	亦不轉退。日日之中，心眼自開，轉加作意，並	亦 不 轉 退 日 日 之 中 心 眼 自 開 轉 加 作 意 並 
T47n1966_002:0131a01	與經教相應，行、住、坐、臥，心終不散，亦不失威	與 經 教 相 應 行 住 坐 臥 心 終 不 散 亦 不 失 威 
T47n1966_002:0131a02	儀。縱聞諸經、論，並與心行相應，轉加歡喜，遞	儀 縱 聞 諸 經 論 並 與 心 行 相 應 轉 加 歡 喜 遞 
T47n1966_002:0131a03	相接引有信之人，如母救子不辭勞倦。無信	相 接 引 有 信 之 人 如 母 救 子 不 辭 勞 倦 無 信 
T47n1966_002:0131a04	之人，寧當噤口而死，不得出言令他起謗，非	之 人 寧 當 噤 口 而 死 不 得 出 言 令 他 起 謗 非 
T47n1966_002:0131a05	是謗人，直謗於佛。當說《彌陀經》時，釋迦難解	是 謗 人 直 謗 於 佛 當 說 彌 陀 經 時 釋 迦 難 解 
T47n1966_002:0131a06	之法為一切眾生說，若有信者，是六方諸佛	之 法 為 一 切 眾 生 說 若 有 信 者 是 六 方 諸 佛 
T47n1966_002:0131a07	知甚難信之法，恐後眾生生疑謗，故舒舌作	知 甚 難 信 之 法 恐 後 眾 生 生 疑 謗 故 舒 舌 作 
T47n1966_002:0131a08	證，表此經文定不虛妄。又聞此近來諸行者	證 表 此 經 文 定 不 虛 妄 又 聞 此 近 來 諸 行 者 
T47n1966_002:0131a09	等，咸生驚疑及有誹謗者，以是義故，諸佛再	等 咸 生 驚 疑 及 有 誹 謗 者 以是義故 諸 佛 再 
T47n1966_002:0131a10	三懸知，末法世不信眾生，若有信者，一切諸	三 懸 知 末 法 世 不 信 眾 生 若 有 信 者 一 切 諸 
T47n1966_002:0131a11	佛共所護念。自不信佛語，自無善可得。住不	佛 共 所 護 念 自 不 信 佛 語 自 無 善 可 得 住 不 
T47n1966_002:0131a12	退轉地，皆《彌陀經》語。若不作業，自障聖道，	退 轉 地 皆 彌 陀 經 語 若 不 作 業 自 障 聖 道 
T47n1966_002:0131a13	彼此經教，皆是佛說。自修行之教，善神護助	彼 此 經 教 皆 是 佛 說 自 修 行 之 教 善 神 護 助 
T47n1966_002:0131a14	之法，深生信敬，修行不捨，諸佛護助。復是諸	之 法 深 生 信 敬 修 行 不 捨 諸 佛 護 助 復 是 諸 
T47n1966_002:0131a15	佛本願力教，現在聞而不信，直入地獄，無有	佛 本 願 力 教 現 在 聞 而 不 信 直 入 地 獄 無 有 
T47n1966_002:0131a16	出期，豈不謬哉？「若見此經文，再三思量，審有	出 期 豈 不 謬 哉 若 見 此 經 文 再 三 思 量 審 有 
T47n1966_002:0131a17	經教，方始相應念佛，戒行斷除法門，但能決	經 教 方 始 相 應 念 佛 戒 行 斷 除 法 門 但 能 決 
T47n1966_002:0131a18	定深信，至誠不退者，念念不絕，聲聲喚佛，不	定 深 信 至 誠 不 退 者 念 念 不 絕 聲 聲 喚 佛 不 
T47n1966_002:0131a19	問道俗、貴賤、貧富、好醜、男女，罪有輕重，唯取	問 道 俗 貴 賤 貧 富 好 醜 男 女 罪 有 輕 重 唯 取 
T47n1966_002:0131a20	信心成就。若不信諸佛慈悲，縱是父、母亦無	信 心 成 就 若 不 信 諸 佛 慈 悲 縱 是 父 母 亦 無 
T47n1966_002:0131a21	救處，不得往生；唯有信心成就，諸佛常住不	救 處 不 得 往 生 唯 有 信 心 成 就 諸 佛 常 住 不 
T47n1966_002:0131a22	滅，亦無退轉。信佛大聖，一切賢聖最上、最勝、	滅 亦 無 退 轉 信 佛 大 聖 一 切 賢 聖 最 上 最 勝 
T47n1966_002:0131a23	最大，是名世尊。不問過去、未來、現在所有眾	最 大 是 名 世 尊 不 問 過 去 未 來 現 在 所 有 眾 
T47n1966_002:0131a24	生，不問大小、善惡、之心，多少皆知。若有人信	生 不 問 大 小 善 惡 之 心 多 少 皆 知 若 有 人 信 
T47n1966_002:0131a25	佛大慈、大悲，能救眾生過去、未來、現在所有眾	佛 大 慈 大 悲 能 救 眾 生 過 去 未 來 現 在 所 有 眾 
T47n1966_002:0131a26	多惡業罪障，發心悔過，並悉知之，尋即往救，	多 惡 業 罪 障 發 心 悔 過 並 悉 知 之 尋 即 往 救 
T47n1966_002:0131a27	亦不過時度，名為大慈、大悲。如世間母，見	亦 不 過 時 度 名 為 大 慈 大 悲 如 世 間 母 見 
T47n1966_002:0131a28	子在糞穢中及饑寒、苦痛，終不再離，名為慈	子 在 糞 穢 中 及 饑 寒 苦 痛 終 不 再 離 名 為 慈 
T47n1966_002:0131a29	悲母。在世之人，無能報母恩德是小，慈母於	悲 母 在 世 之 人 無 能 報 母 恩 德 是 小 慈 母 於 
T47n1966_002:0131b01	子尚不辭疲倦；諸佛大慈、大悲與救百千萬	子 尚 不 辭 疲 倦 諸 佛 大 慈 大 悲 與 救 百 千 萬 
T47n1966_002:0131b02	倍，不唯救世間之苦，能救生死大苦。是故世	倍 不 唯 救 世 間 之 苦 能 救 生 死 大 苦 是 故 世 
T47n1966_002:0131b03	間有能信者即救，亦不問罪有輕、重。謹依《法	間 有 能 信 者 即 救 亦 不 問 罪 有 輕 重 謹 依 法 
T47n1966_002:0131b04	華經》文：『佛言：「一切眾生皆是吾子，我則是父，	華 經 文 佛 言 一 切 眾 生 皆 是 吾 子 我 則 是 父 
T47n1966_002:0131b05	汝等累劫眾苦所燒，我皆濟拔令出三界。」』又	汝 等 累 劫 眾 苦 所 燒 我 皆 濟 拔 令 出 三 界 又 
T47n1966_002:0131b06	不問道俗、男女、貴賤、老少、好醜、貧富及罪輕	不 問 道 俗 男 女 貴 賤 老 少 好 醜 貧 富 及 罪 輕 
T47n1966_002:0131b07	重，以是義故，唯論信者，能悔過者，深信成	重 以是義故 唯 論 信 者 能 悔 過 者 深 信 成 
T47n1966_002:0131b08	就，聲聲不絕，念佛名字。經云：『一切諸佛共所	就 聲 聲 不 絕 念 佛 名 字 經 云 一切諸佛 共 所 
T47n1966_002:0131b09	護念，皆得不退轉。』又云：『難信希有之法。』唯取	護 念 皆 得不退轉 又 云 難 信 希 有 之 法 唯 取 
T47n1966_002:0131b10	信心，不云罪人。亦不得言：『女人不得往生。』唯	信 心 不 云 罪 人 亦 不 得 言 女 人 不 得 往 生 唯 
T47n1966_002:0131b11	論信者。若是戒行成就者皆悉往生，即非難	論 信 者 若 是 戒 行 成 就 者 皆 悉 往 生 即 非 難 
T47n1966_002:0131b12	信，亦非希有。善男子、善女人能信不昧，不問	信 亦 非 希 有 善 男 子 善 女 人 能 信 不 昧 不 問 
T47n1966_002:0131b13	罪有輕、重，是病皆除，是罪皆滅，不論遠、近，唯	罪 有 輕 重 是 病 皆 除 是 罪 皆 滅 不 論 遠 近 唯 
T47n1966_002:0131b14	取信心，頓斷疑惑，頓覺念佛，如母救子，故名	取 信 心 頓 斷 疑 惑 頓 覺 念 佛 如 母 救 子 故 名 
T47n1966_002:0131b15	難信希有之法。說此經時，六方恒河沙諸佛，	難 信 希 有 之 法 說 此 經 時 六 方 恒 河 沙 諸 佛 
T47n1966_002:0131b16	各各出舌證明，即知過去、未來、現在眾生，聞	各 各 出 舌 證 明 即 知 過 去 未 來 現 在 眾 生 聞 
T47n1966_002:0131b17	者並皆生疑起謗，不信佛有如是力，故言難	者 並 皆 生 疑 起 謗 不 信 佛 有 如 是 力 故 言 難 
T47n1966_002:0131b18	信希有之法。是恒沙諸佛並皆舒舌，遍覆三	信 希 有 之 法 是 恒 沙 諸 佛 並 皆 舒 舌 遍 覆 三 
T47n1966_002:0131b19	千大千世界，為作證明，有能信者，不言怨親。	千 大千世界 為 作 證 明 有 能 信 者 不 言 怨 親 
T47n1966_002:0131b20	《觀經》云：『念一口阿彌陀佛，滅八十億劫生死	 觀 經 云 念 一 口 阿 彌 陀 佛 滅 八 十 億 劫 生 死 
T47n1966_002:0131b21	之罪。』又經云：『一切諸佛共所護念。』諸佛慈悲	之 罪 又 經 云 一切諸佛 共 所 護 念 諸 佛 慈 悲 
T47n1966_002:0131b22	等心普救，不問道、俗，悔過迴向發願，定不過	等 心 普 救 不 問 道 俗 悔 過 迴 向 發 願 定 不 過 
T47n1966_002:0131b23	時，是名諸佛平等救眾生。念若成就，無罪不	時 是 名 諸 佛 平 等 救 眾 生 念 若 成 就 無 罪 不 
T47n1966_002:0131b24	滅，無病不差，無苦不除，無憂不喜，驚怕之者	滅 無 病 不 差 無 苦 不 除 無 憂 不 喜 驚 怕 之 者 
T47n1966_002:0131b25	尋即自定，晝夜精進，忍辱成就，戒即不破，睡	尋 即 自 定 晝 夜 精 進 忍 辱 成 就 戒 即 不 破 睡 
T47n1966_002:0131b26	即策懃，亦不疲倦，所出言語，一依正教，令人	即 策 懃 亦 不 疲 倦 所 出 言 語 一 依 正 教 令 人 
T47n1966_002:0131b27	樂聞，所行之行。故用孝養之人皆倣習，如是	樂 聞 所 行 之 行 故 用 孝 養 之 人 皆 倣 習 如 是 
T47n1966_002:0131b28	等中心貞志節自在無礙，非是己能修習力，	等 中 心 貞 志 節 自在無礙 非 是 己 能 修 習 力 
T47n1966_002:0131b29	皆是世尊慈悲力也。若有人，聞即悔、即學、即	皆 是 世 尊 慈 悲 力 也 若 有 人 聞 即 悔 即 學 即 
T47n1966_002:0131c01	行、即念佛，是諸佛力。「能信之人，方始覺知：第	行 即 念 佛 是 諸 佛 力 能 信 之 人 方 始 覺 知 第 
T47n1966_002:0131c02	一、身業，不得殺、盜、婬，亦不得打害他一切眾	一 身 業 不 得 殺 盜 婬 亦 不 得 打 害 他 一 切 眾 
T47n1966_002:0131c03	生，亦不得觸世間細滑好華、綾羅、錦繡、繒綵、	生 亦 不 得 觸 世 間 細 滑 好 華 綾 羅 錦 繡 繒 綵 
T47n1966_002:0131c04	緋紫等，縱逢嚴寒，隨寒即死，終不再著。此物	緋 紫 等 縱 逢 嚴 寒 隨 寒 即 死 終 不 再 著 此 物 
T47n1966_002:0131c05	能障當來業道，能沈沒苦海，能令世間疑謗，	能 障 當 來 業 道 能 沈 沒 苦 海 能 令 世 間 疑 謗 
T47n1966_002:0131c06	亦令人怨恨，令人起愛心。女子著好衣，出入	亦 令 人 怨 恨 令 人 起 愛 心 女 子 著 好 衣 出 入 
T47n1966_002:0131c07	遊行，好塗粧粉，令放逸多男子數數頻看不	遊 行 好 塗 粧 粉 令 放 逸 多 男 子 數 數 頻 看 不 
T47n1966_002:0131c08	捨，父母多憂便起嗔怒，兄弟懷愁起大嗔怒，	捨 父 母 多 憂 便 起 嗔 怒 兄 弟 懷 愁 起 大 嗔 怒 
T47n1966_002:0131c09	世人略見即生疑謗，師僧若見即破淨戒，賊	世 人 略 見 即 生 疑 謗 師 僧 若 見 即 破 淨 戒 賊 
T47n1966_002:0131c10	人見時即起盜心，如是等障皆好衣過患，不	人 見 時 即 起 盜 心 如 是 等 障 皆 好 衣 過 患 不 
T47n1966_002:0131c11	可盡說。若是孝行者，至死不著好衣，孝行俱	可 盡 說 若 是 孝 行 者 至 死 不 著 好 衣 孝 行 俱 
T47n1966_002:0131c12	成，身行正行，禮讚不虧，迴旋出入，不得擺手	成 身 行 正 行 禮 讚 不 虧 迴 旋 出 入 不 得 擺 手 
T47n1966_002:0131c13	急行，亦不得迴頭反視，亦不得抑睛戾眼，若	急 行 亦 不 得 迴 頭 反 視 亦 不 得 抑 睛 戾 眼 若 
T47n1966_002:0131c14	坐不得舒脚，亦不得托地，不得欹睡倚物，唯	坐 不 得 舒 脚 亦 不 得 托 地 不 得 欹 睡 倚 物 唯 
T47n1966_002:0131c15	老、病不在此例。若論眠時，不得脫衣服，亦不	老 病 不 在 此 例 若 論 眠 時 不 得 脫 衣 服 亦 不 
T47n1966_002:0131c16	得仰眠舒脚及語，此是放逸懈怠，唯除老、病	得 仰 眠 舒 脚 及 語 此 是 放逸懈怠 唯 除 老 病 
T47n1966_002:0131c17	及困時即暫得。苦策懃，晚眠早起，日日如健，	及 困 時 即 暫 得 苦 策 懃 晚 眠 早 起 日 日 如 健 
T47n1966_002:0131c18	神情變利，智慧日日增。若不行依，即名放逸	神 情 變 利 智 慧 日 日 增 若 不 行 依 即 名 放 逸 
T47n1966_002:0131c19	不信之人，罪復不滅，萬事不成，何況病、苦？亦	不 信 之 人 罪 復 不 滅 萬 事 不 成 何 況 病 苦 亦 
T47n1966_002:0131c20	不得往生。「第二、口業，不得飲酒、食肉及五辛、	不 得 往 生 第 二 口 業 不 得 飲 酒 食 肉 及 五 辛 
T47n1966_002:0131c21	糟醋、酒酵、[麩夫+少]麵、乳酪、酥、密、粳糯世間上味飯	糟 醋 酒 酵 [麩夫少] 麵 乳 酪 酥 密 粳 糯 世 間 上 味 飯 
T47n1966_002:0131c22	食。如是等食，縱逢大饑，寧當忍饑即死，更不	食 如 是 等 食 縱 逢 大 饑 寧 當 忍 饑 即 死 更 不 
T47n1966_002:0131c23	再食。殺、盜、婬、妄語、嫉妬語、嗔恚語、我慢語、	再 食 殺 盜 婬 妄 語 嫉 妬 語 嗔 恚 語 我 慢 語 
T47n1966_002:0131c24	欺凌語、怨恨語、疑謗語、求財語、兩舌語、說	欺 凌 語 怨 恨 語 疑 謗 語 求 財 語 兩 舌 語 說 
T47n1966_002:0131c25	他人長短鬪亂語、諂曲語、毀呰愚癡語、惡呪	他 人 長 短 鬪 亂 語 諂 曲 語 毀 呰 愚 癡 語 惡 呪 
T47n1966_002:0131c26	語如是等語，若欲說時無有盡期。但是聞人	語 如 是 等 語 若 欲 說 時 無 有 盡 期 但 是 聞 人 
T47n1966_002:0131c27	善、惡言語，皆不得說，此是無盡、無益，鬪諍語	善 惡 言 語 皆 不 得 說 此 是 無 盡 無 益 鬪 諍 語 
T47n1966_002:0131c28	多著魔，亦令人病發。若不再說，與佛教相應，	多 著 魔 亦 令 人 病 發 若 不 再 說 與 佛 教 相 應 
T47n1966_002:0131c29	不勞讀經書，唯加念佛，行、住、坐、臥不礙生活，	不 勞 讀 經 書 唯 加 念 佛 行 住 坐 臥 不 礙 生 活 
T47n1966_002:0132a01	聲聲不絕，念佛不移，唯急喚大作聲，復須分	聲 聲 不 絕 念 佛 不 移 唯 急 喚 大 作 聲 復 須 分 
T47n1966_002:0132a02	明道字，此教猶如小兒喚母，急急不得散。外	明 道 字 此 教 猶 如 小 兒 喚 母 急 急 不 得 散 外 
T47n1966_002:0132a03	去惡緣，此是定心。坐禪念佛定。各有多門道、	去 惡 緣 此 是 定 心 坐 禪 念 佛 定 各 有 多 門 道 
T47n1966_002:0132a04	俗，但得心清淨，不問男女、貴賤，唯取信敬、孝	俗 但 得 心 清 淨 不 問 男 女 貴 賤 唯 取 信 敬 孝 
T47n1966_002:0132a05	養之人，但能皆得病苦消滅，道業成就。以是	養 之 人 但 能 皆 得 病 苦 消 滅 道 業 成 就 以 是 
T47n1966_002:0132a06	義故，六方諸佛出廣長舌相，證明不虛。又云：	義 故 六 方 諸 佛 出 廣長舌相 證 明 不 虛 又 云 
T47n1966_002:0132a07	『能信、專念不捨之人，一切諸佛共所護念。』此	 能 信 專 念 不 捨 之 人 一切諸佛 共 所 護 念 此 
T47n1966_002:0132a08	是《彌陀經》文，現在流行，處處不絕。「第三、意業，	是 彌 陀 經 文 現 在 流 行 處 處 不 絕 第 三 意 業 
T47n1966_002:0132a09	不得非理貪、癡，不得心生疑謗，不得心生蛆	不 得 非 理 貪 癡 不 得 心 生 疑 謗 不 得 心 生 蛆 
T47n1966_002:0132a10	姤怨，不得心生殺、盜、婬、妄想惡緣，不得心生	姤 怨 不 得 心 生 殺 盜 婬 妄 想 惡 緣 不 得 心 生 
T47n1966_002:0132a11	我慢貢高、輕蔑他人、自是非他、耽財愛色，若	我 慢 貢 高 輕 蔑 他 人 自 是 非 他 耽 財 愛 色 若 
T47n1966_002:0132a12	起如是之心，放逸自恣，詐嗔、虛喜，不實之心，	起 如 是 之 心 放 逸 自 恣 詐 嗔 虛 喜 不 實 之 心 
T47n1966_002:0132a13	諸佛必知，不來相救。如有道俗、貴賤、貧富，皆	諸 佛 必 知 不 來 相 救 如 有 道 俗 貴 賤 貧 富 皆 
T47n1966_002:0132a14	須平等，不問怨、親，與佛教相應。若無此心，發	須 平 等 不 問 怨 親 與 佛 教 相 應 若 無 此 心 發 
T47n1966_002:0132a15	露懺悔，盡形為期，死、生不移，如是等人前念	露 懺 悔 盡 形 為 期 死 生 不 移 如 是 等 人 前 念 
T47n1966_002:0132a16	迴向，後念即覺，如子憶母養子，不辭勞倦，不	迴 向 後 念 即 覺 如 子 憶 母 養 子 不 辭 勞 倦 不 
T47n1966_002:0132a17	避辛苦，尋即往看。若能如是者，始大慈悲，意	避 辛 苦 尋 即 往 看 若 能 如 是 者 始 大 慈 悲 意 
T47n1966_002:0132a18	業清淨，平等如虛空。三業、六根如是等行，依	業 清 淨 平 等 如 虛 空 三 業 六 根 如 是 等 行 依 
T47n1966_002:0132a19	戒律如法修行。所違觸者，不可一一具陳。「唯	戒 律 如 法 修 行 所 違 觸 者 不 可 一 一 具 陳 唯 
T47n1966_002:0132a20	願正念、正迴向，慈悲深信決定，至誠不退。	願 正 念 正 迴 向 慈 悲 深 信 決 定 至 誠 不 退 
T47n1966_002:0132a21	若與言教不相應，縱令念佛，共不能救，罪亦	若 與 言 教 不 相 應 縱 令 念 佛 共 不 能 救 罪 亦 
T47n1966_002:0132a22	不滅，病苦難除。貪財敗德，及禍之基，取之非	不 滅 病 苦 難 除 貪 財 敗 德 及 禍 之 基 取 之 非 
T47n1966_002:0132a23	理，為惡之本。一切惡誓願斷，一切善誓願修，	理 為 惡 之 本 一 切 惡 誓 願 斷 一 切 善 誓 願 修 
T47n1966_002:0132a24	恒沙功德誓願滿，無上佛道誓願成。」	恒 沙 功 德 誓 願 滿 無 上 佛 道 誓 願 成 
T47n1966_002:0132a25	弟子(某甲)等稽首和南，盡虛空遍法界一切諸佛	弟 子 某 甲 等 稽 首 和 南 盡 虛 空 遍 法 界 一切諸佛 
T47n1966_002:0132a26	十二部經，諸大菩薩、聲聞、緣覺一切賢聖，受	十二部經 諸 大 菩 薩 聲 聞 緣 覺 一 切 賢 聖 受 
T47n1966_002:0132a27	弟子等請，來入道場證明，弟子今日今時蒙	弟 子 等 請 來 入 道 場 證 明 弟 子 今 日 今 時 蒙 
T47n1966_002:0132a28	善知識教，弟子發露懺悔，未覺悟時，及覺悟	善 知 識 教 弟 子 發 露 懺 悔 未 覺 悟 時 及 覺 悟 
T47n1966_002:0132a29	已來，於其中間，三業造罪，身業不善，殺害眾	已 來 於其中間 三 業 造 罪 身 業 不 善 殺 害 眾 
T47n1966_002:0132b01	生不可知數；偷盜財物廣若恒沙；婬欲熾盛	生 不 可 知 數 偷 盜 財 物 廣 若 恒 沙 婬 欲 熾 盛 
T47n1966_002:0132b02	污諸淨行；口業不善，妄語、綺語、惡口、兩舌，誹	污 諸 淨 行 口 業 不 善 妄 語 綺 語 惡 口 兩 舌 誹 
T47n1966_002:0132b03	謗三寶鬪亂無邊；意業不善，貪名求利如海	謗 三 寶 鬪 亂 無 邊 意 業 不 善 貪 名 求 利 如 海 
T47n1966_002:0132b04	吞流，嗔恚猛火燒諸功德，十惡業罪無明所	吞 流 嗔 恚 猛 火 燒 諸 功 德 十 惡 業 罪 無 明 所 
T47n1966_002:0132b05	作，自作教他，見、聞隨喜，無問大小，不敢覆	作 自 作 教 他 見 聞 隨 喜 無 問 大 小 不 敢 覆 
T47n1966_002:0132b06	藏，今總懺悔。願佛慈悲證明攝受，莫違人願。	藏 今 總 懺 悔 願 佛 慈 悲 證 明 攝 受 莫 違 人 願 
T47n1966_002:0132b07	今日今時所懺諸罪，隨懺即滅。弟子持此念	今 日 今 時 所 懺 諸 罪 隨 懺 即 滅 弟 子 持 此 念 
T47n1966_002:0132b08	佛功德，報恩家債主恩，受取功德，近相捨離	佛 功 德 報 恩 家 債 主 恩 受 取 功 德 近 相 捨 離 
T47n1966_002:0132b09	同生淨土，志心歸命，頂禮阿彌陀佛。	同 生 淨 土 志 心 歸 命 頂 禮 阿 彌 陀 佛 
T47n1966_002:0132b10	「從來生死界，　　未識佛僧時，	 從 來 生 死 界 未 識 佛 僧 時 
T47n1966_002:0132b11	　所造眾惡業，　　因此願消滅。	 所 造 眾 惡 業 因 此 願 消 滅 
T47n1966_002:0132b12	　塵含佛剎土，　　剎中過現佛，	 塵 含 佛 剎 土 剎 中 過 現 佛 
T47n1966_002:0132b13	　我以三業淨，　　久住剎舍中。	 我 以 三 業 淨 久 住 剎 舍 中 
T47n1966_002:0132b14	　凡聖虔誠者，　　皆知淨國土，	 凡 聖 虔 誠 者 皆 知 淨 國 土 
T47n1966_002:0132b15	　喜心咸頂禮，　　普禮念佛人。	 喜 心 咸 頂 禮 普 禮 念 佛 人 
T47n1966_002:0132b16	　書此念佛鏡，　　喜集無上因，	 書 此 念 佛 鏡 喜 集 無 上 因 
T47n1966_002:0132b17	　迴向眾生類，　　共生安樂國。	 迴 向 眾 生 類 共 生 安 樂 國 
T47n1966_002:0132b18	　從今至圓滿，　　在在受生時，	 從 今 至 圓 滿 在 在 受 生 時 
T47n1966_002:0132b19	　常憶於宿命，　　不轉念佛人。	 常 憶 於 宿 命 不 轉 念 佛 人 
T47n1966_002:0132b20	「淨土往生不易聞，　　頓超沙劫證玄門，	 淨 土 往 生 不 易 聞 頓 超 沙 劫 證 玄 門 
T47n1966_002:0132b21	　子呼慈父須來生，　　但慮稱心恐不真。」	 子 呼 慈 父 須 來 生 但 慮 稱 心 恐 不 真 
T47n1966_002:0132b22	修西方十二時	修 西 方 十 二 時 
T47n1966_002:0132b23	平旦寅，被衣出戶整心神，合掌焚香望極樂，	平 旦 寅 被 衣 出 戶 整 心 神 合 掌 焚 香 望 極 樂 
T47n1966_002:0132b24	慇懃遙禮紫金身。	慇 懃 遙 禮 紫 金 身 
T47n1966_002:0132b25	日出卯，不應念佛論多少，安在專心繫一緣，	日 出 卯 不 應 念 佛 論 多 少 安 在 專 心 繫 一 緣 
