T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_002:0106b04	欲心熾盛。以此為苦。宿大哆言。汝著惡衣	欲 心 熾 盛 以 此 為 苦 宿 大 哆 言 汝 著 惡 衣 
T50n2042_002:0106b05	服食於惡食。猶生貪欲。況沙門釋子著好	服 食 於 惡 食 猶 生 貪 欲 況 沙 門 釋 子 著 好 
T50n2042_002:0106b06	衣服而食好食。能無欲也。我兄阿恕伽王無	衣 服 而 食 好 食 能 無 欲 也 我 兄 阿 恕 伽 王 無 
T50n2042_002:0106b07	所別知。為諸沙門之所欺誑。時阿恕伽王聞	所 別 知 為 諸 沙 門 之 所 欺 誑 時 阿 恕 伽 王 聞 
T50n2042_002:0106b08	弟此言。語輔相曰。善作方便使宿大哆令得	弟 此 言 語 輔 相 曰 善 作 方 便 使 宿 大 哆 令 得 
T50n2042_002:0106b09	信解。輔相答言。隨王教勅。王脫天冠纓絡	信 解 輔 相 答 言 隨 王 教 勅 王 脫 天 冠 纓 絡 
T50n2042_002:0106b10	服飾。著洗浴衣入浴室浴。輔相語宿大哆言。	服 飾 著 洗 浴 衣 入 浴 室 浴 輔 相 語 宿 大 哆 言 
T50n2042_002:0106b11	王若死者。汝當代之。今試著是天冠纓絡。	王 若 死 者 汝 當 代 之 今 試 著 是 天 冠 纓 絡 
T50n2042_002:0106b12	為好不也。宿大哆即隨其語而便著之坐御	為 好 不 也 宿 大 哆 即 隨 其 語 而 便 著 之 坐 御 
T50n2042_002:0106b13	座上。王出浴室見宿大哆坐御座上而語之	座 上 王 出 浴 室 見 宿 大 哆 坐 御 座 上 而 語 之 
T50n2042_002:0106b14	曰。我猶未死汝已為王。便作是言。此中有誰。	曰 我 猶 未 死 汝 已 為 王 便 作 是 言 此 中 有 誰 
T50n2042_002:0106b15	時有真陀羅。一手捉劍。一手捉鈴。前白王言。	時 有 真 陀 羅 一 手 捉 劍 一 手 捉 鈴 前 白 王 言 
T50n2042_002:0106b16	何所約勅。王言。宿大哆我今已捨。付汝治罪。	何 所 約 勅 王 言 宿 大 哆 我 今 已 捨 付 汝 治 罪 
T50n2042_002:0106b17	輔相言。宿大哆是王親弟。唯願聽使懺悔改	輔 相 言 宿 大 哆 是 王 親 弟 唯 願 聽 使 懺 悔 改 
T50n2042_002:0106b18	過。王言。用汝之語。聽七日為王。然後殺之。	過 王 言 用 汝 之 語 聽 七 日 為 王 然 後 殺 之 
T50n2042_002:0106b19	於七日中為作百千音樂。百千婆羅門合掌	於七日中 為 作 百 千 音 樂 百 千 婆 羅 門 合 掌 
T50n2042_002:0106b20	稱善。百千妓女圍繞給侍。有四真陀羅以	稱 善 百 千 妓 女 圍 繞 給 侍 有 四 真 陀 羅 以 
T50n2042_002:0106b21	血塗手。面狀欲殺人。在四門下高聲唱言。	血 塗 手 面 狀 欲 殺 人 在 四 門 下 高 聲 唱 言 
T50n2042_002:0106b22	一日已過餘六日在。屠裂汝身分分肢體。	一 日 已 過 餘 六 日 在 屠 裂 汝 身 分 分 肢 體 
T50n2042_002:0106b23	絕斷汝命。將亡不遠。如上一日。乃至七日	絕 斷 汝 命 將 亡 不 遠 如 上 一 日 乃至七日 
T50n2042_002:0106b24	亦如是唱。七日既滿。將宿大哆至於王所。王	亦 如 是 唱 七 日 既 滿 將 宿 大 哆 至 於 王 所 王 
T50n2042_002:0106b25	問弟言。汝七日中極為樂不。宿大哆答言我。	問 弟 言 汝 七 日 中 極 為 樂 不 宿 大 哆 答 言 我 
T50n2042_002:0106b26	七日中。目不見色。耳不聞聲。鼻不嗅香。舌不	七 日 中 目 不 見 色 耳 不 聞 聲 鼻 不 嗅 香 舌 不 
T50n2042_002:0106b27	別味。何以故。見真陀羅捉劍唱言。汝已一日	別 味 何 以 故 見 真 陀 羅 捉 劍 唱 言 汝 已 一 日 
T50n2042_002:0106b28	為王。餘六日在。日日如是乃至七日為死火	為 王 餘 六 日 在 日 日 如 是 乃至七日 為 死 火 
T50n2042_002:0106b29	逼惱。思惟怖畏通夜不寐。有何樂也。王言。	逼 惱 思 惟 怖 畏 通 夜 不 寐 有 何 樂 也 王 言 
T50n2042_002:0106c01	汝憂一身之死猶。尚不以王位為樂。況沙門	汝 憂 一 身 之 死 猶 尚 不 以 王 位 為 樂 況 沙 門 
T50n2042_002:0106c02	釋子觀生老病死憂悲之苦。地獄種種燒炙	釋 子 觀 生老病死 憂 悲 之 苦 地 獄 種 種 燒 炙 
T50n2042_002:0106c03	之苦。畜生重擔更相殘害恐怖之苦。諸餓鬼	之 苦 畜 生 重 擔 更 相 殘 害 恐 怖 之 苦 諸 餓 鬼 
T50n2042_002:0106c04	等飢渴之苦。人中富樂。猶有八苦隨逐其	等 飢 渴 之 苦 人 中 富 樂 猶 有 八 苦 隨 逐 其 
T50n2042_002:0106c05	身。況無福者。諸天雖樂衰退時苦。一切三	身 況 無 福 者 諸 天 雖 樂 衰 退 時 苦 一 切 三 
T50n2042_002:0106c06	界受生之類。身苦。心苦如是等苦之所逼切。	界 受 生 之 類 身 苦 心 苦 如 是 等 苦 之 所 逼 切 
T50n2042_002:0106c07	五陰是真陀羅。六情如空聚。五塵如怨賊。	五 陰 是 真 陀 羅 六 情 如 空 聚 五 塵 如 怨 賊 
T50n2042_002:0106c08	三界皆為無常大火之所燒然。一切無常苦	三 界 皆 為 無 常 大 火 之 所 燒 然 一 切 無 常 苦 
T50n2042_002:0106c09	空無我。以是義故。云何當言沙門釋子不能	空 無 我 以是義故 云 何 當 言 沙 門 釋 子 不 能 
T50n2042_002:0106c10	苦行無解脫也。沙門之志。於諸樂事都無	苦 行 無 解 脫 也 沙 門 之 志 於 諸 樂 事 都 無 
T50n2042_002:0106c11	所染。譬如蓮花不著於水。厭患生死棄背世	所 染 譬 如 蓮 花 不 著 於 水 厭 患 生 死 棄 背 世 
T50n2042_002:0106c12	間亦復如是。云何不得解脫果也。阿恕伽王	間 亦復如是 云 何 不得解脫 果 也 阿 恕 伽 王 
T50n2042_002:0106c13	以種種方便教宿大哆。宿大哆於是合掌白	以 種 種 方 便 教 宿 大 哆 宿 大 哆 於 是 合 掌 白 
T50n2042_002:0106c14	王言。大王。我今當歸依三寶。阿恕伽王即	王 言 大 王 我 今 當 歸 依 三 寶 阿 恕 伽 王 即 
T50n2042_002:0106c15	抱弟頸而作是言。我欲使汝信敬佛法。故	抱 弟 頸 而 作 是 言 我 欲 使 汝 信 敬 佛 法 故 
T50n2042_002:0106c16	作是方便。不必殺汝。宿大哆即以香花供養	作 是 方 便 不 必 殺 汝 宿 大 哆 即 以 香 花 供 養 
T50n2042_002:0106c17	佛塔。而聽說法。供養眾僧。便向雞頭摩寺到	佛 塔 而 聽 說 法 供 養 眾 僧 便 向 雞 頭 摩 寺 到 
T50n2042_002:0106c18	於上座夜奢之所。在前而坐。聽其說法。爾時	於 上 座 夜 奢 之 所 在 前 而 坐 聽 其 說 法 爾 時 
T50n2042_002:0106c19	夜奢觀宿大哆過去之世。種諸善根今已成	夜 奢 觀 宿 大 哆 過 去 之 世 種 諸 善 根 今 已 成 
T50n2042_002:0106c20	熟。應當現身得入涅槃。即為讚歎出家之法。	熟 應 當 現 身 得 入 涅 槃 即 為 讚 歎 出 家 之 法 
T50n2042_002:0106c21	宿大哆聞是語已。便生歡喜。於佛法中欲求	宿 大 哆 聞 是 語 已 便 生 歡 喜 於佛法中 欲 求 
T50n2042_002:0106c22	出家。即起合掌白尊者言。今願聽我於佛法	出 家 即 起 合 掌 白 尊 者 言 今 願 聽 我 於 佛 法 
T50n2042_002:0106c23	中出家學道。答言。子先應當白王。宿大哆	中 出家學道 答 言 子 先 應 當 白 王 宿 大 哆 
T50n2042_002:0106c24	即往白王言。大王。聽我出家。我本狂醉如惡	即 往 白 王 言 大 王 聽 我 出 家 我 本 狂 醉 如 惡 
T50n2042_002:0106c25	象無鉤。王以方便鉤我。令得柔伏調順。重垂	象 無 鉤 王 以 方 便 鉤 我 令 得 柔 伏 調 順 重 垂 
T50n2042_002:0106c26	哀愍聽我於彼大明之所修出家法。王聞是	哀 愍 聽 我 於 彼 大 明 之 所 修 出 家 法 王 聞 是 
T50n2042_002:0106c27	語。抱頸哀泣而語弟言。莫發此意。何以故。	語 抱 頸 哀 泣 而 語 弟 言 莫 發 此 意 何 以 故 
T50n2042_002:0106c28	出家名為受醜陋法。著糞掃衣食於乞人。	出 家 名 為 受 醜 陋 法 著 糞 掃 衣 食 於 乞 人 
T50n2042_002:0106c29	所棄之食。宿則樹下鋪以草葉。病則服於	所 棄 之 食 宿 則 樹 下 鋪 以 草 葉 病 則 服 於 
T50n2042_002:0107a01	陳棄之藥。汝少來婉樂不堪受此飢渴寒熱。	陳 棄 之 藥 汝 少 來 婉 樂 不 堪 受 此 飢 渴 寒 熱 
T50n2042_002:0107a02	可息汝心。宿大哆言。我今不為厭患王位。亦	可 息 汝 心 宿 大 哆 言 我 今 不 為 厭 患 王 位 亦 
T50n2042_002:0107a03	復不求天上之樂。亦復無有眾苦惱逼。亦不	復 不 求 天 上 之 樂 亦 復 無 有 眾 苦 惱 逼 亦 不 
T50n2042_002:0107a04	貪於錢財珍寶。亦不怖畏怨敵之難而求出	貪 於 錢 財 珍 寶 亦 不 怖 畏 怨 敵 之 難 而 求 出 
T50n2042_002:0107a05	家也。唯畏生老病死之苦而求出家。為得涅	家 也 唯 畏 生老病死 之 苦 而 求 出 家 為 得 涅 
T50n2042_002:0107a06	槃而求出家。王聞是語。舉聲大哭。宿大哆言。	槃 而 求 出 家 王 聞 是 語 舉 聲 大 哭 宿 大 哆 言 
T50n2042_002:0107a07	王不須哭。生死輪轉不曾休息。會必別離。	王 不 須 哭 生 死 輪 轉 不 曾 休 息 會 必 別 離 
T50n2042_002:0107a08	何用哭為。王言。汝今並可試學乞食。坐此樹	何 用 哭 為 王 言 汝 今 並 可 試 學 乞 食 坐 此 樹 
T50n2042_002:0107a09	下草鋪上宿。於是便與鉢盂錫杖。使從宮	下 草 鋪 上 宿 於 是 便 與 鉢 盂 錫 杖 使 從 宮 
T50n2042_002:0107a10	人次第乞食宮人皆與美好飲食。王責宮人	人 次第乞食 宮 人 皆 與 美 好 飲 食 王 責 宮 人 
T50n2042_002:0107a11	言。何以與彼好美飲食。與麁惡食使令調習。	言 何 以 與 彼 好 美 飲 食 與 麁 惡 食 使 令 調 習 
T50n2042_002:0107a12	宮人受教與麁惡食。得亦復食不生增減。王	宮 人 受 教 與 麁 惡 食 得 亦 復 食 不 生 增 減 王 
T50n2042_002:0107a13	見是已。即語弟言。聽汝出家。汝若出家。必來	見 是 已 即 語 弟 言 聽 汝 出 家 汝 若 出 家 必 來 
T50n2042_002:0107a14	見我。宿大哆既得聽已。向雞頭摩寺而生念	見 我 宿 大 哆 既 得 聽 已 向 雞 頭 摩 寺 而 生 念 
T50n2042_002:0107a15	言。若我於此出家必多妨鬧。即便往至他方	言 若 我 於 此 出 家 必 多 妨 鬧 即 便 往 至 他 方 
T50n2042_002:0107a16	遠國出家學道。精勤得阿羅漢道便生心念。	遠 國 出家學道 精 勤 得阿羅漢 道 便 生 心 念 
T50n2042_002:0107a17	昔阿育王與我要言。若出家者必來見我今	昔 阿 育 王 與 我 要 言 若 出 家 者 必 來 見 我 今 
T50n2042_002:0107a18	宜往見。即於中前著衣持鉢詣花氏城。漸次	宜 往 見 即 於 中 前 著衣持鉢 詣 花 氏 城 漸 次 
T50n2042_002:0107a19	乞食到王宮門。語守門人言。宿大哆欲求見	乞 食 到 王 宮 門 語 守 門 人 言 宿 大 哆 欲 求 見 
T50n2042_002:0107a20	王。守門之人即往白王言。宿大哆今在門外	王 守 門 之 人 即 往 白 王 言 宿 大 哆 今 在 門 外 
T50n2042_002:0107a21	欲見於王。王言疾將來入。宿大哆入王門。阿	欲 見 於 王 王 言 疾 將 來 入 宿 大 哆 入 王 門 阿 
T50n2042_002:0107a22	育王見其弟便下御座。五體投地為之作禮。	育 王 見 其 弟 便 下 御 座 五體投地 為 之 作 禮 
T50n2042_002:0107a23	起而合掌看宿大哆。泣淚而說偈言。	起 而 合 掌 看 宿 大 哆 泣 淚 而 說 偈 言 
T50n2042_002:0107a24	　一切有生類　　聚集為歡喜	 一 切 有 生 類 聚 集 為 歡 喜 
T50n2042_002:0107a25	　我今觀汝眼　　不見親愛相	 我 今 觀 汝 眼 不 見 親 愛 相 
T50n2042_002:0107a26	　汝必得勝果　　甘露滿汝心	 汝 必 得 勝 果 甘 露 滿 汝 心 
T50n2042_002:0107a27	羅提毱多見宿大哆著糞掃衣執持瓦鉢。平	羅 提 毱 多 見 宿 大 哆 著 糞 掃 衣 執 持 瓦 鉢 平 
T50n2042_002:0107a28	等乞食好惡皆受。亦向於王而說偈言。	等 乞 食 好 惡 皆 受 亦 向 於 王 而 說 偈 言 
T50n2042_002:0107a29	　觀宿大哆　　少欲知足　　所作已辦	 觀 宿 大 哆 少欲知足 所 作 已 辦 
T50n2042_002:0107b01	　故能歡喜　　棄王種族　　并花氏城	 故 能 歡 喜 棄 王 種 族 并 花 氏 城 
T50n2042_002:0107b02	　珍寶庫藏　　及與榮祿　　如捨涕唾	 珍 寶 庫 藏 及 與 榮 祿 如 捨 涕 唾 
T50n2042_002:0107b03	　履行聖種　　永斷結使　　滿足王種	 履 行 聖 種 永 斷 結 使 滿 足 王 種 
T50n2042_002:0107b04	　得大名稱　　莫不歡美	 得 大 名 稱 莫 不 歡 美 
T50n2042_002:0107b05	於是阿恕伽王。扶宿大哆著御座上。以上妙	於 是 阿 恕 伽 王 扶 宿 大 哆 著 御 座 上 以 上 妙 
T50n2042_002:0107b06	飲食手自過與。飲食已竟行清淨水。取一小	飲 食 手 自 過 與 飲 食 已 竟 行 清 淨 水 取 一 小 
T50n2042_002:0107b07	座在前而坐求使說法。宿大哆便為說偈。	座 在 前 而 坐 求 使 說 法 宿 大 哆 便 為 說 偈 
T50n2042_002:0107b08	　王位尊豪莫放逸　　三寶難值當供養	 王 位 尊 豪 莫 放 逸 三 寶 難 值 當 供 養 
T50n2042_002:0107b09	說此偈已從座起去。王與五百輔相城內人	說 此 偈 已 從 座 起 去 王 與 五 百 輔 相 城 內 人 
T50n2042_002:0107b10	民。圍繞恭敬送到門外。是名現證沙門之果。	民 圍 繞 恭 敬 送 到 門 外 是 名 現 證 沙 門 之 果 
T50n2042_002:0107b11	宿大哆作是念言。我兄昔以多種方便化我	宿 大 哆 作是念言 我 兄 昔 以 多 種 方 便 化 我 
T50n2042_002:0107b12	令入佛法之中。今當使彼增益信敬。即踊身	令 入 佛 法 之 中 今 當 使 彼 增 益 信 敬 即 踊 身 
T50n2042_002:0107b13	虛空作種種變。阿育王與諸群臣舉手說偈。	虛 空 作 種 種 變 阿 育 王 與 諸 群 臣 舉 手 說 偈 
T50n2042_002:0107b14	　斷絕恩愛親　　如鳥飛空去	 斷 絕 恩 愛 親 如 鳥 飛 空 去 
T50n2042_002:0107b15	　我為王位縛　　保愛於世事	 我 為 王 位 縛 保 愛 於 世 事 
T50n2042_002:0107b16	　嫌呵譏賤我　　而自獨解脫	 嫌 呵 譏 賤 我 而 自 獨 解 脫 
T50n2042_002:0107b17	　如此之果報　　由心得自在	 如 此 之 果 報 由 心得自在 
T50n2042_002:0107b18	　禪定之果報　　愚闇盲不見	 禪 定 之 果 報 愚 闇 盲 不 見 
T50n2042_002:0107b19	　汝今飛騰去　　破我之憍慢	 汝 今 飛 騰 去 破 我 之 憍 慢 
T50n2042_002:0107b20	　我智力亦微　　使我得厭離	 我 智 力 亦 微 使 我 得 厭 離 
T50n2042_002:0107b21	於是宿大哆飛向邊地。到他國已即遇大病	於 是 宿 大 哆 飛 向 邊 地 到 他 國 已 即 遇 大 病 
T50n2042_002:0107b22	頭髮除落。王聞其病遣醫齎藥往彼療治。病	頭 髮 除 落 王 聞 其 病 遣 醫 齎 藥 往 彼 療 治 病 
T50n2042_002:0107b23	得差已髮生如故。遣醫還去。後宿大哆食酪	得 差 已 髮 生 如 故 遣 醫 還 去 後 宿 大 哆 食 酪 
T50n2042_002:0107b24	之時。身則安隱為易得故。徙就曠野放牧邊	之 時 身 則 安 隱 為 易 得 故 徙 就 曠 野 放 牧 邊 
T50n2042_002:0107b25	住。時弗那槃達有尼乾陀弟子。畫作佛像而	住 時 弗 那 槃 達 有 尼 乾 陀 弟 子 畫 作 佛 像 而 
T50n2042_002:0107b26	令禮拜於尼乾子像。時佛弟子優婆塞者語	令 禮 拜 於 尼 乾 子 像 時 佛 弟 子 優 婆 塞 者 語 
T50n2042_002:0107b27	阿恕伽王言。外道尼乾子弟子畫作佛像。	阿 恕 伽 王 言 外 道 尼 乾 子 弟 子 畫 作 佛 像 
T50n2042_002:0107b28	令禮拜外道尼乾子像。王聞瞋恚即便驅使。	令 禮 拜 外 道 尼 乾 子 像 王 聞 瞋 恚 即 便 驅 使 
T50n2042_002:0107b29	上及四十里夜叉鬼。下及四十里諸龍等。一	上 及 四 十 里 夜 叉 鬼 下 及 四 十 里 諸 龍 等 一 
T50n2042_002:0107c01	日之中殺萬八千尼乾陀子於花氏城。花氏	日 之 中 殺 萬 八 千 尼 乾 陀 子 於 花 氏 城 花 氏 
T50n2042_002:0107c02	城中復有尼乾子。亦畫佛像令禮拜外道尼	城 中 復 有 尼 乾 子 亦 畫 佛 像 令 禮 拜 外 道 尼 
T50n2042_002:0107c03	乾陀像。時有優婆塞已告於王。王聞大瞋捉	乾 陀 像 時 有 優 婆 塞 已 告 於 王 王 聞 大 瞋 捉 
T50n2042_002:0107c04	尼乾陀并其眷屬以火燒殺。擊鼓唱言若有	尼 乾 陀 并 其 眷 屬 以 火 燒 殺 擊 鼓 唱 言 若 有 
T50n2042_002:0107c05	能得尼乾子頭當賞金錢。後宿大哆於尼乾子	能 得 尼 乾 子 頭 當 賞 金 錢 後 宿 大 哆 於 尼 乾 子 
T50n2042_002:0107c06	舍寄宿。著惡衣服頭髮極長。與尼乾陀子形	舍 寄 宿 著 惡 衣 服 頭 髮 極 長 與 尼 乾 陀 子 形 
T50n2042_002:0107c07	貌相類。有鬼持刀在一面立。宿大哆自生念	貌 相 類 有 鬼 持 刀 在 一 面 立 宿 大 哆 自 生 念 
T50n2042_002:0107c08	言。我之宿緣應為此鬼之所殺害。時鬼謂是	言 我 之 宿 緣 應 為 此 鬼 之 所 殺 害 時 鬼 謂 是 
T50n2042_002:0107c09	尼乾陀子。即便斬頭。持至王所而索金錢。	尼 乾 陀 子 即 便 斬 頭 持 至 王 所 而 索 金 錢 
T50n2042_002:0107c10	王見識是宿大哆頭。復聞一臣道外沙門被	王 見 識 是 宿 大 哆 頭 復 聞 一 臣 道 外 沙 門 被 
T50n2042_002:0107c11	殺者多所有者少。極為懊惱悶絕躄地。以水	殺 者 多 所 有 者 少 極 為 懊 惱 悶 絕 躄 地 以 水 
T50n2042_002:0107c12	灑面久乃得蘇。輔相白王言。今諸沙門濫死	灑 面 久 乃 得 蘇 輔 相 白 王 言 今 諸 沙 門 濫 死 
T50n2042_002:0107c13	者多。王當施於沙門無畏。王即作號令言。自	者 多 王 當 施 於 沙 門 無 畏 王 即 作 號 令 言 自 
T50n2042_002:0107c14	今已後一切沙門制不聽殺。諸比丘等心生	今 已 後 一 切 沙 門 制 不 聽 殺 諸 比 丘 等 心 生 
T50n2042_002:0107c15	疑網。而問尊者優波毱多言。有何因緣。宿大	疑 網 而 問 尊 者 優 波 毱 多 言 有何因緣 宿 大 
T50n2042_002:0107c16	哆為鬼所殺。答言。若欲知者。至心諦聽。過	哆 為 鬼 所 殺 答 言 若 欲 知 者 至 心 諦 聽 過 
T50n2042_002:0107c17	去之世有一獵師。水邊著羂。有辟支佛乞	去 之 世 有 一 獵 師 水 邊 著 羂 有 辟 支 佛 乞 
T50n2042_002:0107c18	食來過。在其羂邊樹下而坐。時彼獵師不能	食 來 過 在 其 羂 邊 樹 下 而 坐 時 彼 獵 師 不 能 
T50n2042_002:0107c19	得鹿。自思惟。以何意故。鹿今都不近我羂耶。	得 鹿 自 思 惟 以 何 意 故 鹿 今 都 不 近 我 羂 耶 
T50n2042_002:0107c20	便四顧望見辟支佛於其羂傍一樹下坐。即	便 四 顧 望 見 辟 支 佛 於 其 羂 傍 一 樹 下 坐 即 
T50n2042_002:0107c21	以劍斬頭。爾時獵師今宿大哆。是以其往昔	以 劍 斬 頭 爾 時 獵 師 今 宿 大 哆 是 以 其 往 昔 
