T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_001:1030b11	瀑布掛長川。即謂在山南者也。孟浩然詩云。	瀑 布 掛 長 川 即 謂 在 山 南 者 也 孟 浩 然 詩 云 
T51n2095_001:1030b12	桂席數千里。好山都未逢。艤舟尋陽郭。始見	桂 席 數 千 里 好 山 都 未 逢 艤 舟 尋 陽 郭 始 見 
T51n2095_001:1030b13	香鑪峯。即此峯也。東林寺正在其下。過香鑪	香 鑪 峯 即 此 峯 也 東 林 寺 正 在 其 下 過 香 鑪 
T51n2095_001:1030b14	峯。至峯頂院。院傍盤石極平廣。下視空闊。無	峯 至 峯 頂 院 院 傍 盤 石 極 平 廣 下 視 空 闊 無 
T51n2095_001:1030b15	復障蔽。張野山記云。峯頂有大石。可坐數百	復 障 蔽 張 野 山 記 云 峯 頂 有 大 石 可 坐 數 百 
T51n2095_001:1030b16	人。蓋謂此也。峯下有藏經嵒。即會昌所以藏	人 蓋 謂 此 也 峯 下 有 藏 經 嵒 即 會 昌 所 以 藏 
T51n2095_001:1030b17	東林之經也。有南唐廣道庵基。峯頂之南十	東 林 之 經 也 有 南 唐 廣 道 庵 基 峯 頂 之 南 十 
T51n2095_001:1030b18	里。有香積庵。過香積。下視五老峯。望落星石	里 有 香 積 庵 過 香 積 下 視 五 老 峯 望 落 星 石 
T51n2095_001:1030b19	在水中。如覆盃。直下山二十里。則山南棲賢	在 水 中 如 覆 盃 直 下 山 二 十 里 則 山 南 棲 賢 
T51n2095_001:1030b20	之澗。東萬壽源也。路極險。人罕由之。予熙寧	之 澗 東 萬 壽 源 也 路 極 險 人 罕 由 之 予 熙 寧 
T51n2095_001:1030b21	四年九月。與數道人。飯于峯頂。由香積路策	四 年 九 月 與 數 道 人 飯 于 峯 頂 由 香 積 路 策 
T51n2095_001:1030b22	杖而下。其至棲賢。則日夕矣。峯頂院之前。有	杖 而 下 其 至 棲 賢 則 日 夕 矣 峯 頂 院 之 前 有 
T51n2095_001:1030b23	辟蛇。行者飲牛池。遠公始居山多蛇虫。行者	辟 蛇 行 者 飲 牛 池 遠 公 始 居 山 多 蛇 虫 行 者 
T51n2095_001:1030b24	不知何許人。甞侍遠公。善驅蛇。蛇為之盡去。	不 知 何 許 人 甞 侍 遠 公 善 驅 蛇 蛇 為 之 盡 去 
T51n2095_001:1030b25	故號辟蛇行者。常耕于峯頂。有辟蛇行者田。	故 號 辟 蛇 行 者 常 耕 于 峯 頂 有 辟 蛇 行 者 田 
T51n2095_001:1030b26	塍龍髣髴可辨。今無耕者。說者曰。蓋山神云。	塍 龍 髣 髴 可 辨 今 無 耕 者 說 者 曰 蓋 山 神 云 
T51n2095_001:1030b27	故至今山。雖高深。樵蘇弋獵之人。不聞罹蟲	故 至 今 山 雖 高 深 樵 蘇 弋 獵 之 人 不 聞 罹 蟲 
T51n2095_001:1030b28	蛇之毒。山中人言。山有一虎。亦未甞傷人。深	蛇 之 毒 山 中 人 言 山 有 一 虎 亦 未 甞 傷 人 深 
T51n2095_001:1030b29	蹊土中。但時有行跡。人謂之遊山虎。或為遊	蹊 土 中 但 時 有 行 跡 人 謂 之 遊 山 虎 或 為 遊 
T51n2095_001:1030c01	山之客道。此事恐涉譏嫌。亦謂之巡山虎也。	山 之 客 道 此 事 恐 涉 譏 嫌 亦 謂 之 巡 山 虎 也 
T51n2095_001:1030c02	由峯頂五里。至大林。今名寶林寺。梁天監二	由 峯 頂 五 里 至 大 林 今 名 寶 林 寺 梁 天 監 二 
T51n2095_001:1030c03	年。刺史簫綱所造。中廢。唐初復興。故有虞世	年 刺 史 簫 綱 所 造 中 廢 唐 初 復 興 故 有 虞 世 
T51n2095_001:1030c04	南撰。復寺記古有平雲庵。遠法師果園廢寺	南 撰 復 寺 記 古 有 平 雲 庵 遠 法 師 果 園 廢 寺 
T51n2095_001:1030c05	基。辟蛇行者葬牛塚。皆在絕頂。而反平廣延	基 辟 蛇 行 者 葬 牛 塚 皆 在 絕 頂 而 反 平 廣 延 
T51n2095_001:1030c06	袤不知其極。昔謝靈運登絕頂望諸嶠詩之。	袤 不 知 其 極 昔 謝 靈 運 登 絕 頂 望 諸 嶠 詩 之 
T51n2095_001:1030c07	積峽忽復啟。平塗俄已閉。巒隴有合沓。往來	積 峽 忽 復 啟 平 塗 俄 已 閉 巒 隴 有 合 沓 往 來 
T51n2095_001:1030c08	無蹤轍。晝夜蔽日月。冬夏共霜雪。正此處也。	無 蹤 轍 晝 夜 蔽 日 月 冬 夏 共 霜 雪 正 此 處 也 
T51n2095_001:1030c09	又白樂天大林寺詩云。人間四月芳菲盡。山	又 白 樂 天 大 林 寺 詩 云 人 間 四 月 芳 菲 盡 山 
T51n2095_001:1030c10	寺桃花始盛開。長恨春歸。無覓處。不知轉入	寺 桃 花 始 盛 開 長 恨 春 歸 無 覓 處 不 知 轉 入 
T51n2095_001:1030c11	此中來。且序其詩云。余與河南元集虛范陽	此 中 來 且 序 其 詩 云 余 與 河 南 元 集 虛 范 陽 
T51n2095_001:1030c12	張允中南陽張深之廣平宋郁安定梁必范陽	張 允 中 南 陽 張 深 之 廣 平 宋 郁 安 定 梁 必 范 陽 
T51n2095_001:1030c13	張持東林寺沙門法演智滿士堅利辨道深道	張 持 東 林 寺 沙 門 法 演 智 滿 士 堅 利 辨 道 深 道 
T51n2095_001:1030c14	建神照雲皐寂然息慈。凡十有七人。自遺愛	建 神 照 雲 皐 寂 然 息 慈 凡 十 有 七 人 自 遺 愛 
T51n2095_001:1030c15	草堂。歷東西二林。抵化成憩峯頂。登香爐峯。	草 堂 歷 東 西 二 林 抵 化 成 憩 峯 頂 登 香 爐 峯 
T51n2095_001:1030c16	宿天林寺大林窮遠。人跡罕到。環寺多清流。	宿 天 林 寺 大 林 窮 遠 人 跡 罕 到 環 寺 多 清 流 
T51n2095_001:1030c17	蒼石短松瘦竹。寺中唯板屋木器。其僧皆海	蒼 石 短 松 瘦 竹 寺 中 唯 板 屋 木 器 其 僧 皆 海 
T51n2095_001:1030c18	東入。山高地深。時節絕晚。于時孟夏如正二	東 入 山 高 地 深 時 節 絕 晚 于 時 孟 夏 如 正 二 
T51n2095_001:1030c19	月天。梨桃始華。澗草猶短。人物風候與平地	月 天 梨 桃 始 華 澗 草 猶 短 人 物 風 候 與 平 地 
T51n2095_001:1030c20	聚落不同。初到恍然。若別造一世界者。既而	聚 落 不 同 初 到 恍 然 若 別 造 一 世 界 者 既 而 
T51n2095_001:1030c21	周覽屋壁。見蕭郎中存魏郎中弘李補闕渤三	周 覽 屋 壁 見 蕭 郎 中 存 魏 郎 中 弘 李 補 闕 渤 三 
T51n2095_001:1030c22	人姓名文句。余與集虛輩嘆且曰。此地實匡	人 姓 名 文 句 余 與 集 虛 輩 嘆 且 曰 此 地 實 匡 
T51n2095_001:1030c23	廬間第一境。由驛路至山門。曾無半日程。自	廬 間 第 一 境 由 驛 路 至 山 門 曾 無 半 日 程 自 
T51n2095_001:1030c24	蕭魏李今垂二百年。寂而無繼者。嗟乎名利	蕭 魏 李 今 垂 二 百 年 寂 而 無 繼 者 嗟 乎 名 利 
T51n2095_001:1030c25	之誘人也。韓退之題西林寺。故蕭郎中舊堂	之 誘 人 也 韓 退 之 題 西 林 寺 故 蕭 郎 中 舊 堂 
T51n2095_001:1030c26	詩云。郎有女能傳業。伯道無兒可保家。偶到	詩 云 郎 有 女 能 傳 業 伯 道 無 兒 可 保 家 偶 到 
T51n2095_001:1030c27	匡山曾住處。幾行哀淚落煙霞。注云。公有女	匡 山 曾 住 處 幾 行 哀 淚 落 煙 霞 注 云 公 有 女 
T51n2095_001:1030c28	為尼。在江州。今好事者榜其詩。於西林韓集	為 尼 在 江 州 今 好 事 者 榜 其 詩 於 西 林 韓 集 
T51n2095_001:1030c29	中無蕭郎中名。或疑是蕭頴士非也。頴士困	中 無 蕭 郎 中 名 或 疑 是 蕭 頴 士 非 也 頴 士 困 
T51n2095_001:1031a01	躓不達。正所謂蕭郎中存也。凡峯頂大林之	躓 不 達 正 所 謂 蕭 郎 中 存 也 凡 峯 頂 大 林 之 
T51n2095_001:1031a02	景。白公道之備矣。予甞九月遊二林。秋暑未	景 白 公 道 之 備 矣 予 甞 九 月 遊 二 林 秋 暑 未 
T51n2095_001:1031a03	可以却扇。明日至大林。流泉成凝氷矣。又甞	可 以 却 扇 明 日 至 大 林 流 泉 成 凝 氷 矣 又 甞 
T51n2095_001:1031a04	三月遊焉。桃梨飄零。牡丹微開。與公所見者	三 月 遊 焉 桃 梨 飄 零 牡 丹 微 開 與 公 所 見 者 
T51n2095_001:1031a05	略同矣。由寶林一里。至擲筆峯。其峯下臨大	略 同 矣 由 寶 林 一 里 至 擲 筆 峯 其 峯 下 臨 大 
T51n2095_001:1031a06	壑。群峯嶻嵬不可名狀。昔遠公製涅槃經疏。	壑 群 峯 嶻 嵬 不 可 名 狀 昔 遠 公 製 涅 槃 經 疏 
T51n2095_001:1031a07	于此疏成。故以名其峯。其間一峯名文殊臺。	于 此 疏 成 故 以 名 其 峯 其 間 一 峯 名 文 殊 臺 
T51n2095_001:1031a08	即昔藏文殊像。遂亡之此山間矣。由擲筆。峯	即 昔 藏 文 殊 像 遂 亡 之 此 山 間 矣 由 擲 筆 峯 
T51n2095_001:1031a09	一里。至佛手巖。以石為屋。可容百眾。旁有流	一 里 至 佛 手 巖 以 石 為 屋 可 容 百 眾 旁 有 流 
T51n2095_001:1031a10	泉因石為渠。巖上巨石偃若指掌。故名佛手。	泉 因 石 為 渠 巖 上 巨 石 偃 若 指 掌 故 名 佛 手 
T51n2095_001:1031a11	南唐元宗時。有僧行。因住此巖三十年。製華	南 唐 元 宗 時 有 僧 行 因 住 此 巖 三 十 年 製 華 
T51n2095_001:1031a12	嚴別論十卷。詔命不赴。由佛手巖三里。至天	嚴 別 論 十 卷 詔 命 不 赴 由 佛 手 巖 三 里 至 天 
T51n2095_001:1031a13	池院。一名羅漢池。池在山頂。大旱不為之竭。	池 院 一 名 羅 漢 池 池 在 山 頂 大 旱 不 為 之 竭 
T51n2095_001:1031a14	張景詩曰。若以山形此人骨。此池應合是泥	張 景 詩 曰 若 以 山 形 此 人 骨 此 池 應 合 是 泥 
T51n2095_001:1031a15	洹。人以為的句也。其西有羅漢把針巖。四祖	洹 人 以 為 的 句 也 其 西 有 羅 漢 把 針 巖 四 祖 
T51n2095_001:1031a16	坐禪石。文殊亭。世傳代州五臺山文殊所居。	坐 禪 石 文 殊 亭 世 傳 代 州 五 臺 山 文 殊 所 居 
T51n2095_001:1031a17	人之至者往往見兜羅綿雲五色圓光。光中	人 之 至 者 往 往 見 兜 羅 綿 雲 五 色 圓 光 光 中 
T51n2095_001:1031a18	或有菩薩及師子諸相。此山傳有文殊之像。	或 有 菩 薩 及 師 子 諸 相 此 山 傳 有 文 殊 之 像 
T51n2095_001:1031a19	舊矣。近歲自皇祐治平已來。人之所覩不減	舊 矣 近 歲 自 皇 祐 治 平 已 來 人 之 所 覩 不 減 
T51n2095_001:1031a20	五臺。人之記其所見於此亭者多矣。院南下	五 臺 人 之 記 其 所 見 於 此 亭 者 多 矣 院 南 下 
T51n2095_001:1031a21	山一里。有隆禪師塔。名智隆。金州人。南唐保	山 一 里 有 隆 禪 師 塔 名 智 隆 金 州 人 南 唐 保 
T51n2095_001:1031a22	大中。追諡證真禪師。圓智之塔。一名望仙臺。	大 中 追 諡 證 真 禪 師 圓 智 之 塔 一 名 望 仙 臺 
T51n2095_001:1031a23	又名定心石。凡此者皆可以下視。空闊萬里。	又 名 定 心 石 凡 此 者 皆 可 以 下 視 空 闊 萬 里 
T51n2095_001:1031a24	新羅巖在其下二里。巖石之間可庇風雨。亦	新 羅 巖 在 其 下 二 里 巖 石 之 間 可 庇 風 雨 亦 
T51n2095_001:1031a25	有幽泉。可給烹濯。昔海東僧居焉。故謂新羅	有 幽 泉 可 給 烹 濯 昔 海 東 僧 居 焉 故 謂 新 羅 
T51n2095_001:1031a26	巖。其東二里。有十八賢臺。平廣可坐十餘人。	巖 其 東 二 里 有 十 八 賢 臺 平 廣 可 坐 十 餘 人 
T51n2095_001:1031a27	十八賢謂自慧遠法師已下十八人者。由天池	十 八 賢 謂 自 慧 遠 法 師 已 下 十 八 人 者 由 天 池 
T51n2095_001:1031a28	直下山十五里。同名錦繡谷。舊錄云。谷中奇	直 下 山 十 五 里 同 名 錦 繡 谷 舊 錄 云 谷 中 奇 
T51n2095_001:1031a29	花異草不可殫述。三四月間。紅紫匝地。如被	花 異 草 不 可 殫 述 三 四 月 間 紅 紫 匝 地 如 被 
T51n2095_001:1031b01	錦繡。故以為名。今山間幽房小檻往往種瑞	錦 繡 故 以 為 名 今 山 間 幽 房 小 檻 往 往 種 瑞 
T51n2095_001:1031b02	香。太平觀東林寺為盛。其花紫而香烈。非群	香 太 平 觀 東 林 寺 為 盛 其 花 紫 而 香 烈 非 群 
T51n2095_001:1031b03	芳之比。始野生深林草莽中。山人聞其香。尋	芳 之 比 始 野 生 深 林 草 莽 中 山 人 聞 其 香 尋 
T51n2095_001:1031b04	而得之栽培。數年則大茂。今移貿幾遍天下。	而 得 之 栽 培 數 年 則 大 茂 今 移 貿 幾 遍 天 下 
T51n2095_001:1031b05	蓋出此山云。谷之水其源出于谷中曰。錦繡	蓋 出 此 山 云 谷 之 水 其 源 出 于 谷 中 曰 錦 繡 
T51n2095_001:1031b06	源水傍有雙龍庵。次廣福庵。次尊勝庵。次寶	源 水 傍 有 雙 龍 庵 次 廣 福 庵 次 尊 勝 庵 次 寶 
T51n2095_001:1031b07	寧庵。寶寧之西前有石門。其源出于石門間。	寧 庵 寶 寧 之 西 前 有 石 門 其 源 出 于 石 門 間 
T51n2095_001:1031b08	東與錦繡谷之水合。西流五十里。入湓水。由	東 與 錦 繡 谷 之 水 合 西 流 五 十 里 入 湓 水 由 
T51n2095_001:1031b09	雙龍至寶寧四庵。相望皆不百步。同在兩澗	雙 龍 至 寶 寧 四 庵 相 望 皆 不 百 步 同 在 兩 澗 
T51n2095_001:1031b10	之間。靈運望石門詩曰。高峯隔半天。長崖斷	之 間 靈 運 望 石 門 詩 曰 高 峯 隔 半 天 長 崖 斷 
T51n2095_001:1031b11	千里。雞鳴青澗中。猿嘯白雲裏。遠公記云。西	千 里 雞 鳴 青 澗 中 猿 嘯 白 雲 裏 遠 公 記 云 西 
T51n2095_001:1031b12	有石門。其前似雙闕。壁立千餘仞。而瀑布流	有 石 門 其 前 似 雙 闕 壁 立 千 餘 仞 而 瀑 布 流 
T51n2095_001:1031b13	焉。又山記云。始入林渡雙闕。謂則踐其基。登	焉 又 山 記 云 始 入 林 渡 雙 闕 謂 則 踐 其 基 登 
T51n2095_001:1031b14	涉十餘里。乃出林表回步許。便得重崿。東望	涉 十 餘 里 乃 出 林 表 回 步 許 便 得 重 崿 東 望 
T51n2095_001:1031b15	香鑪。秀絕眾流。北眺九江。目流神覽。過此轉	香 鑪 秀 絕 眾 流 北 眺 九 江 目 流 神 覽 過 此 轉 
T51n2095_001:1031b16	覺道隘。而合力進。復數百步。方造頹嶺積石	覺 道 隘 而 合 力 進 復 數 百 步 方 造 頹 嶺 積 石 
T51n2095_001:1031b17	連阜。霜崿。相乘。然後攀弱條涉峭逕。足怠體	連 阜 霜 崿 相 乘 然 後 攀 弱 條 涉 峭 逕 足 怠 體 
T51n2095_001:1031b18	疲。僅達孤松。其下有盤石。可坐十人。至松林	疲 僅 達 孤 松 其 下 有 盤 石 可 坐 十 人 至 松 林 
T51n2095_001:1031b19	尚有十四五里。既至乃傍林際憩龜嶺。視四	尚 有 十 四 五 里 既 至 乃 傍 林 際 憩 龜 嶺 視 四 
T51n2095_001:1031b20	嶺之內。猶觀掌焉。未至松林。又有石懸溜。其	嶺 之 內 猶 觀 掌 焉 未 至 松 林 又 有 石 懸 溜 其 
T51n2095_001:1031b21	下翛然。使人目眩。斯瀑布之源。三流之始。其	下 翛 然 使 人 目 眩 斯 瀑 布 之 源 三 流 之 始 其 
T51n2095_001:1031b22	上有雙石臨虛。若將墜而未落。傍有盤屋紆	上 有 雙 石 臨 虛 若 將 墜 而 未 落 傍 有 盤 屋 紆 
T51n2095_001:1031b23	回。壁立千仞。翠林被崖。萬籟齊響。遺音在	回 壁 立 千 仞 翠 林 被 崖 萬 籟 齊 響 遺 音 在 
T51n2095_001:1031b24	岫。若絕而有聞。靖尋所似境窮邃器深其量	岫 若 絕 而 有 聞 靖 尋 所 似 境 窮 邃 器 深 其 量 
T51n2095_001:1031b25	故也。已上並述石門之勝。今自保寧庵。沿澗	故 也 已 上 並 述 石 門 之 勝 今 自 保 寧 庵 沿 澗 
T51n2095_001:1031b26	東行。過小山。俗名新婦嶺。三里而近有南北	東 行 過 小 山 俗 名 新 婦 嶺 三 里 而 近 有 南 北 
T51n2095_001:1031b27	二石柱峯。鐵舡峯。懸瀑注其前。為龍潭。天將	二 石 柱 峯 鐵 舡 峯 懸 瀑 注 其 前 為 龍 潭 天 將 
T51n2095_001:1031b28	雨。雲物未有不出焉。望其上。正十八賢臺也。	雨 雲 物 未 有 不 出 焉 望 其 上 正 十 八 賢 臺 也 
T51n2095_001:1031b29	石柱峯下有庵基。近歲為澗水所壞。無居者。	石 柱 峯 下 有 庵 基 近 歲 為 澗 水 所 壞 無 居 者 
T51n2095_001:1031c01	蓋昔賢所遊。取道於此。以登絕頂。今人過石	蓋 昔 賢 所 遊 取 道 於 此 以 登 絕 頂 今 人 過 石 
T51n2095_001:1031c02	柱峯無至者矣。由保寧庵五里。至福海庵。由	柱 峯 無 至 者 矣 由 保 寧 庵 五 里 至 福 海 庵 由 
T51n2095_001:1031c03	福海二里。至祥雲庵。祥雲晉田晃書堂。今地	福 海 二 里 至 祥 雲 庵 祥 雲 晉 田 晃 書 堂 今 地 
T51n2095_001:1031c04	名。書堂源。前有香象岡。北名阿那衝。內有阿	名 書 堂 源 前 有 香 象 岡 北 名 阿 那 衝 內 有 阿 
T51n2095_001:1031c05	那寺基。舊傳山間人時聞鍾梵之聲。寺隱不	那 寺 基 舊 傳 山 間 人 時 聞 鍾 梵 之 聲 寺 隱 不 
T51n2095_001:1031c06	見。其旁半里。有羅漢巖。遠公山記云。有□夫	見 其 旁 半 里 有 羅 漢 巖 遠 公 山 記 云 有 夫 
T51n2095_001:1031c07	見人著沙門服。凌虛直上。回身踞鞍。良久□	見 人 著 沙 門 服 凌 虛 直 上 回 身 踞 鞍 良 久 
T51n2095_001:1031c08	與雲氣俱滅。此則得道者。亦所謂阿羅寺之	與 雲 氣 俱 滅 此 則 得 道 者 亦 所 謂 阿 羅 寺 之 
T51n2095_001:1031c09	類也。山深地靈。聖賢所宅。不為過矣。祥雲之	類 也 山 深 地 靈 聖 賢 所 宅 不 為 過 矣 祥 雲 之 
T51n2095_001:1031c10	上十里上有□□□峯頂有庵。同名雲頂。亦	上 十 里 上 有 峯 頂 有 庵 同 名 雲 頂 亦 
T51n2095_001:1031c11	廬山之一峯。特□□□也。由祥雲八里。至月	廬 山 之 一 峯 特 也 由 祥 雲 八 里 至 月 
T51n2095_001:1031c12	輪庵。月輪之旁。有靈□□□靈泉七里。至報	輪 庵 月 輪 之 旁 有 靈 靈 泉 七 里 至 報 
T51n2095_001:1031c13	國庵。由報國一里。東南出官道□甘泉驛。又	國 庵 由 報 國 一 里 東 南 出 官 道 甘 泉 驛 又 
T51n2095_001:1031c14	五里至崇勝禪院。舊名觀音圓通道場。始南	五 里 至 崇 勝 禪 院 舊 名 觀 音 圓 通 道 場 始 南 
T51n2095_001:1031c15	唐乾德六年置。命東吳僧緣德居之賜號。道	唐 乾 德 六 年 置 命 東 吳 僧 緣 德 居 之 賜 號 道 
T51n2095_001:1031c16	濟禪師卒。葬于圓通之東峯。今號廣福院。去	濟 禪 師 卒 葬 于 圓 通 之 東 峯 今 號 廣 福 院 去 
T51n2095_001:1031c17	圓通二里。以圓通之壯觀甲於山北不減。山	圓 通 二 里 以 圓 通 之 壯 觀 甲 於 山 北 不 減 山 
T51n2095_001:1031c18	南之歸宗。而土田上腴。歲入倍之。石渠流水。	南 之 歸 宗 而 土 田 上 腴 歲 入 倍 之 石 渠 流 水 
T51n2095_001:1031c19	二百五十餘丈。水源有清音亭。然是寺也。獨	二百五十 餘 丈 水 源 有 清 音 亭 然 是 寺 也 獨 
T51n2095_001:1031c20	無古今一人題詠碑刻。凡乾德中所賜緣德	無 古 今 一 人 題 詠 碑 刻 凡 乾 德 中 所 賜 緣 德 
T51n2095_001:1031c21	手詔。四道宋齊丘書簡八幅。晉王景遂書百	手 詔 四 道 宋 齊 丘 書 簡 八 幅 晉 王 景 遂 書 百 
T51n2095_001:1031c22	勝軍節度使王崇文書。及道濟所衣三事衲。	勝 軍 節 度 使 王 崇 文 書 及 道 濟 所 衣 三 事 衲 
T51n2095_001:1031c23	並藏于廣福。廣福以上皆隷江州云。	並 藏 于 廣 福 廣 福 以 上 皆 隷 江 州 云 
T51n2095_001:1031c24	廬山記卷第一	廬 山 記 卷 第 一 
T51n2095_002:1032a02	廬山記卷第二	廬 山 記 卷 第 二 
T51n2095_002:1032a04	敘山南篇第三	敘 山 南 篇 第 三 
T51n2095_002:1032a05	由圓通二十里。至康王谷景德觀。舊名康王	由 圓 通 二 十 里 至 康 王 谷 景 德 觀 舊 名 康 王 
