X30n0602_001:0276a06	 妙法蓮華經解序	 妙法蓮華 經 解 序 
X30n0602_002:0294b01	華光如來過十二小劫(至)其佛國土亦復如是。	華 光 如 來 過 十 二 小 劫 至 其 佛 國 土 亦復如是 
X30n0602_002:0294b02	此身子轉記堅滿。使傳續妙道也。過十二小劫。即	此 身 子 轉 記 堅 滿 使 傳 續 妙 道 也 過 十 二 小 劫 即 
X30n0602_002:0294b03	臨滅時也。法華妙道本於燈明。傳於妙光繼於然	臨 滅 時 也 法 華 妙 道 本 於 燈 明 傳 於 妙 光 繼 於 然 
X30n0602_002:0294b04	燈。佛佛授手光光相續。故身子得之而記號華光。	燈 佛 佛 授 手 光 光 相 續 故 身 子 得 之 而 記 號 華 光 
X30n0602_002:0294b05	葢發明是道。使有目者共覩也。堅滿得之又號華	葢 發 明 是 道 使 有 目 者 共 覩 也 堅 滿 得 之 又 號 華 
X30n0602_002:0294b06	足安行。則率循是道使有趾者共由也。至於其國	足 安 行 則 率 循 是 道 使 有 趾 者 共 由 也 至 於 其 國 
X30n0602_002:0294b07	菩薩。行則寶華承足。則從其化者。莫不由是道也。	菩 薩 行 則 寶 華 承 足 則 從 其 化 者 莫 不 由 是 道 也 
X30n0602_002:0294b08	抑記號華足安行。取其帶果行因也。菩薩寶華承	抑 記 號 華 足 安 行 取 其 帶 果 行 因 也 菩 薩 寶 華 承 
X30n0602_002:0294b09	足。取其藉因趍果也。因果互為始終。展轉不離是	足 取 其 藉 因 趍 果 也 因 果 互 為 始 終 展 轉 不 離 是 
X30n0602_002:0294b10	道。欲續而不泯。故有轉記。	道 欲 續 而 不 泯 故 有 轉 記 
X30n0602_002:0294b11	舍利弗(至)像法住世亦三十二小劫。	舍 利 弗 至 像 法 住 世 亦 三 十 二 小 劫 
X30n0602_002:0294b12	法初盛行。人能以現量體悟為正。去聖逾遠。人惟	法 初 盛 行 人 能 以 現 量 體 悟 為 正 去 聖 逾 遠 人 惟 
X30n0602_002:0294b13	以比量倣解為像。正法教理行果備具。像法有教	以 比 量 倣 解 為 像 正 法 教 理 行 果 備 具 像 法 有 教 
X30n0602_002:0294b14	理行而無果。故古多聖賢得道。今乃蔑聞。此正像	理 行 而 無 果 故 古 多 聖 賢 得 道 今 乃 蔑 聞 此 正 像 
X30n0602_002:0294b15	異効也。及乎末法則空騰似量荒唐無實。雖有教	異 効 也 及 乎 末 法 則 空 騰 似 量 荒 唐 無 實 雖 有 教 
X30n0602_002:0294b16	理無行果矣。△二重頌。	理 無 行 果 矣 二 重 頌 
X30n0602_002:0294b17	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X30n0602_002:0294b18	舍利弗來世(至)出家成佛道。	舍 利 弗 來 世 至 出 家 成 佛 道 
X30n0602_002:0294b19	此偈全頌與記。皆即前意。普智即徧知也。佛為王	此 偈 全 頌 與 記 皆 即 前 意 普 智 即 徧 知 也 佛 為 王 
X30n0602_002:0294b20	子時者。諸佛皆示為王子棄國捨榮。警諸貪著。如	子 時 者 諸 佛 皆 示 為 王 子 棄 國 捨 榮 警 諸 貪 著 如 
X30n0602_002:0294b21	八意之於燈明。十六之於智勝。是也。生分已盡梵	八 意 之 於 燈 明 十 六 之 於 智 勝 是 也 生 分 已 盡 梵 
X30n0602_002:0294b22	行已立。所作已辦不受後有。名最後身。	行 已 立 所 作 已 辦 不 受 後 有 名 最 後 身 
X30n0602_002:0294b23	華光佛住世(至)宜應自欣慶。	華 光 佛 住 世 至 宜 應 自 欣 慶 
X30n0602_002:0294b24	△四天人讚喜四。初踊喜。	 四 天 人 讚 喜 四 初 踊 喜 
X30n0602_002:0294c01	爾時四部眾(至)心大歡喜踊躍無量。	爾 時 四 部 眾 至 心大歡喜 踊 躍 無 量 
X30n0602_002:0294c02	踊喜以謂我等亦如是。必當得作佛。△二供佛。	踊 喜 以 謂 我 等 亦 如 是 必 當 得 作 佛 二 供 佛 
X30n0602_002:0294c03	各各脫身所著上衣(至)雨眾天華。	各 各 脫 身 所 著 上 衣 至 雨 眾 天 華 
X30n0602_002:0294c04	衣服人之弢袠也。性障天之弢袠也。迴轉即迴向	衣 服 人 之 弢 袠 也 性 障 天 之 弢 袠 也 迴 轉 即 迴 向 
X30n0602_002:0294c05	意也。諸天因聞妙法得離性障。遂迴小向大。是以	意 也 諸 天 因 聞 妙 法 得 離 性 障 遂 迴 小 向 大 是 以 
X30n0602_002:0294c06	脫衣供佛以藉其誠。表解天弢隳天袠也。衣住空	脫 衣 供 佛 以 藉 其 誠 表 解 天 弢 隳 天 袠 也 衣 住 空 
X30n0602_002:0294c07	中而自迴轉。乃迴向精誠所感也。△三稱讚。	中 而 自 迴 轉 乃 迴 向 精 誠 所 感 也 三 稱 讚 
X30n0602_002:0294c08	而作是言(至)今乃復轉無上最大法輪。	而 作 是 言 至 今 乃 復 轉 無 上 最 大 法 輪 
X30n0602_002:0294c09	昔轉四諦為最小。今轉一乘為最大。△四重頌三。	昔 轉 四 諦 為 最 小 今 轉 一 乘 為 最 大 四 重 頌 三 
X30n0602_002:0294c10	初頌稱讚。	初 頌 稱 讚 
X30n0602_002:0294c11	爾時諸天子欲重宣此義。而說偈言。	爾 時 諸 天 子 欲 重 宣 此 義 而 說 偈 言 
X30n0602_002:0294c12	昔於波羅(柰至)少有能信者。	昔 於 波 羅 柰 至 少 有 能 信 者 
X30n0602_002:0294c13	鹿苑分別五趣眾生。生滅麤相容有能信。今茲一	鹿 苑 分 別 五 趣 眾 生 生 滅 麤 相 容 有 能 信 今 茲 一 
X30n0602_002:0294c14	乘旨妙義奧。故少能信者。△二頌喜意。	乘 旨 妙 義 奧 故 少 能 信 者 二 頌 喜 意 
X30n0602_002:0294c15	我等從昔來(至)最尊無有上。	我 等 從 昔 來 至 最 尊 無 有 上 
X30n0602_002:0294c16	△三結讚迴向。	 三 結 讚 迴 向 
X30n0602_002:0294c17	佛道叵思議(至)盡迴向佛道。	佛 道 叵 思 議 至 盡 迴 向 佛 道 
X30n0602_002:0294c18	結讚自誓迴小向大也。謂今世前世之福業。及值	結 讚 自 誓 迴 小 向 大 也 謂 今 世 前 世 之 福 業 及 值 
X30n0602_002:0294c19	佛所作之功德。皆誓捨小果迴向佛道。叵從反可。	佛 所 作 之 功 德 皆 誓 捨 小 果 迴 向 佛 道 叵 從 反 可 
X30n0602_002:0294c20	謂不可也。△二喻說正文四。初發起喻說四。初	謂 不 可 也 二 喻 說 正 文 四 初 發 起 喻 說 四 初 
X30n0602_002:0294c21	身子自慶。	身 子 自 慶 
X30n0602_002:0294c22	爾時舍利弗白佛言(至)三菩提記。	爾 時 舍 利 弗 白 佛 言 至 三 菩 提 記 
X30n0602_002:0294c23	△二為機起疑。	 二 為 機 起 疑 
X30n0602_002:0294c24	是諸千二百心自在者(至)聞所未聞皆墮疑惑。	是 諸 千 二 百 心自在者 至 聞 所 未 聞 皆 墮 疑 惑 
X30n0602_002:0295a01	心自在。即無學羅漢。學無學即小聲聞。昔蒙佛教	心 自 在 即 無 學 羅 漢 學 無 學 即 小 聲 聞 昔 蒙 佛 教 
X30n0602_002:0295a02	自謂究竟。而息見趣寂。今聞雖說涅槃亦非真滅。	自 謂 究 竟 而 息 見 趣 寂 今 聞 雖 說 涅 槃 亦 非 真 滅 
X30n0602_002:0295a03	是以疑惑也。△三請佛決疑。	是 以 疑 惑 也 三 請 佛 決 疑 
X30n0602_002:0295a04	善哉世尊。願為四眾說其因。緣令離疑惑。	善 哉 世 尊 願 為 四 眾 說 其 因 緣 令 離 疑 惑 
X30n0602_002:0295a05	△四佛與開喻。	 四 佛 與 開 喻 
X30n0602_002:0295a06	爾時佛告舍利弗(至)諸有智者以譬喻得解。	爾 時 佛 告 舍 利 弗 至 諸 有 智 者 以 譬 喻 得 解 
X30n0602_002:0295a07	上皆發起喻說。下文正演喻說。二引火宅喻。明	上 皆 發 起 喻 說 下 文 正 演 喻 說 二 引 火 宅 喻 明 
X30n0602_002:0295a08	昔權教皆為化迷也。△二正引火宅文十。一宅	昔 權 教 皆 為 化 迷 也 二 正 引 火 宅 文 十 一 宅 
X30n0602_002:0295a09	主財力。	主 財 力 
X30n0602_002:0295a10	舍利弗(至)多有田宅及諸僮僕。	舍 利 弗 至 多 有 田 宅 及 諸 僮 僕 
X30n0602_002:0295a11	譬佛王化三界也。國有邑邑有聚落。譬大千有三	譬 佛 王 化 三 界 也 國 有 邑 邑 有 聚 落 譬 大 千 有 三 
X30n0602_002:0295a12	界。三界有六道四生。大長者譬如來。為一切世間	界 三 界 有 六 道 四 生 大 長 者 譬 如 來 為 一切世間 
X30n0602_002:0295a13	之父。其年衰邁譬應緣已久欲般涅槃也。財富無	之 父 其 年 衰 邁 譬 應 緣 已 久 欲 般 涅 槃 也 財 富 無 
X30n0602_002:0295a14	量譬無量知見之法財。多有田宅譬方便智慧之	量 譬 無 量 知 見 之 法 財 多 有 田 宅 譬 方便智慧 之 
X30n0602_002:0295a15	福田。僮僕譬慈悲無倦以佑助正道。從事群機。△	福 田 僮 僕 譬 慈 悲 無 倦 以 佑 助 正 道 從 事 群 機 
X30n0602_002:0295a16	二家廣人眾。	二 家 廣 人 眾 
X30n0602_002:0295a17	其家廣大(至)乃至五百人止住其中。	其 家 廣 大 至 乃 至 五 百 人 止 住 其 中 
X30n0602_002:0295a18	譬五趣苦聚也。家譬三界。一門譬一乘出離之道。	譬 五 趣 苦 聚 也 家 譬 三 界 一 門 譬 一 乘 出 離 之 道 
X30n0602_002:0295a19	五百人譬五趣眾生。言一百二百者。自人天次第	五 百 人 譬 五 趣 眾 生 言 一 百 二 百 者 自 人 天 次 第 
X30n0602_002:0295a20	而數也。△三宅弊火逼。	而 數 也 三 宅 弊 火 逼 
X30n0602_002:0295a21	堂閣朽故墻壁隤落(至)焚燒舍宅。	堂 閣 朽 故 墻 壁 隤 落 至 焚 燒 舍 宅 
X30n0602_002:0295a22	譬身老苦逼也。家有堂閣舍宅。舍宅有墻壁柱根	譬 身 老 苦 逼 也 家 有 堂 閣 舍 宅 舍 宅 有 墻 壁 柱 根 
X30n0602_002:0295a23	梁揀。皆朽腐將傾而不可居。譬三界有五陰眾生。	梁 揀 皆 朽 腐 將 傾 而 不 可 居 譬 三 界 有 五 陰 眾 生 
X30n0602_002:0295a24	眾生有四大命根。支體皆變異速壞而不可保。然	眾 生 有 四 大 命 根 支 體 皆 變 異 速 壞 而 不 可 保 然 
X30n0602_002:0295b01	且於中競造惡業。為五欲財利生死悲惱之所燒	且 於 中 競 造 惡 業 為 五 欲 財 利 生 死 悲 惱 之 所 燒 
X30n0602_002:0295b02	煑。天上人間無能免者。故曰周帀俱時歘然火起。	煑 天 上 人 間 無 能 免 者 故 曰 周 帀 俱 時 歘 然 火 起 
X30n0602_002:0295b03	長者諸子若十二十。或至三十在此宅中。	長 者 諸 子 若 十 二 十 或 至 三 十 在 此 宅 中 
X30n0602_002:0295b04	言五百人。又言諸子者。人則汎舉群生。子則特舉	言 五 百 人 又 言 諸 子 者 人 則 汎 舉 群 生 子 則 特 舉 
X30n0602_002:0295b05	從化者。若十指菩薩子。二十三十指二乘子。前於	從 化 者 若 十 指 菩 薩 子 二 十 三 十 指 二 乘 子 前 於 
X30n0602_002:0295b06	五趣言百。此於三乘言十者。以五趣眾生從三乘	五 趣 言 百 此 於 三 乘 言 十 者 以 五 趣 眾 生 從 三 乘 
X30n0602_002:0295b07	之化者。十一而已。△四長者悲救。	之 化 者 十 一 而 已 四 長 者 悲 救 
X30n0602_002:0295b08	長者見是大火從四面起(至)心不厭患無求出意。	長 者 見 是 大 火 從 四 面 起 至 心 不 厭 患 無 求 出 意 
X30n0602_002:0295b09	譬觀六道苦起大悲心。四面即生老病死四相。為	譬 觀 六 道 苦 起大悲心 四 面 即 生老病死 四 相 為 
X30n0602_002:0295b10	眾苦之本。所燒之門安隱得出。譬佛於生死苦永	眾 苦 之 本 所 燒 之 門 安 隱 得 出 譬 佛 於 生 死 苦 永 
X30n0602_002:0295b11	盡。憂患不能襲也。諸子樂著不覺不怖。譬深著世	盡 憂 患 不 能 襲 也 諸 子 樂 著 不 覺 不 怖 譬 深 著 世 
X30n0602_002:0295b12	樂無有慧心。徒見得忘形見利忘真。火宅之人皆	樂 無 有 慧 心 徒 見 得 忘 形 見 利 忘 真 火 宅 之 人 皆 
X30n0602_002:0295b13	如是也。	如 是 也 
X30n0602_002:0295b14	舍利弗(至)唯有一門而復狹小。	舍 利 弗 至 唯 有 一 門 而 復 狹 小 
X30n0602_002:0295b15	沈思救焚之方也。謂恃身手有力顧幼稚之微。欲	沈 思 救 焚 之 方 也 謂 恃 身 手 有 力 顧 幼 稚 之 微 欲 
X30n0602_002:0295b16	以衣裓密扶而出之。或以几案憑挈而出之。又思	以 衣 裓 密 扶 而 出 之 或 以 几 案 憑 挈 而 出 之 又 思 
X30n0602_002:0295b17	其門狹小不可用此。但以殷勤方便引而出之也。	其 門 狹 小 不 可 用 此 但 以 殷 勤 方 便 引 而 出 之 也 
X30n0602_002:0295b18	此譬三七思惟設教之意。身手全體譬如來知見	此 譬 三 七 思 惟 設 教 之 意 身 手 全 體 譬 如 來 知 見 
X30n0602_002:0295b19	力無所畏。衣裓密用譬有大神力。几案可憑譬智	力 無 所 畏 衣 裓 密 用 譬 有 大 神 力 几 案 可 憑 譬 智 
X30n0602_002:0295b20	慧力。其門狹小譬二乘心劣不堪此法。故後文云。	慧 力 其 門 狹 小 譬 二 乘 心 劣 不 堪 此 法 故 後 文 云 
X30n0602_002:0295b21	若我但以神力及智慧力。讚如來知見力無所畏	若 我 但 以 神 力 及 智 慧 力 讚 如 來 知 見 力 無 所 畏 
X30n0602_002:0295b22	者。眾生不能以是得度。故但以方便拔濟之也。三	者 眾 生 不 能 以 是 得 度 故 但 以 方 便 拔 濟 之 也 三 
X30n0602_002:0295b23	藏法師云。衣裓者西國盛華之具。貢上貴人用之。	藏 法 師 云 衣 裓 者 西 國 盛 華 之 具 貢 上 貴 人 用 之 
X30n0602_002:0295b24	諸子幼稚未有所識(至)汝等速出。	諸 子 幼 稚 未 有 所 識 至 汝 等 速 出 
X30n0602_002:0295c01	憂其無知。明告其害使知趍利。△五諸子癡迷。	憂 其 無 知 明 告 其 害 使 知 趍 利 五 諸 子 癡 迷 
X30n0602_002:0295c02	父雖憐愍善言誘喻(至)但東西走戲視父而已。	父 雖 憐 愍 善 言 誘 喻 至 但 東 西 走 戲 視 父 而 已 
X30n0602_002:0295c03	譬眾生為貪欲所迷。雖遭大苦不以為患。躭湎既	譬 眾 生 為 貪 欲 所 迷 雖 遭 大 苦 不 以 為 患 躭 湎 既 
X30n0602_002:0295c04	甚。不知何者是苦何者是身云何為貪。但迷己逐	甚 不 知 何 者 是 苦 何 者 是 身 云 何 為 貪 但 迷 己 逐 
X30n0602_002:0295c05	物火馳不返。雖值佛法不從其化。特視之而已。△	物 火 馳 不 返 雖 值 佛 法 不 從 其 化 特 視 之 而 已 
X30n0602_002:0295c06	六長者方便。	六 長 者 方 便 
X30n0602_002:0295c07	爾時長者即作是念(至)隨汝所欲皆當與汝。	爾 時 長 者 即 作 是 念 至 隨 汝 所 欲 皆 當 與 汝 
X30n0602_002:0295c08	徒令速出則怫其所欲。既不能化故順其所欲而	徒 令 速 出 則 怫 其 所 欲 既 不 能 化 故 順 其 所 欲 而 
X30n0602_002:0295c09	化之。長者亦自恐被焚者。譬佛示身三界與民同	化 之 長 者 亦 自 恐 被 焚 者 譬 佛 示 身 三 界 與 民 同 
X30n0602_002:0295c10	患也。知子所好等者。譬知諸眾生有種種欲。隨其	患 也 知 子 所 好 等 者 譬 知 諸 眾 生 有 種 種 欲 隨 其 
X30n0602_002:0295c11	本性方便說三也。車表果法。不屬三界。故云今在	本 性 方 便 說 三 也 車 表 果 法 不 屬 三 界 故 云 今 在 
X30n0602_002:0295c12	門外。可以遊戲者。喻法樂可以自娛也。牛正服乘	門 外 可 以 遊 戲 者 喻 法 樂 可 以 自 娛 也 牛 正 服 乘 
X30n0602_002:0295c13	之大力者。正譬大根以任大乘。羊鹿非可服乘。徒	之 大 力 者 正 譬 大 根 以 任 大 乘 羊 鹿 非 可 服 乘 徒 
X30n0602_002:0295c14	以像牛為幼稚玩好之具。權譬小根以任小乘。知	以 像 牛 為 幼 稚 玩 好 之 具 權 譬 小 根 以 任 小 乘 知 
X30n0602_002:0295c15	羊鹿非可服乘徒為玩好之具。即知二乘不足致	羊 鹿 非 可 服 乘 徒 為 玩 好 之 具 即 知 二 乘 不 足 致 
X30n0602_002:0295c16	道。徒為戲論之法而已。△七諸子出宅。	道 徒 為 戲 論 之 法 而 已 七 諸 子 出 宅 
X30n0602_002:0295c17	爾時諸子(至)競共馳走爭出火宅。	爾 時 諸 子 至 競 共 馳 走 爭 出 火 宅 
X30n0602_002:0295c18	言適其欲故化無不從。進之為推退之為排。此爭	言 適 其 欲 故 化 無 不 從 進 之 為 推 退 之 為 排 此 爭 
X30n0602_002:0295c19	出之勢也。譬隨根利鈍決擇三乘以求出離。	出 之 勢 也 譬 隨 根 利 鈍 決 擇 三 乘 以 求 出 離 
X30n0602_002:0295c20	是時長者(至)其心泰然歡喜踊躍。	是 時 長 者 至 其 心 泰 然 歡喜踊躍 
X30n0602_002:0295c21	乍喜諸子脫苦也。四衢露坐等。譬依四諦造偏空	乍 喜 諸 子 脫 苦 也 四 衢 露 坐 等 譬 依 四 諦 造 偏 空 
X30n0602_002:0295c22	而不知進也。	而 不 知 進 也 
X30n0602_002:0295c23	時諸子等各白父言(至)願時賜與。	時 諸 子 等 各 白 父 言 至 願 時 賜 與 
X30n0602_002:0295c24	諸子出宅就父索車。譬因獲三乘之利。遂執三乘	諸 子 出 宅 就 父 索 車 譬 因 獲 三 乘 之 利 遂 執 三 乘 
X30n0602_002:0296a01	之果。△八長者賜車。	之 果 八 長 者 賜 車 
X30n0602_002:0296a02	舍利弗(至)又多僕從而侍衛之。	舍 利 弗 至 又 多 僕 從 而 侍 衛 之 
X30n0602_002:0296a03	譬說三之後等示一乘。使知無二無三。即廢權立	譬 說 三 之 後 等 示 一 乘 使 知 無 二 無 三 即 廢 權 立 
X30n0602_002:0296a04	實也。車譬一乘。牛譬大根。餘表一乘大根之德用	實 也 車 譬 一 乘 牛 譬 大 根 餘 表 一 乘 大 根 之 德 用 
X30n0602_002:0296a05	也。其車高廣者。高出三乘廣攝九部也。眾寶譬萬	也 其 車 高 廣 者 高 出 三 乘 廣 攝 九 部 也 眾 寶 譬 萬 
X30n0602_002:0296a06	行。欄楯譬總持。懸鈴譬四辨之下化。幰葢譬慈悲	行 欄 楯 譬 總 持 懸 鈴 譬 四 辨 之 下 化 幰 葢 譬 慈 悲 
X30n0602_002:0296a07	之普覆。雜寶譬眾善所以嚴慈悲也。寶繩譬四誓	之 普 覆 雜 寶 譬 眾 善 所 以 嚴 慈 悲 也 寶 繩 譬 四 誓 
X30n0602_002:0296a08	所以固慈悲也。垂諸華瓔則外布妙因聯續如瓔。	所 以 固 慈 悲 也 垂 諸 華 瓔 則 外 布 妙 因 聯 續 如 瓔 
X30n0602_002:0296a09	重敷婉筵則內弘忍力柔軟如筵。安置丹枕者。使	重 敷 婉 筵 則 內 弘 忍 力 柔 軟 如 筵 安 置 丹 枕 者 使 
X30n0602_002:0296a10	心冥覺觀而默處是道也。駕以白牛者。非純一大	心 冥 覺 觀 而 默 處 是 道 也 駕 以 白 牛 者 非 純 一 大 
X30n0602_002:0296a11	根不堪此乘也。膚色充潔得其所養而無染也。形	根 不 堪 此 乘 也 膚 色 充 潔 得 其 所 養 而 無 染 也 形 
X30n0602_002:0296a12	體姝好全其所賦而無惡也。有大筋力譬堪任大	體 姝 好 全 其 所 賦 而 無 惡 也 有 大 筋 力 譬 堪 任 大 
