T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_002:0368c26	轉。遂有三界生滅。三有者。即三界也。	轉 遂 有 三 界 生 滅 三 有 者 即 三 界 也 
T39n1789_002:0368c27	　真實無生緣　　亦復無有滅	 真 實 無 生 緣 亦 復 無 有 滅 
T39n1789_002:0368c28	　觀一切有為　　猶如虛空華	 觀 一 切 有 為 猶如虛空 華 
T39n1789_002:0368c29	　攝受及所攝　　捨離惑亂見	 攝 受 及 所 攝 捨 離 惑 亂 見 
T39n1789_002:0369a01	　非已生當生　　亦復無因緣	 非 已 生 當 生 亦 復 無 因 緣 
T39n1789_002:0369a02	　一切無所有　　斯皆是言說	 一 切 無 所 有 斯 皆 是 言 說 
T39n1789_002:0369a03	猶如虛空華者。言眾生於真如實理中。起	猶如虛空 華 者 言 眾 生 於 真 如 實 理 中 起 
T39n1789_002:0369a04	生滅見。如病眼見華耳。攝受及所攝者。乃謂	生 滅 見 如 病 眼 見 華 耳 攝 受 及 所 攝 者 乃 謂 
T39n1789_002:0369a05	能取所取。於此根塵境界。不見有無惑亂等	能取所取 於 此 根 塵 境 界 不 見 有 無 惑 亂 等 
T39n1789_002:0369a06	相。則已生當生一切無有。乃假名言說耳。	相 則 已 生 當 生 一 切 無 有 乃 假 名 言 說 耳 
T39n1789_002:0369a07	爾時大慧菩薩摩訶薩復白佛言。世尊。惟願	爾 時 大 慧 菩薩摩訶薩 復 白 佛 言 世 尊 惟 願 
T39n1789_002:0369a08	為說言說妄想相心經。世尊。我及餘菩薩摩	為 說 言說妄想 相 心 經 世 尊 我 及 餘 菩 薩 摩 
T39n1789_002:0369a09	訶薩若善知言說妄想相心經。則能通達言	訶 薩 若 善 知 言說妄想 相 心 經 則 能 通 達 言 
T39n1789_002:0369a10	說所說二種義。疾得阿耨多羅三藐三菩提。	說 所 說 二 種 義 疾 得阿耨多羅三藐三菩提 
T39n1789_002:0369a11	以言說所說二種。趣淨一切眾生　上云一	以 言 說 所 說 二 種 趣 淨 一 切 眾 生 上 云 一 
T39n1789_002:0369a12	切無所有。斯皆是言說。然凡愚多於言說起	切 無 所 有 斯 皆 是 言 說 然 凡 愚 多 於 言 說 起 
T39n1789_002:0369a13	諸妄想。不能會理故。大慧。發如是問。言心經	諸 妄 想 不 能 會 理 故 大 慧 發 如 是 問 言 心 經 
T39n1789_002:0369a14	者。即此經所說名相妄想。顯示第一義心。二	者 即 此 經 所 說 名 相 妄 想 顯 示 第 一 義 心 二 
T39n1789_002:0369a15	種義者。入楞伽云。通達能說所說義。疾得	種 義 者 入 楞 伽 云 通 達 能 說 所 說 義 疾 得 
T39n1789_002:0369a16	無上菩提。令一切眾生於二義中。亦得清淨	無上菩提 令 一 切 眾 生 於 二 義 中 亦 得 清 淨 
T39n1789_002:0369a17	也。	也 
T39n1789_002:0369a18	佛告大慧。諦聽諦聽。善思念之。當為汝說。大	佛 告 大 慧 諦 聽 諦 聽 善思念之 當 為 汝 說 大 
T39n1789_002:0369a19	慧。白佛言。善哉。世尊。唯然受教。佛告大慧。	慧 白 佛 言 善 哉 世 尊 唯 然 受 教 佛 告 大 慧 
T39n1789_002:0369a20	有四種言說妄想相。謂相言說。夢言說。過妄	有 四 種 言說妄想 相 謂 相 言 說 夢 言 說 過 妄 
T39n1789_002:0369a21	想計著言說。無始妄想言說。相言說者。從	想 計 著 言 說 無 始 妄 想 言 說 相 言 說 者 從 
T39n1789_002:0369a22	自妄想色相計著生。夢言說者。先所經境	自 妄 想 色 相 計 著 生 夢 言 說 者 先 所 經 境 
T39n1789_002:0369a23	界隨憶念生從覺已境界無性生。過妄想計	界 隨 憶 念 生 從 覺 已 境 界 無 性 生 過 妄 想 計 
T39n1789_002:0369a24	著言說者。先怨所作業隨憶念生。無始妄	著 言 說 者 先 怨 所 作 業 隨 憶 念 生 無 始 妄 
T39n1789_002:0369a25	想言說者。無始虛偽計著過自種習氣生。是	想 言 說 者 無 始 虛 偽 計 著 過 自 種 習 氣 生 是 
T39n1789_002:0369a26	名四種言說妄想相　真實理上離言說相一	名 四 種 言說妄想 相 真 實 理 上 離 言 說 相 一 
T39n1789_002:0369a27	尚叵得。豈有四哉。如來說此四者。以言	尚 叵 得 豈 有 四 哉 如 來 說 此 四 者 以 言 
T39n1789_002:0369a28	遣言。雖說第一義心亦當離著。況此四種	遣 言 雖 說 第 一 義 心 亦 當 離 著 況 此 四 種 
T39n1789_002:0369a29	皆說眾生妄想也。相言說者。謂從自心所	皆 說 眾 生 妄 想 也 相 言 說 者 謂 從 自 心 所 
T39n1789_002:0369b01	現妄想色相分別自相共相而生也。夢言說	現 妄 想 色 相 分 別 自相共相 而 生 也 夢 言 說 
T39n1789_002:0369b02	者。謂憶念所歷境界。形於夢寐而有言說。	者 謂 憶 念 所 歷 境 界 形 於 夢 寐 而 有 言 說 
T39n1789_002:0369b03	然覺已無實境界故云無性也。過妄想計著	然 覺 已 無 實 境 界 故 云 無 性 也 過 妄 想 計 著 
T39n1789_002:0369b04	言說者。謂昔有怨讐曾害於我。後時憶念而	言 說 者 謂 昔 有 怨 讐 曾 害 於 我 後 時 憶 念 而 
T39n1789_002:0369b05	生憤恨之言也。無始妄想言說者。謂從無始	生 憤 恨 之 言 也 無 始 妄 想 言 說 者 謂 從 無 始 
T39n1789_002:0369b06	戲論妄執習氣所生也。若能離此四種妄想	戲 論 妄 執 習 氣 所 生 也 若 能 離 此 四 種 妄 想 
T39n1789_002:0369b07	言說。則顯一實妙理矣。	言 說 則 顯 一 實 妙 理 矣 
T39n1789_002:0369b08	爾時大慧菩薩摩訶薩復以此義勸請世尊。	爾 時 大 慧 菩薩摩訶薩 復 以 此 義 勸 請 世 尊 
T39n1789_002:0369b09	惟願更說言說妄想所現境界。世尊。何處何	惟 願 更 說 言說妄想 所 現 境 界 世 尊 何 處 何 
T39n1789_002:0369b10	故云何。何因眾生妄想言說生　此問言說	故 云 何 何 因 眾 生 妄 想 言 說 生 此 問 言 說 
T39n1789_002:0369b11	所起之處也。	所 起 之 處 也 
T39n1789_002:0369b12	佛告大慧。頭胸喉鼻脣舌齗齒和合出音聲。	佛 告 大 慧 頭 胸 喉 鼻 脣 舌 齗 齒 和 合 出 音 聲 
T39n1789_002:0369b13	大慧白佛言。世尊。言說妄想。為異為不異。佛	大 慧 白 佛 言 世 尊 言說妄想 為 異 為 不 異 佛 
T39n1789_002:0369b14	告大慧。言說妄想。非異非不異。所以者何。謂	告 大 慧 言說妄想 非 異 非 不 異 所以者何 謂 
T39n1789_002:0369b15	彼因生相故。大慧。若言說妄想異者。妄想不	彼 因 生 相 故 大 慧 若 言說妄想 異 者 妄 想 不 
T39n1789_002:0369b16	應是因。若不異者。語不顯義而有顯示。是故	應 是 因 若 不 異 者 語 不 顯 義 而 有 顯 示 是 故 
T39n1789_002:0369b17	非異非不異　頭等七處。息風所依和合出	非 異 非 不 異 頭 等 七 處 息 風 所 依 和 合 出 
T39n1789_002:0369b18	聲而成言說。既依眾緣而生則聲為妄矣。故	聲 而 成 言 說 既 依 眾 緣 而 生 則 聲 為 妄 矣 故 
T39n1789_002:0369b19	有第二異不異問。佛答非異非不異者。但以	有 第 二 異 不 異 問 佛 答 非 異 非 不 異 者 但 以 
T39n1789_002:0369b20	分別為因起言說耳。又告。異則妄想不應是	分 別 為 因 起 言 說 耳 又 告 異 則 妄 想 不 應 是 
T39n1789_002:0369b21	因。不異則言說不應顯義。云何而有言說顯	因 不 異 則 言 說 不 應 顯 義 云 何 而 有 言 說 顯 
T39n1789_002:0369b22	示。故曰非異非不異也。	示 故 曰 非 異 非 不 異 也 
T39n1789_002:0369b23	大慧復白佛言。世尊。為言說即是第一義。為	大 慧 復 白 佛 言 世 尊 為 言 說 即 是 第 一 義 為 
T39n1789_002:0369b24	所說者。是第一義。佛告大慧。非言說是第一	所 說 者 是 第 一 義 佛 告 大 慧 非 言 說 是 第 一 
T39n1789_002:0369b25	義。亦非所說是第一義。所以者何。謂第一義	義 亦 非 所 說 是 第 一 義 所以者何 謂 第 一 義 
T39n1789_002:0369b26	聖樂。言說所入是第一義。非言說是第一義。	聖 樂 言 說 所 入 是 第 一 義 非 言 說 是 第 一 義 
T39n1789_002:0369b27	第一義者。聖智自覺所得。非言說妄想覺境	第 一 義 者 聖 智 自 覺 所 得 非 言說妄想 覺 境 
T39n1789_002:0369b28	界。是故言說妄想。不顯示第一義。言說者。生	界 是 故 言說妄想 不 顯 示 第 一 義 言 說 者 生 
T39n1789_002:0369b29	滅動搖展轉因緣起。若展轉因緣起者。彼不	滅 動 搖 展 轉 因 緣 起 若 展 轉 因 緣 起 者 彼 不 
T39n1789_002:0369c01	顯示第一義。大慧自他相無性故。言說相。不	顯 示 第 一 義 大 慧 自 他 相 無 性 故 言 說 相 不 
T39n1789_002:0369c02	顯示第一義。復次大慧。隨入自心現量故。種	顯 示 第 一 義 復 次 大 慧 隨 入 自心現量 故 種 
T39n1789_002:0369c03	種相外性非性。言說妄想不顯示第一義。是	種 相 外 性 非 性 言說妄想 不 顯 示 第 一 義 是 
T39n1789_002:0369c04	故大慧。當離言說諸妄想相　言說者。能詮	故 大 慧 當 離 言 說 諸 妄 想 相 言 說 者 能 詮 
T39n1789_002:0369c05	之教也。所說者。所詮之理也。問意謂此二者。	之 教 也 所 說 者 所 詮 之 理 也 問 意 謂 此 二 者 
T39n1789_002:0369c06	孰為第一義耶。佛答能說所說皆非第一義	孰 為 第 一 義 耶 佛 答 能 說 所 說 皆 非 第 一 義 
T39n1789_002:0369c07	者。雖所詮是理而非自得之妙。似是而非。惟	者 雖 所 詮 是 理 而 非 自 得 之 妙 似 是 而 非 惟 
T39n1789_002:0369c08	聖樂處因言而入。非言說即是也。然聖智樂	聖 樂 處 因 言 而 入 非 言 說 即 是 也 然 聖 智 樂 
T39n1789_002:0369c09	處。是自得之妙。故云非言說妄想覺境界言	處 是 自 得 之 妙 故 云 非 言說妄想 覺 境 界 言 
T39n1789_002:0369c10	說不能顯示第一義者有三。一者言說出於	說 不 能 顯 示 第 一 義 者 有 三 一 者 言 說 出 於 
T39n1789_002:0369c11	生滅動搖。展轉緣起無常故。二者言說問答。	生 滅 動 搖 展 轉 緣 起 無 常 故 二 者 言 說 問 答 
T39n1789_002:0369c12	有自他相故。三者言說妄想不了惟心諸相	有 自 他 相 故 三 者 言說妄想 不 了 惟 心 諸 相 
T39n1789_002:0369c13	無故。乃戒云。當離言說諸妄想相。	無 故 乃 戒 云 當 離 言 說 諸 妄 想 相 
T39n1789_002:0369c14	爾時世尊欲重宣此義而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_002:0369c15	　諸性無自性　　亦復無言說	 諸 性 無 自 性 亦 復 無 言 說 
T39n1789_002:0369c16	　甚深空空義　　愚夫不能了	 甚 深 空 空 義 愚 夫 不 能 了 
T39n1789_002:0369c17	　一切性自性　　言說法如影	 一 切 性 自 性 言 說 法 如 影 
T39n1789_002:0369c18	　自覺聖智子　　實際我所說	 自覺聖智 子 實 際 我 所 說 
T39n1789_002:0369c19	諸性無自性者。離心緣相也。亦復無言說	諸 性 無 自 性 者 離 心 緣 相 也 亦 復 無 言 說 
T39n1789_002:0369c20	者。離言說相也。既絕言思。是為第一義空。愚	者 離 言 說 相 也 既 絕 言 思 是 為 第一義空 愚 
T39n1789_002:0369c21	夫昧此則墮諸有一切性自性等。謂一切法	夫 昧 此 則 墮 諸 有 一 切 性 自 性 等 謂 一 切 法 
T39n1789_002:0369c22	有自性則有言說。然皆不實如影。惟聖智所	有 自 性 則 有 言 說 然 皆 不 實 如 影 惟 聖 智 所 
T39n1789_002:0369c23	證實際是我所說也。	證 實 際 是 我 所 說 也 
T39n1789_002:0369c24	爾時大慧菩薩摩訶薩。復白佛言。世尊。惟願	爾 時 大 慧 菩薩摩訶薩 復 白 佛 言 世 尊 惟 願 
T39n1789_002:0369c25	為說離一異俱不俱有無非有非無常無常一	為 說 離 一 異 俱 不 俱 有 無 非有非無 常 無 常 一 
T39n1789_002:0369c26	切外道所不行自覺聖智所行離妄想自相共	切 外 道 所 不 行 自覺聖智 所 行 離 妄 想 自 相 共 
T39n1789_002:0369c27	相入於第一真實之義。諸地相續漸次上上	相 入 於 第 一 真 實 之 義 諸 地 相 續 漸 次 上 上 
T39n1789_002:0369c28	增進清淨之相。隨入如來地相無開發本願。	增 進 清 淨 之 相 隨 入如來地 相 無 開 發 本 願 
T39n1789_002:0369c29	譬如眾色摩尼境界無邊相行自心現趣部分	譬 如 眾 色 摩 尼 境 界 無 邊 相 行 自 心 現 趣 部 分 
T39n1789_002:0370a01	之相一切諸法。我及餘菩薩摩訶薩。離如是	之 相 一切諸法 我 及 餘 菩薩摩訶薩 離 如 是 
T39n1789_002:0370a02	等妄想自性自共相見。疾得阿耨多羅三藐	等 妄 想 自 性 自 共 相 見 疾 得 阿 耨 多 羅 三 藐 
T39n1789_002:0370a03	三菩提。令一切眾生一切安樂具足充滿	三 菩 提 令 一 切 眾 生 一 切 安 樂 具 足 充 滿 
T39n1789_002:0370a04	　夫離四見絕百非。乃菩薩入道之初門故。舉	 夫 離 四 見 絕 百 非 乃 菩 薩 入 道 之 初 門 故 舉 
T39n1789_002:0370a05	以為問。先列四句相。自一異至無常四句有	以 為 問 先 列 四 句 相 自 一 異 至 無 常 四 句 有 
T39n1789_002:0370a06	三。初一異四句者。合云一異亦異亦不異非	三 初 一 異 四 句 者 合 云 一 異 亦 異 亦 不 異 非 
T39n1789_002:0370a07	異非不異。俱即亦異亦不異。不俱即非異非	異 非 不 異 俱 即 亦 異 亦 不 異 不 俱 即 非 異 非 
T39n1789_002:0370a08	不異也。有無四句者。合云有無亦有亦無非	不 異 也 有 無 四 句 者 合 云 有 無 亦 有 亦 無 非 
T39n1789_002:0370a09	有非無也。常等四句。合云常無常亦常亦	有 非 無 也 常 等 四 句 合 云 常 無 常 亦 常 亦 
T39n1789_002:0370a10	無常非常非無常也。經文從略不具列也。此	無 常 非常非無常 也 經 文 從 略 不 具 列 也 此 
T39n1789_002:0370a11	三四句各有宗計。一切外道正坐此見。言不	三 四 句 各 有 宗 計 一 切 外 道 正 坐 此 見 言 不 
T39n1789_002:0370a12	行者不能離也。惟聖智由能離四句故。不見	行 者 不 能 離 也 惟 聖 智 由 能 離 四 句 故 不 見 
T39n1789_002:0370a13	有自共相。可登第一義真實之地漸歷諸地	有 自 共 相 可 登 第 一 義 真 實 之 地 漸 歷 諸 地 
T39n1789_002:0370a14	至於佛地。無開發等者。入楞伽云。以無功	至 於 佛 地 無 開 發 等 者 入 楞 伽 云 以 無 功 
T39n1789_002:0370a15	用本願力故。蓋自行既滿。復以本願普入佛	用 本 願 力 故 蓋 自 行 既 滿 復 以 本 願 普 入 佛 
T39n1789_002:0370a16	剎化諸眾生。如如意珠所現境界無不具顯。	剎 化 諸 眾 生 如 如 意 珠 所 現 境 界 無 不 具 顯 
T39n1789_002:0370a17	無邊相行者。相謂地相。行即所修之行。雖則	無 邊 相 行 者 相 謂 地 相 行 即 所 修 之 行 雖 則 
T39n1789_002:0370a18	無邊皆惟心現。一切諸法差別之相。部分即	無 邊 皆 惟 心 現 一切諸法 差別之相 部 分 即 
T39n1789_002:0370a19	差別也。我及下結請令滿自他願行也。	差 別 也 我 及 下 結 請 令 滿 自 他 願 行 也 
T39n1789_002:0370a20	佛告大慧。善哉善哉。汝能問我如是之義。多	佛 告 大 慧 善哉善哉 汝 能 問 我 如 是 之 義 多 
T39n1789_002:0370a21	所安樂多所饒益。哀愍一切諸天世人。佛告	所 安 樂 多 所 饒 益 哀 愍 一 切 諸 天 世 人 佛 告 
T39n1789_002:0370a22	大慧。諦聽諦聽善思念之。吾當為汝分別解	大 慧 諦 聽 諦 聽 善思念之 吾 當 為 汝 分 別 解 
T39n1789_002:0370a23	說。大慧白佛言。善哉世尊唯然受教。佛告大	說 大 慧 白 佛 言 善 哉 世 尊 唯 然 受 教 佛 告 大 
T39n1789_002:0370a24	慧。不知心量愚癡凡夫。取內外性。依於一異	慧 不 知 心 量 愚 癡 凡 夫 取 內 外 性 依 於 一 異 
T39n1789_002:0370a25	俱不俱有無非有非無常無常自性習因。計	俱 不 俱 有 無 非有非無 常 無 常 自 性 習 因 計 
T39n1789_002:0370a26	著妄想　答中。初總約法說有二。一者不知	著 妄 想 答 中 初 總 約 法 說 有 二 一 者 不 知 
T39n1789_002:0370a27	自心現量。於陰身內見有外法。計內外性。於	自心現量 於 陰 身 內 見 有 外 法 計 內 外 性 於 
T39n1789_002:0370a28	同相起一見。於別相起異見。依此兩間而起	同 相 起 一 見 於 別 相 起 異 見 依 此 兩 間 而 起 
T39n1789_002:0370a29	俱見。離此兩間起不俱見。有無常無常皆若	俱 見 離 此 兩 間 起 不 俱 見 有 無 常 無 常 皆 若 
T39n1789_002:0370b01	是也。二者自性習因。由宿習所熏。而起邪	是 也 二 者 自 性 習 因 由 宿 習 所 熏 而 起 邪 
T39n1789_002:0370b02	計妄見。下文凡十二喻。各有法有喻有合。不	計 妄 見 下 文 凡 十 二 喻 各 有 法 有 喻 有 合 不 
T39n1789_002:0370b03	無同異。隨文別點。	無 同 異 隨 文 別 點 
T39n1789_002:0370b04	譬如群鹿為渴所逼。見春時焰而作水想。迷	譬 如 群 鹿 為 渴 所 逼 見 春 時 焰 而 作 水 想 迷 
T39n1789_002:0370b05	亂馳趣不知非水。如是愚夫無始虛偽妄想	亂 馳 趣 不 知 非 水 如 是 愚 夫 無 始 虛 偽 妄 想 
T39n1789_002:0370b06	所熏習。三毒燒心樂色境界。見生住滅取內	所 熏 習 三 毒 燒 心 樂 色 境 界 見 生 住 滅 取 內 
T39n1789_002:0370b07	外性。墮於一異俱不俱有無非有非無常無	外 性 墮 於 一 異 俱 不 俱 有 無 非有非無 常 無 
