X73n1447_001:0042c06	 前序	 前 序 
X73n1447_001:0054a08	莫莫莫。開口向君早是錯。又更問。莫莫莫。琉璃缾貯	莫 莫 莫 開 口 向 君 早 是 錯 又 更 問 莫 莫 莫 琉 璃 缾 貯 
X73n1447_001:0054a09	穢惡。甘露味變毒藥。莫莫莫。荊棘林裏野狐狸。走出	穢 惡 甘 露 味 變 毒 藥 莫 莫 莫 荊 棘 林 裏 野 狐 狸 走 出 
X73n1447_001:0054a10	荒郊又被縳。淨地上死屍橫路著。天魔外道頭卓朔。	荒 郊 又 被 縳 淨 地 上 死 屍 橫 路 著 天 魔 外 道 頭 卓 朔 
X73n1447_001:0054a11	莫莫莫。三世諸佛鼻孔長。六代祖師眼皮薄。矢上加	莫 莫 莫 三世諸佛 鼻 孔 長 六 代 祖 師 眼 皮 薄 矢 上 加 
X73n1447_001:0054a12	尖尖更尖。一任嘍囉空戲謔。十萬八千臾鄯那。爭似	尖 尖 更 尖 一 任 嘍 囉 空 戲 謔 十 萬 八 千 臾 鄯 那 爭 似 
X73n1447_001:0054a13	儂家莫莫莫。	儂 家 莫 莫 莫 
X73n1447_001:0054a14	師有頌與官人	師 有 頌 與 官 人 
X73n1447_001:0054a15	一片白雲去復來。兩片白雲來復去。白雲來去幾千	一 片 白 雲 去 復 來 兩 片 白 雲 來 復 去 白 雲 來 去 幾 千 
X73n1447_001:0054a16	回。豁達虗空無所住。無所住。赴感隨緣還有據。殷勤	回 豁 達 虗 空 無 所 住 無 所 住 赴 感 隨 緣 還 有 據 殷 勤 
X73n1447_001:0054a17	為報道中人。佛與眾生無異路。	為 報 道 中 人 佛 與 眾 生 無 異 路 
X73n1447_001:0054a18	牧牛歌	牧 牛 歌 
X73n1447_001:0054a19	起去來天欲曉。披蓑戴笠傍門闌。騎得牯牛入荒草。	起 去 來 天 欲 曉 披 蓑 戴 笠 傍 門 闌 騎 得 牯 牛 入 荒 草 
X73n1447_001:0054a20	東西南北盡佗遊。老嬾青黃一任齩。日已高牛已飽。	東 西 南 北 盡 佗 遊 老 嬾 青 黃 一 任 齩 日 已 高 牛 已 飽 
X73n1447_001:0054a21	蘆笛橫吹歸去好。麥飯酸漿恣意餐。摩挱觜口和衣倒。	蘆 笛 橫 吹 歸 去 好 麥 飯 酸 漿 恣 意 餐 摩 挱 觜 口 和 衣 倒 
X73n1447_001:0054a22	回法嗣弟子	回 法 嗣 弟 子 
X73n1447_001:0054a23	若真師子兒。方能師子吼。百獸盡潛蹤。象王亦奔走。	若 真 師 子 兒 方 能 師 子 吼 百 獸 盡 潛 蹤 象 王 亦 奔 走 
X73n1447_001:0054a24	匝地布風霜。滿天麗星斗。胡為何理耶。三目又益口。	匝 地 布 風 霜 滿 天 麗 星 斗 胡 為 何 理 耶 三 目 又 益 口 
X73n1447_001:0054b01	官人乞頌	官 人 乞 頌 
X73n1447_001:0054b02	路僻遊人少。山高石像閑。朝賢如借問。遙指白雲間。	路 僻 遊 人 少 山 高 石 像 閑 朝 賢 如 借 問 遙 指 白 雲 間 
X73n1447_001:0054b03	與范文正公	與 范 文 正 公 
X73n1447_001:0054b04	丈夫各負冲天氣。莫認虗名汙自身。撒手直須千聖	丈 夫 各 負 冲 天 氣 莫 認 虗 名 汙 自 身 撒 手 直 須 千 聖 
X73n1447_001:0054b05	外。纖毫不盡眼中塵。	外 纖 毫 不 盡 眼 中 塵 
X73n1447_001:0054b06	辭世	辭 世 
X73n1447_001:0054b07	天地本同根。鳥飛空有跡。雪伴老僧行。須彌撼金錫。	天 地 本 同 根 鳥 飛 空 有 跡 雪 伴 老 僧 行 須 彌 撼 金 錫 
X73n1447_001:0054b08	乙酉冬至四。靈光一點赤。珍重會中人。般若波羅蜜。	乙 酉 冬 至 四 靈 光 一 點 赤 珍 重 會 中 人 般 若 波 羅 蜜 
X73n1447_001:0054b10	古禪師語錄(終)	古 禪 師 語 錄 終 
