T51n2089_001:0975a09	遊方記抄	遊 方 記 抄 
T51n2089_001:0981b12	入大唐貞元續開元釋教錄。伏以一辭聖唐	入 大 唐 貞 元 續 開 元 釋 教 錄 伏 以 一 辭 聖 唐 
T51n2089_001:0981b13	于今四代。凌霜[曰/月]雪經四十年。尋禮聖蹤所	于 今 四 代 凌 霜 [曰月] 雪 經 四 十 年 尋 禮 聖 蹤 所 
T51n2089_001:0981b14	經國邑。或一瞻禮或漸旬時。或經累旬或盈	經 國 邑 或 一 瞻 禮 或 漸 旬 時 或 經 累 旬 或 盈 
T51n2089_001:0981b15	數月。或住一歲二三四年。或遇吉祥或遭劫	數 月 或 住 一 歲 二 三 四 年 或 遇 吉 祥 或 遭 劫 
T51n2089_001:0981b16	賊。安樂時少。憂惱處多。不能宣心一一屢	賊 安 樂 時 少 憂 惱 處 多 不 能 宣 心 一 一 屢 
T51n2089_001:0981b17	說。幸逢明聖略舉大綱。伏乞施行流轉永代。	說 幸 逢 明 聖 略 舉 大 綱 伏 乞 施 行 流 轉 永 代 
T51n2089_001:0981b18	沙門圓照自惟疵賤素無藝能。喜遇明時再	沙 門 圓 照 自 惟 疵 賤 素 無 藝 能 喜 遇 明 時 再 
T51n2089_001:0981b19	登翻譯。續修圖紀讚述真乘。并修大唐貞元	登 翻 譯 續 修 圖 紀 讚 述 真 乘 并 修 大 唐 貞 元 
T51n2089_001:0981b20	續開元釋教錄。悟空大德具述行由託余記	續 開 元 釋 教 錄 悟 空 大 德 具 述 行 由 託 余 記 
T51n2089_001:0981b21	之。以附圖錄。聊以驗其事也。久積歲年詰問	之 以 附 圖 錄 聊 以 驗 其 事 也 久 積 歲 年 詰 問 
T51n2089_001:0981b22	根源。恭承口訣。詞疎意拙。編其次云。大雅碩	根 源 恭 承 口 訣 詞 疎 意 拙 編 其 次 云 大 雅 碩 
T51n2089_001:0981b23	才願詳其志也。	才 願 詳 其 志 也 
T51n2089_001:0981b26	繼業西域行程(宋范成大撰吳船錄卷上峨眉山牛心寺記)	繼 業 西 域 行 程 宋 范 成 大 撰 吳 船 錄 卷 上 峨 眉 山 牛 心 寺 記 
T51n2089_001:0981b28	秋七月戊戌朔。離黑水。復過白水寺前。渡雙	秋 七 月 戊 戌 朔 離 黑 水 復 過 白 水 寺 前 渡 雙 
T51n2089_001:0981b29	溪橋。入牛心寺。雨後斷路。白雲峽水方漲。碧	溪 橋 入 牛 心 寺 雨 後 斷 路 白 雲 峽 水 方 漲 碧 
T51n2089_001:0981c01	流白石。照人肺肝。如層氷積雪。籃輿下行峽	流 白 石 照 人 肺 肝 如 層 氷 積 雪 籃 輿 下 行 峽 
T51n2089_001:0981c02	淺處以入寺。飛濤濺沫襟裾皆濡。境過清毛	淺 處 以 入 寺 飛 濤 濺 沫 襟 裾 皆 濡 境 過 清 毛 
T51n2089_001:0981c03	髮盡竦。寺對青蓮峯。有白雲青蓮二閣。最佳。	髮 盡 竦 寺 對 青 蓮 峯 有 白 雲 青 蓮 二 閣 最 佳 
T51n2089_001:0981c04	牛心本孫思邈隱居。相傳時出諸山寺中。人	牛 心 本 孫 思 邈 隱 居 相 傳 時 出 諸 山 寺 中 人 
T51n2089_001:0981c05	數見之。小說亦載招僧誦經施與金錢。正此	數 見 之 小 說 亦 載 招 僧 誦 經 施 與 金 錢 正 此 
T51n2089_001:0981c06	山故事。有孫仙煉丹竈。在峯頂。及淘朱泉在	山 故 事 有 孫 仙 煉 丹 竈 在 峯 頂 及 淘 朱 泉 在 
T51n2089_001:0981c07	白雲峽最深處。去寺數里。水深不可涉。獨訪	白 雲 峽 最 深 處 去 寺 數 里 水 深 不 可 涉 獨 訪 
T51n2089_001:0981c08	丹竈。竈傍多奇石。祠堂後一石尤佳。可以箕	丹 竈 竈 傍 多 奇 石 祠 堂 後 一 石 尤 佳 可 以 箕 
T51n2089_001:0981c09	踞宴坐。名玩丹石。寺有唐畫羅漢一板。筆跡	踞 宴 坐 名 玩 丹 石 寺 有 唐 畫 羅 漢 一 板 筆 跡 
T51n2089_001:0981c10	超妙。眉目津津。欲與人語。成都古畫浮圖像	超 妙 眉 目 津 津 欲 與 人 語 成 都 古 畫 浮 圖 像 
T51n2089_001:0981c11	最多。皆出此下。蜀畫胡僧惟盧楞迦之筆為	最 多 皆 出 此 下 蜀 畫 胡 僧 惟 盧 楞 迦 之 筆 為 
T51n2089_001:0981c12	第一。今見此板。乃知楞迦源流。所自餘十五	第 一 今 見 此 板 乃 知 楞 迦 源 流 所 自 餘 十 五 
T51n2089_001:0981c13	板亡之矣。	板 亡 之 矣 
T51n2089_001:0981c14	此寺即繼業三藏所作。業姓王氏。耀州人。隷	此 寺 即 繼 業 三 藏 所 作 業 姓 王 氏 耀 州 人 隷 
T51n2089_001:0981c15	東京天壽院。乾德二年。詔沙門三百人。入天	東 京 天 壽 院 乾 德 二 年 詔 沙 門 三 百 人 入 天 
T51n2089_001:0981c16	竺求舍利及貝多葉書。業預遣中。至開寶九	竺 求 舍 利 及 貝 多 葉 書 業 預 遣 中 至 開 寶 九 
T51n2089_001:0981c17	年始歸。寺所藏涅槃經一函四十二卷。業於	年 始 歸 寺 所 藏 涅 槃 經 一 函 四 十 二 卷 業 於 
T51n2089_001:0981c18	每卷後。分記西域行程。雖不甚詳。然地里大	每 卷 後 分 記 西 域 行 程 雖 不 甚 詳 然 地 里 大 
T51n2089_001:0981c19	略可考。世所罕見。錄於此以備國史之闕。	略 可 考 世 所 罕 見 錄 於 此 以 備 國 史 之 闕 
T51n2089_001:0981c20	業自階州出塞西行。由靈武西涼甘肅瓜沙	業 自 階 州 出 塞 西 行 由 靈 武 西 涼 甘 肅 瓜 沙 
T51n2089_001:0981c21	等州。入伊吳高昌焉耆于闐疎勒大石諸國。	等 州 入 伊 吳 高 昌 焉 耆 于 闐 疎 勒 大 石 諸 國 
T51n2089_001:0981c22	度雪嶺至布路州國。又度大葱嶺雪山。至伽	度 雪 嶺 至 布 路 州 國 又 度 大 葱 嶺 雪 山 至 伽 
T51n2089_001:0981c23	濕彌羅國。西登大山有薩埵太子投崖飼虎	濕 彌 羅 國 西 登 大 山 有 薩 埵 太 子 投 崖 飼 虎 
T51n2089_001:0981c24	處。遂至健陀羅國。謂之中印土。	處 遂 至 健 陀 羅 國 謂 之 中 印 土 
T51n2089_001:0981c25	又西至。庶流波國及太爛陀羅國。國有二寺。	又 西 至 庶 流 波 國 及 太 爛 陀 羅 國 國 有 二 寺 
T51n2089_001:0981c26	又西過四大國。至大曲女城。南臨陷牟河。北	又 西 過 四 大 國 至 大 曲 女 城 南 臨 陷 牟 河 北 
T51n2089_001:0981c27	背洹河塔廟甚多。而無僧尼。又西二程有寶	背 洹 河 塔 廟 甚 多 而 無 僧 尼 又 西 二 程 有 寶 
T51n2089_001:0981c28	階故基。又西至波羅奈國。兩城相去五里。南	階 故 基 又 西 至 波 羅 奈 國 兩 城 相 去 五 里 南 
T51n2089_001:0981c29	臨洹河。又西北十許里至鹿野苑。塔廟佛蹟	臨 洹 河 又 西 北 十 許 里 至 鹿 野 苑 塔 廟 佛 蹟 
T51n2089_001:0982a01	最夥。業自云。別有傳記。今不傳矣。	最 夥 業 自 云 別 有 傳 記 今 不 傳 矣 
T51n2089_001:0982a02	南行十里渡洹河。河南有大浮圖。自鹿野苑	南 行 十 里 渡 洹 河 河 南 有 大 浮 圖 自 鹿 野 苑 
T51n2089_001:0982a03	西至摩迦提國。館於漢寺。寺多租入。八村隷	西 至 摩 迦 提 國 館 於 漢 寺 寺 多 租 入 八 村 隷 
T51n2089_001:0982a04	焉。僧徒往來如歸。南與杖林山相直。巍峯巋	焉 僧 徒 往 來 如 歸 南 與 杖 林 山 相 直 巍 峯 巋 
T51n2089_001:0982a05	然。山北有優婆掬多石室及塔廟故基。南百	然 山 北 有 優 婆 掬 多 石 室 及 塔 廟 故 基 南 百 
T51n2089_001:0982a06	里有孤山。名鷄足三峯。云是迦葉入定處。又	里 有 孤 山 名 鷄 足 三 峯 云 是 迦 葉 入 定 處 又 
T51n2089_001:0982a07	西北百里。有菩提寶座城。四門相望。金剛座	西 北 百 里 有 菩 提 寶 座 城 四 門 相 望 金 剛 座 
T51n2089_001:0982a08	在其中東向。又東至尼連禪河。東岸有石柱。	在 其 中 東 向 又 東 至 尼 連 禪 河 東 岸 有 石 柱 
T51n2089_001:0982a09	記佛舊事。自菩提座東南五里至佛苦行處。	記 佛 舊 事 自 菩 提 座 東 南 五 里 至 佛 苦 行 處 
T51n2089_001:0982a10	又西三里至三迦葉村及牧牛女池。金剛座	又 西 三 里 至 三 迦 葉 村 及 牧 牛 女 池 金 剛 座 
T51n2089_001:0982a11	之北門外。有師子國伽藍。又北五里至伽耶	之 北 門 外 有 師 子 國 伽 藍 又 北 五 里 至 伽 耶 
T51n2089_001:0982a12	城。又北十里至伽耶山。云是佛說寶雲經處。	城 又 北 十 里 至 伽 耶 山 云 是 佛 說 寶 雲 經 處 
T51n2089_001:0982a13	又自金剛座東北十五里至正覺山。又東北	又 自 金 剛 座 東 北 十 五 里 至 正 覺 山 又 東 北 
T51n2089_001:0982a14	三十里至骨磨城。業館於鰕羅寺。謂之南印	三 十 里 至 骨 磨 城 業 館 於 鰕 羅 寺 謂 之 南 印 
T51n2089_001:0982a15	土。諸國僧多居之。又東北四十里至王舍城。	土 諸 國 僧 多 居 之 又 東 北 四 十 里 至 王 舍 城 
T51n2089_001:0982a16	東南五里有降醉象塔。又東北登大山。細路	東 南 五 里 有 降 醉 象 塔 又 東 北 登 大 山 細 路 
T51n2089_001:0982a17	盤紆。有舍利子塔。又臨澗有下馬迎風塔。	盤 紆 有 舍 利 子 塔 又 臨 澗 有 下 馬 迎 風 塔 
T51n2089_001:0982a18	度絕壑。登山頂。有大塔廟。云是七佛說法處。	度 絕 壑 登 山 頂 有 大 塔 廟 云 是 七 佛 說 法 處 
T51n2089_001:0982a19	山北平地又有舍利本生塔。其北山半曰鷲	山 北 平 地 又 有 舍 利 本 生 塔 其 北 山 半 曰 鷲 
T51n2089_001:0982a20	峯。云是佛說法華經處。山下即王舍城。城北	峯 云 是 佛 說 法 華 經 處 山 下 即 王 舍 城 城 北 
T51n2089_001:0982a21	山址有溫泉二十餘井。又北有大寺及迦蘭	山 址 有 溫 泉 二 十 餘 井 又 北 有 大 寺 及 迦 蘭 
T51n2089_001:0982a22	陀竹園故跡。又東有阿難半身舍利塔。溫湯	陀 竹 園 故 跡 又 東 有 阿 難 半 身 舍 利 塔 溫 湯 
T51n2089_001:0982a23	之西有平地。直南登山腹有畢波羅窟。業止	之 西 有 平 地 直 南 登 山 腹 有 畢 波 羅 窟 業 止 
T51n2089_001:0982a24	其中。誦經百日而去。窟西復有阿難證果塔。	其 中 誦 經 百 日 而 去 窟 西 復 有 阿 難 證 果 塔 
T51n2089_001:0982a25	此去新王舍城八里。日往乞食。會新王舍城	此 去 新 王 舍 城 八 里 日 往 乞 食 會 新 王 舍 城 
T51n2089_001:0982a26	中有蘭若。隸漢寺。又有樹提迦故宅城。其西	中 有 蘭 若 隸 漢 寺 又 有 樹 提 迦 故 宅 城 其 西 
T51n2089_001:0982a27	有輪王塔。	有 輪 王 塔 
T51n2089_001:0982a28	又北十五里有那爛陀寺。寺之南北各有數	又 北 十 五 里 有 那 爛 陀 寺 寺 之 南 北 各 有 數 
T51n2089_001:0982a29	十寺。門皆西向。其北有四佛座。又東北十五	十 寺 門 皆 西 向 其 北 有 四 佛 座 又 東 北 十 五 
T51n2089_001:0982b01	里至烏嶺頭寺。東南五里有聖觀自在像。又	里 至 烏 嶺 頭 寺 東 南 五 里 有 聖 觀 自 在 像 又 
T51n2089_001:0982b02	東北十里至伽濕彌羅漢寺。寺南距漢寺八	東 北 十 里 至 伽 濕 彌 羅 漢 寺 寺 南 距 漢 寺 八 
T51n2089_001:0982b03	里許。自漢寺東行十二里。至郤提希山。又東	里 許 自 漢 寺 東 行 十 二 里 至 郤 提 希 山 又 東 
T51n2089_001:0982b04	七十里有鴿寺。西北五十里有支那西寺。古	七 十 里 有 鴿 寺 西 北 五 十 里 有 支 那 西 寺 古 
T51n2089_001:0982b05	漢寺也。西北百里至花氏城。育王故都也。	漢 寺 也 西 北 百 里 至 花 氏 城 育 王 故 都 也 
T51n2089_001:0982b06	自此渡河。北至毘耶離城。有維摩方丈故跡	自 此 渡 河 北 至 毘 耶 離 城 有 維 摩 方 丈 故 跡 
T51n2089_001:0982b07	又至拘尸那城及多羅聚落。踰大山數重至	又 至 拘 尸 那 城 及 多 羅 聚 落 踰 大 山 數 重 至 
T51n2089_001:0982b08	泥波羅國。又至摩偷果。過雪嶺。至三耶寺。	泥 波 羅 國 又 至 摩 偷 果 過 雪 嶺 至 三 耶 寺 
T51n2089_001:0982b09	由故道自此入階州。太祖已晏駕。太宗即位。	由 故 道 自 此 入 階 州 太 祖 已 晏 駕 太 宗 即 位 
T51n2089_001:0982b10	業詣闕進所得梵夾舍利等。詔擇名山修習。	業 詣 闕 進 所 得 梵 夾 舍 利 等 詔 擇 名 山 修 習 
T51n2089_001:0982b11	登峨眉。北望牛心。眾峯環翊。遂作菴居。已	登 峨 眉 北 望 牛 心 眾 峯 環 翊 遂 作 菴 居 已 
T51n2089_001:0982b12	而為寺。業年八十四而終。	而 為 寺 業 年 八 十 四 而 終 
T51n2089_001:0982b13	出牛心復過中峯之前入新峨眉。觀自觀前	出 牛 心 復 過 中 峯 之 前 入 新 峨 眉 觀 自 觀 前 
T51n2089_001:0982b14	山。開新路極峻。斗下[曰/月]雨。以遊龍門。竭蹙數	山 開 新 路 極 峻 斗 下 [曰月] 雨 以 遊 龍 門 竭 蹙 數 
T51n2089_001:0982b15	里。歘至一處。澗溪自兩山石門中湧出。是為	里 歘 至 一 處 澗 溪 自 兩 山 石 門 中 湧 出 是 為 
T51n2089_001:0982b16	龍門峽也。以一葉舟。棹入石門。兩岸千丈。巖	龍 門 峽 也 以 一 葉 舟 棹 入 石 門 兩 岸 千 丈 巖 
T51n2089_001:0982b17	壁色如碧玉。刻削光潤。入峽十餘丈。有兩瀑	壁 色 如 碧 玉 刻 削 光 潤 入 峽 十 餘 丈 有 兩 瀑 
T51n2089_001:0982b18	布。各出一巖頂。相對飛下。嵌根有盤石承之。	布 各 出 一 巖 頂 相 對 飛 下 嵌 根 有 盤 石 承 之 
T51n2089_001:0982b19	激為飛雨。濺洙滿峽。舟過其前。衣皆沾灑透	激 為 飛 雨 濺 洙 滿 峽 舟 過 其 前 衣 皆 沾 灑 透 
T51n2089_001:0982b20	濕。又數丈半巖有圓龕。去水可二丈。以木梯	濕 又 數 丈 半 巖 有 圓 龕 去 水 可 二 丈 以 木 梯 
T51n2089_001:0982b21	升之。即龍洞也。峽中紺碧無底。石寒水清。非	升 之 即 龍 洞 也 峽 中 紺 碧 無 底 石 寒 水 清 非 
T51n2089_001:0982b22	復人世。舟行數十步。石壁益峻水益湍。丞回	復 人 世 舟 行 數 十 步 石 壁 益 峻 水 益 湍 丞 回 
T51n2089_001:0982b23	棹。舟人云。前去更奇。以雨大作加飛瀑沾濡。	棹 舟 人 云 前 去 更 奇 以 雨 大 作 加 飛 瀑 沾 濡 
T51n2089_001:0982b24	暑肌起粟。骨驚神愯。凜乎夫不可以久留也。	暑 肌 起 粟 骨 驚 神 愯 凜 乎 夫 不 可 以 久 留 也 
T51n2089_001:0982b25	昔嘗聞。峨眉雙溪。不減盧山三峽。前日過之。	昔 嘗 聞 峨 眉 雙 溪 不 減 盧 山 三 峽 前 日 過 之 
T51n2089_001:0982b26	真奇絕。及至龍門。則雙溪又在下風。蓋天下	真 奇 絕 及 至 龍 門 則 雙 溪 又 在 下 風 蓋 天 下 
T51n2089_001:0982b27	峽泉之勝。當以龍門為第一。要之。遊者自知。	峽 泉 之 勝 當 以 龍 門 為 第 一 要 之 遊 者 自 知 
T51n2089_001:0982b28	未之遊者。必以余言為過。然其道險絕。亂石	未 之 遊 者 必 以 余 言 為 過 然 其 道 險 絕 亂 石 
T51n2089_001:0982b29	當道。將至峽。必捨輿躡草履。經營蹞步。於槎	當 道 將 至 峽 必 捨 輿 躡 草 履 經 營 蹞 步 於 槎 
T51n2089_001:0982c01	牙兀臬中。方至峽口。蓋大峨峯頂。天下絕觀。	牙 兀 臬 中 方 至 峽 口 蓋 大 峨 峯 頂 天 下 絕 觀 
T51n2089_001:0982c02	蜀人固自罕遊。而龍門又勝絕於山間。遊峨	蜀 人 固 自 罕 遊 而 龍 門 又 勝 絕 於 山 間 遊 峨 
T51n2089_001:0982c03	眉。者亦罕能到。非好奇喜事忘勞苦而不憚	眉 者 亦 罕 能 到 非 好 奇 喜 事 忘 勞 苦 而 不 憚 
T51n2089_001:0982c04	疾病者不能至焉。復尋大路出山。初夜始至	疾 病 者 不 能 至 焉 復 尋 大 路 出 山 初 夜 始 至 
T51n2089_001:0982c05	縣中。	縣 中 
T51n2089_001:0982c08	梵僧指空禪師傳考	梵 僧 指 空 禪 師 傳 考 
T51n2089_001:0982c10	（一）指空浮圖銘并序李穡撰	 一 指 空 浮 圖 銘 并 序 李 穡 撰 
T51n2089_001:0982c11	（二）檜巖寺重剏記金守溫撰	 二 檜 巖 寺 重 剏 記 金 守 溫 撰 
T51n2089_001:0982c12	（一）西天提納薄陀尊者浮圖銘并序	 一 西 天 提 納 薄 陀 尊 者 浮 圖 銘 并 序 
T51n2089_001:0982c13	前奉翊大夫。知密直司事。商議會議都監事。	前 奉 翊 大 夫 知 密 直 司 事 商 議 會 議 都 監 事 
T51n2089_001:0982c14	右文館提學。同知春秋館事上護軍。臣韓脩	右 文 館 提 學 同 知 春 秋 館 事 上 護 軍 臣 韓 脩 
T51n2089_001:0982c15	奉教書並篆額。	奉 教 書 並 篆 額 
T51n2089_001:0982c16	前朝列大夫。征東行中書省左右同郎中。推	前 朝 列 大 夫 征 東 行 中 書 省 左 右 同 郎 中 推 
T51n2089_001:0982c17	忠保節同德贊化功臣三重大匡。韓山君。領	忠 保 節 同 德 贊 化 功 臣 三 重 大 匡 韓 山 君 領 
T51n2089_001:0982c18	藝文春秋館事。兼成均大司成臣李穡奉教	藝 文 春 秋 館 事 兼 成 均 大 司 成 臣 李 穡 奉 教 
T51n2089_001:0982c19	撰。	撰 
T51n2089_001:0982c20	迦葉百八傳。提納薄陀尊者禪賢號指空。泰	迦 葉 百 八 傳 提 納 薄 陀 尊 者 禪 賢 號 指 空 泰 
T51n2089_001:0982c21	定間見天子于難水之上。論佛法稱旨。命有	定 間 見 天 子 于 難 水 之 上 論 佛 法 稱 旨 命 有 
T51n2089_001:0982c22	司歲給衣糧。師曰。吾不為是也。去而東遊高	司 歲 給 衣 糧 師 曰 吾 不 為 是 也 去 而 東 遊 高 
T51n2089_001:0982c23	句麗。禮金剛山法起道場。有旨趣還燕天曆	句 麗 禮 金 剛 山 法 起 道 場 有 旨 趣 還 燕 天 曆 
T51n2089_001:0982c24	初詔與所幸諸僧講法內庭。天子親臨聽焉。	初 詔 與 所 幸 諸 僧 講 法 內 庭 天 子 親 臨 聽 焉 
T51n2089_001:0982c25	諸僧恃恩。頡頑作氣勢。惡其軋己。沮不得行。	諸 僧 恃 恩 頡 頑 作 氣 勢 惡 其 軋 己 沮 不 得 行 
T51n2089_001:0982c26	未幾諸僧或誅或斥。而師之名震暴中外。至	未 幾 諸 僧 或 誅 或 斥 而 師 之 名 震 暴 中 外 至 
T51n2089_001:0982c27	正皇后皇太子迎入延華閣問法。師曰。佛法	正 皇 后 皇 太 子 迎 入 延 華 閣 問 法 師 曰 佛 法 
T51n2089_001:0982c28	自有學者專心御天下幸甚。又曰。萬福福福	自 有 學 者 專 心 御 天 下 幸 甚 又 曰 萬 福 福 福 
T51n2089_001:0982c29	萬中缺一。不可為天下主。所獻珠玉辭之不	萬 中 缺 一 不 可 為 天 下 主 所 獻 珠 玉 辭 之 不 
T51n2089_001:0983a01	受。天曆以後不食不言者十餘年。既言。時時	受 天 曆 以 後 不 食 不 言 者 十 餘 年 既 言 時 時 
T51n2089_001:0983a02	自稱我是天下主。又斥后妃曰。皆吾侍也。聞	自 稱 我 是 天 下 主 又 斥 后 妃 曰 皆 吾 侍 也 聞 
T51n2089_001:0983a03	者怪之。不敢問所以。久而聞于上。上曰。彼	者 怪 之 不 敢 問 所 以 久 而 聞 于 上 上 曰 彼 
T51n2089_001:0983a04	是法中王宜其自負如此。何與我家事耶。中	是 法 中 王 宜 其 自 負 如 此 何 與 我 家 事 耶 中 
T51n2089_001:0983a05	原兵將興。師於廣坐語眾曰。汝識吾兵馬之	原 兵 將 興 師 於 廣 坐 語 眾 曰 汝 識 吾 兵 馬 之 
T51n2089_001:0983a06	多乎。某地屯幾萬。某地屯幾萬。師所居寺皆	多 乎 某 地 屯 幾 萬 某 地 屯 幾 萬 師 所 居 寺 皆 
T51n2089_001:0983a07	高麗僧。一日忽語之曰。汝何故叛耶。欲鳴鼓	高 麗 僧 一 日 忽 語 之 曰 汝 何 故 叛 耶 欲 鳴 鼓 
T51n2089_001:0983a08	攻之而止。數日遼陽省馳奏。高麗兵犯界。京	攻 之 而 止 數 日 遼 陽 省 馳 奏 高 麗 兵 犯 界 京 
T51n2089_001:0983a09	師者。眾之聚也。每語其人曰。速去之。既而天	師 者 眾 之 聚 也 每 語 其 人 曰 速 去 之 既 而 天 
T51n2089_001:0983a10	子北狩。中原兵入城。立府曰北平。師豈偶然	子 北 狩 中 原 兵 入 城 立 府 曰 北 平 師 豈 偶 然 
T51n2089_001:0983a11	者哉。	者 哉 
T51n2089_001:0983a12	師自言吾會祖諱師子脇。吾祖諱斛飯。皆	師 自 言 吾 會 祖 諱 師 子 脇 吾 祖 諱 斛 飯 皆 
