X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_001:0725a21	為實教也。(李長者華嚴合論。誤判為權教。袁宏道西方合論。已辨正之)純圓教	為 實 教 也 李 長 者 華 嚴 合 論 誤 判 為 權 教 袁 宏 道 西 方 合 論 已 辨 正 之 純 圓 教 
X62n1205_001:0725a22	也。(蓮池疏鈔。判為分圓。蕅益要解。已辨正之)所以當來經滅獨留也。(本經)	也 蓮 池 疏 鈔 判 為 分 圓 蕅 益 要 解 已 辨 正 之 所 以 當 來 經 滅 獨 留 也 本 經 
X62n1205_001:0725a23	所以為適道教源。濟俗要務也。(慧遠法師語)所以為三	所 以 為 適 道 教 源 濟 俗 要 務 也 慧 遠 法 師 語 所 以 為 三 
X62n1205_001:0725a24	根普被。萬善同歸也。(永明禪師語)所以一切剎海不能	根 普 被 萬 善 同 歸 也 永 明 禪 師 語 所 以 一 切 剎 海 不 能 
X62n1205_001:0725b01	麗。一切教網不能收也。(蕅益師語)嗟夫。眾生心量昏迷	麗 一 切 教 網 不 能 收 也 蕅 益 師 語 嗟 夫 眾 生 心 量 昏 迷 
X62n1205_001:0725b02	強弱之等差。不可勝數。四十九年中隨順說之。何	強 弱 之 等 差 不 可 勝 數 四 十 九 年 中 隨 順 說 之 何 
X62n1205_001:0725b03	所不有。至末後涅槃會上。彈偏斥小。歎大襃圓。而	所 不 有 至 末 後 涅 槃 會 上 彈 偏 斥 小 歎 大 襃 圓 而 
X62n1205_001:0725b04	圓教大法中。無不指歸淨土。則一代時教之本旨。	圓 教 大 法 中 無 不 指 歸 淨 土 則 一 代 時 教 之 本 旨 
X62n1205_001:0725b05	斷可識矣。夫劫量無盡。世界無盡。眾生無盡。此非	斷 可 識 矣 夫 劫 量 無 盡 世 界 無 盡 眾 生 無 盡 此 非 
X62n1205_001:0725b06	耳目所能及。而可意決其必然者也。即專論現在	耳 目 所 能 及 而 可 意 決 其 必 然 者 也 即 專 論 現 在 
X62n1205_001:0725b07	劫中。娑婆世界。中國九州。金人入夢至今。耳可得	劫 中 娑婆世界 中 國 九 州 金 人 入 夢 至 今 耳 可 得 
X62n1205_001:0725b08	聞。目可得見矣。其中眾生百千萬億分不可說不	聞 目 可 得 見 矣 其 中 眾 生 百 千萬億分 不 可 說 不 
X62n1205_001:0725b09	可說之多也。所行之法。無非飲食男女倫常日用	可 說 之 多 也 所 行 之 法 無 非 飲 食 男 女 倫 常 日 用 
X62n1205_001:0725b10	等種種世法也。而佛則如是若干眾中之一人也。	等 種 種 世 法 也 而 佛 則 如 是 若 干 眾 中 之 一 人 也 
X62n1205_001:0725b11	所說之法。如是若干法中之一法也。使佛意必離	所 說 之 法 如 是 若 干 法 中 之 一 法 也 使 佛 意 必 離 
X62n1205_001:0725b12	如是若干眾所行之法。而後行我法。其為偏小極	如 是 若 干 眾 所 行 之 法 而 後 行 我 法 其 為 偏 小 極 
X62n1205_001:0725b13	已。廢而不行久矣。何待三武之暴。諸儒之謗。使依	已 廢 而 不 行 久 矣 何 待 三 武 之 暴 諸 儒 之 謗 使 依 
X62n1205_001:0725b14	教奉行者。必抑黜世法。而後為護持佛法。則其必	教 奉 行 者 必 抑 黜 世 法 而 後 為 護 持 佛 法 則 其 必 
X62n1205_001:0725b15	不能護持亦決矣。然則今日法門之壞孰壞之。說	不 能 護 持 亦 決 矣 然 則 今 日 法 門 之 壞 孰 壞 之 說 
X62n1205_001:0725b16	法行法者之巧見戲論壞之。(才學念佛。便道莫著相。莫心外見佛等。皆	法 行 法 者 之 巧 見 戲 論 壞 之 才 學 念 佛 便 道 莫 著 相 莫 心 外 見 佛 等 皆 
X62n1205_001:0725b17	是巧見。不行而空言契理不契機等。皆是戲論)非謗法者所能壞也。猶之	是 巧 見 不 行 而 空 言 契 理 不 契 機 等 皆 是 戲 論 非 謗 法 者 所 能 壞 也 猶 之 
X62n1205_001:0725b18	國家立法之美善。而奉法者壞之。非外國人所能	國 家 立 法 之 美 善 而 奉 法 者 壞 之 非 外 國 人 所 能 
X62n1205_001:0725b19	壞也。是故欲望法運之轉機。莫要於提倡淨宗。欲	壞 也 是 故 欲 望 法 運 之 轉 機 莫 要 於 提 倡 淨 宗 欲 
X62n1205_001:0725b20	提倡淨宗。莫要於不壞世法。不談元妙。三經具在。	提 倡 淨 宗 莫 要 於 不 壞 世 法 不 談 元 妙 三 經 具 在 
X62n1205_001:0725b21	諸方明眼。當共鑒諸。	諸 方 明 眼 當 共 鑒 諸 
X62n1205_001:0725b22	答問(二十五則)	答 問 二 十 五 則 
X62n1205_001:0725b23	問曰。子讀儒書。近人講西學。子亦盛稱之。顧專談佛	問 曰 子 讀 儒 書 近 人 講 西 學 子 亦 盛 稱 之 顧 專 談 佛 
X62n1205_001:0725b24	法。其將以佛法治天下乎。答曰。是必不能。亦斷不可。	法 其 將 以 佛 法 治 天 下 乎 答 曰 是 必 不 能 亦 斷 不 可 
X62n1205_001:0725c01	利祿所勸。權勢所歸。必至名存實亡。奸弊百出。有元	利 祿 所 勸 權 勢 所 歸 必 至 名 存 實 亡 奸 弊 百 出 有 元 
X62n1205_001:0725c02	之國師。泰西之教王可證也。佛。師道也。其教止於脩	之 國 師 泰 西 之 教 王 可 證 也 佛 師 道 也 其 教 止 於 脩 
X62n1205_001:0725c03	身治心。罕及家國。上先師書已明辨之。(見卷附)三代以	身 治 心 罕 及 家 國 上 先 師 書 已 明 辨 之 見 卷 附 三 代 以 
X62n1205_001:0725c04	後。不可無佛教。醒迷歌已略言之。夫國所與立。萬億	後 不 可 無 佛 教 醒 迷 歌 已 略 言 之 夫 國 所 與 立 萬 億 
X62n1205_001:0725c05	愚賤之心也。歷代典章制度。因之而變者也。人心之	愚 賤 之 心 也 歷 代 典 章 制 度 因 之 而 變 者 也 人 心 之 
X62n1205_001:0725c06	離散思亂。至今極矣。誠使三五年中。海內幸無事。儒	離 散 思 亂 至 今 極 矣 誠 使 三 五 年 中 海 內 幸 無 事 儒 
X62n1205_001:0725c07	教極四部之選。西學擅各國之長。各得數百數千人。	教 極 四 部 之 選 西 學 擅 各 國 之 長 各 得 數 百 數 千 人 
X62n1205_001:0725c08	功不至大效不至速哉。而盡中國四萬萬人。莫能與	功 不 至 大 效 不 至 速 哉 而 盡 中 國 四 萬 萬 人 莫 能 與 
X62n1205_001:0725c09	焉。莫能解焉。以為高遠莫及。可畏而不可親也。(中國人決	焉 莫 能 解 焉 以 為 高 遠 莫 及 可 畏 而 不 可 親 也 中 國 人 決 
X62n1205_001:0725c10	定不信佛者。萬中之一爾。信而若存若亡。不知好者。十之七八。知好者十之二三。此兩語通言之。畏官長。良民	定 不 信 佛 者 萬 中 之 一 爾 信 而 若 存 若 亡 不 知 好 者 十 之 七 八 知 好 者 十 之 二 三 此 兩 語 通 言 之 畏 官 長 良 民 
X62n1205_001:0725c11	也。以為不可親則殆矣。故誠欲親民。莫近於佛。因此見法藏比邱之棄國。實為大慈。悉達太子之出家。實為大	也 以 為 不 可 親 則 殆 矣 故 誠 欲 親 民 莫 近 於 佛 因 此 見 法 藏 比 邱 之 棄 國 實 為 大 慈 悉 達 太 子 之 出 家 實 為 大 
X62n1205_001:0725c12	孝。而我孔子盛德在庶。為萬世師。天之位置。何異佛之示同凡夫。豈無意哉)以為與己不	孝 而 我 孔 子 盛 德 在 庶 為 萬 世 師 天 之 位 置 何 異 佛 之 示 同 凡 夫 豈 無 意 哉 以 為 與 己 不 
X62n1205_001:0725c13	同道。己所信向。且目為背畔犯禁忌也。(此專指念佛者言之)以	同 道 己 所 信 向 且 目 為 背 畔 犯 禁 忌 也 此 專 指 念 佛 者 言 之 以 
X62n1205_001:0725c14	為不如歸異教者。官為保護。莫敢指摘也。其平日之	為 不 如 歸 異 教 者 官 為 保 護 莫 敢 指 摘 也 其 平 日 之 
X62n1205_001:0725c15	壅隔揣虞若是。一旦有事。沿海沿邊。耕夫漁戶。皆早	壅 隔 揣 虞 若 是 一 旦 有 事 沿 海 沿 邊 耕 夫 漁 戶 皆 早 
X62n1205_001:0725c16	入其彀中。我所召募勇兵。皆素拒之門外。四兩五兩	入 其 彀 中 我 所 召 募 勇 兵 皆 素 拒 之 門 外 四 兩 五 兩 
X62n1205_001:0725c17	之守糧戰粮。能得其死力乎。數千數百之博學高才。	之 守 糧 戰 粮 能 得 其 死 力 乎 數 千 數 百 之 博 學 高 才 
X62n1205_001:0725c18	能獨治之乎。嗚呼。無與同好。誰與同惡。故竊謂今日	能 獨 治 之 乎 嗚 呼 無 與 同 好 誰 與 同 惡 故 竊 謂 今 日 
X62n1205_001:0725c19	中國以提倡佛教。固結人心為第一義。此義得而後	中 國 以 提 倡 佛 教 固 結 人 心 為 第 一 義 此 義 得 而 後 
X62n1205_001:0725c20	西學真有用。否則被他人用爾。前車可鑒已。若夫儒	西 學 真 有 用 否 則 被 他 人 用 爾 前 車 可 鑒 已 若 夫 儒 
X62n1205_001:0725c21	之於佛為同為異。二教通喻盡之矣。聖人復起。不易	之 於 佛 為 同 為 異 二 教 通 喻 盡 之 矣 聖 人 復 起 不 易 
X62n1205_001:0725c22	我言。乃自論出後。惟香巖居士能通其說。餘皆不解。	我 言 乃 自 論 出 後 惟 香 巖 居 士 能 通 其 說 餘 皆 不 解 
X62n1205_001:0725c23	甚至不能句讀。根器陋劣至此。尚復何言。(葢嘗思之今之士習	甚 至 不 能 句 讀 根 器 陋 劣 至 此 尚 復 何 言 葢 嘗 思 之 今 之 士 習 
X62n1205_001:0725c24	不變。仕途不清。實無一能為。子弟讀四子書畢。極多加詩經一部。便可應試入學。詩經能背誦乎。不能也。希見	不 變 仕 途 不 清 實 無 一 能 為 子 弟 讀 四 子 書 畢 極 多 加 詩 經 一 部 便 可 應 試 入 學 詩 經 能 背 誦 乎 不 能 也 希 見 
X62n1205_001:0726a01	之字不識也。易幾卦何名十翼何物。書禮幾篇春秋幾公。概未觸手寓目。不知也　本朝開國至今若干年。咸	之 字 不 識 也 易 幾 卦 何 名 十 翼 何 物 書 禮 幾 篇 春 秋 幾 公 概 未 觸 手 寓 目 不 知 也 本 朝 開 國 至 今 若 干 年 咸 
X62n1205_001:0726a02	豐以前年號。先後若何。不知也本省幾府幾縣。在何方向不知也。父師不教乎。父師先不知也。如此等人。一縣	豐 以 前 年 號 先 後 若 何 不 知 也 本 省 幾 府 幾 縣 在 何 方 向 不 知 也 父 師 不 教 乎 父 師 先 不 知 也 如 此 等 人 一 縣 
X62n1205_001:0726a03	以數百計。無財則可以教鄉里。以其道傳徒。有財則可以捐納。可以得一榜。得甲榜。得館選得高官。問何所能	以 數 百 計 無 財 則 可 以 教 鄉 里 以 其 道 傳 徒 有 財 則 可 以 捐 納 可 以 得 一 榜 得 甲 榜 得 館 選 得 高 官 問 何 所 能 
X62n1205_001:0726a04	曰能取巧。能敷衍。能搆虗架。孰教之乎。曰自其開筆作八股時。心思才力。一注於此。習與性成。不待教也。然則	曰 能 取 巧 能 敷 衍 能 搆 虗 架 孰 教 之 乎 曰 自 其 開 筆 作 八 股 時 心 思 才 力 一 注 於 此 習 與 性 成 不 待 教 也 然 則 
X62n1205_001:0726a05	當局者。何取乎。曰正取其如此。則軟熟不生事。可苟安也。然則不能改法乎。曰非不能也。不欲也。為己子弟計。	當 局 者 何 取 乎 曰 正 取 其 如 此 則 軟 熟 不 生 事 可 苟 安 也 然 則 不 能 改 法 乎 曰 非 不 能 也 不 欲 也 為 己 子 弟 計 
X62n1205_001:0726a06	為宗族親戚交游子弟計。為同寮閱卷計。何苦作法自斃。且取詬病焉。嗚呼。人之無良。邦國殄瘁。其果無良至	為 宗 族 親 戚 交 游 子 弟 計 為 同 寮 閱 卷 計 何 苦 作 法 自 斃 且 取 詬 病 焉 嗚 呼 人 之 無 良 邦 國 殄 瘁 其 果 無 良 至 
X62n1205_001:0726a07	此乎。亦非也。七百年來。憑空。講中庸。習非成是。釀為風氣。一人言之。必有多人攻之。其攻之者。徒黨皆此類。彼	此 乎 亦 非 也 七 百 年 來 憑 空 講 中 庸 習 非 成 是 釀 為 風 氣 一 人 言 之 必 有 多 人 攻 之 其 攻 之 者 徒 黨 皆 此 類 彼 
X62n1205_001:0726a08	眾我寡。明知必不敵也。夫如是雖有良民。誰能用之。余所以徃徃廢書而歎。憤極而涕下也)　(一)。	眾 我 寡 明 知 必 不 敵 也 夫 如 是 雖 有 良 民 誰 能 用 之 余 所 以 徃 徃 廢 書 而 歎 憤 極 而 涕 下 也 一 
X62n1205_001:0726a09	問曰。禪教律淨。皆佛說也。何獨談淨。答曰。禪佛心也。	問 曰 禪 教 律 淨 皆 佛 說 也 何 獨 談 淨 答 曰 禪 佛 心 也 
X62n1205_001:0726a10	教佛言也。律佛行也。淨則佛境界也。得佛境界而心	教 佛 言 也 律 佛 行 也 淨 則 佛 境 界 也 得 佛 境 界 而 心 
X62n1205_001:0726a11	言行自在其中。同戒錄序已言之。(見卷附)捨禪取淨之	言 行 自 在 其 中 同 戒 錄 序 已 言 之 見 卷 附 捨 禪 取 淨 之 
X62n1205_001:0726a12	故。法門綱宗已言之。曰既言淨宗無參無悟。則以何	故 法 門 綱 宗 已 言 之 曰 既 言 淨 宗 無 參 無 悟 則 以 何 
X62n1205_001:0726a13	為得手。曰執辭害意。學者大病。綱宗此段。全對禪家	為 得 手 曰 執 辭 害 意 學 者 大 病 綱 宗 此 段 全 對 禪 家 
X62n1205_001:0726a14	立說。淨家本無所謂得手不得手。但念而已。因禪家	立 說 淨 家 本 無 所 謂 得 手 不 得 手 但 念 而 已 因 禪 家 
X62n1205_001:0726a15	耽著無想無念。身境兩忘為好境界。却是墮在死水。	耽 著 無 想 無 念 身 境 兩 忘 為 好 境 界 却 是 墮 在 死 水 
X62n1205_001:0726a16	(故初祖達磨掃除六宗。呵為邪見。寂靜居其一)不知念佛。亦有身境兩忘時。	 故 初 祖 達 磨 掃 除 六 宗 呵 為 邪 見 寂 靜 居 其 一 不 知 念 佛 亦 有 身 境 兩 忘 時 
X62n1205_001:0726a17	(不可又誤解作事一心。及念自佛。葢祇如想一箇人。想至出神而已。凡人專注一事。徃徃有此光景。但自不覺	 不 可 又 誤 解 作 事 一 心 及 念 自 佛 葢 祇 如 想 一 箇 人 想 至 出 神 而 已 凡 人 專 注 一 事 徃 徃 有 此 光 景 但 自 不 覺 
X62n1205_001:0726a18	耳。何足異哉)而一句佛名。朗朗在口。却正是活潑潑地。(近時	耳 何 足 異 哉 而 一 句 佛 名 朗 朗 在 口 却 正 是 活 潑 潑 地 近 時 
X62n1205_001:0726a19	惟玉峯師。為得淨土正宗。每見打佛七者。一時香燼止息。師家便道此是好消息。須着眼。玉師呵之曰。一向專	惟 玉 峯 師 為 得 淨 土 正 宗 每 見 打 佛 七 者 一 時 香 燼 止 息 師 家 便 道 此 是 好 消 息 須 着 眼 玉 師 呵 之 曰 一 向 專 
X62n1205_001:0726a20	念。不讚其功。蹔時止息。便稱好消息。豈念時反為惡消息乎。此語可謂立破餘地)非謂別有	念 不 讚 其 功 蹔 時 止 息 便 稱 好 消 息 豈 念 時 反 為 惡 消 息 乎 此 語 可 謂 立 破 餘 地 非 謂 別 有 
X62n1205_001:0726a21	得手也　(二)。	得 手 也 二 
X62n1205_001:0726a22	問曰。何以無參無悟。答曰。禪家以疑入。故須參悟。淨	問 曰 何 以 無 參 無 悟 答 曰 禪 家 以 疑 入 故 須 參 悟 淨 
X62n1205_001:0726a23	家以信入。故不須參悟。楞嚴大勢至圓通章。事理雙	家 以 信 入 故 不 須 參 悟 楞 嚴 大 勢 至 圓 通 章 事 理 雙 
X62n1205_001:0726a24	顯矣。先以二人相憶。喻專念他佛。次以如母憶子。喻	顯 矣 先 以 二 人 相 憶 喻 專 念 他 佛 次 以 如 母 憶 子 喻 
X62n1205_001:0726b01	彼佛願力接引。乃言若眾生心。憶佛念佛。現前當來。	彼 佛 願 力 接 引 乃 言 若 眾 生 心 憶 佛 念 佛 現 前 當 來 
X62n1205_001:0726b02	必定見佛。謂惟其如此。故但憑現前一念信心。常憶	必 定 見 佛 謂 惟 其 如 此 故 但 憑 現 前 一 念 信 心 常 憶 
X62n1205_001:0726b03	常念。直至見佛。其事相類。又申明其理。言去佛不遠。	常 念 直 至 見 佛 其 事 相 類 又 申 明 其 理 言 去 佛 不 遠 
X62n1205_001:0726b04	不假方便。(上來二十三菩薩。所證圓通。皆是參悟方便。文殊偈云。歸元性無二。方便有多門。亦	不 假 方 便 上 來 二 十 三 菩 薩 所 證 圓 通 皆 是 參 悟 方 便 文 殊 偈 云 歸 元 性 無 二 方 便 有 多 門 亦 
X62n1205_001:0726b05	正指上文。講家以無量方便釋之。誤矣。既用方便。則是遠打之遶)自得心開。謂如此	正 指 上 文 講 家 以 無量方便 釋 之 誤 矣 既 用 方 便 則 是 遠 打 之 遶 自 得 心 開 謂 如 此 
X62n1205_001:0726b06	則正同母子相憶。不相違遠。故不須參究。自然得見	則 正 同 母 子 相 憶 不 相 違 遠 故 不 須 參 究 自 然 得 見 
X62n1205_001:0726b07	而開悟也。大勢至本彌陀次子。為西天淨土初祖。傳	而 開 悟 也 大 勢 至 本 彌 陀 次 子 為 西 天 淨 土 初 祖 傳 
X62n1205_001:0726b08	法如此。何庸致疑　(三)。	法 如 此 何 庸 致 疑 三 
X62n1205_001:0726b09	問曰。見佛之悟。與參得之悟。為同為異。答曰。悟有深	問 曰 見 佛 之 悟 與 參 得 之 悟 為 同 為 異 答 曰 悟 有 深 
X62n1205_001:0726b10	淺次第。所謂大悟十八變。小悟無其數。人人不同。皆	淺 次 第 所 謂 大 悟 十 八 變 小 悟 無 其 數 人 人 不 同 皆 
X62n1205_001:0726b11	非實悟。若豁然徹底無餘。則祇是證得現前一念本	非 實 悟 若 豁 然 徹 底 無 餘 則 祇 是 證 得 現 前 一 念 本 
X62n1205_001:0726b12	是不生不滅。涅槃妙心。(就人身言。強名為心。實則盡虗空徧法界。無中邊無今古	是 不生不滅 涅 槃 妙 心 就 人 身 言 強 名 為 心 實 則 盡 虗 空 徧 法 界 無 中 邊 無 今 古 
X62n1205_001:0726b13	以其湛寂常存而非靜則謂之一真。以其運行不息而非動。則謂之一靈。諸佛之示現。眾生之輪迴。皆此物也	以 其 湛 寂 常 存 而 非 靜 則 謂 之 一 真 以 其 運 行 不 息 而 非 動 則 謂 之 一 靈 諸 佛 之 示 現 眾 生 之 輪 迴 皆 此 物 也 
