X54n0879_001:0912a06	 正量論序	 正 量 論 序 
X54n0879_002:0923b22	俗戲論之說為質。而欲變革法王之法印也。夫法王	俗 戲 論 之 說 為 質 而 欲 變 革 法 王 之 法 印 也 夫 法 王 
X54n0879_002:0923b23	法印千聖不可異。豈以世俗之說而能壞哉。言之者	法 印 千 聖 不 可 異 豈 以 世 俗 之 說 而 能 壞 哉 言 之 者 
X54n0879_002:0923b24	自壞其見也。然如來四十年中說法。不無隱覆隨機	自 壞 其 見 也 然 如 來 四 十 年 中 說 法 不 無 隱 覆 隨 機 
X54n0879_002:0923c01	方便未了之談。末上盡與發開。如云。一切江河悉皆	方 便 未 了 之 談 末 上 盡 與 發 開 如 云 一 切 江 河 悉 皆 
X54n0879_002:0923c02	曲折。而亦有不曲折者。一切女人悉皆謟曲。而亦有	曲 折 而 亦 有 不 曲 折 者 一 切 女 人 悉 皆 謟 曲 而 亦 有 
X54n0879_002:0923c03	不謟曲者。殺父殺母必墮地獄。而亦有成聖道者。殺	不 謟 曲 者 殺 父 殺 母 必 墮 地 獄 而 亦 有 成 聖 道 者 殺 
X54n0879_002:0923c04	無明父及貪愛母故也。廣如涅槃所以盡與發開者。	無 明 父 及 貪 愛 母 故 也 廣 如 涅 槃 所 以 盡 與 發 開 者 
X54n0879_002:0923c05	恐疑悞眾生故也。然佛說本有今無。必為無常遷滅。	恐 疑 悞 眾 生 故 也 然 佛 說 本 有 今 無 必 為 無 常 遷 滅 
X54n0879_002:0923c06	未聞容有此說為常住不遷者也。佛說有為諸行剎	未 聞 容 有 此 說 為 常 住 不 遷 者 也 佛 說 有 為 諸 行 剎 
X54n0879_002:0923c07	那即滅。未聞昔物住昔而不化者也。佛說前陰滅後	那 即 滅 未 聞 昔 物 住 昔 而 不 化 者 也 佛 說 前 陰 滅 後 
X54n0879_002:0923c08	陰生。未聞因不滅而果生者也。佛說諸法體用皆空	陰 生 未 聞 因 不 滅 而 果 生 者 也 佛 說 諸 法 體 用 皆 空 
X54n0879_002:0923c09	故不相知。未聞物性各住一世不相到也。是皆法王	故 不 相 知 未 聞 物 性 各 住 一 世 不 相 到 也 是 皆 法 王 
X54n0879_002:0923c10	法外新出此條件也。吾何以從之哉。	法 外 新 出 此 條 件 也 吾 何 以 從 之 哉 
X54n0879_002:0923c11	來諭。如來說法自有大小偏圓。初無定方。不當槩以	來 諭 如 來 說 法 自 有 大 小 偏 圓 初 無 定 方 不 當 槩 以 
X54n0879_002:0923c12	圓頓之旨繩之。意謂肇師不滅不化自是一種法門。	圓 頓 之 旨 繩 之 意 謂 肇 師 不 滅 不 化 自 是 一 種 法 門 
X54n0879_002:0923c13	不當以二種法印繩之。愚謂如來說法大小偏圓。雖	不 當 以 二 種 法 印 繩 之 愚 謂 如 來 說 法 大 小 偏 圓 雖 
X54n0879_002:0923c14	逐機萬變。不離法印。若小乘法必與因緣生滅相應。	逐 機 萬 變 不 離 法 印 若 小 乘 法 必 與 因 緣 生 滅 相 應 
X54n0879_002:0923c15	若大乘法必與真空實相相應。離此則非異即邪矣。	若 大 乘 法 必 與 真 空 實 相 相 應 離 此 則 非 異 即 邪 矣 
X54n0879_002:0923c16	蓋若不以法印印定。則九十六種之說皆佛法矣。如	蓋 若 不 以 法 印 印 定 則 九 十 六 種 之 說 皆 佛 法 矣 如 
X54n0879_002:0923c17	來聖教豈到今日。	來 聖 教 豈 到 今 日 
X54n0879_002:0923c18	來諭。肇公不遷即真實義。非性空義。其引般若皆借	來 諭 肇 公 不 遷 即 真 實 義 非 性 空 義 其 引 般 若 皆 借 
X54n0879_002:0923c19	意。非其本宗。不爾肇公何人顧反昔支離一至此乎。	意 非 其 本 宗 不 爾 肇 公 何 人 顧 反 昔 支 離 一 至 此 乎 
X54n0879_002:0923c20	然肇公不遷既引般若標本。而曰非其本宗。此又仁	然 肇 公 不 遷 既 引 般 若 標 本 而 曰 非 其 本 宗 此 又 仁 
X54n0879_002:0923c21	者自駁肇公矣。且性空與真實相去幾何。豈有背乎	者 自 駁 肇 公 矣 且 性 空 與 真 實 相 去 幾 何 豈 有 背 乎 
X54n0879_002:0923c22	性空而能契真實者哉。背乎性空而責真實者。即所	性 空 而 能 契 真 實 者 哉 背 乎 性 空 而 責 真 實 者 即 所 
X54n0879_002:0923c23	謂固空華而實陽炎也。禪師必謂般若性空。法華性	謂 固 空 華 而 實 陽 炎 也 禪 師 必 謂 般 若 性 空 法 華 性 
X54n0879_002:0923c24	住。肇公不遷雖標本般若。而其立義則從法華。固不	住 肇 公 不 遷 雖 標 本 般 若 而 其 立 義 則 從 法 華 固 不 
X54n0879_002:0924a01	可以般若性空駁法華之性住者。愚謂般若法無去	可 以 般 若 性 空 駁 法 華 之 性 住 者 愚 謂 般 若 法 無 去 
X54n0879_002:0924a02	來。與法華法住法位。異其言耳。人徒知法華明實相。	來 與 法 華 法 住 法 位 異 其 言 耳 人 徒 知 法 華 明 實 相 
X54n0879_002:0924a03	曾不知六百卷般若純談實相。蓋若見諸法有無一	曾 不 知 六 百 卷 般 若 純 談 實 相 蓋 若 見 諸 法 有 無 一 
X54n0879_002:0924a04	異生滅去來。則法不住位也。譬如餓鬼見恒河水以	異 生 滅 去 來 則 法 不 住 位 也 譬 如 餓 鬼 見 恒 河 水 以 
X54n0879_002:0924a05	為流火。則不見恒河之正位也。大般若中具載法住	為 流 火 則 不 見 恒 河 之 正 位 也 大 般 若 中 具 載 法 住 
X54n0879_002:0924a06	法位之名。龍樹菩薩以為實相異稱。後人妄解云。法	法 位 之 名 龍 樹 菩 薩 以 為 實 相 異 稱 後 人 妄 解 云 法 
X54n0879_002:0924a07	住法位者。天位在上。地位在下。古自住古。今自住今。	住 法 位 者 天 位 在 上 地 位 在 下 古 自 住 古 今 自 住 今 
X54n0879_002:0924a08	成不至壞。因不至果。甘蔗性甜。黃連性苦。水性本濕。	成 不 至 壞 因 不 至 果 甘 蔗 性 甜 黃 連 性 苦 水 性 本 濕 
X54n0879_002:0924a09	火性本燥。各住自位。不可移易。究之無非妄想戲論。	火 性 本 燥 各 住 自 位 不 可 移 易 究 之 無 非 妄 想 戲 論 
X54n0879_002:0924a10	多見世人以此用當法華實相之旨。是猶鬼見未亡	多 見 世 人 以 此 用 當 法 華 實 相 之 旨 是 猶 鬼 見 未 亡 
X54n0879_002:0924a11	而欲覔恒河之水。徒增炎熱。豈識恒河哉。禪師必謂	而 欲 覔 恒 河 之 水 徒 增 炎 熱 豈 識 恒 河 哉 禪 師 必 謂 
X54n0879_002:0924a12	法華異乎般若。而所判法法各住自位之旨。想必不	法 華 異 乎 般 若 而 所 判 法 法 各 住 自 位 之 旨 想 必 不 
X54n0879_002:0924a13	同世人戲論之見。但但未聞開示所以異耳。	同 世 人 戲 論 之 見 但 但 未 聞 開 示 所 以 異 耳 
X54n0879_002:0924a14	答海印大士書(附來書)	答 海 印 大 士 書 附 來 書 
X54n0879_002:0924a15	顧不肖鈍根波流幻海華落寒空。不啻曳尾泥途	顧 不 肖 鈍 根 波 流 幻 海 華 落 寒 空 不 啻 曳 尾 泥 途 
X54n0879_002:0924a16	自甘逃逝已也。回視金色界人端若靈山一會。惟	自 甘 逃 逝 已 也 回 視 金 色 界 人 端 若 靈 山 一 會 惟 
X54n0879_002:0924a17	時白毫東注。幽邃蒙光。豈不見此頭陀如是度眾	時 白 毫 東 注 幽 邃 蒙 光 豈 不 見 此 頭 陀 如 是 度 眾 
X54n0879_002:0924a18	生而作菩薩行耶。承示不遷駁草(云云)。竊觀所駁。	生 而 作 菩 薩 行 耶 承 示 不 遷 駁 草 云 云 竊 觀 所 駁 
X54n0879_002:0924a19	若按名責實。雖肇公復起不易其言。若忘言會旨。	若 按 名 責 實 雖 肇 公 復 起 不 易 其 言 若 忘 言 會 旨 
X54n0879_002:0924a20	雖清涼再出亦追其武也。然彼覃思造論立意命	雖 清 涼 再 出 亦 追 其 武 也 然 彼 覃 思 造 論 立 意 命 
X54n0879_002:0924a21	名。不曰無見。且以不遷當俗。不真為真。由是觀之。	名 不 曰 無 見 且 以 不 遷 當 俗 不 真 為 真 由 是 觀 之 
X54n0879_002:0924a22	是物不遷。非真不遷也。以其物有遷變。故今示之	是 物 不 遷 非 真 不 遷 也 以 其 物 有 遷 變 故 今 示 之 
X54n0879_002:0924a23	以不遷為妙。若真不遷。又何足云。故云是法住法	以 不 遷 為 妙 若 真 不 遷 又 何 足 云 故 云 是 法 住 法 
X54n0879_002:0924a24	位世間相常住。其旨良哉。若高見摘其遷流之語	位 世 間 相 常 住 其 旨 良 哉 若 高 見 摘 其 遷 流 之 語 
X54n0879_002:0924b01	駁之。言言有據。即肇公對詰亦俛首無辭。但彼亦	駁 之 言 言 有 據 即 肇 公 對 詰 亦 俛 首 無 辭 但 彼 亦 
X54n0879_002:0924b02	自解云。所造未甞異。所見未甞同。意恐足下責其	自 解 云 所 造 未 甞 異 所 見 未 甞 同 意 恐 足 下 責 其 
X54n0879_002:0924b03	言。未諒其心耶。亦所見未甞同耶。故曰正言似反	言 未 諒 其 心 耶 亦 所 見 未 甞 同 耶 故 曰 正 言 似 反 
X54n0879_002:0924b04	誰當信者。且肇公明指不遷在物。而足下以真冤	誰 當 信 者 且 肇 公 明 指 不 遷 在 物 而 足 下 以 真 冤 
X54n0879_002:0924b05	之。斯為門不同。宜其相左耳(云云)。不盡。	之 斯 為 門 不 同 宜 其 相 左 耳 云 云 不 盡 
X54n0879_002:0924b06	海印大士慧書千言。其要則言肇公約俗物立不遷。	海 印 大 士 慧 書 千 言 其 要 則 言 肇 公 約 俗 物 立 不 遷 
X54n0879_002:0924b07	非真如不遷也。駁中巳斤此非。大士既主張此。胡不	非 真 如 不 遷 也 駁 中 巳 斤 此 非 大 士 既 主 張 此 胡 不 
X54n0879_002:0924b08	為其伸理遮難耶。今更詰之曰。肇公俗物不遷。為此	為 其 伸 理 遮 難 耶 今 更 詰 之 曰 肇 公 俗 物 不 遷 為 此 
X54n0879_002:0924b09	俗物即真故不遷耶。為不即真而不遷耶。若俗物即	俗 物 即 真 故 不 遷 耶 為 不 即 真 而 不 遷 耶 若 俗 物 即 
X54n0879_002:0924b10	真故不遷者。則真不遷矣。而論固違真。若俗物不即	真 故 不 遷 者 則 真 不 遷 矣 而 論 固 違 真 若 俗 物 不 即 
X54n0879_002:0924b11	真而言不遷者。然不出二義。一謂有為之法剎那滅。	真 而 言 不 遷 者 然 不 出 二 義 一 謂 有 為 之 法 剎 那 滅 
X54n0879_002:0924b12	故不從此方遷至餘方。此小乘正解也。二謂物各性	故 不 從 此 方 遷 至 餘 方 此 小 乘 正 解 也 二 謂 物 各 性 
X54n0879_002:0924b13	住。昔物不化。性住於昔故不遷。此外道常見也。故涅	住 昔 物 不 化 性 住 於 昔 故 不 遷 此 外 道 常 見 也 故 涅 
X54n0879_002:0924b14	槃出外道常計云。若筭數之法。初一若滅。尚無至二	槃 出 外 道 常 計 云 若 筭 數 之 法 初 一 若 滅 尚 無 至 二 
X54n0879_002:0924b15	況成百千。初一不滅。故有第二乃至百千。以是義故	況 成 百 千 初 一 不 滅 故 有 第 二 乃 至 百 千 以是義故 
X54n0879_002:0924b16	諸法是常。今肇公師不許因滅而許果生。因因而果	諸 法 是 常 今 肇 公 師 不 許 因 滅 而 許 果 生 因 因 而 果 
X54n0879_002:0924b17	許果生也。因不昔滅不許因滅也。斷非二乘不遷之	許 果 生 也 因 不 昔 滅 不 許 因 滅 也 斷 非 二 乘 不 遷 之 
X54n0879_002:0924b18	義。觀國師以為濫小者。悞矣。人謂昔物已化不來今	義 觀 國 師 以 為 濫 小 者 悞 矣 人 謂 昔 物 已 化 不 來 今 
X54n0879_002:0924b19	日。肇師昔物不滅原住於昔但不來今耳。此即所見	日 肇 師 昔 物 不 滅 原 住 於 昔 但 不 來 今 耳 此 即 所 見 
X54n0879_002:0924b20	未甞同處。據大士自謂。於是論中頗有自信之地。主	未 甞 同 處 據 大 士 自 謂 於 是 論 中 頗 有 自 信 之 地 主 
X54n0879_002:0924b21	張俗物不遷非真不遷。其所謂俗物不遷。想必不同	張 俗 物 不 遷 非 真 不 遷 其 所 謂 俗 物 不 遷 想 必 不 同 
X54n0879_002:0924b22	二乘外道之見。不識大士何所謂耶。胡不當陽指出	二乘外道 之 見 不 識 大 士 何 所 謂 耶 胡 不 當 陽 指 出 
X54n0879_002:0924b23	所以俗物不遷之義。開示愚蒙耶。且論中云。談真有	所 以 俗 物 不 遷 之 義 開 示 愚 蒙 耶 且 論 中 云 談 真 有 
X54n0879_002:0924b24	不遷之稱。導俗有流動之說。而大士却判定俗物不	不 遷 之 稱 導 俗 有 流 動 之 說 而 大 士 却 判 定 俗 物 不 
X54n0879_002:0924c01	遷。不當以真冤之。大士何失意至此耶。來謂不肖所	遷 不 當 以 真 冤 之 大 士 何 失 意 至 此 耶 來 謂 不 肖 所 
X54n0879_002:0924c02	駁。若按名責實。雖肇公復起不異其言。若忘言會旨。	駁 若 按 名 責 實 雖 肇 公 復 起 不 異 其 言 若 忘 言 會 旨 
X54n0879_002:0924c03	即清涼再出亦當追其武。良哉是言。若果如是。即九	即 清 涼 再 出 亦 當 追 其 武 良 哉 是 言 若 果 如 是 即 九 
X54n0879_002:0924c04	十六種之言與夫百家世諦之談。苟能忘之。皆第一	十 六 種 之 言 與 夫 百 家 世 諦 之 談 苟 能 忘 之 皆 第 一 
X54n0879_002:0924c05	義。又奚止肇公之言哉。又謂不肖責其言未諒其心。	義 又 奚 止 肇 公 之 言 哉 又 謂 不 肖 責 其 言 未 諒 其 心 
X54n0879_002:0924c06	夫言者心之跡。心者言之本。所謂心尚無。多觸言以	夫 言 者 心 之 跡 心 者 言 之 本 所 謂 心 尚 無 多 觸 言 以 
X54n0879_002:0924c07	賓無。故得其言必得其心。因跡以見其本也。若大士	賓 無 故 得 其 言 必 得 其 心 因 跡 以 見 其 本 也 若 大 士 
X54n0879_002:0924c08	之言。豈肇公心存白而言道累乎。言在東南而意在	之 言 豈 肇 公 心 存 白 而 言 道 累 乎 言 在 東 南 而 意 在 
X54n0879_002:0924c09	西北乎。不肖固不得其心。若大士所判俗物不遷。豈	西 北 乎 不 肖 固 不 得 其 心 若 大 士 所 判 俗 物 不 遷 豈 
X54n0879_002:0924c10	非肇公之心哉。若果其心。不肖早年亦甞得之矣。但	非 肇 公 之 心 哉 若 果 其 心 不 肖 早 年 亦 甞 得 之 矣 但 
X54n0879_002:0924c11	未愜鄙意耳。所以未愜鄙意者。於修多羅未允合耳。	未 愜 鄙 意 耳 所 以 未 愜 鄙 意 者 於 修 多 羅 未 允 合 耳 
X54n0879_002:0924c12	大士既判是物不遷非真不遷。且引法華實相之旨	大 士 既 判 是 物 不 遷 非 真 不 遷 且 引 法 華 實 相 之 旨 
X54n0879_002:0924c13	成之。豈謂法華實相唯物而非真耶。想大士謂天下	成 之 豈 謂 法 華 實 相 唯 物 而 非 真 耶 想 大 士 謂 天 下 
X54n0879_002:0924c14	未有不真之物。亦未有不物之真。今言物者全真之	未 有 不 真 之 物 亦 未 有 不 物 之 真 今 言 物 者 全 真 之 
X54n0879_002:0924c15	物耳。若爾。何謂是物不遷非真不遷耶。豈有離真之	物 耳 若 爾 何 謂 是 物 不 遷 非 真 不 遷 耶 豈 有 離 真 之 
X54n0879_002:0924c16	物不遷者耶。大士謂諸方話成兩橛。觀此言却似大	物 不 遷 者 耶 大 士 謂 諸 方 話 成 兩 橛 觀 此 言 却 似 大 
X54n0879_002:0924c17	士話兩橛。非諸方也。	士 話 兩 橛 非 諸 方 也 
X54n0879_002:0924c18	對一幻道人語	對 一 幻 道 人 語 
X54n0879_002:0924c19	一幻道人自海上來。謂余言。物不遷義我得之矣。我	一 幻 道 人 自 海 上 來 謂 余 言 物 不 遷 義 我 得 之 矣 我 
X54n0879_002:0924c20	聞諸尋香蝶主人有言曰。昔者甞遭屬虗子于槐國	聞 諸 尋 香 蝶 主 人 有 言 曰 昔 者 甞 遭 屬 虗 子 于 槐 國 
X54n0879_002:0924c21	之野。相與商略物不遷旨。屬虗子曰。只是個物各性	之 野 相 與 商 略 物 不 遷 旨 屬 虗 子 曰 只 是 個 物 各 性 
X54n0879_002:0924c22	住而已矣。曰何謂性住。屬虗子曰。天在上。地在下。水	住 而 已 矣 曰 何 謂 性 住 屬 虗 子 曰 天 在 上 地 在 下 水 
X54n0879_002:0924c23	性冷。火性熱。牛只是牛。馬只是馬。曰何謂不遷。屬虗	性 冷 火 性 熱 牛 只 是 牛 馬 只 是 馬 曰 何 謂 不 遷 屬 虗 
X54n0879_002:0924c24	子曰。不可將牛作馬。將馬作牛。曰何所據乎。屬虗子	子 曰 不 可 將 牛 作 馬 將 馬 作 牛 曰 何 所 據 乎 屬 虗 子 
X54n0879_002:0925a01	曰。法華云。是法住法位。世間相常住。此其良證也。尋	曰 法 華 云 是 法 住 法 位 世 間 相 常 住 此 其 良 證 也 尋 
X54n0879_002:0925a02	香蝶主人與之。我亦與之。時有小兒立于傍。空印道	香 蝶 主 人 與 之 我 亦 與 之 時 有 小 兒 立 于 傍 空 印 道 
X54n0879_002:0925a03	人指香爐顧問曰。這個是什麼。兒曰香爐。又指華瓶	人 指 香 爐 顧 問 曰 這 個 是 什 麼 兒 曰 香 爐 又 指 華 瓶 
X54n0879_002:0925a04	曰。這個是什麼。兒曰華瓶。即指華瓶而問焉曰。喚這	曰 這 個 是 什 麼 兒 曰 華 瓶 即 指 華 瓶 而 問 焉 曰 喚 這 
X54n0879_002:0925a05	個作香爐得麼。兒曰不得。指香爐曰。喚這個作華瓶	個 作 香 爐 得 麼 兒 曰 不 得 指 香 爐 曰 喚 這 個 作 華 瓶 
X54n0879_002:0925a06	得麼。兒曰不得。余曰。此兒不曾參屬虗子。亦知物不	得 麼 兒 曰 不 得 余 曰 此 兒 不 曾 參 屬 虗 子 亦 知 物 不 
X54n0879_002:0925a07	遷矣。若以如是見解用當法華實相之旨。謗法之罪	遷 矣 若 以 如 是 見 解 用 當 法 華 實 相 之 旨 謗 法 之 罪 
X54n0879_002:0925a08	何逃。一幻子怫然作色曰。爾童子者。徒知彼物非此。	何 逃 一 幻 子 怫 然 作 色 曰 爾 童 子 者 徒 知 彼 物 非 此 
X54n0879_002:0925a09	此物非彼。豈知物物全真耶。余曰。夫一切聖教以名	此 物 非 彼 豈 知 物 物 全 真 耶 余 曰 夫 一 切 聖 教 以 名 
X54n0879_002:0925a10	言為體。所以亘百千年魔外邪說不能亂者。以其名	言 為 體 所 以 亘 百 千 年 魔 外 邪 說 不 能 亂 者 以 其 名 
X54n0879_002:0925a11	言有在故耳。仲尼曰。必也正名乎。蓋名無越實。實無	言 有 在 故 耳 仲 尼 曰 必 也 正 名 乎 蓋 名 無 越 實 實 無 
X54n0879_002:0925a12	越名。名斯正矣。今屬虗子之言與小兒所見無殊。安	越 名 名 斯 正 矣 今 屬 虗 子 之 言 與 小 兒 所 見 無 殊 安 
X54n0879_002:0925a13	知其獨物物全真耳。且夫真則不異。異則不真。今見	知 其 獨 物 物 全 真 耳 且 夫 真 則 不 異 異 則 不 真 今 見 
X54n0879_002:0925a14	異牛異馬而曰全真。未之有也。蓋既曰真矣。則牛不	異 牛 異 馬 而 曰 全 真 未 之 有 也 蓋 既 曰 真 矣 則 牛 不 
X54n0879_002:0925a15	異馬。馬不異牛。所言不異者。非謂遷牛作馬。易馬為	異 馬 馬 不 異 牛 所 言 不 異 者 非 謂 遷 牛 作 馬 易 馬 為 
X54n0879_002:0925a16	牛也。蓋以牛之實相不異馬之實相。馬之實相不異	牛 也 蓋 以 牛 之 實 相 不 異 馬 之 實 相 馬 之 實 相 不 異 
X54n0879_002:0925a17	牛之實相故耳。則牛馬幻殊。實相不二。不二之體何	牛 之 實 相 故 耳 則 牛 馬 幻 殊 實 相 不 二 不 二 之 體 何 
X54n0879_002:0925a18	可遷乎。蓋見牛馬相異者。則不見牛馬之實相也。不	可 遷 乎 蓋 見 牛 馬 相 異 者 則 不 見 牛 馬 之 實 相 也 不 
X54n0879_002:0925a19	見牛馬之實相而曰牛馬不遷。詎可得耶。夫見牛之	見 牛 馬 之 實 相 而 曰 牛 馬 不 遷 詎 可 得 耶 夫 見 牛 之 
X54n0879_002:0925a20	實相者。非特不異於馬也。即此一牛與十方諸佛六	實 相 者 非 特 不 異 於 馬 也 即 此 一 牛 與 十方諸佛 六 
X54n0879_002:0925a21	道眾生依正因果皆不異矣。斯言不異者。非相似不	道 眾 生 依 正 因 果 皆 不 異 矣 斯 言 不 異 者 非 相 似 不 
X54n0879_002:0925a22	異也。非移易不異也。以實相天真體無二故云不異	異 也 非 移 易 不 異 也 以 實 相 天 真 體 無 二 故 云 不 異 
X54n0879_002:0925a23	也。今其言曰。牛不是馬。馬不是牛。是異物也。豈有異	也 今 其 言 曰 牛 不 是 馬 馬 不 是 牛 是 異 物 也 豈 有 異 
X54n0879_002:0925a24	物不遷者耶。涅槃聖行廣說異物無常。以破外道異	物 不 遷 者 耶 涅 槃 聖 行 廣 說 異 物 無 常 以 破 外 道 異 
X54n0879_002:0925b01	法之常。今屬虗子以異牛異馬為不遷。正與外道同	法 之 常 今 屬 虗 子 以 異 牛 異 馬 為 不 遷 正 與 外 道 同 
X54n0879_002:0925b02	宗。於如來作敵也。今吾子以異物成不遷。亦有聖言	宗 於 如 來 作 敵 也 今 吾 子 以 異 物 成 不 遷 亦 有 聖 言 
X54n0879_002:0925b03	可據乎。一幻子曰。於法華有之。法華云。如是相。如是	可 據 乎 一 幻 子 曰 於 法 華 有 之 法 華 云 如 是 相 如 是 
X54n0879_002:0925b04	性。乃至如是本末究竟等。此等一一皆實相故。余曰。	性 乃 至 如 是 本 末 究 竟 等 此 等 一 一 皆 實 相 故 余 曰 
X54n0879_002:0925b05	子言悞矣。實相尚不名一。而有十乎。實相若十。則同	子 言 悞 矣 實 相 尚 不 名 一 而 有 十 乎 實 相 若 十 則 同 
X54n0879_002:0925b06	有為。非常住矣。蓋諸法實相。一切言說所不能示。一	有 為 非 常 住 矣 蓋 諸法實相 一 切 言 說 所 不 能 示 一 
X54n0879_002:0925b07	切有心所不能到。故經初標云。唯佛與佛乃能究盡	切 有 心 所 不 能 到 故 經 初 標 云 唯 佛 與 佛 乃 能 究 盡 
X54n0879_002:0925b08	諸法實相。次云。所謂諸法如是性相等。但列諸法名	諸法實相 次 云 所 謂 諸 法 如 是 性 相 等 但 列 諸 法 名 
X54n0879_002:0925b09	件而已。彼實相者不容聲矣。要人向諸法中着眼。所	件 而 已 彼 實 相 者 不 容 聲 矣 要 人 向 諸 法 中 着 眼 所 
X54n0879_002:0925b10	謂即一切法默。得乎色心之外。豈可以此物類名件	謂 即 一 切 法 默 得 乎 色 心 之 外 豈 可 以 此 物 類 名 件 
X54n0879_002:0925b11	便當實相耶。蓋見諸法有。則不見諸法實相也。見諸	便 當 實 相 耶 蓋 見 諸 法 有 則 不 見 諸法實相 也 見 諸 
X54n0879_002:0925b12	法空。見諸法亦空亦有．非空非有。皆不見諸法之實	法 空 見 諸 法 亦 空 亦 有 非 空 非 有 皆 不 見 諸 法 之 實 
X54n0879_002:0925b13	相也。豈得以有牛無馬有馬無牛而見實相哉。又於	相 也 豈 得 以 有 牛 無 馬 有 馬 無 牛 而 見 實 相 哉 又 於 
X54n0879_002:0925b14	牛有牛。是有見也。於牛無馬。是無見也。觀馬亦然。有	牛 有 牛 是 有 見 也 於 牛 無 馬 是 無 見 也 觀 馬 亦 然 有 
X54n0879_002:0925b15	無斷常邪見論矣。吾子欲以有無斷常之見。用當法	無 斷 常 邪 見 論 矣 吾 子 欲 以 有 無 斷 常 之 見 用 當 法 
X54n0879_002:0925b16	華實相之旨。復有何說不墮謗法之愆乎。一幻子曰。	華 實 相 之 旨 復 有 何 說 不 墮 謗 法 之 愆 乎 一 幻 子 曰 
X54n0879_002:0925b17	噫唏。彼亦一幻也。此亦一幻也。得亦一幻也。失亦一	噫 唏 彼 亦 一 幻 也 此 亦 一 幻 也 得 亦 一 幻 也 失 亦 一 
X54n0879_002:0925b18	幻也。吾何咎焉。余曰。若果如是。吾將從其後矣。	幻 也 吾 何 咎 焉 余 曰 若 果 如 是 吾 將 從 其 後 矣 
X54n0879_002:0925b19	雲棲律師	雲 棲 律 師 
X54n0879_002:0925b20	有以肇公物各住位立不遷意。其不知緣生性空	有 以 肇 公 物 各 住 位 立 不 遷 意 其 不 知 緣 生 性 空 
X54n0879_002:0925b21	而駁之者。余謂不然。使肇公前無宗本。後無三論。	而 駁 之 者 余 謂 不 然 使 肇 公 前 無 宗 本 後 無 三 論 
X54n0879_002:0925b22	則如所駁也。今前之宗本。後之三論。其示緣生性	則 如 所 駁 也 今 前 之 宗 本 後 之 三 論 其 示 緣 生 性 
X54n0879_002:0925b23	空之旨委曲詳盡。豈物不遷輙迷是義哉。蓋肇公	空 之 旨 委 曲 詳 盡 豈 物 不 遷 輙 迷 是 義 哉 蓋 肇 公 
X54n0879_002:0925b24	為世人執今昔之物遷流。故返之曰。汝之所謂遷	為 世 人 執 今 昔 之 物 遷 流 故 返 之 曰 汝 之 所 謂 遷 
X54n0879_002:0925c01	者。正我所謂不遷耳。是謂就路還家。以賊攻賊。位	者 正 我 所 謂 不 遷 耳 是 謂 就 路 還 家 以 賊 攻 賊 位 
X54n0879_002:0925c02	不轉而易南為北。質不改而變鍮為金。巧心妙手	不 轉 而 易 南 為 北 質 不 改 而 變 鍮 為 金 巧 心 妙 手 
X54n0879_002:0925c03	無礙辨才也。以其為反世人今物昔物遷流之見。	無 礙 辨 才 也 以 其 為 反 世 人 今 物 昔 物 遷 流 之 見 
X54n0879_002:0925c04	故始終惟論物各住位。不言性空。使觀宗本可以	故 始 終 惟 論 物 各 住 位 不 言 性 空 使 觀 宗 本 可 以 
X54n0879_002:0925c05	貫通默會耳。今以不知性空而駁之。彼豈心服哉。	貫 通 默 會 耳 今 以 不 知 性 空 而 駁 之 彼 豈 心 服 哉 
X54n0879_002:0925c06	又曰。肇師若知有今日事。論尾聊增數語結明此	又 曰 肇 師 若 知 有 今 日 事 論 尾 聊 增 數 語 結 明 此 
X54n0879_002:0925c07	意。則駁何由生。此說肇公必首肯。不知駁者能信	意 則 駁 何 由 生 此 說 肇 公 必 首 肯 不 知 駁 者 能 信 
X54n0879_002:0925c08	否乎。	否 乎 
X54n0879_002:0925c09	雲棲主張不遷。雖無聖言為據。且有道理可申。非若	雲 棲 主 張 不 遷 雖 無 聖 言 為 據 且 有 道 理 可 申 非 若 
X54n0879_002:0925c10	諸方捺硬杜撰。反成誣累肇公也。其道理者。意謂肇	諸 方 捺 硬 杜 撰 反 成 誣 累 肇 公 也 其 道 理 者 意 謂 肇 
X54n0879_002:0925c11	公以緣會性空立宗本義。則四論一以貫之矣。故不	公 以 緣 會 性 空 立 宗 本 義 則 四 論 一 以 貫 之 矣 故 不 
X54n0879_002:0925c12	遷論中雖言不及此。而以本統末。則性空之理可不	遷 論 中 雖 言 不 及 此 而 以 本 統 末 則 性 空 之 理 可 不 
X54n0879_002:0925c13	言而會也。今謂宗本雖言性空。而不遷却言性住。本	言 而 會 也 今 謂 宗 本 雖 言 性 空 而 不 遷 却 言 性 住 本 
X54n0879_002:0925c14	末相反。敵體成違。因明之法謂之自語相違過也。且	末 相 反 敵 體 成 違 因 明 之 法 謂 之 自語相違過 也 且 
X54n0879_002:0925c15	夫聖教皆言因滅果生。肇公却道因不滅果生。涅槃	夫 聖 教 皆 言 因 滅 果 生 肇 公 却 道 因 不 滅 果 生 涅 槃 
X54n0879_002:0925c16	云。本無今有。是無常法。肇公謂有今無却成不遷。不	云 本無今有 是 無 常 法 肇 公 謂 有 今 無 却 成 不 遷 不 
