X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0326a09	初喻機感(諸子)	初 喻 機 感 諸 子 
X32n0618_001:0326a10	二喻應化(二)	二 喻 應 化 二 
X32n0618_001:0326a11	初非生現生(二)	初 非 生 現 生 二 
X32n0618_001:0326a12	初喻形聲二益(二)	初 喻 形 聲 二 益 二 
X32n0618_001:0326a13	初明形益(是時)	初 明 形 益 是 時 
X32n0618_001:0326a14	二明聲益(父見)	二 明 聲 益 父 見 
X32n0618_001:0326a15	二喻利益不虗(其諸)	二 喻 利 益 不 虗 其 諸 
X32n0618_001:0326a16	二非滅現滅(二)	二 非 滅 現 滅 二 
X32n0618_001:0326a17	初不久應死喻(二)	初 不 久 應 死 喻 二 
X32n0618_001:0326a18	初明唱滅之由(餘失)	初 明 唱 滅 之 由 餘 失 
X32n0618_001:0326a19	二正唱應死喻(我今)	二 正 唱 應 死 喻 我 今 
X32n0618_001:0326a20	二諸子醒悟喻(二)	二 諸 子 醒 悟 喻 二 
X32n0618_001:0326a21	初現滅利益(是時)	初 現 滅 利 益 是 時 
X32n0618_001:0326a22	二未來機感(自惟)	二 未 來 機 感 自 惟 
X32n0618_001:0326a23	三尋後來歸喻(其父)	三 尋 後 來 歸 喻 其 父 
X32n0618_001:0326a24	二治子實益喻(諸善)	二 治 子 實 益 喻 諸 善 
X32n0618_001:0326a25	二法合(佛言)	二 法 合 佛 言 
X32n0618_001:0326a26	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0326a27	初二十行半頌法說(二)	初 二 十 行 半 頌 法 說 二 
X32n0618_001:0326a28	初十九行半頌三世益物(三)	初 十 九 行 半 頌 三 世 益 物 三 
X32n0618_001:0326a29	初四行頌過去益物(爾時)	初 四 行 頌 過 去 益 物 爾 時 
X32n0618_001:0326a30	二五行頌現在益物(二)	二 五 行 頌 現 在 益 物 二 
X32n0618_001:0326a31	初三行頌非生現生(眾見)	初 三 行 頌 非 生 現 生 眾 見 
X32n0618_001:0326a32	二二行頌非滅現滅(以方)	二 二 行 頌 非 滅 現 滅 以 方 
X32n0618_001:0326a33	三十行半頌未來益物(四)	三 十 行 半 頌 未 來 益 物 四 
X32n0618_001:0326a34	初一行半頌未來機感(我見)	初 一 行 半 頌 未 來 機 感 我 見 
X32n0618_001:0326a35	二四行明常住不滅(神通)	二 四 行 明 常 住 不 滅 神 通 
X32n0618_001:0326a36	三二行明不見因緣(我淨)	三 二 行 明 不 見 因 緣 我 淨 
X32n0618_001:0326a37	四三行得見因緣(諸有)	四 三 行 得 見 因 緣 諸 有 
X32n0618_001:0326a38	二一行頌皆實不虗(汝等)	二 一 行 頌 皆 實 不 虗 汝 等 
X32n0618_001:0326a39	二五行頌喻說(二)	二 五 行 頌 喻 說 二 
X32n0618_001:0326a40	初一行頌喻說(如醫)	初 一 行 頌 喻 說 如 醫 
X32n0618_001:0326a41	二四行頌法合(我亦)	二 四 行 頌 法 合 我 亦 
X32n0618_001:0326a42	三悟佛知見已竟。	三 悟 佛 知 見 已 竟 
X32n0618_001:0326a44	分別功德品	分 別 功 德 品 
X32n0618_001:0326a46	○四入佛知見(三)	 四 入 佛 知 見 三 
X32n0618_001:0326a47	初明證解功德(二)	初 明 證 解 功 德 二 
X32n0618_001:0326a48	初明證入(二)	初 明 證 入 二 
X32n0618_001:0326a49	初長行(三)	初 長 行 三 
X32n0618_001:0326a50	初經家敘益(爾時)	初 經 家 敘 益 爾 時 
X32n0618_001:0326a51	二如來分別(三)	二 如 來 分 別 三 
X32n0618_001:0326a52	初入道功德(於時)	初 入 道 功 德 於 時 
X32n0618_001:0326a53	二得果功德(復有)	二 得 果 功 德 復 有 
X32n0618_001:0326a54	三發心功德(復有)	三 發 心 功 德 復 有 
X32n0618_001:0326a55	三時眾供養佛說	三 時 眾 供 養 佛 說 
X32n0618_001:0326a56	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0326a57	初十一行頌如來分別(爾時)	初 十 一 行 頌 如 來 分 別 爾 時 
X32n0618_001:0326a58	二八行頌時眾供養(雨天)	二 八 行 頌 時 眾 供 養 雨 天 
X32n0618_001:0326a59	二明解入(二)	二 明 解 入 二 
X32n0618_001:0326a60	初明現在解入(四)	初 明 現 在 解 入 四 
X32n0618_001:0326a61	初一念信解(二)	初 一 念 信 解 二 
X32n0618_001:0326a62	初長行(三)	初 長 行 三 
X32n0618_001:0326a63	初標舉其人(爾時)	初 標 舉 其 人 爾 時 
X32n0618_001:0326a64	二格量功德(三)	二 格 量 功 德 三 
X32n0618_001:0326a65	初標德無量(所得)	初 標 德 無 量 所 得 
X32n0618_001:0327a01	二舉格量本(若有)	二 舉 格 量 本 若 有 
X32n0618_001:0327a02	三格量多少(以是)	三 格 量 多 少 以 是 
X32n0618_001:0327a03	三結明不退(若善)	三 結 明 不 退 若 善 
X32n0618_001:0327a04	二偈頌(三)	二 偈 頌 三 
X32n0618_001:0327a05	初十四行頌格量功德(爾時)	初 十 四 行 頌 格 量 功 德 爾 時 
X32n0618_001:0327a06	二四行頌結明不退(其有)	二 四 行 頌 結 明 不 退 其 有 
X32n0618_001:0327a07	三一行半頌深心信解(若有)	三 一 行 半 頌 深 心 信 解 若 有 
X32n0618_001:0327a08	二略解言趣(二)	二 略 解 言 趣 二 
X32n0618_001:0327a09	初標舉其人(又阿)	初 標 舉 其 人 又 阿 
X32n0618_001:0327a10	二格量功德(是人)	二 格 量 功 德 是 人 
X32n0618_001:0327a11	三廣為人說(二)	三 廣 為 人 說 二 
X32n0618_001:0327a12	初況舉人相(何況)	初 況 舉 人 相 何 況 
X32n0618_001:0327a13	二格量功德(是人)	二 格 量 功 德 是 人 
X32n0618_001:0327a14	四深信解相(二)	四 深 信 解 相 二 
X32n0618_001:0327a15	初舉示其人(阿逸)	初 舉 示 其 人 阿 逸 
X32n0618_001:0327a16	二極顯觀成(則為)	二 極 顯 觀 成 則 為 
X32n0618_001:0327a17	二明未來解入(二)	二 明 未 來 解 入 二 
X32n0618_001:0327a18	初五種持經功德(二)	初 五 種 持 經 功 德 二 
X32n0618_001:0327a19	初長行(五)	初 長 行 五 
X32n0618_001:0327a20	初直起隨喜(又復)	初 直 起 隨 喜 又 復 
X32n0618_001:0327a21	二加自授持(二)	二 加 自 授 持 二 
X32n0618_001:0327a22	初況舉人相(何況)	初 況 舉 人 相 何 況 
X32n0618_001:0327a23	二格量功德(阿逸)	二 格 量 功 德 阿 逸 
X32n0618_001:0327a24	三加他授持(二)	三 加 他 授 持 二 
X32n0618_001:0327a25	初標舉人相(阿逸)	初 標 舉 人 相 阿 逸 
X32n0618_001:0327a26	二格量功德(則為)	二 格 量 功 德 則 為 
X32n0618_001:0327a27	四兼行六度(二)	四 兼 行 六 度 二 
X32n0618_001:0327a28	初況舉人相(況復)	初 況 舉 人 相 況 復 
X32n0618_001:0327a29	二格量功德(其德)	二 格 量 功 德 其 德 
X32n0618_001:0327a30	五備行六度(二)	五 備 行 六 度 二 
X32n0618_001:0327a31	初標舉人相(若人)	初 標 舉 人 相 若 人 
X32n0618_001:0327a32	二格量功德(阿逸)	二 格 量 功 德 阿 逸 
X32n0618_001:0327a33	二偈頌(四)	二 偈 頌 四 
X32n0618_001:0327a34	初五行半頌加自受持(爾時)	初 五 行 半 頌 加 自 受 持 爾 時 
X32n0618_001:0327a35	二三行頌加他受持(若能)	二 三 行 頌 加 他 受 持 若 能 
X32n0618_001:0327a36	三三行頌兼行六度(若有)	三 三 行 頌 兼 行 六 度 若 有 
X32n0618_001:0327a37	四八行頌備行六度(況復)　初五種持經功德已竟	四 八 行 頌 備 行 六 度 況 復 初 五 種 持 經 功 德 已 竟 
X32n0618_001:0327a38	二格量隨喜功德○	二 格 量 隨 喜 功 德 
X32n0618_001:0327a39	二明持經根淨○	二 明 持 經 根 淨 
X32n0618_001:0327a40	三顯能證之人○	三 顯 能 證 之 人 
X32n0618_001:0327a42	法華大成卷八科文	法 華 大 成 卷 八 科 文 
X32n0618_001:0327a44	隨喜功德品	隨 喜 功 德 品 
X32n0618_001:0327a46	○二格量隨喜功德(二)	 二 格 量 隨 喜 功 德 二 
X32n0618_001:0327a47	初彌勒請問(爾時)	初 彌 勒 請 問 爾 時 
X32n0618_001:0327a48	二如來垂答(二)	二 如 來 垂 答 二 
X32n0618_001:0327a49	初長行(二)	初 長 行 二 
X32n0618_001:0328a01	初明隨喜能說功德(四)	初 明 隨 喜 能 說 功 德 四 
X32n0618_001:0328a02	初展轉相教(爾時)	初 展 轉 相 教 爾 時 
X32n0618_001:0328a03	二舉格量本(三)	二 舉 格 量 本 三 
X32n0618_001:0328a04	初誡聽許校(阿逸)	初 誡 聽 許 校 阿 逸 
X32n0618_001:0328a05	二舉受施之人(若四)	二 舉 受 施 之 人 若 四 
X32n0618_001:0328a06	三舉能施之人(有人)	三 舉 能 施 之 人 有 人 
X32n0618_001:0328a07	三問答顯勝(於汝)	三 問 答 顯 勝 於 汝 
X32n0618_001:0328a08	四正為格量(佛告)	四 正 為 格 量 佛 告 
X32n0618_001:0328a09	二明聽法勸人功德(四)	二 明 聽 法 勸 人 功 德 四 
X32n0618_001:0328a10	初自往聽經(又阿)	初 自 往 聽 經 又 阿 
X32n0618_001:0328a11	二分座與人(若復)	二 分 座 與 人 若 復 
X32n0618_001:0328a12	三勸往聽經(阿逸)	三 勸 往 聽 經 阿 逸 
X32n0618_001:0328a13	四具聽修行(阿逸)	四 具 聽 修 行 阿 逸 
X32n0618_001:0328a14	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0328a15	初九行頌隨喜能說功德(三)	初 九 行 頌 隨 喜 能 說 功 德 三 
X32n0618_001:0328a16	初一行半頌展轉相教(爾時)	初 一 行 半 頌 展 轉 相 教 爾 時 
X32n0618_001:0328a17	二五行半頌舉格量本(最後)	二 五 行 半 頌 舉 格 量 本 最 後 
X32n0618_001:0328a18	三二行頌正為格量(最後)	三 二 行 頌 正 為 格 量 最 後 
X32n0618_001:0328a19	二九行頌聽法勸人功德(四)	二 九 行 頌 聽 法 勸 人 功 德 四 
X32n0618_001:0328a20	初五行頌勸往聽經(若有)	初 五 行 頌 勸 往 聽 經 若 有 
X32n0618_001:0328a21	二二行頌自往聽經(若故)	二 二 行 頌 自 往 聽 經 若 故 
X32n0618_001:0328a22	三一行頌分座與人(若於)	三 一 行 頌 分 座 與 人 若 於 
X32n0618_001:0328a23	四一行頌具聽脩行(何況)	四 一 行 頌 具 聽 脩 行 何 況 
X32n0618_001:0328a24	初明證解功德已竟。	初 明 證 解 功 德 已 竟 
X32n0618_001:0328a26	法師功德品	法 師 功 德 品 
X32n0618_001:0328a28	○二明持經根淨(二)	 二 明 持 經 根 淨 二 
X32n0618_001:0328a29	初總列六根清淨(爾時)	初 總 列 六 根 清 淨 爾 時 
X32n0618_001:0328a30	二別作六章解釋(六)	二 別 作 六 章 解 釋 六 
X32n0618_001:0328a31	初眼根功德(二)	初 眼 根 功 德 二 
X32n0618_001:0328a32	初長行(是善)	初 長 行 是 善 
X32n0618_001:0328a33	二偈頌(爾時)	二 偈 頌 爾 時 
X32n0618_001:0328a34	二耳根功德(二)	二 耳 根 功 德 二 
X32n0618_001:0328a35	初長行(二)	初 長 行 二 
X32n0618_001:0328a36	初總標耳聞(復次)	初 總 標 耳 聞 復 次 
X32n0618_001:0328a37	二別列諸聲(八)	二 別 列 諸 聲 八 
X32n0618_001:0328a38	初明雜類聲(象聲)	初 明 雜 類 聲 象 聲 
X32n0618_001:0328a39	二明六對聲(男聲)	二 明 六 對 聲 男 聲 
X32n0618_001:0328a40	三明八部聲(天聲)	三 明 八 部 聲 天 聲 
X32n0618_001:0328a41	四明三灾聲(火聲)	四 明 三 灾 聲 火 聲 
X32n0618_001:0328a42	五明惡道聲(地獄)	五 明 惡 道 聲 地 獄 
X32n0618_001:0328a43	六明二眾聲(比丘)	六 明 二 眾 聲 比 丘 
X32n0618_001:0328a44	七明四聖聲(聲聞)	七 明 四 聖 聲 聲 聞 
X32n0618_001:0328a45	八結其功德(以要)	八 結 其 功 德 以 要 
X32n0618_001:0328a46	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0328a47	初一行頌總標耳聞(爾時)	初 一 行 頌 總 標 耳 聞 爾 時 
X32n0618_001:0328a48	二十七行頌別列諸聲(七)	二 十 七 行 頌 別 列 諸 聲 七 
X32n0618_001:0328a49	初一行半頌雜類聲(象馬)	初 一 行 半 頌 雜 類 聲 象 馬 
X32n0618_001:0328a50	二一行半頌六對聲(無數)	二 一 行 半 頌 六 對 聲 無 數 
X32n0618_001:0328a51	三五行頌惡道聲(山川)	三 五 行 頌 惡 道 聲 山 川 
X32n0618_001:0328a52	四一行半頌諸天聲(其諸)	四 一 行 半 頌 諸 天 聲 其 諸 
X32n0618_001:0328a53	五一行半頌二眾聲(一切)	五 一 行 半 頌 二 眾 聲 一 切 
X32n0618_001:0328a54	六三行頌四聖聲(復有)	六 三 行 頌 四 聖 聲 復 有 
X32n0618_001:0328a55	七三行頌結其功德(三千)	七 三 行 頌 結 其 功 德 三 千 
X32n0618_001:0328a56	三鼻根功德(二)	三 鼻 根 功 德 二 
X32n0618_001:0328a57	初長行(二)	初 長 行 二 
X32n0618_001:0328a58	初總標鼻聞(復次)	初 總 標 鼻 聞 復 次 
X32n0618_001:0328a59	二別列諸香(五)	二 別 列 諸 香 五 
X32n0618_001:0328a60	初人間無情香(須曼)	初 人 間 無 情 香 須 曼 
X32n0618_001:0328a61	二人間有情香(又復)	二 人 間 有 情 香 又 復 
X32n0618_001:0328a62	三天上無情香(持是)	三 天 上 無 情 香 持 是 
X32n0618_001:0328a63	四天上有情香(又聞)	四 天 上 有 情 香 又 聞 
X32n0618_001:0329a01	五四聖人香(及聲)	五 四 聖 人 香 及 聲 
X32n0618_001:0329a02	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0329a03	初一行頌總標鼻聞(爾時)	初 一 行 頌 總 標 鼻 聞 爾 時 
X32n0618_001:0329a04	二二十九行頌別列諸香(三)	二 二 十 九 行 頌 別 列 諸 香 三 
X32n0618_001:0329a05	初十六行頌人間無情有情香(須曼)	初 十 六 行 頌 人 間 無 情 有 情 香 須 曼 
X32n0618_001:0329a06	二七行頌天上無情有情香(天上)	二 七 行 頌 天 上 無 情 有 情 香 天 上 
X32n0618_001:0329a07	三六行頌四聖人香(諸比)	三 六 行 頌 四 聖 人 香 諸 比 
X32n0618_001:0329a08	四舌根功德(二)	四 舌 根 功 德 二 
X32n0618_001:0329a09	初長行(二)	初 長 行 二 
X32n0618_001:0329a10	初總標舌淨(復次)	初 總 標 舌 淨 復 次 
X32n0618_001:0329a11	二別明說法(四)	二 別 明 說 法 四 
X32n0618_001:0329a12	初聞法歡喜(若以)	初 聞 法 歡 喜 若 以 
X32n0618_001:0329a13	二八部供養(又諸)	二 八 部 供 養 又 諸 
X32n0618_001:0329a14	三王民供養(及比)	三 王 民 供 養 及 比 
X32n0618_001:0329a15	四佛聖護念(又諸)	四 佛 聖 護 念 又 諸 
X32n0618_001:0329a16	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0329a17	初一行頌總標舌淨(爾時)	初 一 行 頌 總 標 舌 淨 爾 時 
X32n0618_001:0329a18	二七行半頌別明說法(五)	二 七 行 半 頌 別 明 說 法 五 
X32n0618_001:0329a19	初一行半頌聞法歡喜(以深)	初 一 行 半 頌 聞 法 歡 喜 以 深 
X32n0618_001:0329a20	二一行頌八部供養(諸天)	二 一 行 頌 八 部 供 養 諸 天 
X32n0618_001:0329a21	三二行頌王民供養(是說)	三 二 行 頌 王 民 供 養 是 說 
X32n0618_001:0329a22	四二行重頌八部諸天(諸天)	四 二 行 重 頌 八 部 諸 天 諸 天 
X32n0618_001:0329a23	五一行頌佛聖護念(諸佛)	五 一 行 頌 佛 聖 護 念 諸 佛 
X32n0618_001:0329a24	五身根功德(二)	五 身 根 功 德 二 
X32n0618_001:0329a25	初長行(二)	初 長 行 二 
X32n0618_001:0329a26	初總標身淨(復次)	初 總 標 身 淨 復 次 
X32n0618_001:0329a27	二別明現像(二)	二 別 明 現 像 二 
X32n0618_001:0329a28	初身中現六趣(三千)	初 身 中 現 六 趣 三 千 
X32n0618_001:0329a29	二身中現四聖(若聲)	二 身 中 現 四 聖 若 聲 
X32n0618_001:0329a30	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0329a31	初二行半頌總標身淨(爾時)	初 二 行 半 頌 總 標 身 淨 爾 時 
X32n0618_001:0329a32	二五行別現明像(二)	二 五 行 別 現 明 像 二 
X32n0618_001:0329a33	初三行頌身現六趣(三千)	初 三 行 頌 身 現 六 趣 三 千 
X32n0618_001:0329a34	二二行頌身現四聖(諸佛)	二 二 行 頌 身 現 四 聖 諸 佛 
X32n0618_001:0329a35	六意根功德(二)	六 意 根 功 德 二 
X32n0618_001:0329a36	初長行(二)	初 長 行 二 
X32n0618_001:0329a37	初標意根淨解(復次)	初 標 意 根 淨 解 復 次 
X32n0618_001:0329a38	二明淨意說法(解是)	二 明 淨 意 說 法 解 是 
X32n0618_001:0329a39	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0329a40	初一行半頌意根淨解(爾時)	初 一 行 半 頌 意 根 淨 解 爾 時 
X32n0618_001:0329a41	二九行半頌淨意說法(次第)	二 九 行 半 頌 淨 意 說 法 次 第 
X32n0618_001:0329a42	二明持經根淨已竟。	二 明 持 經 根 淨 已 竟 
X32n0618_001:0329a44	常不輕菩薩品	常 不 輕 菩 薩 品 
X32n0618_001:0329a46	三顯能證之人(二)	三 顯 能 證 之 人 二 
X32n0618_001:0329a47	初長行(三)	初 長 行 三 
X32n0618_001:0329a48	初雙舉前品罪福(爾時)	初 雙 舉 前 品 罪 福 爾 時 
X32n0618_001:0329a49	二雙開今品信毀(二)	二 雙 開 今 品 信 毀 二 
X32n0618_001:0329a50	初明事本(得大)	初 明 事 本 得 大 
X32n0618_001:0329a51	二明本事(二)	二 明 本 事 二 
X32n0618_001:0329a52	初標時節人名(最初)	初 標 時 節 人 名 最 初 
X32n0618_001:0329a53	二徵釋不輕之名(二)	二 徵 釋 不 輕 之 名 二 
X32n0618_001:0329a54	初明不輕之行(得大)	初 明 不 輕 之 行 得 大 
X32n0618_001:0329a55	二明得名所以(四眾)	二 明 得 名 所 以 四 眾 
X32n0618_001:0329a56	三雙明信毀果報(二)	三 雙 明 信 毀 果 報 二 
X32n0618_001:0329a57	初信者果報(二)	初 信 者 果 報 二 
X32n0618_001:0329a58	初正明果報(三)	初 正 明 果 報 三 
X32n0618_001:0329a59	初明現報(是比)	初 明 現 報 是 比 
X32n0618_001:0329a60	二明生報(是菩)	二 明 生 報 是 菩 
X32n0618_001:0329a61	三明後報(以是)	三 明 後 報 以 是 
X32n0618_001:0329a62	二結會古今(得大)	二 結 會 古 今 得 大 
X32n0618_001:0329a63	二毀者果報(二)	二 毀 者 果 報 二 
X32n0618_001:0329a64	初正明果報(得大)	初 正 明 果 報 得 大 
X32n0618_001:0329a65	二結會古今(二)	二 結 會 古 今 二 
X32n0618_001:0329a66	初結會(得大)	初 結 會 得 大 
X32n0618_001:0329a67	二勸持(得大)	二 勸 持 得 大 
X32n0618_001:0329a68	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0329a69	初五行半頌雙開今品信毀(三)	初 五 行 半 頌 雙 開 今 品 信 毀 三 
X32n0618_001:0329a70	初一行半頌事本(爾時)	初 一 行 半 頌 事 本 爾 時 
X32n0618_001:0330a01	二一行半頌時節人名(是佛)	二 一 行 半 頌 時 節 人 名 是 佛 
X32n0618_001:0330a02	三二行半頌不輕之行(不輕)	三 二 行 半 頌 不 輕 之 行 不 輕 
X32n0618_001:0330a03	二十四行頌雙明信毀果報(三)	二 十 四 行 頌 雙 明 信 毀 果 報 三 
X32n0618_001:0330a04	初四行半頌信毀果報(其罪)	初 四 行 半 頌 信 毀 果 報 其 罪 
X32n0618_001:0330a05	二三行半頌結念古今(彼時)	二 三 行 半 頌 結 念 古 今 彼 時 
X32n0618_001:0330a06	三六行頌舉益勸持(我於)	三 六 行 頌 舉 益 勸 持 我 於 
X32n0618_001:0330a07	二正宗分已竟。	二 正 宗 分 已 竟 
X32n0618_001:0330a09	如來神力品	如來神力 品 
X32n0618_001:0330a11	○三流通分(八)	 三 流 通 分 八 
X32n0618_001:0330a12	初神力嘉讚(二)	初 神 力 嘉 讚 二 
X32n0618_001:0330a13	初長行(三)	初 長 行 三 
X32n0618_001:0330a14	初菩薩受命(二)	初 菩 薩 受 命 二 
X32n0618_001:0330a15	初經家敘儀(爾時)	初 經 家 敘 儀 爾 時 
X32n0618_001:0330a16	二發願弘經(世尊)	二 發 願 弘 經 世 尊 
X32n0618_001:0330a17	二佛現神力(二)	二 佛 現 神 力 二 
X32n0618_001:0330a18	初明所對眾(爾時)	初 明 所 對 眾 爾 時 
X32n0618_001:0330a19	二正現神力(十)	二 正 現 神 力 十 
X32n0618_001:0330a20	初舌相上舒(現大)	初 舌 相 上 舒 現 大 
X32n0618_001:0330a21	二通身放光(一切)	二 通 身 放 光 一 切 
X32n0618_001:0330a22	三攝舌謦欬(然後)	三 攝 舌 謦 欬 然 後 
X32n0618_001:0330a23	四諸佛彈指(俱共)	四 諸 佛 彈 指 俱 共 
X32n0618_001:0330a24	五十方震動(是二)	五 十 方 震 動 是 二 
X32n0618_001:0330a25	六普見大會(其中)	六 普 見 大 會 其 中 
X32n0618_001:0330a26	七諸天唱勸(即時)	七 諸 天 唱 勸 即 時 
X32n0618_001:0330a27	八眾生歸命(彼諸)	八 眾 生 歸 命 彼 諸 
X32n0618_001:0330a28	九遙申供養(以種)	九 遙 申 供 養 以 種 
X32n0618_001:0330a29	十世界合一(於是)	十 世 界 合 一 於 是 
X32n0618_001:0330a30	三結要勸持(三)	三 結 要 勸 持 三 
X32n0618_001:0330a31	初稱歎付囑(爾時)	初 稱 歎 付 囑 爾 時 
X32n0618_001:0330a32	二結要付囑(以要)	二 結 要 付 囑 以 要 
X32n0618_001:0330a33	三勸持付囑(二)	三 勸 持 付 囑 二 
X32n0618_001:0330a34	初勸持起塔(是故)	初 勸 持 起 塔 是 故 
X32n0618_001:0330a35	二釋起塔意(所以)	二 釋 起 塔 意 所 以 
X32n0618_001:0330a36	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0330a37	初六行頌上長行(二)	初 六 行 頌 上 長 行 二 
X32n0618_001:0330a38	初三行頌佛現神力(爾時)	初 三 行 頌 佛 現 神 力 爾 時 
X32n0618_001:0330a39	二三行頌結要勸持(以佛)	二 三 行 頌 結 要 勸 持 以 佛 
X32n0618_001:0330a40	二十行明持經功德(五)	二 十 行 明 持 經 功 德 五 
X32n0618_001:0330a41	初一行半頌明得見三佛(能持)	初 一 行 半 頌 明 得 見 三 佛 能 持 
X32n0618_001:0330a42	二二行頌明諸佛歡喜(能持)	二 二 行 頌 明 諸 佛 歡 喜 能 持 
X32n0618_001:0330a43	三一行頌明得近佛果(諸佛)	三 一 行 頌 明 得 近 佛 果 諸 佛 
X32n0618_001:0330a44	四四行頌明得大辨才(能得)	四 四 行 頌 明 得 大 辨 才 能 得 
X32n0618_001:0330a45	五一行半頌總結應持(是故)　初神力嘉讚已竟	五 一 行 半 頌 總 結 應 持 是 故 初 神 力 嘉 讚 已 竟 
X32n0618_001:0330a46	二屬累傳薪○	二 屬 累 傳 薪 
X32n0618_001:0330a47	三藥王苦行○	三 藥 王 苦 行 
X32n0618_001:0330a48	四妙音說法○	四 妙 音 說 法 
X32n0618_001:0330a49	五普門圓應○	五 普 門 圓 應 
X32n0618_001:0330a50	六神呪護持○	六 神 呪 護 持 
X32n0618_001:0330a51	七妙嚴轉邪○	七 妙 嚴 轉 邪 
X32n0618_001:0330a52	八普賢勸發○	八 普 賢 勸 發 
X32n0618_001:0330a54	囑累品	囑 累 品 
X32n0618_001:0330a56	○二囑累薪傳(二)	 二 囑 累 薪 傳 二 
X32n0618_001:0330a57	初囑累授受(三)	初 囑 累 授 受 三 
X32n0618_001:0330a58	初如來付囑(三)	初 如 來 付 囑 三 
X32n0618_001:0330a59	初正明付囑(爾時)	初 正 明 付 囑 爾 時 
X32n0618_001:0330a60	二釋付囑意(所以)	二 釋 付 囑 意 所 以 
X32n0618_001:0330a61	三誡勉隨宜(於未)	三 誡 勉 隨 宜 於 未 
X32n0618_001:0330a62	二菩薩領受(時諸)	二 菩 薩 領 受 時 諸 
X32n0618_001:0330a63	三事畢唱散(爾時)	三 事 畢 唱 散 爾 時 
X32n0618_001:0330a64	二時眾歡喜(說是)	二 時 眾 歡 喜 說 是 
X32n0618_001:0330a65	二囑累薪傳已竟。	二 囑 累 薪 傳 已 竟 
X32n0618_001:0331a02	藥王菩薩本事品	藥 王 菩 薩 本 事 品 
X32n0618_001:0331a04	○三藥王苦行(四)	 三 藥 王 苦 行 四 
X32n0618_001:0331a05	初宿王請問(三)	初 宿 王 請 問 三 
X32n0618_001:0331a06	初總問遊化(爾時)	初 總 問 遊 化 爾 時 
X32n0618_001:0331a07	二別問苦行(世尊)	二 別 問 苦 行 世 尊 
X32n0618_001:0331a08	三請答歡喜(善哉)	三 請 答 歡 喜 善 哉 
X32n0618_001:0331a09	二如來垂答(二)	二 如 來 垂 答 二 
X32n0618_001:0331a10	初正答苦行(二)	初 正 答 苦 行 二 
X32n0618_001:0331a11	初明事本(爾時)	初 明 事 本 爾 時 
X32n0618_001:0331a12	二明本事(三)	二 明 本 事 三 
X32n0618_001:0331a13	初彼佛說法(爾時)	初 彼 佛 說 法 爾 時 
X32n0618_001:0331a14	二廣修供養(二)	二 廣 修 供 養 二 
X32n0618_001:0331a15	初明現在(二)	初 明 現 在 二 
X32n0618_001:0331a16	初修行得法(是一)	初 修 行 得 法 是 一 
X32n0618_001:0331a17	二作念報恩(二)	二 作 念 報 恩 二 
X32n0618_001:0331a18	初以三昧神通力供養(得此)	初 以 三 昧 神 通 力 供 養 得 此 
X32n0618_001:0331a19	二以正報色身力供養(三)	二 以 正 報 色 身 力 供 養 三 
X32n0618_001:0331a20	初正明燒身(作是)	初 正 明 燒 身 作 是 
X32n0618_001:0331a21	二諸佛稱歎(其中)	二 諸 佛 稱 歎 其 中 
X32n0618_001:0331a22	三明燒身時節(其身)	三 明 燒 身 時 節 其 身 
X32n0618_001:0331a23	二明未來(五)	二 明 未 來 五 
X32n0618_001:0331a24	初生在王家(一切)	初 生 在 王 家 一 切 
X32n0618_001:0331a25	二說昔本事(即為)	二 說 昔 本 事 即 為 
X32n0618_001:0331a26	三往詣佛所(白巳)	三 往 詣 佛 所 白 巳 
X32n0618_001:0331a27	四如來付囑(爾時)	四 如 來 付 囑 爾 時 
X32n0618_001:0331a28	五奉命任持(四)	五 奉 命 任 持 四 
X32n0618_001:0331a29	初滅後起塔(爾時)	初 滅 後 起 塔 爾 時 
X32n0618_001:0331a30	二燒臂供養(爾時)	二 燒 臂 供 養 爾 時 
X32n0618_001:0331a31	三時眾獲益(令無)	三 時 眾 獲 益 令 無 
X32n0618_001:0331a32	四燒臂還復(爾時)	四 燒 臂 還 復 爾 時 
X32n0618_001:0331a33	三結會古今(佛告)	三 結 會 古 今 佛 告 
X32n0618_001:0331a34	二歎經功深(三)	二 歎 經 功 深 三 
X32n0618_001:0331a35	初明供養較勝(二)	初 明 供 養 較 勝 二 
X32n0618_001:0331a36	初供塔顯勝(宿王)	初 供 塔 顯 勝 宿 王 
X32n0618_001:0331a37	二供人顯勝(若復)	二 供 人 顯 勝 若 復 
X32n0618_001:0331a38	二歎所持經法(二)	二 歎 所 持 經 法 二 
X32n0618_001:0331a39	初歎法體(十一)	初 歎 法 體 十 一 
X32n0618_001:0331a40	初河海淺深喻(宿王)	初 河 海 淺 深 喻 宿 王 
