X26n0575_001:0965c04	略移	略 移 
X26n0575_001:0973a01	　國王不分斬首計　　死而無懼性歸空	 國 王 不 分 斬 首 計 死 而 無 懼 性 歸 空 
X26n0575_001:0973a02	　法師曉的五蘊空　　揚說四句甚分明	 法 師 曉 的 五 蘊 空 揚 說 四 句 甚 分 明 
X26n0575_001:0973a03	　有人會得無為法　　刀不能劈本來真	 有 人 會 得 無 為 法 刀 不 能 劈 本 來 真 
X26n0575_001:0973a04	　天女明得五蘊空　　舍利向前使機風	 天 女 明 得 五 蘊 空 舍 利 向 前 使 機 風 
X26n0575_001:0973a05	　轉女為男成羅漢　　返妄歸真不脫生	 轉 女 為 男 成 羅 漢 返 妄 歸 真 不 脫 生 
X26n0575_001:0973a06	　鏡清和尚會蘊空　　三年土地不見踪	 鏡 清 和 尚 會 蘊 空 三 年 土 地 不 見 踪 
X26n0575_001:0973a07	　佛得利益神通大　　參了大道怕鬼神	 佛 得 利 益 神 通 大 參 了 大 道 怕 鬼 神 
X26n0575_001:0973a08	　弘覺得了五蘊空　　天人送供不見踪	 弘 覺 得 了 五 蘊 空 天 人 送 供 不 見 踪 
X26n0575_001:0973a09	　無為三昧難測量　　隱身之訣顯功能	 無 為 三 昧 難 測 量 隱 身 之 訣 顯 功 能 
X26n0575_001:0973a10	　識破回頭便下功　　了然脫洒悟心空	 識 破 回 頭 便 下 功 了 然 脫 洒 悟 心 空 
X26n0575_001:0973a11	　從他世事都零落　　其中別有一神通	 從 他 世 事 都 零 落 其 中 別 有 一 神 通 
X26n0575_001:0973a12	度一切苦厄者。佛憫眾生。開權顯實。超生越死。得免	度 一 切 苦 厄 者 佛 憫 眾 生 開 權 顯 實 超 生 越 死 得 免 
X26n0575_001:0973a13	輪迴苦。太上云。吾有大患。為吾有身。及吾無身。吾有	輪 迴 苦 太 上 云 吾 有 大 患 為 吾 有 身 及 吾 無 身 吾 有 
X26n0575_001:0973a14	何患。釋云。身是眾苦之本。儒云。有身有患。無執無憂。	何 患 釋 云 身 是 眾 苦 之 本 儒 云 有 身 有 患 無 執 無 憂 
X26n0575_001:0973a15	經云。三界無安。猶如火宅。眾苦充滿。甚可怖畏。若是	經 云 三 界 無 安 猶 如 火 宅 眾 苦 充 滿 甚 可 怖 畏 若 是 
X26n0575_001:0973a16	有智之人。返照自己。悟得自身皆虗幻。非為真實。何	有 智 之 人 返 照 自 己 悟 得 自 身 皆 虗 幻 非 為 真 實 何 
X26n0575_001:0973a17	況他物。一日無常。盡皆拋撒。百無一用。念念如此。心	況 他 物 一 日 無 常 盡 皆 拋 撒 百 無 一 用 念 念 如 此 心 
X26n0575_001:0973a18	境自除。雜念自少。更要參訪知識。親近智人。求出身	境 自 除 雜 念 自 少 更 要 參 訪 知 識 親 近 智 人 求 出 身 
X26n0575_001:0973a19	之路。了生死大事。忽朝[囗@力]地一聲。脫下漆桶底。便見	之 路 了 生 死 大 事 忽 朝 [囗力] 地 一 聲 脫 下 漆 桶 底 便 見 
X26n0575_001:0973a20	本來面。要見本來面目麼○古今無改變。人自認不	本 來 面 要 見 本 來 面 目 麼 古 今 無 改 變 人 自 認 不 
X26n0575_001:0973a21	真。明師說破了。元來這箇心。	真 明 師 說 破 了 元 來 這 箇 心 
X26n0575_001:0973a22	　若得心空苦便無　　有何生死有何物	 若 得 心 空 苦 便 無 有 何 生 死 有 何 物 
X26n0575_001:0973a23	　一朝脫下胎州襖　　作箇逍遙大丈夫	 一 朝 脫 下 胎 州 襖 作 箇 逍 遙 大 丈 夫 
X26n0575_001:0973a24	堅心學道似如來&;度出一切苦厄灾&;	堅 心 學 道 似 如 來 度 出 一 切 苦 厄 灾 
X26n0575_001:0973b01	常齋到頭似如來&;	常 齋 到 頭 似 如 來 
X26n0575_001:0973b02	不惜身命似如來&;	不惜身命 似 如 來 
X26n0575_001:0973b03	慈悲方便似如來&;	慈 悲 方 便 似 如 來 
X26n0575_001:0973b04	孝順父母似如來&;	孝順父母 似 如 來 
X26n0575_001:0973b05	行門廣大似如來&;	行 門 廣 大 似 如 來 
X26n0575_001:0973b06	不擇貧富似如來&;	不 擇 貧 富 似 如 來 
X26n0575_001:0973b07	調御丈夫似如來&;	調御丈夫 似 如 來 
X26n0575_001:0973b08	教人安心似如來&;	教 人 安 心 似 如 來 
X26n0575_001:0973b09	現成得道似如來&;	現 成 得 道 似 如 來 
X26n0575_001:0973b10	舍利子者。辯真假二儀也。舍者。屋舍也。比四大色身	舍 利 子 者 辯 真 假 二 儀 也 舍 者 屋 舍 也 比 四 大 色 身 
X26n0575_001:0973b11	是也。利子者。舍中本來一靈真性。主杖堅固體也。如	是 也 利 子 者 舍 中 本 來 一 靈 真 性 主 杖 堅 固 體 也 如 
X26n0575_001:0973b12	客店主人暫住。主若離舍。屋即倒塌。利子常在。只是	客 店 主 人 暫 住 主 若 離 舍 屋 即 倒 塌 利 子 常 在 只 是 
X26n0575_001:0973b13	換了房舍居住。道云。身是氣之宅。心是神之舍。久而	換 了 房 舍 居 住 道 云 身 是 氣 之 宅 心 是 神 之 舍 久 而 
X26n0575_001:0973b14	神氣散。又是移屋住。釋云。無始以來賃屋住。至今誰	神 氣 散 又 是 移 屋 住 釋 云 無 始 以 來 賃 屋 住 至 今 誰 
X26n0575_001:0973b15	識主人公。藥山又云。皮膚脫落盡。惟有一真實。要見	識 主 人 公 藥 山 又 云 皮 膚 脫 落 盡 惟 有 一 真 實 要 見 
X26n0575_001:0973b16	真實底麼。還識這箇○也未。又云。來來往往幾千遭。	真 實 底 麼 還 識 這 箇 也 未 又 云 來 來 往 往 幾 千 遭 
X26n0575_001:0973b17	只是世人摸不著。	只 是 世 人 摸 不 著 
X26n0575_001:0973b18	　四大茅庵一間窩　　包藏天地及山河	 四 大 茅 庵 一 間 窩 包 藏 天 地 及 山 河 
X26n0575_001:0973b19	　其中有箇真仙子　　不染纖塵老摩訶(鎮大羅)	 其 中 有 箇 真 仙 子 不 染 纖 塵 老 摩 訶 鎮 大 羅 
X26n0575_001:0973b20	　舍利元來一同居　　色身有形性無為	 舍 利 元 來 一 同 居 色 身 有 形 性 無 為 
X26n0575_001:0973b21	　性是真空不能壞　　有形決定死來催	 性 是 真 空 不 能 壞 有 形 決 定 死 來 催 
X26n0575_001:0973b22	　舍利本是堅固子　　色身不久化堆灰	 舍 利 本 是 堅 固 子 色 身 不 久 化 堆 灰 
X26n0575_001:0973b23	　信受自己真舍利　　無始以來幾曾離	 信 受 自 己 真 舍 利 無 始 以 來 幾 曾 離 
X26n0575_001:0973b24	　舍利是我主人公　　行住坐臥常在身	 舍 利 是 我 主 人 公 行住坐臥 常 在 身 
X26n0575_001:0973c01	　千變萬化舍利用　　元來不見體是空	 千 變 萬 化 舍 利 用 元 來 不 見 體 是 空 
X26n0575_001:0973c02	色不異空者。更無分別也。道性非二。真空一等。只在	色不異空 者 更 無 分 別 也 道 性 非 二 真 空 一 等 只 在 
X26n0575_001:0973c03	目前。應物現形。人皆不識。長者長空。短者短空。方者	目 前 應 物 現 形 人 皆 不 識 長 者 長 空 短 者 短 空 方 者 
X26n0575_001:0973c04	方空。圓者圓空。白者白空。赤者赤空。小者小空。大者	方 空 圓 者 圓 空 白 者 白 空 赤 者 赤 空 小 者 小 空 大 者 
X26n0575_001:0973c05	大空。遠者遠空。近者近空。道云。人人本有。箇箇不無。	大 空 遠 者 遠 空 近 者 近 空 道 云 人 人 本 有 箇 箇 不 無 
X26n0575_001:0973c06	釋云。蠢動含靈皆有佛性。儒云。一切含靈各具一太	釋 云 蠢 動 含 靈 皆 有 佛 性 儒 云 一 切 含 靈 各 具 一 太 
X26n0575_001:0973c07	極。古德又云。塵塵是道。塵塵是佛。仙真云。何物不稟	極 古 德 又 云 塵 塵 是 道 塵 塵 是 佛 仙 真 云 何 物 不 稟 
X26n0575_001:0973c08	道生。何物不稟道化。隨處現形。隨所自在。道不遠人。	道 生 何 物 不 稟 道 化 隨 處 現 形 隨 所 自 在 道 不 遠 人 
X26n0575_001:0973c09	人自遠之。返觀自身是色。色中須有真空覺性。應現	人 自 遠 之 返 觀 自 身 是 色 色 中 須 有 真 空 覺 性 應 現 
X26n0575_001:0973c10	種種相。種種相即是真空覺性所現。永嘉云。幻化空	種 種 相 種 種 相 即 是 真 空 覺 性 所 現 永 嘉 云 幻 化 空 
X26n0575_001:0973c11	身即法身。法身覺了無一物。本源自性天真佛。仙師	身 即 法 身 法 身 覺 了 無 一 物 本 源 自 性 天 真 佛 仙 師 
X26n0575_001:0973c12	云。有形假相。內包無相真形。寶公云。有相身中無相	云 有 形 假 相 內 包 無 相 真 形 寶 公 云 有 相 身 中 無 相 
X26n0575_001:0973c13	身。無相終日放光明。理會得麼。	身 無 相 終 日 放 光 明 理 會 得 麼 
X26n0575_001:0973c14	　色不異空體混合　　三世如來修蜜羅	 色不異空 體 混 合 三 世 如 來 修 蜜 羅 
X26n0575_001:0973c15	　萬法歸一禪那體　　凡聖同居體禪那	 萬 法 歸 一 禪 那 體 凡 聖 同 居 體 禪 那 
X26n0575_001:0973c16	　大道不分平切義　　八了無為明解脫	 大 道 不 分 平 切 義 八 了 無 為 明 解 脫 
X26n0575_001:0973c17	　障礙不著安穩處　　無諍第一並消麼	 障 礙 不 著 安 穩 處 無 諍 第 一 並 消 麼 
X26n0575_001:0973c18	　前世行惡轉輪迴　　今生為人盡不知	 前 世 行 惡 轉 輪 迴 今 生 為 人 盡 不 知 
X26n0575_001:0973c19	　聞著好意心懷恨　　業根深厚離更移	 聞 著 好 意 心 懷 恨 業 根 深 厚 離 更 移 
X26n0575_001:0973c20	　無始以來修因果　　累劫種下大根基	 無 始 以 來 修 因 果 累 劫 種 下 大 根 基 
X26n0575_001:0973c21	　遇逢善事生歡喜　　定正圓明與佛齊	 遇 逢 善 事 生 歡 喜 定 正 圓 明 與 佛 齊 
X26n0575_001:0973c22	空不異色者。枝分稍異。根本無別。色空元一種。世人	空不異色 者 枝 分 稍 異 根 本 無 別 色 空 元 一 種 世 人 
X26n0575_001:0973c23	自分別。道云。大方無隅。混然一體。釋云。總三千界成	自 分 別 道 云 大 方 無 隅 混 然 一 體 釋 云 總 三 千 界 成 
X26n0575_001:0973c24	一世界。儒云。登東山而小魯。登泰山而小天下。撤去	一 世 界 儒 云 登 東 山 而 小 魯 登 泰 山 而 小 天 下 撤 去 
X26n0575_001:0974a01	藩蘺何彼何此。古云。賢聖常行平等智。不生分別相。	藩 蘺 何 彼 何 此 古 云 賢 聖 常 行 平 等 智 不 生 分 別 相 
X26n0575_001:0974a02	三教賢聖亦是空。四生六道亦是空。上至仙佛。下至	三 教 賢 聖 亦 是 空 四 生 六 道 亦 是 空 上 至 仙 佛 下 至 
X26n0575_001:0974a03	蠢動草木。箇箇元來是空。且大朴未散。陰陽未判。二	蠢 動 草 木 箇 箇 元 來 是 空 且 大 朴 未 散 陰 陽 未 判 二 
X26n0575_001:0974a04	儀未分。三才未立。有甚你我。元來皆是一箇道理。因	儀 未 分 三 才 未 立 有 甚 你 我 元 來 皆 是 一 箇 道 理 因 
X26n0575_001:0974a05	大朴散。天地合。三才成立。萬生滋生。直至如今不能	大 朴 散 天 地 合 三 才 成 立 萬 生 滋 生 直 至 如 今 不 能 
X26n0575_001:0974a06	返本為何。只因眾生執著。不知元來是空。迷己逐物。	返 本 為 何 只 因 眾 生 執 著 不 知 元 來 是 空 迷 己 逐 物 
X26n0575_001:0974a07	心生倒見。隨物流轉。不能歸一。機見不同。著色著空。	心 生 倒 見 隨 物 流 轉 不 能 歸 一 機 見 不 同 著 色 著 空 
X26n0575_001:0974a08	色空二見。若人於此。廓然悟空平等。身心內外無餘。	色 空 二 見 若 人 於 此 廓 然 悟 空 平 等 身 心 內 外 無 餘 
X26n0575_001:0974a09	不見空色。不被物使。不被境瞞。一槩平等。有何二也。	不 見 空 色 不 被 物 使 不 被 境 瞞 一 槩 平 等 有 何 二 也 
X26n0575_001:0974a10	便得歸一。只這一。也是多了。重陽祖師云。抱元守一	便 得 歸 一 只 這 一 也 是 多 了 重 陽 祖 師 云 抱 元 守 一 
X26n0575_001:0974a11	是工夫。地久天長一也無。古云。萬法歸一一何歸。一	是 工 夫 地 久 天 長 一 也 無 古 云 萬 法 歸 一 一 何 歸 一 
X26n0575_001:0974a12	歸之處要君知。且道一歸何處狗舔熱油鐺。	歸 之 處 要 君 知 且 道 一 歸 何 處 狗 舔 熱 油 鐺 
X26n0575_001:0974a13	　空不異色表前因　　起初之時本不分	 空不異色 表 前 因 起 初 之 時 本 不 分 
X26n0575_001:0974a14	　未曾判斷無一物　　上下玄空一片空	 未 曾 判 斷 無 一 物 上 下 玄 空 一 片 空 
X26n0575_001:0974a15	　無陰無陽無天地　　那得日月共星辰	 無 陰 無 陽 無 天 地 那 得 日 月 共 星 辰 
X26n0575_001:0974a16	　無男無女無賢聖　　也無三教都無踪	 無 男 無 女 無 賢 聖 也 無 三 教 都 無 踪 
X26n0575_001:0974a17	　紅蒙茲萌分三儀　　瞑幸始第一氣生	 紅 蒙 茲 萌 分 三 儀 瞑 幸 始 第 一 氣 生 
X26n0575_001:0974a18	　盤古至今隨萬物　　人在其中順五行	 盤 古 至 今 隨 萬 物 人 在 其 中 順 五 行 
X26n0575_001:0974a19	　背明投暗心不徹　　不想歸源尋固根	 背 明 投 暗 心 不 徹 不 想 歸 源 尋 固 根 
X26n0575_001:0974a20	　身是父母陰陽湊　　思謀佛性那里人	 身 是 父 母 陰 陽 湊 思 謀 佛 性 那 里 人 
X26n0575_001:0974a21	色即是空者。辯箇邪正之理也。空在色中世人難見。	色 即 是 空 者 辯 箇 邪 正 之 理 也 空 在 色 中 世 人 難 見 
X26n0575_001:0974a22	眼是色。不能見物。只是真空妙性能見。耳是色。不能	眼 是 色 不 能 見 物 只 是 真 空 妙 性 能 見 耳 是 色 不 能 
X26n0575_001:0974a23	聽聲。只是真空妙性能聽聲。鼻是色。不能知香臭。只	聽 聲 只 是 真 空 妙 性 能 聽 聲 鼻 是 色 不 能 知 香 臭 只 
X26n0575_001:0974a24	是真空妙性能知香臭。舌是色。不能言語。只是真空	是 真 空 妙 性 能 知 香 臭 舌 是 色 不 能 言 語 只 是 真 空 
X26n0575_001:0974b01	妙性能言語。身是色。不能覺觸。只是真空妙性能覺	妙 性 能 言 語 身 是 色 不 能 覺 觸 只 是 真 空 妙 性 能 覺 
X26n0575_001:0974b02	觸。脚是色。不能行走。只是真空妙性能行走。手是色。	觸 脚 是 色 不 能 行 走 只 是 真 空 妙 性 能 行 走 手 是 色 
X26n0575_001:0974b03	不能拈掇。只是真空妙性能拈掇。且夫真空妙性。無	不 能 拈 掇 只 是 真 空 妙 性 能 拈 掇 且 夫 真 空 妙 性 無 
X26n0575_001:0974b04	眼能見。無耳能聽。無鼻能嗅。無舌能言。無脚能行。無	眼 能 見 無 耳 能 聽 無 鼻 能 嗅 無 舌 能 言 無 脚 能 行 無 
X26n0575_001:0974b05	手能掇。意根有名無形。分為八萬四千見聞覺知。總	手 能 掇 意 根 有 名 無 形 分 為 八萬四千 見聞覺知 總 
X26n0575_001:0974b06	歸六根。徧身互用。神通妙用。古云。通身是徧身是。道	歸 六 根 徧 身 互 用 神 通 妙 用 古 云 通 身 是 徧 身 是 道 
X26n0575_001:0974b07	云。不須他處遠搜尋。十二時中遶徧身。色空不異妙	云 不 須 他 處 遠 搜 尋 十 二 時 中 遶 徧 身 色 空 不 異 妙 
X26n0575_001:0974b08	理全彰。色可色非真色。空可空非真空。總歸大道不	理 全 彰 色 可 色 非 真 色 空 可 空 非 真 空 總 歸 大 道 不 
X26n0575_001:0974b09	是空。且道此理如何。川老有云。有相有求皆是妄。無	是 空 且 道 此 理 如 何 川 老 有 云 有 相 有 求 皆 是 妄 無 
X26n0575_001:0974b10	形無影墮偏枯。堂堂密密何曾間。一道寒光爍太虗。	形 無 影 墮 偏 枯 堂 堂 密 密 何 曾 間 一 道 寒 光 爍 太 虗 
X26n0575_001:0974b11	道云。知空不空。知色不色。名為照了。予今不免饒舌	道 云 知 空 不 空 知 色 不 色 名 為 照 了 予 今 不 免 饒 舌 
X26n0575_001:0974b12	說破。若見一切有相境物。休教染著。若到情忘念絕	說 破 若 見 一 切 有 相 境 物 休 教 染 著 若 到 情 忘 念 絕 
X26n0575_001:0974b13	之處。休教迷真。著相則著有。迷真則落空。不著有。方	之 處 休 教 迷 真 著 相 則 著 有 迷 真 則 落 空 不 著 有 方 
X26n0575_001:0974b14	是了事底人。	是 了 事 底 人 
X26n0575_001:0974b15	　色即是空鑛中金　　塵裏埋沒幾千春	 色 即 是 空 鑛 中 金 塵 裏 埋 沒 幾 千 春 
X26n0575_001:0974b16	　用心掏沙尋著寶　　明師說破現金身	 用 心 掏 沙 尋 著 寶 明 師 說 破 現 金 身 
X26n0575_001:0974b17	　眼觀一切金身現　　耳聽一切現金身	 眼 觀 一 切 金 身 現 耳 聽 一 切 現 金 身 
X26n0575_001:0974b18	　鼻聞一切金身現　　口談一切現金身	 鼻 聞 一 切 金 身 現 口 談 一 切 現 金 身 
X26n0575_001:0974b19	　手拈一切金身現　　脚行萬里現金身	 手 拈 一 切 金 身 現 脚 行 萬 里 現 金 身 
X26n0575_001:0974b20	　體知玲瓏金身現　　意變推詳現金身	 體 知 玲 瓏 金 身 現 意 變 推 詳 現 金 身 
X26n0575_001:0974b21	　千變萬化金身現　　晝夜出巡現金身	 千 變 萬 化 金 身 現 晝 夜 出 巡 現 金 身 
X26n0575_001:0974b22	　劈撥攬草金身現　　識了大用不見踪	 劈 撥 攬 草 金 身 現 識 了 大 用 不 見 踪 
X26n0575_001:0974b23	　大道不離方寸地　　不須他處遠搜尋	 大 道 不 離 方 寸 地 不 須 他 處 遠 搜 尋 
X26n0575_001:0974b24	空即是色者。重重細說也。色在空外人被境瞞。仙師	空 即 是 色 者 重 重 細 說 也 色 在 空 外 人 被 境 瞞 仙 師 
X26n0575_001:0974c01	云。道無萬彚。則不能顯。萬無道彚則不能生。釋云。見	云 道 無 萬 彚 則 不 能 顯 萬 無 道 彚 則 不 能 生 釋 云 見 
X26n0575_001:0974c02	色便見空。無色空不見。是以三教聖賢不見有色有	色 便 見 空 無 色 空 不 見 是 以 三 教 聖 賢 不 見 有 色 有 
X26n0575_001:0974c03	空。色空雙泯。內外無分別。如如常自然。光明洞耀。周	空 色 空 雙 泯 內 外 無 分 別 如 如 常 自 然 光 明 洞 耀 周 
X26n0575_001:0974c04	徧。沙界。世人則不然也。分內分外。論彼論此。著相分	徧 沙 界 世 人 則 不 然 也 分 內 分 外 論 彼 論 此 著 相 分 
