T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0639b13	諸佛法正見稱為好法。《涅槃經》云「求二乘	諸 佛 法 正 見 稱 為 好 法 涅 槃 經 云 求 二 乘 
T34n1722_001:0639b14	者名為不善，求大乘者名為之善」，善即是好	者 名 為 不 善 求 大 乘 者 名 為 之 善 善 即 是 好 
T34n1722_001:0639b15	法。問：一乘教起但應對彼五乘，何故亦對外	法 問 一 乘 教 起 但 應 對 彼 五 乘 何 故 亦 對 外 
T34n1722_001:0639b16	道耶？答：涅槃教乃斥三修比丘，而復簡外道	道 耶 答 涅 槃 教 乃 斥 三 修 比 丘 而 復 簡 外 道 
T34n1722_001:0639b17	故，外道無有真諦及盜竊佛常，今明佛法為	故 外 道 無 有 真 諦 及 盜 竊 佛 常 今 明 佛 法 為 
T34n1722_001:0639b18	妙，豈不對外道非妙及五乘之麁耶？問：既具	妙 豈 不 對 外 道 非 妙 及 五 乘 之 麁 耶 問 既 具 
T34n1722_001:0639b19	四名，何故獨稱為妙？答：凡有三義：一者、經有	四 名 何 故 獨 稱 為 妙 答 凡 有 三 義 一 者 經 有 
T34n1722_001:0639b20	妙文而無正稱，如云「我法妙難思」，又云「是乘	妙 文 而 無 正 稱 如 云 我 法 妙 難 思 又 云 是 乘 
T34n1722_001:0639b21	微妙清淨第一」，即其證也。二者、妙是精微深	微 妙 清 淨 第 一 即 其 證 也 二 者 妙 是 精 微 深 
T34n1722_001:0639b22	遠之稱，立妙名則稱歎義便，以我法微妙凡	遠 之 稱 立 妙 名 則 稱 歎 義 便 以 我 法 微 妙 凡 
T34n1722_001:0639b23	夫二乘及以始行菩薩不能思量義。若云我	夫 二 乘 及 以 始 行 菩 薩 不 能 思 量 義 若 云 我 
T34n1722_001:0639b24	法正難思義，則方言不巧、於義不便也。三者、	法 正 難 思 義 則 方 言 不 巧 於 義 不 便 也 三 者 
T34n1722_001:0639b25	次就義推，夫正以形耶受稱，妙以待麁得	次 就 義 推 夫 正 以 形 耶 受 稱 妙 以 待 麁 得 
T34n1722_001:0639b26	名，宜以九十六法為邪，如來五乘之法稱正，	名 宜 以 九 十 六 法 為 邪 如 來 五 乘 之 法 稱 正 
T34n1722_001:0639b27	故正在五乘之法也。五乘雖正，正而猶麁，唯	故 正 在 五 乘 之 法 也 五 乘 雖 正 正 而 猶 麁 唯 
T34n1722_001:0639b28	一乘之法乃稱為妙，故妙主於一也，不得云	一 乘 之 法 乃 稱 為 妙 故 妙 主 於 一 也 不 得 云 
T34n1722_001:0639b29	外道為麁、五乘為妙，亦不得云五乘為邪、一	外 道 為 麁 五 乘 為 妙 亦 不 得 云 五 乘 為 邪 一 
T34n1722_001:0639c01	乘為正。外道之形佛法，其猶石之與玉；五乘	乘 為 正 外 道 之 形 佛 法 其 猶 石 之 與 玉 五 乘 
T34n1722_001:0639c02	之與一乘，同皆是玉，但玉有精麁，故以五乘	之 與 一 乘 同 皆 是 玉 但 玉 有 精 麁 故 以 五 乘 
T34n1722_001:0639c03	為麁、一乘為妙也。	為 麁 一 乘 為 妙 也 
T34n1722_001:0639c04	第七、釋名門，今解達摩之法則釋妙義。此經	第 七 釋 名 門 今 解 達 摩 之 法 則 釋 妙 義 此 經 
T34n1722_001:0639c05	文雖七軸，宗歸一乘，宜以一乘之法為妙。故	文 雖 七 軸 宗 歸 一 乘 宜 以 一 乘 之 法 為 妙 故 
T34n1722_001:0639c06	〈譬喻品〉云「是乘微妙清淨第一，於諸世間為	 譬 喻 品 云 是 乘 微 妙 清 淨 第 一 於 諸 世 間 為 
T34n1722_001:0639c07	無有上」，此偈對四乘之麁歎佛乘為妙。上半	無 有 上 此 偈 對 四 乘 之 麁 歎 佛 乘 為 妙 上 半 
T34n1722_001:0639c08	對二乘之麁嘆佛乘為妙，下半對人天乘之	對 二 乘 之 麁 嘆 佛 乘 為 妙 下 半 對 人 天 乘 之 
T34n1722_001:0639c09	麁嘆佛乘為妙。「是乘」者，謂佛乘也，「微妙清淨」	麁 嘆 佛 乘 為 妙 是 乘 者 謂 佛 乘 也 微 妙 清 淨 
T34n1722_001:0639c10	者，歎佛乘也，以德無不圓故云微妙，累無不	者 歎 佛 乘 也 以 德 無 不 圓 故 云 微 妙 累 無 不 
T34n1722_001:0639c11	盡故名清淨。又夫論累者所謂麁也，在麁既	盡 故 名 清 淨 又 夫 論 累 者 所 謂 麁 也 在 麁 既 
T34n1722_001:0639c12	盡則眾德並圓，累盡德圓故稱為妙。又累無	盡 則 眾 德 並 圓 累 盡 德 圓 故 稱 為 妙 又 累 無 
T34n1722_001:0639c13	不盡不可為有，德無不圓不可言無，非有非	不 盡 不 可 為 有 德 無 不 圓 不 可 言 無 非 有 非 
T34n1722_001:0639c14	無則中道之法，故稱為妙，同大涅槃空不空	無 則 中 道 之 法 故 稱 為 妙 同 大 涅 槃 空 不 空 
T34n1722_001:0639c15	義，以空無二十五有不可言有，有常樂我淨	義 以 空 無 二十五有 不 可 言 有 有 常樂我淨 
T34n1722_001:0639c16	不可言無。而一乘與大涅槃更無有異，故〈譬	不 可 言 無 而 一 乘 與 大 涅 槃 更 無 有 異 故 譬 
T34n1722_001:0639c17	喻品〉云「舉大涅槃合於大車」，故云「不令有人	喻 品 云 舉 大 涅 槃 合 於 大 車 故 云 不 令 有 人 
T34n1722_001:0639c18	獨得滅度，皆以如來滅度而滅度之」，則其證	獨 得 滅 度 皆 以 如 來 滅 度 而 滅 度 之 則 其 證 
T34n1722_001:0639c19	也。所言第一者，〈方便品〉云「唯有一佛乘，無有	也 所 言 第 一 者 方 便 品 云 唯 有 一 佛 乘 無 有 
T34n1722_001:0639c20	餘乘若二若三」，則知第一之名對二三而起	餘 乘 若二若三 則 知 第 一 之 名 對 二 三 而 起 
T34n1722_001:0639c21	也。以二三乘累猶未盡、德猶未圓，如《涅槃》	也 以 二 三 乘 累 猶 未 盡 德 猶 未 圓 如 涅 槃 
T34n1722_001:0639c22	云「二乘之人但見於空、不見不空，故不行中	云 二 乘 之 人 但 見 於 空 不 見 不 空 故 不 行 中 
T34n1722_001:0639c23	道，不得稱為第一」。諸佛如來德無不圓、累無	道 不 得 稱 為 第 一 諸佛如來 德 無 不 圓 累 無 
T34n1722_001:0639c24	不盡，具見空與不空義，行於中道，故稱為第	不 盡 具 見 空 與 不 空 義 行 於 中 道 故 稱 為 第 
T34n1722_001:0639c25	一也。「於諸世間為無有上」，人天為世間，世	一 也 於 諸 世 間 為 無 有 上 人 天 為 世 間 世 
T34n1722_001:0639c26	間乘則非妙，故云於諸世間為無有上也。上	間 乘 則 非 妙 故 云 於 諸 世 間 為 無 有 上 也 上 
T34n1722_001:0639c27	來總釋偈竟，今次別釋偈文。夫造十惡業報	來 總 釋 偈 竟 今 次 別 釋 偈 文 夫 造 十 惡 業 報 
T34n1722_001:0639c28	感三途故稱為麁，五戒招得人報則以人乘	感 三 途 故 稱 為 麁 五 戒 招 得 人 報 則 以 人 乘 
T34n1722_001:0639c29	為妙；人乘樂少苦多故稱為麁，十善感得天	為 妙 人 乘 樂 少 苦 多 故 稱 為 麁 十 善 感 得 天 
T34n1722_001:0640a01	身則苦少樂多則天乘為妙；人天未勉生老病	身 則 苦 少 樂 多 則 天 乘 為 妙 人 天 未 勉 生 老 病 
T34n1722_001:0640a02	死故名為麁，聲聞得出三界故名為妙；聲聞	死 故 名 為 麁 聲 聞 得 出 三 界 故 名 為 妙 聲 聞 
T34n1722_001:0640a03	福少鈍根稱之為麁，緣覺福厚利根名之為	福 少 鈍 根 稱 之 為 麁 緣 覺 福 厚 利 根 名 之 為 
T34n1722_001:0640a04	妙；聲聞緣覺累猶未盡、德猶未圓故稱為麁，	妙 聲 聞 緣 覺 累 猶 未 盡 德 猶 未 圓 故 稱 為 麁 
T34n1722_001:0640a05	唯有佛乘德無不圓、累無不盡故稱為妙。問：	唯 有 佛 乘 德 無 不 圓 累 無 不 盡 故 稱 為 妙 問 
T34n1722_001:0640a06	今明一乘為妙，與舊何異？答：釋此經者凡有三	今 明 一 乘 為 妙 與 舊 何 異 答 釋 此 經 者 凡 有 三 
T34n1722_001:0640a07	說：一云，此經雖辨一乘之因，猶感無常之果。	說 一 云 此 經 雖 辨 一 乘 之 因 猶 感 無 常 之 果 
T34n1722_001:0640a08	是以文云「過去過塵沙未來復倍上數」；又〈藥	是 以 文 云 過 去 過 塵 沙 未 來 復 倍 上 數 又 藥 
T34n1722_001:0640a09	草喻品〉云「究竟涅槃常寂滅相終歸於空」，終歸	草 喻 品 云 究竟涅槃 常 寂 滅 相 終 歸 於 空 終 歸 
T34n1722_001:0640a10	於空者，終灰身滅智入無餘涅槃，故猶是無	於 空 者 終 灰 身 滅 智 入無餘涅槃 故 猶 是 無 
T34n1722_001:0640a11	常；至《大涅槃》方辨常住。既是無常則應是麁，	常 至 大 涅 槃 方 辨 常 住 既 是 無 常 則 應 是 麁 
T34n1722_001:0640a12	但對前諸經未辨過去過塵沙未來復倍上	但 對 前 諸 經 未 辨 過 去 過 塵 沙 未 來 復 倍 上 
T34n1722_001:0640a13	數，故歎此經以為妙耳。若望涅槃教，則猶是	數 故 歎 此 經 以 為 妙 耳 若 望 涅 槃 教 則 猶 是 
T34n1722_001:0640a14	麁也。第二釋云，此經已辨於常，猶未顯了，但	麁 也 第 二 釋 云 此 經 已 辨 於 常 猶 未 顯 了 但 
T34n1722_001:0640a15	是覆相明常。所以然者，此經未除八倒、不明	是 覆 相 明 常 所 以 然 者 此 經 未 除 八 倒 不 明 
T34n1722_001:0640a16	四德，但明壽命無窮，故是覆相辨常；至涅槃	四 德 但 明 壽 命 無 窮 故 是 覆 相 辨 常 至 涅 槃 
T34n1722_001:0640a17	教方顯了辨常。第三釋云，自小乘之教則辨	教 方 顯 了 辨 常 第 三 釋 云 自 小 乘 之 教 則 辨 
T34n1722_001:0640a18	無常覆相之說，一切大乘經皆是常住顯了	無 常 覆 相 之 說 一切大乘 經 皆 是 常 住 顯 了 
T34n1722_001:0640a19	無餘。今總評此三說，初釋是下根之人，次釋	無 餘 今 總 評 此 三 說 初 釋 是 下 根 之 人 次 釋 
T34n1722_001:0640a20	是中根之人，第三是上根之人也。所以然	是 中根之人 第 三 是 上 根 之 人 也 所 以 然 
T34n1722_001:0640a21	者，初釋為謗法過甚深，故是下根；次說毀呰	者 初 釋 為 謗 法 過 甚 深 故 是 下 根 次 說 毀 呰 
T34n1722_001:0640a22	少輕，秤為中根；第三乃言究竟而封執成迷	少 輕 秤 為 中 根 第 三 乃 言 究 竟 而 封 執 成 迷 
T34n1722_001:0640a23	教，故是上根人也。此皆就有所得中自開	教 故 是 上 根 人 也 此 皆 就 有 所 得 中 自 開 
T34n1722_001:0640a24	三品。問：初釋云何謗法過深？答：今以四處徵	三 品 問 初 釋 云 何 謗 法 過 深 答 今 以 四 處 徵 
T34n1722_001:0640a25	之，則知為謗深也。一、用《法花》前教為難，二、	之 則 知 為 謗 深 也 一 用 法 花 前 教 為 難 二 
T34n1722_001:0640a26	用《法花》正文責之，三、尋關河舊說，四、以義推	用 法 花 正 文 責 之 三 尋 關 河 舊 說 四 以 義 推 
T34n1722_001:0640a27	難。法花前教，謂大小《波若》及《淨名》等經。	難 法 花 前 教 謂 大 小 波 若 及 淨 名 等 經 
T34n1722_001:0640a28	《大品．常啼品》云「諸佛色身有去來、法身無去	 大 品 常 啼 品 云 諸 佛 色 身 有 去 來 法 身 無 去 
T34n1722_001:0640a29	來」，《金剛波若論》云「三身異體故，離彼是如	來 金 剛 波 若 論 云 三 身 異 體 故 離 彼 是 如 
T34n1722_001:0640b01	來」，故知如來非有為法，身即是常住。《淨名．	來 故 知 如 來 非 有 為 法 身 即 是 常 住 淨 名 
T34n1722_001:0640b02	方便品》云「此身可患厭，當樂法身」，蓋是毀生	方 便 品 云 此 身 可 患 厭 當 樂 法 身 蓋 是 毀 生 
T34n1722_001:0640b03	死身無常，即歎法身常住，故逼引之教成、欣	死 身 無 常 即 歎 法 身 常 住 故 逼 引 之 教 成 欣 
T34n1722_001:0640b04	厭之觀立。若生死無常法身復改起滅者，則	厭 之 觀 立 若 生 死 無 常 法 身 復 改 起 滅 者 則 
T34n1722_001:0640b05	同可厭棄，何所欣哉？故逼引之教不成、欣厭	同 可 厭 棄 何 所 欣 哉 故 逼 引 之 教 不 成 欣 厭 
T34n1722_001:0640b06	之觀行不立。〈弟子品〉云「法身無漏諸漏已	之 觀 行 不 立 弟 子 品 云 法 身 無 漏 諸 漏 已 
T34n1722_001:0640b07	盡」，此明無有無常因也，「法身無為不墮諸數」，	盡 此 明 無 有 無 常 因 也 法 身 無 為 不 墮 諸 數 
T34n1722_001:0640b08	此明佛果無為常住也。尋《波若》、《淨名》，是《法	此 明 佛 果 無 為 常 住 也 尋 波 若 淨 名 是 法 
T34n1722_001:0640b09	花》前教當辨常住，《法花》居二經之後，寧是無	花 前 教 當 辨 常 住 法 花 居 二 經 之 後 寧 是 無 
T34n1722_001:0640b10	常耶？次、用法花文破之。〈方便品〉云「我雖說涅	常 耶 次 用 法 花 文 破 之 方 便 品 云 我 雖 說 涅 
T34n1722_001:0640b11	槃是亦非真滅，諸法從本來常自寂滅相」，此	槃 是 亦 非 真 滅 諸 法 從 本 來 常 自 寂 滅 相 此 
T34n1722_001:0640b12	文明今昔大小二滅之真偽也。昔小滅非真	文 明 今 昔 大 小 二 滅 之 真 偽 也 昔 小 滅 非 真 
T34n1722_001:0640b13	滅，今大滅是真滅；昔小涅槃非真涅槃，今大	滅 今 大 滅 是 真 滅 昔 小 涅 槃 非 真 涅 槃 今 大 
T34n1722_001:0640b14	涅槃是真涅槃。若爾者，即昔小常非真常，今	涅 槃 是 真 涅 槃 若 爾 者 即 昔 小 常 非 真 常 今 
T34n1722_001:0640b15	大常是真常。〈譬喻品〉云「但離虛妄名為解脫，	大 常 是 真 常 譬 喻 品 云 但 離 虛 妄 名 為 解 脫 
T34n1722_001:0640b16	其實未得一切解脫」，聲聞之人但斷四住惑，	其 實 未 得 一 切 解 脫 聲 聞 之 人 但 斷 四 住 惑 
T34n1722_001:0640b17	名離虛妄，未斷無明住地，即顯今教具斷五	名 離 虛 妄 未 斷 無明住地 即 顯 今 教 具 斷 五 
T34n1722_001:0640b18	住地名一切解脫。若爾者，小乘之人二生死	住 地 名 一 切 解 脫 若 爾 者 小 乘 之 人 二 生 死 
T34n1722_001:0640b19	之因未傾故是無常，如來五住地並盡所以	之 因 未 傾 故 是 無 常 如 來 五 住 地 並 盡 所 以 
T34n1722_001:0640b20	是常住。乃至〈壽量品〉云「壽命無量阿僧祇劫	是 常 住 乃 至 壽 量 品 云 壽 命 無量阿僧祇劫 
T34n1722_001:0640b21	常住不滅」，文處甚多，不可具列。問：若此經已	常 住 不 滅 文 處 甚 多 不 可 具 列 問 若 此 經 已 
T34n1722_001:0640b22	明常住，何故〈壽量品〉云「復倍上數」耶？答：《法花	明 常 住 何 故 壽 量 品 云 復 倍 上 數 耶 答 法 花 
T34n1722_001:0640b23	論》云「復倍上數者，示現如來常命不可盡故」，	論 云 復 倍 上 數 者 示 現 如 來 常 命 不 可 盡 故 
T34n1722_001:0640b24	則知此文非無常矣。三、用關河舊釋者，關中	則 知 此 文 非 無 常 矣 三 用 關 河 舊 釋 者 關 中 
T34n1722_001:0640b25	僧叡面受羅什《法花》，其經〈序〉云「分身明其不	僧 叡 面 受 羅 什 法 花 其 經 序 云 分 身 明 其 不 
T34n1722_001:0640b26	實，壽量定其非數」。分身明其不實者，釋迦與	實 壽 量 定 其 非 數 分 身 明 其 不 實 者 釋 迦 與 
T34n1722_001:0640b27	諸佛互指為分身，則知俱非實佛，實佛者謂	諸 佛 互 指 為 分 身 則 知 俱 非 實 佛 實 佛 者 謂 
T34n1722_001:0640b28	如來妙法身也。壽量定其非數者，壽者不可	如 來 妙 法 身 也 壽 量 定 其 非 數 者 壽 者 不 可 
T34n1722_001:0640b29	數，明如來壽命不墮諸數中，是常住。與《法	數 明 如 來 壽 命 不 墮 諸 數 中 是 常 住 與 法 
T34n1722_001:0640c01	花論》玄會也，又與《淨名經》「佛身無為不墮諸	花 論 玄 會 也 又 與 淨 名 經 佛 身 無 為 不 墮 諸 
T34n1722_001:0640c02	數」其義同也。河西道朗著《法花疏》，釋〈見寶塔	數 其 義 同 也 河 西 道 朗 著 法 花 疏 釋 見 寶 塔 
T34n1722_001:0640c03	品〉「明法身常住理無存沒，亦〈壽量品〉明如來	品 明 法 身 常 住 理 無 存 沒 亦 壽 量 品 明 如 來 
T34n1722_001:0640c04	壽量同虛空，一切世間唯身與命，今隨從世	壽 量 同 虛 空 一切世間 唯 身 與 命 今 隨 從 世 
T34n1722_001:0640c05	法亦明斯兩，故前明法身常、後辨壽無滅」，與	法 亦 明 斯 兩 故 前 明 法 身 常 後 辨 壽 無 滅 與 
T34n1722_001:0640c06	《涅槃經》前明長壽、後辨金剛身無異也。第四、	 涅 槃 經 前 明 長 壽 後 辨 金 剛 身 無 異 也 第 四 
T34n1722_001:0640c07	明用義難者，凡有十義：一者、此經雖明因果	明 用 義 難 者 凡 有 十 義 一 者 此 經 雖 明 因 果 
T34n1722_001:0640c08	而妙義在果，因未圓極則猶未妙，若佛果猶	而 妙 義 在 果 因 未 圓 極 則 猶 未 妙 若 佛 果 猶 
T34n1722_001:0640c09	是無常，無常則苦，既無常苦則無我不淨，乃	是 無 常 無 常 則 苦 既 無 常 苦 則 無 我 不 淨 乃 
T34n1722_001:0640c10	是麁法，何名為妙？二者、經云「為一大事因緣	是 麁 法 何 名 為 妙 二 者 經 云 為 一 大 事 因 緣 
T34n1722_001:0640c11	故出現於世」，何容終始以無常不了麁法以	故 出 現 於 世 何 容 終 始 以 無 常 不 了 麁 法 以 
T34n1722_001:0640c12	化物耶？此則乖父子恩情、傷諸佛本意。三者、	化 物 耶 此 則 乖 父 子 恩 情 傷 諸 佛 本 意 三 者 
