T13n0402_001:0536c03	寶星經序	寶 星 經 序 
T13n0402_003:0550b11	　念捨欲不淨，　　難得後邊故。	 念 捨 欲 不 淨 難 得 後 邊 故 
T13n0402_003:0550b12	　汝等歸善逝，　　聽彼說大義，	 汝 等 歸 善 逝 聽 彼 說 大 義 
T13n0402_003:0550b13	　汝等修智慧，　　解脫寂滅因，	 汝 等 修 智 慧 解 脫 寂 滅 因 
T13n0402_003:0550b14	　與妙法相應，　　聽如是大義。」	 與 妙 法 相 應 聽 如 是 大 義 
T13n0402_003:0550b15	如是蓮華中說是偈已，乃至色界十六天，處	如 是 蓮 華 中 說 是 偈 已 乃 至 色 界 十 六 天 處 
T13n0402_003:0550b16	於蓮華中，復為諸天說如此偈：	於 蓮 華 中 復 為 諸 天 說 如 此 偈 
T13n0402_003:0550b17	「分別善法勤修習，　　一心樂禪離憒閙，	 分 別 善 法 勤 修 習 一 心 樂 禪 離 憒 閙 
T13n0402_003:0550b18	　寂靜不亂求解脫，　　慧所應作斷瞋恚，	 寂 靜 不 亂 求 解 脫 慧 所 應 作 斷 瞋 恚 
T13n0402_003:0550b19	　所有我相十三種，　　分別為說修勝忍，	 所 有 我 相 十 三 種 分 別 為 說 修 勝 忍 
T13n0402_003:0550b20	　以此畢竟速解脫，　　得至生死解脫處。	 以 此 畢 竟 速 解 脫 得 至 生 死 解 脫 處 
T13n0402_003:0550b21	　貪嗜色聚分別者，　　我性堅固見湛然，	 貪 嗜 色 聚 分 別 者 我 性 堅 固 見 湛 然 
T13n0402_003:0550b22	　彼等不減所生法，　　由見流轉趣惡地。	 彼 等 不 減 所 生 法 由 見 流 轉 趣 惡 地 
T13n0402_003:0550b23	　觀彼三界常無我，　　不實無自空無作，	 觀 彼 三 界 常 無 我 不 實 無 自 空 無 作 
T13n0402_003:0550b24	　修忍分別隨順彼，　　得彼一切趣解脫。	 修 忍 分 別 隨 順 彼 得 彼 一 切 趣 解 脫 
T13n0402_003:0550b25	　彼等不老不病死，　　不怨憎會離惡趣，	 彼 等 不 老 不 病 死 不 怨 憎 會 離 惡 趣 
T13n0402_003:0550b26	　一切諸法等虛空，　　所修相應不二修。	 一切諸法 等 虛 空 所 修 相 應 不 二 修 
T13n0402_003:0550b27	　畢竟淨道最無上，　　意無所著淨諸根，	 畢 竟 淨 道 最 無 上 意 無 所 著 淨 諸 根 
T13n0402_003:0550b28	　猶如釋子降四魔，　　應修無相一法性。	 猶 如 釋 子 降 四 魔 應 修 無 相 一 法 性 
T13n0402_003:0550b29	　所有一切相皆離，　　調順威儀二種斷，	 所有一切 相 皆 離 調 順 威 儀 二 種 斷 
T13n0402_003:0550c01	　此道為彼最上說，　　一切法空分別修。	 此 道 為 彼 最 上 說 一切法空 分 別 修 
T13n0402_003:0550c02	　若能分別修此空，　　無主無作受亦無，	 若 能 分 別 修 此 空 無 主 無 作 受 亦 無 
T13n0402_003:0550c03	　如空自性解菩提，　　遠離悕求最無上。」	 如 空 自 性 解 菩 提 遠 離 悕 求 最 無 上 
T13n0402_003:0550c04	爾時，如來於此淨色蓮華臺中，出此大聲句	爾 時 如 來 於 此 淨 色 蓮 華 臺 中 出 此 大 聲 句 
T13n0402_003:0550c05	義法時，此世界中一切所有人、非人等，普來	義 法 時 此 世 界 中 一 切 所 有 人 非 人 等 普 來 
T13n0402_003:0550c06	街中繞蓮華座，乃至無量無數阿迦尼吒天，	街 中 繞 蓮 華 座 乃 至 無量無數 阿 迦 尼 吒 天 
T13n0402_003:0550c07	悉下天宮遶蓮華座瞻仰聽法。是時，魔王聞	悉 下 天 宮 遶 蓮 華 座 瞻 仰 聽 法 是 時 魔 王 聞 
T13n0402_003:0550c08	此偈已，周匝普觀見王舍大城，街中蓮華出	此 偈 已 周 匝 普 觀 見 王 舍 大 城 街 中 蓮 華 出 
T13n0402_003:0550c09	此法聲，及見無量無數百千俱胝那由他人，	此 法 聲 及 見 無量無數 百 千 俱 胝 那 由 他 人 
T13n0402_003:0550c10	圍遶蓮華共坐聽法。又見六欲諸天無量無	圍 遶 蓮 華 共 坐 聽 法 又 見 六 欲 諸 天 無 量 無 
T13n0402_003:0550c11	數百千俱胝那由他等，一切諸天悉捨宮殿，	數 百 千 俱 胝 那 由 他 等 一 切 諸 天 悉 捨 宮 殿 
T13n0402_003:0550c12	隨遶蓮華而坐聽法。見聞是已，轉過前量，加	隨 遶 蓮 華 而 坐 聽 法 見 聞 是 已 轉 過 前 量 加 
T13n0402_003:0550c13	大憂苦悔惱纏心，毛竪戰慄遍身流汗，走虛	大 憂 苦 悔 惱 纏 心 毛 竪 戰 慄 遍 身 流 汗 走 虛 
T13n0402_003:0550c14	空中，以大音聲喚餘魔眾，說如是偈：	空 中 以 大 音 聲 喚 餘 魔 眾 說 如 是 偈 
T13n0402_003:0550c15	「汝等當聽，　　善攝外意，　　我於境界，	 汝 等 當 聽 善 攝 外 意 我 於 境 界 
T13n0402_003:0550c16	　無自在力。　　此乃釋迦，　　最上勝力，	 無 自 在 力 此 乃 釋 迦 最 上 勝 力 
T13n0402_003:0550c17	　功德廣行，　　流布世間。　　令彼眾生，	 功 德 廣 行 流 布 世 間 令 彼 眾 生 
T13n0402_003:0550c18	　堅固所作，　　於蓮華臺，　　出此法聲。	 堅 固 所 作 於 蓮 華 臺 出 此 法 聲 
T13n0402_003:0550c19	　人天諸子，　　盡來無餘，　　決定善人，	 人 天 諸 子 盡 來 無 餘 決 定 善 人 
T13n0402_003:0550c20	　咸皆渴仰。　　專意善逝，　　趣寂滅道，	 咸 皆 渴 仰 專 意 善 逝 趣 寂 滅 道 
T13n0402_003:0550c21	　最上功德，　　第一無上。　　沙門所作，	 最 上 功 德 第 一 無 上 沙 門 所 作 
T13n0402_003:0550c22	　幻此三界，　　迷惑一切，　　令無餘意。	 幻 此 三 界 迷 惑 一 切 令 無 餘 意 
T13n0402_003:0550c23	　人天大眾，　　圍遶蓮華，　　疾放雨石，	 人 天 大 眾 圍 遶 蓮 華 疾 放 雨 石 
T13n0402_003:0550c24	　作恐怖聲，　　以魔凶眾，　　往摧壞彼。」	 作 恐 怖 聲 以 魔 凶 眾 往 摧 壞 彼 
T13n0402_003:0550c25	爾時，餘魔對彼魔王說如是偈：	爾 時 餘 魔 對 彼 魔 王 說 如 是 偈 
T13n0402_003:0550c26	「汝聽我等語，　　此語能利益，	 汝 聽 我 等 語 此 語 能 利 益 
T13n0402_003:0550c27	　汝知何等法，　　而不止息意。	 汝 知 何 等 法 而 不 止 息 意 
T13n0402_003:0550c28	　如來勝持力，　　魔軍盡消滅，	 如 來 勝 持 力 魔 軍 盡 消 滅 
T13n0402_003:0550c29	　我等見善逝，　　心皆大迷悶。	 我 等 見 善 逝 心 皆 大 迷 悶 
T13n0402_003:0551a01	　佛為大船師，　　光顏勝圓滿，	 佛 為 大 船 師 光 顏 勝 圓 滿 
T13n0402_003:0551a02	　置佛善歸依，　　更無勝歸處。」	 置 佛 善 歸 依 更 無 勝 歸 處 
T13n0402_003:0551a03	爾時，復有餘魔對彼魔王舉體掉動，面目嚬	爾 時 復 有 餘 魔 對 彼 魔 王 舉 體 掉 動 面 目 嚬 
T13n0402_003:0551a04	蹙悲泣極瞋，說如是偈：	蹙 悲 泣 極 瞋 說 如 是 偈 
T13n0402_003:0551a05	「汝失善道住惡道，　　可不自知力所能，	 汝 失 善 道 住 惡 道 可 不 自 知 力 所 能 
T13n0402_003:0551a06	　汝無羞愧比導師，　　魔力消滅由佛力。	 汝 無 羞 愧 比 導 師 魔 力 消 滅 由 佛 力 
T13n0402_003:0551a07	　世間和合蓮華所，　　聽法怡悅淨身心，	 世 間 和 合 蓮 華 所 聽 法 怡 悅 淨 身 心 
T13n0402_003:0551a08	　我等穢身失精進，　　不去消滅剎那頃，	 我 等 穢 身 失 精 進 不 去 消 滅 剎 那 頃 
T13n0402_003:0551a09	　今者一切悉歸依，　　歸依牟尼因陀羅。」	 今 者 一 切 悉 歸 依 歸 依 牟 尼 因 陀 羅 
T13n0402_003:0551a10	爾時，復有諸魔悉皆合掌向彼魔王，說如是	爾 時 復 有 諸 魔 悉 皆 合 掌 向 彼 魔 王 說 如 是 
T13n0402_003:0551a11	偈：	偈 
T13n0402_003:0551a12	「汝捨法行樂作惡，　　佛為恃怙利世間，	 汝 捨 法 行 樂 作 惡 佛 為 恃 怙 利 世 間 
T13n0402_003:0551a13	　於諸眾中佛眾勝，　　佛今已來於此城。	 於 諸 眾 中 佛 眾 勝 佛 今 已 來 於 此 城 
T13n0402_003:0551a14	　我等宜以清淨眼，　　以喜樂心速往彼，	 我 等 宜 以 清 淨 眼 以 喜 樂 心 速 往 彼 
T13n0402_003:0551a15	　歸依三界之所尊，　　一切眾生妙良藥。」	 歸 依 三 界 之 所 尊 一 切 眾 生 妙 良 藥 
T13n0402_003:0551a16	爾時，此虛空中復有一魔，名曰智聲，向彼	爾 時 此 虛 空 中 復 有 一 魔 名 曰 智 聲 向 彼 
T13n0402_003:0551a17	魔王即便高聲，說如是偈：	魔 王 即 便 高 聲 說 如 是 偈 
T13n0402_003:0551a18	「汝等和合以信樂，　　一切相應聽我語，	 汝 等 和 合 以 信 樂 一 切 相 應 聽 我 語 
T13n0402_003:0551a19	　發意言行斷惡見，　　曲躬合掌捨瞋恚，	 發 意 言 行 斷 惡 見 曲 躬 合 掌 捨 瞋 恚 
T13n0402_003:0551a20	　以醒悟心當淨信，　　隨喜如來最上說，	 以 醒 悟 心 當 淨 信 隨 喜 如 來 最 上 說 
T13n0402_003:0551a21	　對佛歸依難得歸，　　我當今日信供養。」	 對 佛 歸 依 難 得 歸 我 當 今 日 信 供 養 
T13n0402_003:0551a22	爾時，諸魔無量無邊，於剎那頃悉從空下，到	爾 時 諸 魔 無量無邊 於 剎 那 頃 悉 從 空 下 到 
T13n0402_003:0551a23	王舍大城七寶之門，各持種種莊嚴供具來	王 舍 大 城 七 寶 之 門 各 持 種 種 莊 嚴 供 具 來 
T13n0402_003:0551a24	至佛所，為欲供養婆伽婆故。或有變作轉	至 佛 所 為 欲 供 養 婆 伽 婆 故 或 有 變 作 轉 
T13n0402_003:0551a25	輪王像，或有變作梵天王像，或有變作摩醯	輪 王 像 或 有 變 作 梵 天 王 像 或 有 變 作 摩 醯 
T13n0402_003:0551a26	首羅像，或有變作自在天像，或有變作那羅	首 羅 像 或 有 變 作 自 在 天 像 或 有 變 作 那 羅 
T13n0402_003:0551a27	延像，或有變作兜率陀形，或有變作焰摩天	延 像 或 有 變 作 兜 率 陀 形 或 有 變 作 焰 摩 天 
T13n0402_003:0551a28	像，或有變作釋提桓因，或有變作三十三天，	像 或 有 變 作 釋提桓因 或 有 變 作 三十三天 
T13n0402_003:0551a29	或有變作童子之形，或有變作毘沙門像，或	或 有 變 作 童 子 之 形 或 有 變 作 毘 沙 門 像 或 
T13n0402_003:0551b01	有變作毘樓勒叉，或有變作毘樓博叉，或有	有 變 作 毘 樓 勒 叉 或 有 變 作 毘 樓 博 叉 或 有 
T13n0402_003:0551b02	變作提頭賴吒，或有變作四天王天臣佐之	變 作 提 頭 賴 吒 或 有 變 作 四天王天 臣 佐 之 
T13n0402_003:0551b03	形，或有變作日天子形，或有變作月天子形，	形 或 有 變 作 日 天 子 形 或 有 變 作 月 天 子 形 
T13n0402_003:0551b04	或有變作星宿天子大小之形，或有變作阿	或 有 變 作 星 宿 天 子 大 小 之 形 或 有 變 作 阿 
T13n0402_003:0551b05	修羅像，或有變作伽樓拏形，或有變作緊那	修 羅 像 或 有 變 作 伽 樓 拏 形 或 有 變 作 緊 那 
T13n0402_003:0551b06	囉像，或有變作摩呼囉伽形，或有變作寶	囉 像 或 有 變 作 摩 呼 囉 伽 形 或 有 變 作 寶 
T13n0402_003:0551b07	山之形，或有變作金聚之形，或有變作種種	山 之 形 或 有 變 作 金 聚 之 形 或 有 變 作 種 種 
T13n0402_003:0551b08	寶形，或有變作寶樹之形，或有變作剎帝利	寶 形 或 有 變 作 寶 樹 之 形 或 有 變 作 剎 帝 利 
T13n0402_003:0551b09	像，或有變作餘外道形，或有變作輪寶之形，	像 或 有 變 作 餘 外 道 形 或 有 變 作 輪 寶 之 形 
T13n0402_003:0551b10	或有變作摩尼寶形，或有變作伊囉婆荼象	或 有 變 作 摩 尼 寶 形 或 有 變 作 伊 囉 婆 荼 象 
T13n0402_003:0551b11	寶之形，或有變作婆羅呵馬寶之形，或有變	寶 之 形 或 有 變 作 婆 羅 呵 馬 寶 之 形 或 有 變 
T13n0402_003:0551b12	作女寶之像，或有變作主藏臣寶，或有變作	作 女 寶 之 像 或 有 變 作 主 藏 臣 寶 或 有 變 作 
T13n0402_003:0551b13	主兵臣寶，如是種種各自現化，為供養故住	主 兵 臣 寶 如 是 種 種 各 自 現 化 為 供 養 故 住 
T13n0402_003:0551b14	於佛前。或有現於青色青身，以白色具莊嚴	於 佛 前 或 有 現 於 青 色 青 身 以 白 色 具 莊 嚴 
T13n0402_003:0551b15	其身，各共執持赤蓋幢幡真珠瓔珞，以一多	其 身 各 共 執 持 赤 蓋 幢 幡 真 珠 瓔 珞 以 一 多 
T13n0402_003:0551b16	羅樹量之高住虛空中；或有現於白色白身，	羅 樹 量 之 高 住 虛 空 中 或 有 現 於 白 色 白 身 
T13n0402_003:0551b17	以赤色具莊嚴其身，各共執持黃蓋幢幡瓔	以 赤 色 具 莊 嚴 其 身 各 共 執 持 黃 蓋 幢 幡 瓔 
T13n0402_003:0551b18	珞之具住虛空中；或有現於赤色赤身，以金	珞 之 具 住 虛 空 中 或 有 現 於 赤 色 赤 身 以 金 
T13n0402_003:0551b19	色衣莊嚴其身，各共執持青蓋幢幡行列而	色 衣 莊 嚴 其 身 各 共 執 持 青 蓋 幢 幡 行 列 而 
T13n0402_003:0551b20	住。或有現於紅色紅身，雨白真珠；或有現於	住 或 有 現 於 紅 色 紅 身 雨 白 真 珠 或 有 現 於 
T13n0402_003:0551b21	白色白身，雨紅真珠；或有現作天仙之色，住	白 色 白 身 雨 紅 真 珠 或 有 現 作 天 仙 之 色 住 
T13n0402_003:0551b22	虛空中雨於華雨；或有變作聲聞之像，為供	虛 空 中 雨 於 華 雨 或 有 變 作 聲 聞 之 像 為 供 
T13n0402_003:0551b23	佛故種種天香雨虛空中；或有變作揵闥婆	佛 故 種 種 天 香 雨 虛 空 中 或 有 變 作 揵 闥 婆 
T13n0402_003:0551b24	色擊天伎樂；或有變作天女之色，種種寶器	色 擊 天 伎 樂 或 有 變 作 天 女 之 色 種 種 寶 器 
T13n0402_003:0551b25	香水灑地；或有變作淨金黑色燒種種香；或	香 水 灑 地 或 有 變 作 淨 金 黑 色 燒 種 種 香 或 
T13n0402_003:0551b26	有變作諸天子像歌唱喜舞；或有變作種種	有 變 作 諸 天 子 像 歌 唱 喜 舞 或 有 變 作 種 種 
T13n0402_003:0551b27	之色，合掌瞻仰讚歎如來。或有魔眾隨佛方	之 色 合 掌 瞻 仰 讚 歎 如 來 或 有 魔 眾 隨 佛 方 
T13n0402_003:0551b28	面一心瞻仰，各持種種摩尼之寶供養世尊；	面 一 心 瞻 仰 各 持 種 種 摩 尼 之 寶 供 養 世 尊 
T13n0402_003:0551b29	或有街衢殿堂樓閣窓牖門闕臺上，四階之	或 有 街 衢 殿 堂 樓 閣 窓 牖 門 闕 臺 上 四 階 之 
T13n0402_003:0551c01	道牆堞樓櫓，門間樹上重閣鈎欄，各隨所住	道 牆 堞 樓 櫓 門 間 樹 上 重 閣 鈎 欄 各 隨 所 住 
T13n0402_003:0551c02	合掌瞻仰供養如來。◎	合 掌 瞻 仰 供養如來 
T13n0402_003:0551c03	寶星陀羅尼經卷第三	寶 星 陀 羅 尼 經 卷 第 三 
T13n0402_004:0551c06	寶星陀羅尼經卷第四	寶 星 陀 羅 尼 經 卷 第 四 
T13n0402_004:0551c08	唐天竺三藏波羅頗蜜多羅譯	唐 天 竺 三 藏 波 羅 頗 蜜 多 羅 譯 
T13n0402_004:0551c09	◎魔王歸伏品之餘	 魔 王 歸 伏 品 之 餘 
T13n0402_004:0551c10	爾時，魔王見彼一切所有魔眾，各與眷屬歸	爾 時 魔 王 見 彼 一 切 所 有 魔 眾 各 與 眷 屬 歸 
T13n0402_004:0551c11	依如來。是時魔王轉加瞋怒過於前量，驚怖	依 如 來 是 時 魔 王 轉 加 瞋 怒 過 於 前 量 驚 怖 
T13n0402_004:0551c12	迷亂舉聲悲泣，說如是偈：	迷 亂 舉 聲 悲 泣 說 如 是 偈 
T13n0402_004:0551c13	「我失勝威德，　　無復有見助，	 我 失 勝 威 德 無 復 有 見 助 
T13n0402_004:0551c14	　沙門勝神通，　　奪我魔境界。	 沙 門 勝 神 通 奪 我 魔 境 界 
T13n0402_004:0551c15	　應更勤方便，　　思後時所作，	 應 更 勤 方 便 思 後 時 所 作 
T13n0402_004:0551c16	　斫斷蓮華根，　　令眾散諸方。	 斫 斷 蓮 華 根 令 眾 散 諸 方 
T13n0402_004:0551c17	　蓮華根斷已，　　令大眾迷亂，	 蓮 華 根 斷 已 令 大 眾 迷 亂 
T13n0402_004:0551c18	　若眾迷亂已，　　此我後願力。」	 若 眾 迷 亂 已 此 我 後 願 力 
T13n0402_004:0551c19	爾時，魔王說是偈已，如所思惟猶如疾風從	爾 時 魔 王 說 是 偈 已 如 所 思 惟 猶 如 疾 風 從 
T13n0402_004:0551c20	空而下，至彼蓮華所現之街，即便前進欲拔	空 而 下 至 彼 蓮 華 所 現 之 街 即 便 前 進 欲 拔 
T13n0402_004:0551c21	蓮華，以佛力故尚不能觸，何況侵拔？既不	蓮 華 以 佛 力 故 尚 不 能 觸 何 況 侵 拔 既 不 
T13n0402_004:0551c22	能拔，復欲擿彼蓮華之葉，及損華臺又不能	能 拔 復 欲 擿 彼 蓮 華 之 葉 及 損 華 臺 又 不 能 
T13n0402_004:0551c23	損，即欲舉手遙拍彼華。是時，魔王見彼蓮華	損 即 欲 舉 手 遙 拍 彼 華 是 時 魔 王 見 彼 蓮 華 
T13n0402_004:0551c24	如電如影，雖對眼根不可損觸。爾時，魔王盡	如 電 如 影 雖 對 眼 根 不 可 損 觸 爾 時 魔 王 盡 
T13n0402_004:0551c25	其神力如其所作，於彼蓮華竟不能損，復欲	其 神 力 如 其 所 作 於 彼 蓮 華 竟 不 能 損 復 欲 
T13n0402_004:0551c26	驚動一切大眾，即出高大可畏之聲，聲亦不	驚 動 一 切 大 眾 即 出 高 大 可 畏 之 聲 聲 亦 不 
T13n0402_004:0551c27	出。復現威猛，以大力勢即舉兩手，欲拍大	出 復 現 威 猛 以 大 力 勢 即 舉 兩 手 欲 拍 大 
T13n0402_004:0551c28	地令地震動。是時大地猶如虛空，乃至不可	地 令 地 震 動 是 時 大 地 猶如虛空 乃 至 不 可 
T13n0402_004:0551c29	以手摩觸，況能令動？是時，魔王見此大地不	以 手 摩 觸 況 能 令 動 是 時 魔 王 見 此 大 地 不 
T13n0402_004:0552a01	可得觸，復生是念：「今此大會所有眾生，我	可 得 觸 復 生 是 念 今 此 大 會 所 有 眾 生 我 
T13n0402_004:0552a02	當打之令使心亂。」作是念時，乃至不見有一	當 打 之 令 使 心 亂 作 是 念 時 乃 至 不 見 有 一 
T13n0402_004:0552a03	眾生可得可觸，況能加逼？以佛力故，有如是	眾 生 可 得 可 觸 況 能 加 逼 以 佛 力 故 有 如 是 
T13n0402_004:0552a04	相。是時，魔王轉加憂惱，遍身掉動如大風樹，	相 是 時 魔 王 轉 加 憂 惱 遍 身 掉 動 如 大 風 樹 
T13n0402_004:0552a05	發聲[口*睪]哭悲恨流淚，遍觀四方說如是偈：	發 聲 [口睪] 哭 悲 恨 流 淚 遍 觀 四 方 說 如 是 偈 
T13n0402_004:0552a06	「沙門以幻力，　　普攝諸世間，	 沙 門 以 幻 力 普 攝 諸 世 間 
T13n0402_004:0552a07	　令我心昏醉，　　迷亂一念頃。	 令 我 心 昏 醉 迷 亂 一 念 頃 
T13n0402_004:0552a08	　境界功德力，　　此是我所有，	 境 界 功 德 力 此 是 我 所 有 
T13n0402_004:0552a09	　彼以幻力故，　　一切侵奪盡。	 彼 以 幻 力 故 一 切 侵 奪 盡 
T13n0402_004:0552a10	　我今被所棄，　　宜速還自宮，	 我 今 被 所 棄 宜 速 還 自 宮 
