X54n0873_001:0330a03	 肇論序	 肇 論 序 
X54n0873_002:0340c16	下斥迷返悟。	下 斥 迷 返 悟 
X54n0873_002:0340c17	故中觀云。物無彼此。而人以此為此。以彼為彼。彼亦	故 中 觀 云 物 無 彼 此 而 人 以 此 為 此 以 彼 為 彼 彼 亦 
X54n0873_002:0340c18	以此為彼。以彼為此。	以 此 為 彼 以 彼 為 此 
X54n0873_002:0340c19	中論第四云。諸法實相。無有彼此。意顯法本一真。	中 論 第 四 云 諸法實相 無 有 彼 此 意 顯 法 本 一 真 
X54n0873_002:0340c20	元無彼此。由人妄執。故起是非。三祖云。良由取捨。	元 無 彼 此 由 人 妄 執 故 起 是 非 三 祖 云 良 由 取 捨 
X54n0873_002:0340c21	所以不如。	所 以 不 如 
X54n0873_002:0340c22	此彼莫定乎一名。而惑者懷必然之志。然則彼此初	此 彼 莫 定 乎 一 名 而 惑 者 懷 必 然 之 志 然 則 彼 此 初 
X54n0873_002:0340c23	非有。惑者初非無。	非 有 惑 者 初 非 無 
X54n0873_002:0340c24	此出迷者雙執也。如兩人東西對立。同觀一標。東	此 出 迷 者 雙 執 也 如 兩 人 東 西 對 立 同 觀 一 標 東 
X54n0873_002:0341a01	者謂在西。而西者謂在東。然標實無東西。迷人妄	者 謂 在 西 而 西 者 謂 在 東 然 標 實 無 東 西 迷 人 妄 
X54n0873_002:0341a02	執為必然。此惑之甚也。故彼此未始有。惑者未始	執 為 必 然 此 惑 之 甚 也 故 彼 此 未 始 有 惑 者 未 始 
X54n0873_002:0341a03	無。由是觀之。諸法本無。而迷者妄執為定有定無。	無 由 是 觀 之 諸 法 本 無 而 迷 者 妄 執 為 定 有 定 無 
X54n0873_002:0341a04	正此意也。	正 此 意 也 
X54n0873_002:0341a05	既悟彼此之非有。有何物(彼此)而可有(執也)哉。故知萬物	既 悟 彼 此 之 非 有 有 何 物 彼 此 而 可 有 執 也 哉 故 知 萬 物 
X54n0873_002:0341a06	非真。假號久矣。	非 真 假 號 久 矣 
X54n0873_002:0341a07	此言悟則是非兩忘。自離有無之執也。既悟物無	此 言 悟 則 是 非 兩 忘 自 離 有 無 之 執 也 既 悟 物 無 
X54n0873_002:0341a08	彼此。則知法非有無。但有假名。元無實義。	彼 此 則 知 法 非 有 無 但 有 假 名 元 無 實 義 
X54n0873_002:0341a09	是以成具立強名之文。園林託指馬之況。如此。則深	是 以 成 具 立 強 名 之 文 園 林 託 指 馬 之 況 如 此 則 深 
X54n0873_002:0341a10	遠之言。於何而不在。	遠 之 言 於 何 而 不 在 
X54n0873_002:0341a11	此引內外微言。以結屬忘言之妙也。成具云。諸法	此 引 內 外 微 言 以 結 屬 忘 言 之 妙 也 成 具 云 諸 法 
X54n0873_002:0341a12	無所有。強為其名。園林。即漆園。莊周嘗為此吏。故	無 所 有 強 為 其 名 園 林 即 漆 園 莊 周 嘗 為 此 吏 故 
X54n0873_002:0341a13	以地指人也。指馬之喻。齊物論云。以指喻指之非	以 地 指 人 也 指 馬 之 喻 齊 物 論 云 以 指 喻 指 之 非 
X54n0873_002:0341a14	指。不若以非指喻指之非指。以馬喻馬之非馬。不	指 不 若 以 非 指 喻 指 之 非 指 以 馬 喻 馬 之 非 馬 不 
X54n0873_002:0341a15	若以非馬喻馬之非馬。天地一指也。萬物一馬也。	若 以 非 馬 喻 馬 之 非 馬 天 地 一 指 也 萬 物 一 馬 也 
X54n0873_002:0341a16	意謂物論之不齊者。蓋由人之各執是非之見也。	意 謂 物 論 之 不 齊 者 蓋 由 人 之 各 執 是 非 之 見 也 
X54n0873_002:0341a17	以指喻指等者。謂人以己之初指。喻彼之次指。為	以 指 喻 指 等 者 謂 人 以 己 之 初 指 喻 彼 之 次 指 為 
X54n0873_002:0341a18	非同己之指以為必然。若易而觀之。則彼之執次	非 同 己 之 指 以 為 必 然 若 易 而 觀 之 則 彼 之 執 次 
X54n0873_002:0341a19	指者。又以己之初指為非矣。馬即雙陸之馬。戲籌	指 者 又 以 己 之 初 指 為 非 矣 馬 即 雙 陸 之 馬 戲 籌 
X54n0873_002:0341a20	也。意亦如指。意謂指馬本無是非。而人妄執彼此	也 意 亦 如 指 意 謂 指 馬 本 無 是 非 而 人 妄 執 彼 此 
X54n0873_002:0341a21	為必然。豈非惑耶。以譬諸法實相。豈有自他。而人	為 必 然 豈 非 惑 耶 以 譬 諸法實相 豈 有 自 他 而 人 
X54n0873_002:0341a22	迷執為有無。亦猶是也。苟能忘言契理。則彼此情	迷 執 為 有 無 亦 猶 是 也 苟 能 忘 言 契 理 則 彼 此 情 
X54n0873_002:0341a23	忘。是非齊泯。有何法可當情乎。成具則妄想元空。	忘 是 非 齊 泯 有 何 法 可 當 情 乎 成 具 則 妄 想 元 空 
X54n0873_002:0341a24	園林則是非無主。故曰深遠之言。於何而不在。	園 林 則 是 非 無 主 故 曰 深 遠 之 言 於 何 而 不 在 
X54n0873_002:0341b01	是以聖人乘千化而不變。履萬惑而常通者。以其即	是 以 聖 人 乘 千 化 而 不 變 履 萬 惑 而 常 通 者 以 其 即 
X54n0873_002:0341b02	萬物之自虗。不假虗而虗物也。故經云。甚奇世尊。不	萬 物 之 自 虗 不 假 虗 而 虗 物 也 故 經 云 甚 奇 世 尊 不 
X54n0873_002:0341b03	動真際為諸法立處。非離真而立處。立處即真也。	動 真 際 為 諸 法 立 處 非 離 真 而 立 處 立 處 即 真 也 
X54n0873_002:0341b04	此結歸中道第一義諦也。以聖人證窮真諦。故異	此 結 歸 中 道 第一義諦 也 以 聖 人 證 窮 真 諦 故 異 
X54n0873_002:0341b05	類分身而不動真際。故千化不變。入眾生界而不	類 分 身 而 不 動 真 際 故 千 化 不 變 入 眾 生 界 而 不 
X54n0873_002:0341b06	被煩惱所礙。故萬惑常通。以其萬法即真。故不假	被 煩 惱 所 礙 故 萬 惑 常 通 以 其 萬 法 即 真 故 不 假 
X54n0873_002:0341b07	分析而後為虗也。故引經證成。由不動真際而建	分 析 而 後 為 虗 也 故 引 經 證 成 由 不 動 真 際 而 建 
X54n0873_002:0341b08	立諸法。故立處即真。	立 諸 法 故 立 處 即 真 
X54n0873_002:0341b09	然則道遠乎哉。觸事而真。聖遠乎哉。體之即神。	然 則 道 遠 乎 哉 觸 事 而 真 聖 遠 乎 哉 體 之 即 神 
X54n0873_002:0341b10	此結歸一心。以明聖人之實證也。初云目對真而	此 結 歸 一 心 以 明 聖 人 之 實 證 也 初 云 目 對 真 而 
X54n0873_002:0341b11	不覺。以道在目前。故不遠。以不覺。則迷之為凡。悟	不 覺 以 道 在 目 前 故 不 遠 以 不 覺 則 迷 之 為 凡 悟 
X54n0873_002:0341b12	則為聖。是知了悟實相常住。則頓超生死。永證無	則 為 聖 是 知 了 悟 實 相 常 住 則 頓 超 生 死 永 證 無 
X54n0873_002:0341b13	為。故曰體之即神。不假外也。	為 故 曰 體 之 即 神 不 假 外 也 
X54n0873_002:0341b14	不真空論(終)	不 真 空 論 終 
X54n0873_002:0341b16	肇論略注卷二	肇 論 略 注 卷 二 
X54n0873_003:0341b19	肇論略注卷三	肇 論 略 注 卷 三 
X54n0873_003:0341b21	明匡山沙門憨山釋　德清　述	明 匡 山 沙 門 憨 山 釋 德 清 述 
X54n0873_003:0341b22	般若無知論第三	般 若 無 知 論 第 三 
X54n0873_003:0341b23	般若者。此云智慧。乃諸佛妙契法身之實智也。經	般 若 者 此 云 智 慧 乃 諸 佛 妙 契 法 身 之 實 智 也 經 
X54n0873_003:0341b24	云。諸佛智慧。甚深無量。即此名為根本智。法界幽	云 諸 佛 智 慧 甚 深 無 量 即 此 名 為 根 本 智 法 界 幽 
X54n0873_003:0341c01	玄。非此莫鑒。故稱本智。然三乘同乘此智為因。但	玄 非 此 莫 鑒 故 稱 本 智 然 三 乘 同 乘 此 智 為 因 但 
X54n0873_003:0341c02	心有大小不同。故唯佛為極。以前不遷不真二論。	心 有 大 小 不 同 故 唯 佛 為 極 以 前 不 遷 不 真 二 論 
X54n0873_003:0341c03	以顯真俗不二之真諦。為所觀之境。今此般若為	以 顯 真 俗 不 二 之 真 諦 為 所 觀 之 境 今 此 般 若 為 
X54n0873_003:0341c04	能觀之智。謂以無知之般若。照不二之中道。以此	能 觀 之 智 謂 以 無 知 之 般 若 照 不 二 之 中 道 以 此 
X54n0873_003:0341c05	為因。將證不生不滅之涅槃為果。故次來也。然般	為 因 將 證 不生不滅 之 涅 槃 為 果 故 次 來 也 然 般 
X54n0873_003:0341c06	若唯一。其用有三。一實相般若。以般若乃諸法之	若 唯 一 其 用 有 三 一 實 相 般 若 以 般 若 乃 諸 法 之 
X54n0873_003:0341c07	實相故。二觀照般若。即中道妙心之實智。照中道	實 相 故 二 觀 照 般 若 即 中 道 妙 心 之 實 智 照 中 道 
X54n0873_003:0341c08	之妙理。理智冥一。平等如一。故理事雙彰。權實並	之 妙 理 理 智 冥 一 平 等 如 一 故 理 事 雙 彰 權 實 並 
X54n0873_003:0341c09	顯。是為因心果德。故名二智。三文字般若。以諸佛	顯 是 為 因 心 果 德 故 名 二 智 三 文 字 般 若 以 諸 佛 
X54n0873_003:0341c10	言教。乃般若所流。故一一文字能顯總持。要即文	言 教 乃 般 若 所 流 故 一 一 文 字 能 顯 總 持 要 即 文 
X54n0873_003:0341c11	字以明般若。此般若義也。無知者有二義。一離妄。	字 以 明 般 若 此 般 若 義 也 無 知 者 有 二 義 一 離 妄 
X54n0873_003:0341c12	謂本無惑取之知。二顯真。有三義。一本覺離念。靈	謂 本 無 惑 取 之 知 二 顯 真 有 三 義 一 本 覺 離 念 靈 
X54n0873_003:0341c13	知獨照。知即無知。二始覺無知。謂窮幽亡鑒。撫會	知 獨 照 知 即 無 知 二 始 覺 無 知 謂 窮 幽 亡 鑒 撫 會 
X54n0873_003:0341c14	無慮。故無對待之知。三文字性空。非知不知。然雖	無 慮 故 無 對 待 之 知 三 文 字 性 空 非 知 不 知 然 雖 
X54n0873_003:0341c15	三義。蓋以真諦無相。亡知絕鑒。照體獨立。正無知	三 義 蓋 以 真 諦 無 相 亡 知 絕 鑒 照 體 獨 立 正 無 知 
X54n0873_003:0341c16	義也。什師初譯大品。論主宗之以造此論。以呈什	義 也 什 師 初 譯 大 品 論 主 宗 之 以 造 此 論 以 呈 什 
X54n0873_003:0341c17	師。師曰。吾解不謝子。文當相揖耳。後傳至匡山。劉	師 師 曰 吾 解 不 謝 子 文 當 相 揖 耳 後 傳 至 匡 山 劉 
X54n0873_003:0341c18	遺民以呈遠公。公歎曰未曾有也。當時見者。靡不	遺 民 以 呈 遠 公 公 歎 曰 未 曾 有 也 當 時 見 者 靡 不 
X54n0873_003:0341c19	服膺。	服 膺 
X54n0873_003:0341c20	夫般若虗玄者。蓋是三乘之宗極也。誠真一之無差。	夫 般 若 虗 玄 者 蓋 是 三 乘 之 宗 極 也 誠 真 一 之 無 差 
X54n0873_003:0341c21	此標宗極也。虗玄。正顯無知。以幽靈絕待。故謂之	此 標 宗 極 也 虗 玄 正 顯 無 知 以 幽 靈 絕 待 故 謂 之 
X54n0873_003:0341c22	虗。亡知絕照。故謂之玄。三乘同稟此智。但以取不	虗 亡 知 絕 照 故 謂 之 玄 三 乘 同 稟 此 智 但 以 取 不 
X54n0873_003:0341c23	取。知無知之差。所謂心有大小耳。其實所宗。以此	取 知 無 知 之 差 所 謂 心 有 大 小 耳 其 實 所 宗 以 此 
X54n0873_003:0341c24	為極。所謂不二真心。故曰真一無差。	為 極 所 謂 不 二 真 心 故 曰 真 一 無 差 
X54n0873_003:0342a01	然異端之論。紛然久矣。	然 異 端 之 論 紛 然 久 矣 
X54n0873_003:0342a02	此述造論之本意也。語曰。予豈好辯哉。不得已也。	此 述 造 論 之 本 意 也 語 曰 予 豈 好 辯 哉 不 得 已 也 
X54n0873_003:0342a03	故造論之意。本為摧伏邪見。以正智未明。不得不	故 造 論 之 意 本 為 摧 伏 邪 見 以 正 智 未 明 不 得 不 
X54n0873_003:0342a04	為之論耳。	為 之 論 耳 
X54n0873_003:0342a05	有天竺沙門鳩摩羅什者。少踐大方。研機斯趣。獨拔	有 天 竺 沙 門 鳩 摩 羅 什 者 少 踐 大 方 研 機 斯 趣 獨 拔 
X54n0873_003:0342a06	於言象之表。妙契於希夷之境。	於 言 象 之 表 妙 契 於 希 夷 之 境 
X54n0873_003:0342a07	此出師承有本也。梵語鳩摩羅什。此云童壽。以童	此 出 師 承 有 本 也 梵 語 鳩 摩 羅 什 此 云 童 壽 以 童 
X54n0873_003:0342a08	年而有耆德。故有此名。師本龜茲國王之甥。以其	年 而 有 耆 德 故 有 此 名 師 本 龜 茲 國 王 之 甥 以 其 
X54n0873_003:0342a09	父鳩摩羅炎。本天竺人。今從本稱。天竺。亦云身毒。	父 鳩 摩 羅 炎 本 天 竺 人 今 從 本 稱 天 竺 亦 云 身 毒 
X54n0873_003:0342a10	亦名印土。有五。乃婆羅門所居。佛出其中。大方指	亦 名 印 土 有 五 乃 婆 羅 門 所 居 佛 出 其 中 大 方 指 
X54n0873_003:0342a11	般若。什師學本生知。年方二十。即為國王講般若	般 若 什 師 學 本 生 知 年 方 二 十 即 為 國 王 講 般 若 
X54n0873_003:0342a12	經論。故云少踐大方。妙悟玄猷。故曰研機斯趣。以	經 論 故 云 少 踐 大 方 妙 悟 玄 猷 故 曰 研 機 斯 趣 以 
X54n0873_003:0342a13	般若離言。故拔言象之表。離相離名。非見聞所及。	般 若 離 言 故 拔 言 象 之 表 離 相 離 名 非 見 聞 所 及 
X54n0873_003:0342a14	故曰妙契希夷之境。希夷二字。出老子。言妙悟超	故 曰 妙 契 希 夷 之 境 希 夷 二 字 出 老 子 言 妙 悟 超 
X54n0873_003:0342a15	卓。今翻譯大品。論主親承稟受。妙契玄旨。故造斯	卓 今 翻 譯 大 品 論 主 親 承 稟 受 妙 契 玄 旨 故 造 斯 
X54n0873_003:0342a16	論。	論 
X54n0873_003:0342a17	齊異學於迦夷。	齊 異 學 於 迦 夷 
X54n0873_003:0342a18	齊。集也。猶齊物之齊。迦夷。亦名迦維。乃佛生之國。	齊 集 也 猶 齊 物 之 齊 迦 夷 亦 名 迦 維 乃 佛 生 之 國 
X54n0873_003:0342a19	佛滅度後。異學紛然。什師名播五天。彼多宗仰。故	佛 滅 度 後 異 學 紛 然 什 師 名 播 五 天 彼 多 宗 仰 故 
X54n0873_003:0342a20	云集也。	云 集 也 
X54n0873_003:0342a21	揚湻風於東扇。將爰燭殊方而匿耀涼土者。所以道	揚 湻 風 於 東 扇 將 爰 燭 殊 方 而 匿 耀 涼 土 者 所 以 道 
X54n0873_003:0342a22	不虗應。應必有由矣。	不 虗 應 應 必 有 由 矣 
X54n0873_003:0342a23	此敘什師入中國之由也。此時道安法師。名震當	此 敘 什 師 入 中 國 之 由 也 此 時 道 安 法 師 名 震 當 
X54n0873_003:0342a24	代。秦主符堅。以師尊之。稱為聖人。安曰。貧道非聖。	代 秦 主 符 堅 以 師 尊 之 稱 為 聖 人 安 曰 貧 道 非 聖 
X54n0873_003:0342b01	聞龜茲國有羅什者。真聖人也。堅聞之。欣慕不已。	聞 龜 茲 國 有 羅 什 者 真 聖 人 也 堅 聞 之 欣 慕 不 已 
X54n0873_003:0342b02	乃遣大將軍呂光。率鐵甲兵十萬伐龜茲。以迎師。	乃 遣 大 將 軍 呂 光 率 鐵 甲 兵 十 萬 伐 龜 茲 以 迎 師 
X54n0873_003:0342b03	光將兵至國。圍其都城。王致辭曰。下國與大秦遼	光 將 兵 至 國 圍 其 都 城 王 致 辭 曰 下 國 與 大 秦 遼 
X54n0873_003:0342b04	遠。俗不相及。何以見伐。光曰。大秦天王。所以命師	遠 俗 不 相 及 何 以 見 伐 光 曰 大 秦 天 王 所 以 命 師 
X54n0873_003:0342b05	伐王之國者。非為土地之利也。因聞王國有聖人	伐 王 之 國 者 非 為 土 地 之 利 也 因 聞 王 國 有 聖 人 
X54n0873_003:0342b06	鳩摩什。將迎歸供奉耳。非別有所圖也。王曰。什乃	鳩 摩 什 將 迎 歸 供 奉 耳 非 別 有 所 圖 也 王 曰 什 乃 
X54n0873_003:0342b07	予國之寶也。安肯棄之。餘則唯命是聽。遂堅壁。光	予 國 之 寶 也 安 肯 棄 之 餘 則 唯 命 是 聽 遂 堅 壁 光 
X54n0873_003:0342b08	圍久之。王城益急。什請曰。豈以貧道一人之故。而	圍 久 之 王 城 益 急 什 請 曰 豈 以 貧 道 一 人 之 故 而 
X54n0873_003:0342b09	舉國受困。非利也。願請以行。王不聽。什曰會當歸	舉 國 受 困 非 利 也 願 請 以 行 王 不 聽 什 曰 會 當 歸 
X54n0873_003:0342b10	耳。王無已。遂遣師同光行。是謂揚湻風於東扇也。	耳 王 無 已 遂 遣 師 同 光 行 是 謂 揚 湻 風 於 東 扇 也 
X54n0873_003:0342b11	光至涼。聞姚萇弒堅自立。國號後秦。光亦據涼自	光 至 涼 聞 姚 萇 弒 堅 自 立 國 號 後 秦 光 亦 據 涼 自 
X54n0873_003:0342b12	王。國號西凉。時什師未及入秦。遂居於凉。光無良。	王 國 號 西 凉 時 什 師 未 及 入 秦 遂 居 於 凉 光 無 良 
X54n0873_003:0342b13	多困辱師。無以自見。故曰將爰燭殊方而未顯。留	多 困 辱 師 無 以 自 見 故 曰 將 爰 燭 殊 方 而 未 顯 留 
X54n0873_003:0342b14	滯於凉。故曰匿耀凉土。以既來而致困。其道不行。	滯 於 凉 故 曰 匿 耀 凉 土 以 既 來 而 致 困 其 道 不 行 
X54n0873_003:0342b15	故曰道不虗應。應必有由矣。	故 曰 道 不 虗 應 應 必 有 由 矣 
X54n0873_003:0342b16	弘始三年。歲次星紀。秦乘入國之謀。舉師以來之意	弘 始 三 年 歲 次 星 紀 秦 乘 入 國 之 謀 舉 師 以 來 之 意 
X54n0873_003:0342b17	也。北天之運。數其然也。	也 北 天 之 運 數 其 然 也 
