X14n0295_001:0624b03	 勸持敘	 勸 持 敘 
X14n0295_003:0641a05	渾不知故言全。甚不知故言曾。終不知故言元。初	渾 不 知 故 言 全 甚 不 知 故 言 曾 終 不 知 故 言 元 初 
X14n0295_003:0641a06	意恕之。終意責之。輕重之序如此。深別曰審。審議	意 恕 之 終 意 責 之 輕 重 之 序 如 此 深 別 曰 審 審 議 
X14n0295_003:0641a07	曰詳。當理曰諦。諦視曰觀。初於地大。獨言汝觀。於	曰 詳 當 理 曰 諦 諦 視 曰 觀 初 於 地 大 獨 言 汝 觀 於 
X14n0295_003:0641a08	火大言諦。其言更諦觀審諦觀。至見大。重叠而言。	火 大 言 諦 其 言 更 諦 觀 審 諦 觀 至 見 大 重 叠 而 言 
X14n0295_003:0641a09	至識大番覆而言。意同言宛言曾之類。為其轉不	至 識 大 番 覆 而 言 意 同 言 宛 言 曾 之 類 為 其 轉 不 
X14n0295_003:0641a10	知。渾不知。甚不知故也。	知 渾 不 知 甚 不 知 故 也 
X14n0295_003:0641a11	△造悟讚謝第八	 造 悟 讚 謝 第 八 
X14n0295_003:0641a12	爾時阿難及諸大眾(至)於如來前說偈讚佛。	爾 時 阿 難 及 諸 大 眾 至 於 如 來 前 說 偈 讚 佛 
X14n0295_003:0641a13	爾時阿難及諸大眾。蒙佛如來微妙開示。身心蕩	爾 時 阿 難 及 諸 大 眾 蒙 佛 如 來 微 妙 開 示 身 心 蕩 
X14n0295_003:0641a14	然。自初決擇心見。終至陰入七大。多方發明。使悟	然 自 初 決 擇 心 見 終 至 陰 入 七 大 多 方 發 明 使 悟 
X14n0295_003:0641a15	器界萬法。當體全真。本如來藏。所謂微妙開示也。	器 界 萬 法 當 體 全 真 本 如 來 藏 所 謂 微 妙 開 示 也 
X14n0295_003:0641a16	既悟器界。性真圓融。故身心蕩然。同無罣碍。悟妙	既 悟 器 界 性 真 圓 融 故 身 心 蕩 然 同 無 罣 碍 悟 妙 
X14n0295_003:0641a17	覺湛然。周徧法界。故各各自知心遍十方也。覺湛	覺 湛 然 周 徧 法 界 故 各 各 自 知 心 遍 十 方 也 覺 湛 
X14n0295_003:0641a18	周徧。含吐十虗。故見十方空。如手中葉。萬法性真。	周 徧 含 吐 十 虗 故 見 十 方 空 如 手 中 葉 萬 法 性 真 
X14n0295_003:0641a19	本如來藏。故一切所有。皆即妙心。悟本心量。廣大	本 如 來 藏 故 一 切 所 有 皆 即 妙 心 悟 本 心 量 廣 大 
X14n0295_003:0641a20	如此。故反觀妄身。其微如塵。其幻如漚。忽無所有。	如 此 故 反 觀 妄 身 其 微 如 塵 其 幻 如 漚 忽 無 所 有 
X14n0295_003:0641a21	而本妙常心。了了悟獲。於是深慶。說偈讚謝。	而 本 妙 常 心 了 了 悟 獲 於 是 深 慶 說 偈 讚 謝 
X14n0295_003:0641a22	妙湛總持不動尊首楞嚴王世希有。	妙 湛 總 持 不 動 尊 首 楞 嚴 王 世 希 有 
X14n0295_003:0641a23	妙湛總持。即如來藏體。前之屢稱妙覺湛然不動	妙 湛 總 持 即 如 來 藏 體 前 之 屢 稱 妙 覺 湛然不動 
X14n0295_003:0641a24	周徧含吐十方者。是也。人雖本具。要由首楞大定	周 徧 含 吐 十 方 者 是 也 人 雖 本 具 要 由 首 楞 大 定 
X14n0295_003:0641b01	而發。佛之所以為佛。持此而已。故阿難以是讚佛。	而 發 佛 之 所 以 為 佛 持 此 而 已 故 阿 難 以 是 讚 佛 
X14n0295_003:0641b02	又覺海圓澄。物不能汩。曰妙湛。藏心圓遍。含裹十	又 覺 海 圓 澄 物 不 能 汩 曰 妙 湛 藏 心 圓 遍 含 裹 十 
X14n0295_003:0641b03	方。曰總持。體寂如空。常住不滅。曰不動。具此而獨	方 曰 總 持 體 寂 如 空 常 住 不 滅 曰 不 動 具 此 而 獨 
X14n0295_003:0641b04	尊三界。由此而為諸法王。求之世間。實為希有。	尊 三 界 由 此 而 為 諸 法 王 求 之 世 間 實 為 希 有 
X14n0295_003:0641b05	銷我億劫顛倒想不歷僧祇獲法身。	銷 我 億 劫 顛 倒 想 不 歷 僧 祇 獲 法 身 
X14n0295_003:0641b06	無始迷真。妄認緣影。即億劫倒想。一蒙開示。了獲	無 始 迷 真 妄 認 緣 影 即 億 劫 倒 想 一 蒙 開 示 了 獲 
X14n0295_003:0641b07	本心。故不歷僧祗。法身即獲。阿僧祗此云無量數	本 心 故 不 歷 僧 祗 法 身 即 獲 阿 僧 祗 此 云 無 量 數 
X14n0295_003:0641b08	劫。	劫 
X14n0295_003:0641b09	願今得果成寶王(至)終不於此取泥洹。	願 今 得 果 成 寶 王 至 終 不 於 此 取 泥 洹 
X14n0295_003:0641b10	既悟自性。深感發明之思。故願有所成。弘道利生。	既 悟 自 性 深 感 發 明 之 思 故 願 有 所 成 弘 道 利 生 
X14n0295_003:0641b11	稱佛心而上報也。願得成果。智心也。還度眾生。悲	稱 佛 心 而 上 報 也 願 得 成 果 智 心 也 還 度 眾 生 悲 
X14n0295_003:0641b12	心也。智悲雙運。廣大無量。深心也。誓入五濁。不取	心 也 智 悲 雙 運 廣大無量 深 心 也 誓 入 五 濁 不 取 
X14n0295_003:0641b13	泥洹。則深心之極也。憑此報恩。故請佛為證。	泥 洹 則 深 心 之 極 也 憑 此 報 恩 故 請 佛 為 證 
X14n0295_003:0641b14	大雄大力大慈悲(至)於十方界坐道場。	大 雄 大 力 大 慈 悲 至 於 十 方 界 坐 道 場 
X14n0295_003:0641b15	既讚謝已。重請復說。盡除惑障。成果願也。前發明	既 讚 謝 已 重 請 復 說 盡 除 惑 障 成 果 願 也 前 發 明 
X14n0295_003:0641b16	心見。顯如來藏。方破見道粗惑。次須決通疑滯。開	心 見 顯 如 來 藏 方 破 見 道 粗 惑 次 須 決 通 疑 滯 開 
X14n0295_003:0641b17	修證門。以斷修道細惑。詳審盡除。乃登上覺。第四	修 證 門 以 斷 修 道 細 惑 詳 審 盡 除 乃 登 上 覺 第 四 
X14n0295_003:0641b18	卷決通疑滯。攝伏攀緣。即審除細惑之方也。然既	卷 決 通 疑 滯 攝 伏 攀 緣 即 審 除 細 惑 之 方 也 然 既 
X14n0295_003:0641b19	消顛倒想。頓獲法身。疑已得果。且又願求。更除細	消 顛 倒 想 頓 獲 法 身 疑 已 得 果 且 又 願 求 更 除 細 
X14n0295_003:0641b20	惑者。佛果有七。曰菩提。涅槃。真如。佛性。菴摩羅識。	惑 者 佛 果 有 七 曰 菩 提 涅 槃 真 如 佛 性 菴摩羅識 
X14n0295_003:0641b21	空如來藏。大圓鏡智。所謂獲法身者。則分得菩提。	空 如 來 藏 大圓鏡智 所 謂 獲 法 身 者 則 分 得 菩 提 
X14n0295_003:0641b22	自見佛性而已。見性之後。必須審除細惑。使生滅	自 見 佛 性 而 已 見 性 之 後 必 須 審 除 細 惑 使 生 滅 
X14n0295_003:0641b23	滅生俱寂。以合乎涅槃真如。白淨純凝。以合乎菴	滅 生 俱 寂 以 合 乎 涅 槃 真 如 白 淨 純 凝 以 合 乎 菴 
X14n0295_003:0641b24	摩羅識。廓然圓照。以合乎空如來藏大圓鏡智。七	摩 羅 識 廓 然 圓 照 以 合 乎 空 如 來 藏 大圓鏡智 七 
X14n0295_003:0641c01	果圓備。乃登上覺也。	果 圓 備 乃 登 上 覺 也 
X14n0295_003:0641c02	舜若多性可銷亡爍迦羅心無動轉。	舜 若 多 性 可 銷 亡 爍 迦 羅 心 無 動 轉 
X14n0295_003:0641c03	舜若多此云空。爍迦羅此云堅固。謂空性無體。尚	舜 若 多 此 云 空 爍 迦 羅 此 云 堅 固 謂 空 性 無 體 尚 
X14n0295_003:0641c04	可銷亡。我心堅固。終無動轉。此依楞嚴定力。結前	可 銷 亡 我 心 堅 固 終 無 動 轉 此 依 楞 嚴 定 力 結 前 
X14n0295_003:0641c05	願心。自誓究竟。畢無退墮。願心如此。然後聖果可	願 心 自 誓 究 竟 畢 無 退 墮 願 心 如 此 然 後 聖 果 可 
X14n0295_003:0641c06	期。佛恩可報也。	期 佛 恩 可 報 也 
X14n0295_004:0641c12	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X14n0295_004:0641c13	卷第四	卷 第 四 
X14n0295_004:0641c14	淮海參佛弟子蘊空居士陸西星述旨	淮 海 參 佛 弟 子 蘊 空 居 士 陸 西 星 述 旨 
X14n0295_004:0641c15	淮南後學　蔣一麒　校定	淮 南 後 學 蔣 一 麒 校 定 
X14n0295_004:0641c16	△深窮萬法第九	 深 窮 萬 法 第 九 
X14n0295_004:0641c17	爾時富樓那彌羅尼子(至)我常聞佛宣說斯義。	爾 時 富 樓 那 彌 羅 尼 子 至 我 常 聞 佛 宣 說 斯 義 
X14n0295_004:0641c18	爾時富樓那彌多羅尼子白佛言。世尊。我今聞如	爾 時 富 樓 那 彌 多 羅 尼 子 白 佛 言 世 尊 我 今 聞 如 
X14n0295_004:0641c19	來妙義微妙法音。雖則宣明。令我除惑。今猶未詳	來 妙 義 微 妙 法 音 雖 則 宣 明 令 我 除 惑 今 猶 未 詳 
X14n0295_004:0641c20	斯義究竟無疑惑地。世尊。若復世間一切根塵陰	斯 義 究 竟 無 疑 惑 地 世 尊 若 復 世 間 一 切 根 塵 陰 
X14n0295_004:0641c21	處界等。皆如來藏。清淨本然。云何忽生山河大地	處 界 等 皆 如 來 藏 清 淨 本 然 云 何 忽 生 山 河 大 地 
X14n0295_004:0641c22	諸有為相。次第遷流。終而復始。謂清淨則宜無諸	諸 有 為 相 次 第 遷 流 終 而 復 始 謂 清 淨 則 宜 無 諸 
X14n0295_004:0641c23	相。謂本然則宜無遷流矣。此第一疑問也。又如來	相 謂 本 然 則 宜 無 遷 流 矣 此 第 一 疑 問 也 又 如 來 
X14n0295_004:0641c24	說地水火風本性圓融。周徧法界。湛然常住。若地	說 地水火風 本 性 圓 融 周 徧 法 界 湛 然 常 住 若 地 
X14n0295_004:0642a01	性徧。云何容水。水性徧則不生火。水火二性俱徧	性 徧 云 何 容 水 水 性 徧 則 不 生 火 水 火 二 性 俱 徧 
X14n0295_004:0642a02	虗空。得無相淩相滅乎。地性障碍。空性虗通。云何	虗 空 得 無 相 淩 相 滅 乎 地 性 障 碍 空 性 虗 通 云 何 
X14n0295_004:0642a03	二俱周遍。而我不知是義攸往。此第二疑問也。皆	二 俱 周 遍 而 我 不 知 是 義 攸 往 此 第 二 疑 問 也 皆 
X14n0295_004:0642a04	躡前四科七大之文而起。意以性相相違。事理相	躡 前 四 科 七 大 之 文 而 起 意 以 性 相 相 違 事 理 相 
X14n0295_004:0642a05	礙。常情疑滯。故求決通。佛答第一問中。清淨本然。	礙 常 情 疑 滯 故 求 決 通 佛 答 第 一 問 中 清 淨 本 然 
X14n0295_004:0642a06	云何忽生山河大地。汝常不聞如來宣說性覺妙	云 何 忽 生 山 河 大 地 汝 常 不 聞 如 來 宣 說 性 覺 妙 
X14n0295_004:0642a07	明本覺明妙乎。性覺妙明。本覺明妙。萬法體用之	明 本 覺 明 妙 乎 性 覺 妙 明 本 覺 明 妙 萬 法 體 用 之 
X14n0295_004:0642a08	異稱也。能性一切。曰性覺。性覺之妙。顯乎明。即自	異 稱 也 能 性 一 切 曰 性 覺 性 覺 之 妙 顯 乎 明 即 自 
X14n0295_004:0642a09	覺而出見於萬法者也。性之所本。曰本覺。本覺之	覺 而 出 見 於 萬 法 者 也 性 之 所 本 曰 本 覺 本 覺 之 
X14n0295_004:0642a10	明。藏乎妙。即自用而返冥於一真者也。了斯二義。	明 藏 乎 妙 即 自 用 而 返 冥 於 一 真 者 也 了 斯 二 義 
X14n0295_004:0642a11	則體用一覺。物我一妙。無復諸相之異矣。又孤山	則 體 用 一 覺 物 我 一 妙 無 復 諸 相 之 異 矣 又 孤 山 
X14n0295_004:0642a12	曰。本覺亦性覺也。變其文耳。以本元自性。既能所	曰 本 覺 亦 性 覺 也 變 其 文 耳 以 本 元 自 性 既 能 所 
X14n0295_004:0642a13	雙絕。寂照互融。故作兩句說耳。天如曰。此蓋佛欲	雙 絕 寂 照 互 融 故 作 兩 句 說 耳 天 如 曰 此 蓋 佛 欲 
X14n0295_004:0642a14	顯山河大地。由妄覺生故。且標真覺。體用互顯。而	顯 山 河 大 地 由 妄 覺 生 故 且 標 真 覺 體 用 互 顯 而 
X14n0295_004:0642a15	初無能所者。以立本也。下文乃舉真妄二覺。	初 無 能 所 者 以 立 本 也 下 文 乃 舉 真 妄 二 覺 
X14n0295_004:0642a16	佛言。汝稱覺明。為復性明。稱明為覺。為覺不明。稱為	佛 言 汝 稱 覺 明 為 復 性 明 稱 明 為 覺 為 覺 不 明 稱 為 
X14n0295_004:0642a17	明覺。富樓那言。若此不明。名為覺者。則無所明。佛言。	明 覺 富 樓 那 言 若 此 不 明 名 為 覺 者 則 無 所 明 佛 言 
X14n0295_004:0642a18	若無所明。則無明覺。有所非覺。無所非明。無明又非	若 無 所 明 則 無 明 覺 有 所 非 覺 無 所 非 明 無 明 又 非 
X14n0295_004:0642a19	覺湛明性。性覺必明。妄為明覺。覺非所明。因明立所。	覺 湛 明 性 性 覺 必 明 妄 為 明 覺 覺 非 所 明 因 明 立 所 
X14n0295_004:0642a20	所既妄立。生汝妄能。無同異中。熾然成異。異彼所異。	所 既 妄 立 生 汝 妄 能 無 同 異 中 熾 然 成 異 異 彼 所 異 
X14n0295_004:0642a21	因異立同。同異發明。因此復立無同無異。如是擾亂。	因 異 立 同 同 異 發 明 因 此 復 立 無 同 無 異 如 是 擾 亂 
X14n0295_004:0642a22	相待生勞。勞久發塵。自相渾濁。由是引起塵勞煩惱。	相 待 生 勞 勞 久 發 塵 自 相 渾 濁 由 是 引 起 塵 勞 煩 惱 
X14n0295_004:0642a23	佛言。汝稱覺明。為復性明者。稱之為覺耶。為覺而	佛 言 汝 稱 覺 明 為 復 性 明 者 稱 之 為 覺 耶 為 覺 而 
X14n0295_004:0642a24	不明者。稱為明覺耶。促舉覺明二字。審其所解。富	不 明 者 稱 為 明 覺 耶 促 舉 覺 明 二 字 審 其 所 解 富 
X14n0295_004:0642b01	那答言。若此不明。稱之為覺者。則無所明矣。安得	那 答 言 若 此 不 明 稱 之 為 覺 者 則 無 所 明 矣 安 得 
X14n0295_004:0642b02	為覺耶。不知纔有所明。即墮妄覺。此富那所解之	為 覺 耶 不 知 纔 有 所 明 即 墮 妄 覺 此 富 那 所 解 之 
X14n0295_004:0642b03	非也。佛言。若無所明。則無明覺矣。豈不幸哉。蓋明	非 也 佛 言 若 無 所 明 則 無 明 覺 矣 豈 不 幸 哉 蓋 明 
X14n0295_004:0642b04	覺之妄。自所明起。故有所明者。是明也。非覺也。無	覺 之 妄 自 所 明 起 故 有 所 明 者 是 明 也 非 覺 也 無 
X14n0295_004:0642b05	所明者。是覺也。非明也。而無所明。非無明也。若無	所 明 者 是 覺 也 非 明 也 而 無 所 明 非 無 明 也 若 無 
X14n0295_004:0642b06	明。又非覺湛明性矣。何者。性覺者。必明所明。則妄	明 又 非 覺 湛 明 性 矣 何 者 性 覺 者 必 明 所 明 則 妄 
X14n0295_004:0642b07	為明覺者耳。妄即所明也。故吳興曰。本性之覺。必	為 明 覺 者 耳 妄 即 所 明 也 故 吳 興 曰 本 性 之 覺 必 
X14n0295_004:0642b08	具湛明之性。以不了故。妄為能明之明。所覺之覺	具 湛 明 之 性 以 不 了 故 妄 為 能 明 之 明 所 覺 之 覺 
X14n0295_004:0642b09	耳。溫陵以強生了知為必明。既言能明所明。又立	耳 溫 陵 以 強 生 了 知 為 必 明 既 言 能 明 所 明 又 立 
X14n0295_004:0642b10	必明。終不若吳興之似妥也。故覺非所明。乃本然	必 明 終 不 若 吳 興 之 似 妥 也 故 覺 非 所 明 乃 本 然 
X14n0295_004:0642b11	之真體。因明立所。則當人之妄識。所既妄立。生汝	之 真 體 因 明 立 所 則 當 人 之 妄 識 所 既 妄 立 生 汝 
X14n0295_004:0642b12	妄能。能所既立。心境互分。無同異中。熾然成異。夫	妄 能 能 所 既 立 心 境 互 分 無 同 異 中 熾 然 成 異 夫 
X14n0295_004:0642b13	異者。彼所異耳。本覺之體。未必異也。反異為同。同	異 者 彼 所 異 耳 本 覺 之 體 未 必 異 也 反 異 為 同 同 
X14n0295_004:0642b14	異對立。互相發明。宛轉遷移。因此復立無同無異。	異 對 立 互 相 發 明 宛 轉 遷 移 因 此 復 立 無 同 無 異 
X14n0295_004:0642b15	不知真體之中本無是事。皆由能所對待妄立。擾	不 知 真 體 之 中 本 無 是 事 皆 由 能 所 對 待 妄 立 擾 
X14n0295_004:0642b16	發塵情。遂使妙明斯渾。妙湛斯濁。晦昧空色。自此	發 塵 情 遂 使 妙 明 斯 渾 妙 湛 斯 濁 晦 昧 空 色 自 此 
X14n0295_004:0642b17	兆矣。由是引起塵勞煩惱。染污為塵。擾動為勞。憂	兆 矣 由 是 引 起 塵 勞 煩 惱 染 污 為 塵 擾 動 為 勞 憂 
X14n0295_004:0642b18	煎為煩。迷亂為惱。天如曰。此章問答。良有以焉。前	煎 為 煩 迷 亂 為 惱 天 如 曰 此 章 問 答 良 有 以 焉 前 
X14n0295_004:0642b19	佛舉七大。以該萬法。則世界虗空。眾生業果。在其	佛 舉 七 大 以 該 萬 法 則 世 界 虗 空 眾 生 業 果 在 其 
X14n0295_004:0642b20	中矣。惟其談七大之相。則曰如來藏中。循業發現。	中 矣 惟 其 談 七 大 之 相 則 曰 如 來 藏 中 循 業 發 現 
X14n0295_004:0642b21	談七大之性。則曰周徧圓融。本如來藏。富那至此。	談 七 大 之 性 則 曰 周 徧 圓 融 本 如 來 藏 富 那 至 此 
X14n0295_004:0642b22	未達循發徧融之義。因此二疑而生二問。初問清	未 達 循 發 徧 融 之 義 因 此 二 疑 而 生 二 問 初 問 清 
X14n0295_004:0642b23	淨本然。云何忽生山河大地諸有為相。清淨本然。	淨 本 然 云 何 忽 生 山 河 大 地 諸 有 為 相 清 淨 本 然 
