X16n0308_001:0012a03	 續夢始末	 續 夢 始 末 
X16n0308_001:0041a12	之修習。證無生忍。屬於修得。心既無體。則法身同	之 修 習 證 無 生 忍 屬 於 修 得 心 既 無 體 則 法 身 同 
X16n0308_001:0041a13	於斷滅。法忍憑誰修證。此性修俱失過也。○即時	於 斷 滅 法 忍 憑 誰 修 證 此 性 修 俱 失 過 也 即 時 
X16n0308_001:0041a14	下知已無辯。即時者如來教以推審時也。微細揣	下 知 已 無 辯 即 時 者 如 來 教 以 推 審 時 也 微 細 揣 
X16n0308_001:0041a15	摩。已知無體。又聞成過。情盡詞窮。阿難既爾。法會	摩 已 知 無 體 又 聞 成 過 情 盡 詞 窮 阿 難 既 爾 法 會 
X16n0308_001:0041a16	亦然。故云與諸大眾。既不知何者為真。又不敢依	亦 然 故 云 與 諸 大 眾 既 不 知 何 者 為 真 又 不 敢 依 
X16n0308_001:0041a17	舊認妄。唯有默然。自覺兩失。觸藩之羊。可為譬也。	舊 認 妄 唯 有 默 然 自 覺 兩 失 觸 藩 之 羊 可 為 譬 也 
X16n0308_001:0041a18	總結備破三迷竟。三結斥誤認。	總 結 備 破 三 迷 竟 三 結 斥 誤 認 
X16n0308_001:0041a19	佛告阿難。世間一切諸修學人現前雖成九次第定。	佛 告 阿 難 世 間 一 切 諸 修 學 人 現 前 雖 成 九次第定 
X16n0308_001:0041a20	不得漏盡成阿羅漢。皆由執此生死妄想誤為真實。	不 得 漏 盡 成 阿 羅 漢 皆 由 執 此 生 死 妄 想 誤 為 真 實 
X16n0308_001:0041a21	○是故汝今雖得多聞不成聖果。	 是 故 汝 今 雖 得 多 聞 不 成 聖 果 
X16n0308_001:0041a22	初結斥大眾。世間學人。前三果也。三界未出。故稱	初 結 斥 大 眾 世 間 學 人 前 三 果 也 三 界 未 出 故 稱 
X16n0308_001:0041a23	世間。四果未證。故稱學人。現前者。從是進修。成次	世 間 四 果 未 證 故 稱 學 人 現 前 者 從 是 進 修 成 次 
X16n0308_001:0041a24	第定。第四果也。以前八(四禪四空)凡位所成。後一(滅盡定也。	第 定 第 四 果 也 以 前 八 四 禪 四 空 凡 位 所 成 後 一 滅 盡 定 也 
X16n0308_001:0041b01	若但滅六識。名無心定。兼滅七識。名滅盡定。又偏厭受想。亦名滅受想定)聖位所成故。	若 但 滅 六 識 名 無 心 定 兼 滅 七 識 名 滅 盡 定 又 偏 厭 受 想 亦 名 滅受想定 聖 位 所 成 故 
X16n0308_001:0041b02	若論四果。於小乘法中。已為漏盡。即是羅漢。今云	若 論 四 果 於 小 乘 法 中 已 為 漏 盡 即 是 羅 漢 今 云 
X16n0308_001:0041b03	雖成不得等者。以向屬權許。理實未得。皆由執此	雖 成 不 得 等 者 以 向 屬 權 許 理 實 未 得 皆 由 執 此 
X16n0308_001:0041b04	等。乃出其未得之故。妄想即指六識。以是生死根	等 乃 出 其 未 得 之 故 妄 想 即 指 六 識 以 是 生 死 根 
X16n0308_001:0041b05	本。故稱生死妄想。誤為真實者。不了識空。正由不	本 故 稱 生 死 妄 想 誤 為 真 實 者 不 了 識 空 正 由 不 
X16n0308_001:0041b06	了識空。雖成滅盡。不過如石壓草。似繩縛賊。縱能	了 識 空 雖 成 滅 盡 不 過 如 石 壓 草 似 繩 縛 賊 縱 能 
X16n0308_001:0041b07	度百千劫。終有壞時。然滅定既非真實。所謂漏盡	度 百 千 劫 終 有 壞 時 然 滅 定 既 非 真 實 所 謂 漏 盡 
X16n0308_001:0041b08	羅漢者。豈真實哉。○是故下結斥阿難。是故者承	羅 漢 者 豈 真 實 哉 是 故 下 結 斥 阿 難 是 故 者 承 
X16n0308_001:0041b09	上羅漢非真言之。言羅漢深修滅定。漏盡尚屬權	上 羅 漢 非 真 言 之 言 羅 漢 深 修 滅 定 漏 盡 尚 屬 權 
X16n0308_001:0041b10	許。阿難唯事多聞。聖果豈是實證。故斥以雖得不	許 阿 難 唯 事 多 聞 聖 果 豈 是 實 證 故 斥 以 雖 得 不 
X16n0308_001:0041b11	成(問。正脈釋九定云。前八凡位所成。第九無漏聖位所成。今云不得漏盡成羅漢者。當知彼所謂無漏	成 問 正 脈 釋 九 定 云 前 八 凡 位 所 成 第 九 無 漏 聖 位 所 成 今 云 不 得 漏 盡 成 羅 漢 者 當 知 彼 所 謂 無 漏 
X16n0308_001:0041b12	聖位者。乃一時權許耳。今疏亦云。向屬權許。理實未得。與交師為同為異。答。語雖似同。意實有異。葢正脈	聖 位 者 乃 一 時 權 許 耳 今 疏 亦 云 向 屬 權 許 理 實 未 得 與 交 師 為 同 為 異 答 語 雖 似 同 意 實 有 異 葢 正 脈 
X16n0308_001:0041b13	以五住究竟。方為漏盡。故深許長水以十地為漏盡。無可疑也。殊不知。若以五住究盡為漏盡者。唯佛一	以 五 住 究 竟 方 為 漏 盡 故 深 許 長 水 以 十 地 為 漏 盡 無 可 疑 也 殊 不 知 若 以 五 住 究 盡 為 漏 盡 者 唯 佛 一 
X16n0308_001:0041b14	人。可當此名。故十號中。第二名阿羅訶。而訶字即漢字之變音。至等覺猶存生相。尚非漏盡。況十地乎。今	人 可 當 此 名 故 十 號 中 第 二 名 阿 羅 訶 而 訶 字 即 漢 字 之 變 音 至 等 覺 猶 存 生 相 尚 非 漏 盡 況 十 地 乎 今 
X16n0308_001:0041b15	之所釋但以妄心不除。斷總非真。若能達妄識本空。則一斷永斷。滅盡正當四果。多聞堪入聖流。所謂但	之 所 釋 但 以 妄 心 不 除 斷 總 非 真 若 能 達 妄 識 本 空 則 一 斷 永 斷 滅 盡 正 當 四 果 多 聞 堪 入 聖 流 所 謂 但 
X16n0308_001:0041b16	去其病。不毀其身。此則與交師異耳)通結大科斥破所執妄心。以開	去 其 病 不 毀 其 身 此 則 與 交 師 異 耳 通 結 大 科 斥 破 所 執 妄 心 以 開 
X16n0308_001:0041b17	奢摩他路竟。	奢 摩 他 路 竟 
X16n0308_001:0041b18	二顯示所遺真性令見如來藏體(正脈云。上科即是妄本。已破而	二 顯 示 所 遺 真 性 令 見 如 來 藏 體 正 脈 云 上 科 即 是 妄 本 已 破 而 
X16n0308_001:0041b19	不用矣。此科即是真本。正修必用。佛云。眾生遺此本明。故科名承用遺字。然而現具六根之中。遍為一切	不 用 矣 此 科 即 是 真 本 正 修 必 用 佛 云 眾 生 遺 此 本 明 故 科 名 承 用 遺 字 然 而 現 具 六 根 之 中 遍 為 一 切 
X16n0308_001:0041b20	法體。故此科始從眼根開顯。以至四科七大也)三。一阿難捨妄求真。二	法 體 故 此 科 始 從 眼 根 開 顯 以 至 四 科 七 大 也 三 一 阿 難 捨 妄 求 真 二 
X16n0308_001:0041b21	如來極顯真體。三會眾同信空藏。初二。一悲	如 來 極 顯 真 體 三 會 眾 同 信 空 藏 初 二 一 悲 
X16n0308_001:0041b22	感悔責。二知過請求。初。	感 悔 責 二 知 過 請 求 初 
X16n0308_001:0041b23	阿難聞已。重復悲淚。五體投地長跪合掌。而白佛言。	阿 難 聞 已 重 復 悲 淚 五體投地 長 跪 合 掌 而 白 佛 言 
X16n0308_001:0041b24	自我從佛發心出家恃佛威神。常自思惟無勞我修。	自 我 從 佛 發 心 出 家 恃 佛 威 神 常 自 思 惟 無 勞 我 修 
X16n0308_001:0041c01	○將謂如來惠我三昧。不知身心本不相代。失我本	 將 謂 如 來 惠 我 三 昧 不 知 身 心 本 不 相 代 失 我 本 
X16n0308_001:0041c02	心。○雖身出家心不入道。譬如窮子捨父逃逝。	心 雖 身 出 家 心 不 入 道 譬 如 窮 子 捨 父 逃 逝 
X16n0308_001:0041c03	初悲前迷妄。阿難聞已者。聞如來備破三迷已竟	初 悲 前 迷 妄 阿 難 聞 已 者 聞 如 來 備 破 三 迷 已 竟 
X16n0308_001:0041c04	也。中有所感。不覺悲泣流淚。對前淫室歸來。頂禮	也 中 有 所 感 不 覺 悲 泣 流 淚 對 前 淫 室 歸 來 頂 禮 
X16n0308_001:0041c05	悲泣。故云重復。正脈云。凡深悟者。而後發悲。或悟	悲 泣 故 云 重 復 正 脈 云 凡 深 悟 者 而 後 發 悲 或 悟 
X16n0308_001:0041c06	妄而悲久苦。或悟真而悲久失。今是悟妄之悲。五	妄 而 悲 久 苦 或 悟 真 而 悲 久 失 今 是 悟 妄 之 悲 五 
X16n0308_001:0041c07	體投地者。有所進求。應再拜故。長跪者。兩膝齊跽。	體 投 地 者 有 所 進 求 應 再 拜 故 長 跪 者 兩 膝 齊 跽 
X16n0308_001:0041c08	合掌者。一心歸命。而白佛言者。備述迷遺。此上皆	合 掌 者 一 心 歸 命 而 白 佛 言 者 備 述 迷 遺 此 上 皆 
X16n0308_001:0041c09	進求之儀耳。自我二句。從初敘起。顯打頭即錯也。	進 求 之 儀 耳 自 我 二 句 從 初 敘 起 顯 打 頭 即 錯 也 
X16n0308_001:0041c10	佛之威德。能遮魔障。佛之神力。能資果證。己向蒙	佛 之 威 德 能 遮 魔 障 佛 之 神 力 能 資 果 證 己 向 蒙 
X16n0308_001:0041c11	佛慈愛。故自以為恃。常自思惟者。思惟有佛。無勞	佛 慈 愛 故 自 以 為 恃 常 自 思 惟 者 思 惟 有 佛 無 勞 
X16n0308_001:0041c12	我修者。加被即是。殊不知思惟即是妄想。不修終	我 修 者 加 被 即 是 殊 不 知 思 惟 即 是 妄 想 不 修 終 
X16n0308_001:0041c13	無實證。此正阿難迷妄。為妄所轉也。○將謂下悔	無 實 證 此 正 阿 難 迷 妄 為 妄 所 轉 也 將 謂 下 悔 
X16n0308_001:0041c14	現遺真。言當其思惟之時。將謂如來慈惠。施我三	現 遺 真 言 當 其 思 惟 之 時 將 謂 如 來 慈 惠 施 我 三 
X16n0308_001:0041c15	昧。自然道成。何勞自修為哉。此自追昔誤也。不知	昧 自 然 道 成 何 勞 自 修 為 哉 此 自 追 昔 誤 也 不 知 
X16n0308_001:0041c16	二字。反上將謂二字。言將謂如彼。不知竟不能也。	二 字 反 上 將 謂 二 字 言 將 謂 如 彼 不 知 竟 不 能 也 
X16n0308_001:0041c17	身心句正明其不能之義。言佛與阿難。雖屬天倫。	身 心 句 正 明 其 不 能 之 義 言 佛 與 阿 難 雖 屬 天 倫 
X16n0308_001:0041c18	身心各異。身異故食不互飽。心異故智不互明。至	身 心 各 異 身 異 故 食 不 互 飽 心 異 故 智 不 互 明 至 
X16n0308_001:0041c19	於修因證果。豈能相代。此語亦今日方能言之。失	於 修 因 證 果 豈 能 相 代 此 語 亦 今 日 方 能 言 之 失 
X16n0308_001:0041c20	我本心。有二釋。一者身心不相代。失我望佛慈惠	我 本 心 有 二 釋 一 者 身 心 不 相 代 失 我 望 佛 慈 惠 
X16n0308_001:0041c21	之本心。此義於上似順。以上有將謂惠我之意故。	之 本 心 此 義 於 上 似 順 以 上 有 將 謂 惠 我 之 意 故 
X16n0308_001:0041c22	二者三昧不能得。失我寂常妙明之本心。此義於	二 者 三 昧 不 能 得 失 我 寂 常 妙 明 之 本 心 此 義 於 
X16n0308_001:0041c23	下似合。以下有寂常妙明之請故。若按下捨父逃	下 似 合 以 下 有 寂 常 妙 明 之 請 故 若 按 下 捨 父 逃 
X16n0308_001:0041c24	逝之喻。後義為正。○雖身下責當受輪。葢以失本	逝 之 喻 後 義 為 正 雖 身 下 責 當 受 輪 葢 以 失 本 
X16n0308_001:0042a01	心故。蓄聞成過。有剃髮染衣之相。無修因證果之	心 故 蓄 聞 成 過 有 剃 髮 染 衣 之 相 無 修 因 證 果 之 
X16n0308_001:0042a02	實。故曰身雖出家。心不入道。不入道故。依舊輪轉。	實 故 曰 身 雖 出 家 心 不 入 道 不 入 道 故 依 舊 輪 轉 
X16n0308_001:0042a03	故向下以喻明之。窮子即阿難自喻。失三昧福。乏	故 向 下 以 喻 明 之 窮 子 即 阿 難 自 喻 失 三 昧 福 乏 
X16n0308_001:0042a04	功德財。故以窮喻。幸唯佛性不斷。可以子稱。捨父	功 德 財 故 以 窮 喻 幸 唯 佛 性 不 斷 可 以 子 稱 捨 父 
X16n0308_001:0042a05	即喻失心。逃逝即喻背道。以背道不入。枉受輪轉。	即 喻 失 心 逃 逝 即 喻 背 道 以 背 道 不 入 枉 受 輪 轉 
X16n0308_001:0042a06	如彼逃逝他國馳騁四方者無以異故。然阿難以	如 彼 逃 逝 他 國 馳 騁 四 方 者 無 以 異 故 然 阿 難 以 
X16n0308_001:0042a07	如來為兄。且又依之出家。彼此身心。尚不相代。故	如 來 為 兄 且 又 依 之 出 家 彼 此 身 心 尚 不 相 代 故 
X16n0308_001:0042a08	正脈云。觀此則不知修行而但求加被者。可以知	正 脈 云 觀 此 則 不 知 修 行 而 但 求 加 被 者 可 以 知 
X16n0308_001:0042a09	警矣。悲感悔責竟。二知過請求。	警 矣 悲 感 悔 責 竟 二 知 過 請 求 
X16n0308_001:0042a10	今日乃知雖有多聞若不修行與不聞等。如人說食	今 日 乃 知 雖 有 多 聞 若 不 修 行 與 不 聞 等 如 人 說 食 
X16n0308_001:0042a11	終不能飽。○世尊。我等今者二障所纏。良由不知寂	終 不 能 飽 世 尊 我 等 今 者 二 障 所 纏 良 由 不 知 寂 
X16n0308_001:0042a12	常心性。○唯願如來哀愍窮露。發妙明心。開我道眼。	常 心 性 唯 願 如 來 哀 愍 窮 露 發 妙 明 心 開 我 道 眼 
X16n0308_001:0042a13	初知聞無功。今日乃知者。因誤墮始知也。言阿難	初 知 聞 無 功 今 日 乃 知 者 因 誤 墮 始 知 也 言 阿 難 
X16n0308_001:0042a14	已向恃佛。專事多聞。將謂佛所說法。聞而能說即	已 向 恃 佛 專 事 多 聞 將 謂 佛 所 說 法 聞 而 能 說 即 
X16n0308_001:0042a15	是。及乎登伽事起。乃知說丈不及行尺。少修勝似	是 及 乎 登 伽 事 起 乃 知 說 丈 不 及 行 尺 少 修 勝 似 
X16n0308_001:0042a16	多聞。故云雖有多聞。不修與不聞等。阿難身受其	多 聞 故 云 雖 有 多 聞 不 修 與 不 聞 等 阿 難 身 受 其 
X16n0308_001:0042a17	誤。作如是說。尚恐好聞一類。未便革習。故次下仍	誤 作如是說 尚 恐 好 聞 一 類 未 便 革 習 故 次 下 仍 
X16n0308_001:0042a18	以喻明。言如來法味。聞而能說。宛似說食。不修無	以 喻 明 言 如 來 法 味 聞 而 能 說 宛 似 說 食 不 修 無 
X16n0308_001:0042a19	功。聖果失望。何異不飽。蓮師彌陀疏云。話餅何益	功 聖 果 失 望 何 異 不 飽 蓮 師 彌 陀 疏 云 話 餅 何 益 
X16n0308_001:0042a20	饑腸。亦是此意。夫阿難以多聞得名。且歷劫憶持	饑 腸 亦 是 此 意 夫 阿 難 以 多 聞 得 名 且 歷 劫 憶 持 
X16n0308_001:0042a21	妙嚴。尚曰若不修行。與不聞等。故正脈云。觀此則	妙 嚴 尚 曰 若 不 修 行 與 不 聞 等 故 正 脈 云 觀 此 則 
X16n0308_001:0042a22	徒恃學問而不務實修者亦可以知警矣。○世尊	徒 恃 學 問 而 不 務 實 修 者 亦 可 以 知 警 矣 世 尊 
X16n0308_001:0042a23	下知障由迷。我等者自指同等一類。即就現前地	下 知 障 由 迷 我 等 者 自 指 同 等 一 類 即 就 現 前 地 
X16n0308_001:0042a24	位言之。故曰今者。二障者。唯識論云。一煩惱障。謂	位 言 之 故 曰 今 者 二 障 者 唯 識 論 云 一 煩 惱 障 謂 
X16n0308_001:0042b01	執徧計所執實我。薩迦耶見(即身見也)而為上首。百二	執 徧 計 所 執 實 我 薩迦耶見 即 身 見 也 而 為 上 首 百 二 
X16n0308_001:0042b02	十八根本煩惱及彼等流諸隨煩惱。此皆擾惱有	十 八 根本煩惱 及 彼 等 流 諸 隨 煩 惱 此 皆 擾 惱 有 
X16n0308_001:0042b03	情身心。能障涅槃。名煩惱障。二所知障。謂執徧計	情 身 心 能 障 涅 槃 名 煩 惱 障 二 所 知 障 謂 執 徧 計 
X16n0308_001:0042b04	所執實法。薩迦耶見而為上首。見疑無明愛恚慢	所 執 實 法 薩迦耶見 而 為 上 首 見 疑 無 明 愛 恚 慢 
X16n0308_001:0042b05	等。覆所知境無顛倒性。能障菩提。名所知障。又煩	等 覆 所 知 境 無 顛 倒 性 能 障 菩 提 名 所 知 障 又 煩 
X16n0308_001:0042b06	惱障亦名事障。續諸生死。所知障亦名理障。礙正	惱 障 亦 名 事 障 續 諸 生 死 所 知 障 亦 名 理 障 礙 正 
X16n0308_001:0042b07	知見。圓覺云。先除事障。未斷理障。但能悟入二乘	知 見 圓 覺 云 先 除 事 障 未 斷 理 障 但 能 悟 入 二 乘 
X16n0308_001:0042b08	境界。若事理障。已永斷滅。則入如來大圓覺海。又	境 界 若 事 理 障 已 永 斷 滅 則 入 如 來 大 圓 覺 海 又 
X16n0308_001:0042b09	煩惱即界內見思。見謂分別起者。思乃任運起者。	煩 惱 即 界 內 見 思 見 謂 分 別 起 者 思 乃 任 運 起 者 
X16n0308_001:0042b10	所知即界外塵沙無明。塵沙謂於外境不達唯心。	所 知 即 界 外 塵 沙 無 明 塵 沙 謂 於 外 境 不 達 唯 心 
X16n0308_001:0042b11	遇事生執。無明謂於所修證不達性空。隨分起愛。	遇 事 生 執 無 明 謂 於 所 修 證 不 達 性 空 隨 分 起 愛 
X16n0308_001:0042b12	又煩惱障即是我執。依我執起。能障我空理故。所	又 煩 惱 障 即 是 我 執 依 我 執 起 能 障 我 空 理 故 所 
X16n0308_001:0042b13	知障即是法執。依法執起。能障法空理故。此時阿	知 障 即 是 法 執 依 法 執 起 能 障 法 空 理 故 此 時 阿 
X16n0308_001:0042b14	難方證初果。所知固是俱在。煩惱亦未全離。況不	難 方 證 初 果 所 知 固 是 俱 在 煩 惱 亦 未 全 離 況 不 
X16n0308_001:0042b15	了識空。斷非真斷。故如來斥以不成聖果。而自己	了 識 空 斷 非 真 斷 故 如 來 斥 以 不 成 聖 果 而 自 己 
X16n0308_001:0042b16	謂為二障所纏。然障不自起。纏非無因。故次下出	謂 為 二 障 所 纏 然 障 不 自 起 纏 非 無 因 故 次 下 出 
X16n0308_001:0042b17	其所由。良猶誠也。寂常心性。是其意中所求。葢自	其 所 由 良 猶 誠 也 寂 常 心 性 是 其 意 中 所 求 葢 自 
