X51n0825_001:0454b06	 序〔龍省〕	 序 龍 省 
X51n0825_001:0475a41	○次第二能變(三)	 次 第二能變 三 
X51n0825_001:0475a42	初結前問後(如)	初 結 前 問 後 如 
X51n0825_001:0475a43	次舉本頌答(頌)	次 舉 本 頌 答 頌 
X51n0825_001:0475a44	三末論釋成(二)	三 末 論 釋 成 二 
X51n0825_001:0475a45	初正釋頌文(九)	初 正 釋 頌 文 九 
X51n0825_001:0475a46	初釋名門(二)	初 釋 名 門 二 
X51n0825_001:0475a47	初正釋(論)	初 正 釋 論 
X51n0825_001:0475a48	次簡異(二)	次 簡 異 二 
X51n0825_001:0475a49	初徵(此)	初 徵 此 
X51n0825_001:0475a50	次釋(二)	次 釋 二 
X51n0825_001:0475a51	初約離合釋唯異第六(此)	初 約 離 合 釋 唯 異 第 六 此 
X51n0825_001:0475a52	次以標意名總異餘七(又)	次 以 標 意 名 總 異 餘 七 又 
X51n0825_001:0475a53	二所依門(三)	二 所 依 門 三 
X51n0825_001:0476a01	初正釋此識所依(二)	初 正 釋 此 識 所 依 二 
X51n0825_001:0476a02	初標(依)	初 標 依 
X51n0825_001:0476a03	次釋(二)	次 釋 二 
X51n0825_001:0476a04	初釋依彼(二)	初 釋 依 彼 二 
X51n0825_001:0476a05	初總明依藏識(彼)	初 總 明 依 藏 識 彼 
X51n0825_001:0476a06	次別明依種現(二)	次 別 明 依 種 現 二 
X51n0825_001:0476a07	初解唯依種(有)	初 解 唯 依 種 有 
X51n0825_001:0476a08	次解依種現(有)	次 解 依 種 現 有 
X51n0825_001:0476a09	次釋轉義(轉)	次 釋 轉 義 轉 
X51n0825_001:0476a10	次傍論諸識所依(二)	次 傍 論 諸 識 所 依 二 
X51n0825_001:0476a11	初略釋(三)	初 略 釋 三 
X51n0825_001:0476a12	初標(諸)	初 標 諸 
X51n0825_001:0476a13	次釋(三)	次 釋 三 
X51n0825_001:0476a14	初因緣依(一)	初 因 緣 依 一 
X51n0825_001:0476a15	次增上緣依(二)	次 增上緣依 二 
X51n0825_001:0476a16	三等無間緣依(三)	三 等無間緣 依 三 
X51n0825_001:0476a17	三結(唯)	三 結 唯 
X51n0825_001:0476a18	次廣釋(三)	次 廣 釋 三 
X51n0825_001:0476a19	初種子依(二)	初 種 子 依 二 
X51n0825_001:0476a20	初標(初)	初 標 初 
X51n0825_001:0476a21	次釋(二)	次 釋 二 
X51n0825_001:0476a22	初經部種現不俱(有)	初 經 部 種 現 不 俱 有 
X51n0825_001:0476a23	次大乘種現俱時(二)	次 大 乘 種 現 俱 時 二 
X51n0825_001:0476a24	初斥前非(有)	初 斥 前 非 有 
X51n0825_001:0476a25	次申正義(二)	次 申 正 義 二 
X51n0825_001:0476a26	初明三因緣因果俱不俱別(二)	初 明 三 因 緣 因 果 俱 不 俱 別 二 
X51n0825_001:0476a27	初正明(然)	初 正 明 然 
X51n0825_001:0476a28	次引證(二)	次 引 證 二 
X51n0825_001:0476a29	初引瑜伽通證二類因緣(故)	初 引 瑜 伽 通 證 二 類 因 緣 故 
X51n0825_001:0476a30	次引攝論別證種現因緣(攝)	次 引 攝 論 別 證 種 現 因 緣 攝 
X51n0825_001:0476a31	次(結示)諸心心所各有種子依(如)	次 結 示 諸 心 心 所 各 有 種 子 依 如 
X51n0825_001:0476a32	次俱有依(二)	次 俱 有 依 二 
X51n0825_001:0476a33	初標(次)	初 標 次 
X51n0825_001:0476a34	次釋(四)	次 釋 四 
X51n0825_001:0476a35	初家解(二)	初 家 解 二 
X51n0825_001:0476a36	初前五識(二)	初 前 五 識 二 
X51n0825_001:0476a37	初正釋(有)	初 正 釋 有 
X51n0825_001:0476a38	次引證(二)	次 引 證 二 
X51n0825_001:0476a39	初唯識頌(二)	初 唯 識 頌 二 
X51n0825_001:0476a40	次緣論頌(觀)	次 緣 論 頌 觀 
X51n0825_001:0476a41	次後三識(第)	次 後 三 識 第 
X51n0825_001:0476a42	第二家解(二)	第 二 家 解 二 
X51n0825_001:0476a43	初斥前非(三)	初 斥 前 非 三 
X51n0825_001:0476a44	初標(有)	初 標 有 
X51n0825_001:0476a45	次釋(二)	次 釋 二 
X51n0825_001:0476a46	初難前五識(二)	初 難 前 五 識 二 
X51n0825_001:0476a47	初正斥破(二)	初 正 斥 破 二 
X51n0825_001:0476a48	初別破(二)	初 別 破 二 
X51n0825_001:0476a49	初破識種為色根(九)	初 破 識 種 為 色 根 九 
X51n0825_001:0476a50	初約十八界難(若)	初 約 十 八 界 難 若 
X51n0825_001:0476a51	二約相見分難(又)	二 約 相 見 分 難 又 
X51n0825_001:0476a52	三約增上緣難(又)	三 約 增 上 緣 難 又 
X51n0825_001:0476a53	四約界地難(又)	四 約 界 地 難 又 
X51n0825_001:0476a54	五約三性難(又)	五 約 三 性 難 又 
X51n0825_001:0476a55	六約執受難(又)	六 約 執 受 難 又 
X51n0825_001:0476a56	七約同法難(又)	七 約 同 法 難 又 
X51n0825_001:0476a57	八約三依不具難(又)	八 約 三 依 不 具 難 又 
X51n0825_001:0477a01	九約根通種現難(又)	九 約 根 通 種 現 難 又 
X51n0825_001:0477a02	次破業種為色根(二)	次 破 業 種 為 色 根 二 
X51n0825_001:0477a03	初敘(有)	初 敘 有 
X51n0825_001:0477a04	次破(彼)	次 破 彼 
X51n0825_001:0477a05	次總責(又)	次 總 責 又 
X51n0825_001:0477a06	次申頌義(然)	次 申 頌 義 然 
X51n0825_001:0477a07	次難六七識(二)	次 難 六 七 識 二 
X51n0825_001:0477a08	初難六不以五為依(又)	初 難 六 不 以 五 為 依 又 
X51n0825_001:0477a09	次難七不以八為依(二)	次 難 七 不 以 八 為 依 二 
X51n0825_001:0477a10	初正難(又)	初 正 難 又 
X51n0825_001:0477a11	次引證(如)	次 引 證 如 
X51n0825_001:0477a12	三結(由)	三 結 由 
X51n0825_001:0477a13	次申己義(是)	次 申 己 義 是 
X51n0825_001:0477a14	第三家解(二)	第 三 家 解 二 
X51n0825_001:0477a15	初斥前非(二)	初 斥 前 非 二 
X51n0825_001:0477a16	初總斥(有)	初 總 斥 有 
X51n0825_001:0477a17	次別斥(三)	次 別 斥 三 
X51n0825_001:0477a18	初斥第八不以第七為依(第)	初 斥 第 八 不 以 第 七 為 依 第 
X51n0825_001:0477a19	次斥識種不以現識為依(許)	次 斥 識 種 不 以 現 識 為 依 許 
X51n0825_001:0477a20	三斥異熟不以色根為依(又)	三 斥 異 熟 不 以 色 根 為 依 又 
X51n0825_001:0477a21	次申己義(是)	次 申 己 義 是 
X51n0825_001:0477a22	第四家解(三)	第 四 家 解 三 
X51n0825_001:0477a23	初總斥標宗(有)	初 總 斥 標 宗 有 
X51n0825_001:0477a24	次廣示正義(二)	次 廣 示 正 義 二 
X51n0825_001:0477a25	初明依所依義(二)	初 明 依 所 依 義 二 
X51n0825_001:0477a26	初正明(二)	初 正 明 二 
X51n0825_001:0477a27	初明依義(依)	初 明 依 義 依 
X51n0825_001:0477a28	次明所依(二)	次 明 所 依 二 
X51n0825_001:0477a29	初正明所依(若)	初 正 明 所 依 若 
X51n0825_001:0477a30	次依聖教簡(故)	次 依 聖 教 簡 故 
X51n0825_001:0477a31	次通妨(然)	次 通 妨 然 
X51n0825_001:0477a32	次明識等所依(二)	次 明 識 等 所 依 二 
X51n0825_001:0477a33	初明心王所依(四)	初 明 心 王 所 依 四 
X51n0825_001:0477a34	初前五識(由)	初 前 五 識 由 
X51n0825_001:0477a35	二第六識(第)	二 第 六 識 第 
X51n0825_001:0477a36	三第七識(第)	三 第 七 識 第 
X51n0825_001:0477a37	四第八識(二)	四 第 八 識 二 
X51n0825_001:0477a38	初正明所依(阿)	初 正 明 所 依 阿 
X51n0825_001:0477a39	次通前異說(雖)	次 通 前 異 說 雖 
X51n0825_001:0477a40	次明心所所依(心)	次 明 心 所 所 依 心 
X51n0825_001:0477a41	三結符理義(若)	三 結 符 理 義 若 
X51n0825_001:0477a42	三開導依○	三 開 導 依 
X51n0825_001:0477a43	三結歸本頌所依○	三 結 歸 本 頌 所 依 
X51n0825_001:0477a44	三所緣門○	三 所 緣 門 
X51n0825_001:0477a45	四性相門○	四 性 相 門 
X51n0825_001:0477a46	五染俱門○	五 染 俱 門 
X51n0825_001:0477a47	六餘相應門○	六 餘 相 應 門 
X51n0825_001:0477a48	七三性門○	七 三 性 門 
X51n0825_001:0477a49	八界繫門○	八 界 繫 門 
X51n0825_001:0477a50	九伏斷門○	九 伏 斷 門 
X51n0825_001:0477a51	次證有第七○	次 證 有 第 七 
X51n0825_001:0477a53	○三開導依(二)	 三 開 導 依 二 
X51n0825_001:0477a54	初標(後)	初 標 後 
X51n0825_001:0477a55	次釋(三)	次 釋 三 
X51n0825_001:0477a56	初難陀立相續與間斷者為依(有)	初 難 陀 立 相 續 與 間 斷 者 為 依 有 
X51n0825_001:0477a57	次安慧立有力與無力者為依(二)	次 安 慧 立 有 力 與 無 力 者 為 依 二 
X51n0825_001:0477a58	初斥前非(三)	初 斥 前 非 三 
X51n0825_001:0477a59	初總斥(有)	初 總 斥 有 
X51n0825_001:0477a60	次別破(二)	次 別 破 二 
X51n0825_001:0477a61	初難破前五識(二)	初 難 破 前 五 識 二 
X51n0825_001:0477a62	初縱許(且)	初 縱 許 且 
X51n0825_001:0477a63	次難破(二)	次 難 破 二 
X51n0825_001:0477a64	初約自在位難(三)	初 約 自 在 位 難 三 
X51n0825_001:0477a65	初正難(若)	初 正 難 若 
X51n0825_001:0477a66	次引證(故)	次 引 證 故 
X51n0825_001:0477a67	三結示(彼)	三 結 示 彼 
X51n0825_001:0477a68	次約增勝境難(三)	次 約 增 勝 境 難 三 
X51n0825_001:0477a69	初正難(若)	初 正 難 若 
X51n0825_001:0477a70	次引證(故)	次 引 證 故 
X51n0825_001:0477a71	三結示(彼)	三 結 示 彼 
X51n0825_001:0477a72	次難破後三識(三)	次 難 破 後 三 識 三 
X51n0825_001:0477a73	初難第六(二)	初 難 第 六 二 
X51n0825_001:0478a01	初正難(五)	初 正 難 五 
X51n0825_001:0478a02	次例難(若)	次 例 難 若 
X51n0825_001:0478a03	次難第七(平)	次 難 第 七 平 
X51n0825_001:0478a04	三難第八(圓)	三 難 第 八 圓 
X51n0825_001:0478a05	三結非(由)	三 結 非 由 
X51n0825_001:0478a06	次申正義(應)	次 申 正 義 應 
X51n0825_001:0478a07	三(護法)立八識各唯自類為依(三)	三 護 法 立 八 識 各 唯 自 類 為 依 三 
X51n0825_001:0478a08	初總斥前非(有)	初 總 斥 前 非 有 
X51n0825_001:0478a09	次立義興難(二)	次 立 義 興 難 二 
X51n0825_001:0478a10	初立三義(開)	初 立 三 義 開 
X51n0825_001:0478a11	次難前師(二)	次 難 前 師 二 
X51n0825_001:0478a12	初正難(二)	初 正 難 二 
X51n0825_001:0478a13	初難心不並生(若)	初 難 心 不 並 生 若 
X51n0825_001:0478a14	次難色等應有等無間緣(又)	次 難 色 等 應 有 等無間緣 又 
X51n0825_001:0478a15	次通妨(然)	次 通 妨 然 
X51n0825_001:0478a16	三示正通難(三)	三 示 正 通 難 三 
X51n0825_001:0478a17	初申正義(是)	初 申 正 義 是 
X51n0825_001:0478a18	次通外難(五)	次 通 外 難 五 
X51n0825_001:0478a19	初釋諸識相應難(雖)	初 釋 諸 識 相 應 難 雖 
X51n0825_001:0478a20	二釋心所成依難(然)	二 釋 心 所 成 依 難 然 
X51n0825_001:0478a21	三釋應各為緣難(若)	三 釋 應 各 為 緣 難 若 
X51n0825_001:0478a22	四釋後起由他難(無)	四 釋 後 起 由 他 難 無 
X51n0825_001:0478a23	五釋諸教相違難(然)	五 釋 諸 教 相 違 難 然 
X51n0825_001:0478a24	三結正義(故)	三 結 正 義 故 
X51n0825_001:0478a26	○三結歸本頌所依(傍)	 三 結 歸 本 頌 所 依 傍 
X51n0825_001:0478a28	○三所緣門(二)	 三 所 緣 門 二 
X51n0825_001:0478a29	初結前問後(如)	初 結 前 問 後 如 
X51n0825_001:0478a30	次正釋頌義(二)	次 正 釋 頌 義 二 
X51n0825_001:0478a31	初正釋(二)	初 正 釋 二 
X51n0825_001:0478a32	初明未轉依(二)	初 明 未 轉 依 二 
X51n0825_001:0478a33	初略明(謂)	初 略 明 謂 
X51n0825_001:0478a34	次廣辨(四)	次 廣 辨 四 
X51n0825_001:0478a35	初難陀緣王所(二)	初 難 陀 緣 王 所 二 
X51n0825_001:0478a36	初釋義(有)	初 釋 義 有 
X51n0825_001:0478a37	次通妨(然)	次 通 妨 然 
X51n0825_001:0478a38	二火辨緣相見(有)	二 火 辨 緣 相 見 有 
X51n0825_001:0478a39	三安慧緣種現(二)	三 安 慧 緣 種 現 二 
X51n0825_001:0478a40	初難前師(有)	初 難 前 師 有 
X51n0825_001:0478a41	次申己義(應)	次 申 己 義 應 
X51n0825_001:0478a42	四護法唯緣見(二)	四 護 法 唯 緣 見 二 
X51n0825_001:0478a43	初難前師(有)	初 難 前 師 有 
X51n0825_001:0478a44	次申正義(三)	次 申 正 義 三 
X51n0825_001:0478a45	初正明(應一)	初 正 明 應 一 
X51n0825_001:0478a46	次釋難(乘)	次 釋 難 乘 
X51n0825_001:0478a47	三結歎(若)	三 結 歎 若 
X51n0825_001:0478a48	次明已轉依(二)	次 明 已 轉 依 二 
X51n0825_001:0478a49	初正明(未)	初 正 明 未 
X51n0825_001:0478a50	次簡異(此)	次 簡 異 此 
X51n0825_001:0478a51	次釋妨(二)	次 釋 妨 二 
X51n0825_001:0478a52	初問(如)	初 問 如 
X51n0825_001:0478a53	次答(如)	次 答 如 
X51n0825_001:0478a55	○四性相門(二)	 四 性 相 門 二 
X51n0825_001:0478a56	初正釋性相(頌)	初 正 釋 性 相 頌 
X51n0825_001:0478a57	次兼釋別名(由)	次 兼 釋 別 名 由 
X51n0825_001:0478a59	○五染俱門(三)	 五 染 俱 門 三 
X51n0825_001:0478a60	初問答總標(此)	初 問 答 總 標 此 
X51n0825_001:0478a61	次正釋頌義(二)	次 正 釋 頌 義 二 
X51n0825_001:0478a62	初釋常俱義(此)	初 釋 常 俱 義 此 
X51n0825_001:0478a63	次釋四煩惱(二)	次 釋 四 煩 惱 二 
X51n0825_001:0478a64	初釋別名(二)	初 釋 別 名 二 
X51n0825_001:0478a65	初徵列(其)	初 徵 列 其 
X51n0825_001:0478a66	次釋義(我)	次 釋 義 我 
X51n0825_001:0478a67	次釋通名(此)	次 釋 通 名 此 
X51n0825_001:0479a01	三問答料簡(二)	三 問 答 料 簡 二 
X51n0825_001:0479a02	初料簡唯四(二)	初 料 簡 唯 四 二 
X51n0825_001:0479a03	初問(彼)	初 問 彼 
X51n0825_001:0479a04	次答(二)	次 答 二 
X51n0825_001:0479a05	初釋(二)	初 釋 二 
X51n0825_001:0479a06	初明有我見故無四見(二)	初 明 有 我 見 故 無 四 見 二 
X51n0825_001:0479a07	初正明(有)	初 正 明 有 
X51n0825_001:0479a08	次出意(二)	次 出 意 二 
X51n0825_001:0479a09	初徵(如)	初 徵 如 
X51n0825_001:0479a10	次釋(二)	次 釋 二 
X51n0825_001:0479a11	次明有見愛故無疑嗔(由)	次 明 有 見 愛 故 無 疑 嗔 由 
X51n0825_001:0479a12	次結(故)	次 結 故 
X51n0825_001:0479a13	次料簡三俱(二)	次 料 簡 三 俱 二 
X51n0825_001:0479a14	初正明俱起(二)	初 正 明 俱 起 二 
X51n0825_001:0479a15	初問(見)	初 問 見 
X51n0825_001:0479a16	次答(行)	次 答 行 
X51n0825_001:0479a17	次通瑜伽妨(二)	次 通 瑜 伽 妨 二 
X51n0825_001:0479a18	初難(瑜)	初 難 瑜 
X51n0825_001:0479a19	次釋(分)	次 釋 分 
X51n0825_001:0479a21	○六餘相應門(二)	 六 餘 相 應 門 二 
X51n0825_001:0479a22	初問答總標(此)	初 問 答 總 標 此 
X51n0825_001:0479a23	次正釋頌義(二)	次 正 釋 頌 義 二 
X51n0825_001:0479a24	初未轉依(二)	初 未 轉 依 二 
X51n0825_001:0479a25	初釋及餘觸等俱(二)	初 釋 及 餘 觸 等 俱 二 
X51n0825_001:0479a26	初師餘字簡無覆性(二)	初 師 餘 字 簡 無 覆 性 二 
X51n0825_001:0479a27	初明所有(二)	初 明 所 有 二 
X51n0825_001:0479a28	初明意俱唯九(有)	初 明 意 俱 唯 九 有 
X51n0825_001:0479a29	次釋及餘二字(前)	次 釋 及 餘 二 字 前 
X51n0825_001:0479a30	次簡所無(二)	次 簡 所 無 二 
X51n0825_001:0479a31	初徵(此)	初 徵 此 
X51n0825_001:0479a32	次釋(四)	次 釋 四 
X51n0825_001:0479a33	初簡別境(謂)	初 簡 別 境 謂 
X51n0825_001:0479a34	二簡信等(善)	二 簡 信 等 善 
X51n0825_001:0479a35	三簡隨眠(隨)	三 簡 隨 眠 隨 
X51n0825_001:0479a36	四簡不定(惡)	四 簡 不 定 惡 
X51n0825_001:0479a37	次師餘字顯隨煩惱(二)	次 師 餘 字 顯 隨 煩 惱 二 
X51n0825_001:0479a38	初斥前(有)	初 斥 前 有 
X51n0825_001:0479a39	次正明(二)	次 正 明 二 
X51n0825_001:0479a40	初總標(煩)	初 總 標 煩 
X51n0825_001:0479a41	次別釋(四)	次 別 釋 四 
X51n0825_001:0479a42	初師五隨俱(二)	初 師 五 隨 俱 二 
X51n0825_001:0479a43	初明五隨徧染心(三)	初 明 五 隨 徧 染 心 三 
X51n0825_001:0479a44	初正立五隨(此)	初 正 立 五 隨 此 
X51n0825_001:0479a45	次引論證釋(二)	次 引 論 證 釋 二 
X51n0825_001:0479a46	初正釋(如)	初 正 釋 如 
X51n0825_001:0479a47	次會通(掉)	次 會 通 掉 
X51n0825_001:0479a48	三通餘處妨(雖)	三 通 餘 處 妨 雖 
X51n0825_001:0479a49	次結示意俱有無(二)	次 結 示 意 俱 有 無 二 
X51n0825_001:0479a50	初明意俱有十五(二)	初 明 意 俱 有 十 五 二 
X51n0825_001:0479a51	初正明(然)	初 正 明 然 
X51n0825_001:0479a52	次釋義(救)	次 釋 義 救 
X51n0825_001:0479a53	次結例無餘心所(二)	次 結 例 無 餘 心 所 二 
X51n0825_001:0479a54	初問(例)	初 問 例 
X51n0825_001:0479a55	次答(隨)	次 答 隨 
X51n0825_001:0479a56	二師六隨俱(二)	二 師 六 隨 俱 二 
X51n0825_001:0479a57	初明六隨徧染心(三)	初 明 六 隨 徧 染 心 三 
X51n0825_001:0479a58	初正立六隨(有)	初 正 立 六 隨 有 
X51n0825_001:0479a59	次引論證釋(瑜)	次 引 論 證 釋 瑜 
X51n0825_001:0479a60	三通集論等(論)	三 通 集 論 等 論 
X51n0825_001:0480a01	次結示意俱有無(二)	次 結 示 意 俱 有 無 二 
X51n0825_001:0480a02	初明意俱有十九(二)	初 明 意 俱 有 十 九 二 
X51n0825_001:0480a03	初標數(然)	初 標 數 然 
X51n0825_001:0480a04	次釋成(此)	次 釋 成 此 
X51n0825_001:0480a05	次結例無餘心所(無)	次 結 例 無 餘 心 所 無 
X51n0825_001:0480a06	三師十隨俱(二)	三 師 十 隨 俱 二 
X51n0825_001:0480a07	初明十隨徧染心(三)	初 明 十 隨 徧 染 心 三 
X51n0825_001:0480a08	初正立十隨(有)	初 正 立 十 隨 有 
X51n0825_001:0480a09	次引論證釋(二)	次 引 論 證 釋 二 
X51n0825_001:0480a10	初正釋(瑜)	初 正 釋 瑜 
X51n0825_001:0480a11	次通妨(諸)	次 通 妨 諸 
X51n0825_001:0480a12	三指前會通(餘)	三 指 前 會 通 餘 
X51n0825_001:0480a13	次結示意俱有無(二)	次 結 示 意 俱 有 無 二 
X51n0825_001:0480a14	初明意俱有二十四(此)	初 明 意 俱 有 二 十 四 此 
X51n0825_001:0480a15	次結例無餘心所(無)	次 結 例 無 餘 心 所 無 
X51n0825_001:0480a16	四師八隨俱(二)	四 師 八 隨 俱 二 
X51n0825_001:0480a17	初破前三師(有)	初 破 前 三 師 有 
X51n0825_001:0480a18	次申自正義(二)	次 申 自 正 義 二 
X51n0825_001:0480a19	初正明(二)	初 正 明 二 
X51n0825_001:0480a20	初明八隨徧染心(二)	初 明 八 隨 徧 染 心 二 
X51n0825_001:0480a21	初舉數(故)	初 舉 數 故 
X51n0825_001:0480a22	次釋成(忘)	次 釋 成 忘 
X51n0825_001:0480a23	次結示意俱有無(二)	次 結 示 意 俱 有 無 二 
X51n0825_001:0480a24	初明意俱有十八(然)	初 明 意 俱 有 十 八 然 
X51n0825_001:0480a25	次結例無餘等義(無)	次 結 例 無 餘 等 義 無 
X51n0825_001:0480a26	次結歎(若)	次 結 歎 若 
X51n0825_001:0480a27	次例藏識明受俱○	次 例 藏 識 明 受 俱 
X51n0825_001:0480a28	次已轉依○	次 已 轉 依 
X51n0825_001:0480a30	第五卷	第 五 卷 
X51n0825_001:0480a32	○次例藏識明受俱(二)	 次 例 藏 識 明 受 俱 二 
X51n0825_001:0480a33	初徵(此)	初 徵 此 
X51n0825_001:0480a34	次釋(三)	次 釋 三 
X51n0825_001:0480a35	初師喜受俱(有)	初 師 喜 受 俱 有 
X51n0825_001:0480a36	次師四受俱(二)	次 師 四 受 俱 二 
X51n0825_001:0480a37	初斥前非(有)	初 斥 前 非 有 
X51n0825_001:0480a38	次申己義(應)	次 申 己 義 應 
X51n0825_001:0480a39	三師捨受俱(有)	三 師 捨 受 俱 有 
X51n0825_001:0480a41	○次已轉依(未)	 次 已 轉 依 未 
X51n0825_001:0480a43	○七三性門(二)	 七 三 性 門 二 
X51n0825_001:0480a44	初問答總標(末)	初 問 答 總 標 末 
X51n0825_001:0480a45	次正釋頌義(二)	次 正 釋 頌 義 二 
X51n0825_001:0480a46	初未轉依(此)	初 未 轉 依 此 
X51n0825_001:0480a47	次已轉依(若)	次 已 轉 依 若 
X51n0825_001:0480a49	○八界繫門(二)	 八 界 繫 門 二 
X51n0825_001:0480a50	初問答總標(末)	初 問 答 總 標 末 
